,group,variable,month,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA < A 1 AÑO - D,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA < A 1 AÑO - D,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA < A 1 AÑO - F,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA < A 1 AÑO - F,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 12 A 23 MESES - D,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 12 A 23 MESES - D,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 12 A 23 MESES - F,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 12 A 23 MESES - F,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 2 AÑOS - D,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 2 AÑOS - D,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 2 AÑOS - F,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 2 AÑOS - F,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 3 AÑOS - D,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 3 AÑOS - D,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 3 AÑOS - F,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 3 AÑOS - F,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 4 AÑOS - D,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 4 AÑOS - D,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 4 AÑOS - F,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 4 AÑOS - F,TOTALES,TOTALES,TOTALES
RIBERALTA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-02-01,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,3,1,4
SANTA CRUZ DE LA SIERRA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-02-01,0,0,0,0,0,0,0,0,7,13,4,2,5,5,1,0,6,8,3,5,26,33,59
PALOS BLANCOS,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2
RIBERALTA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
SAN BORJA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,3,3,6
SANTA CRUZ DE LA SIERRA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2
EL ALTO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-04-01,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,1,1,1,1,0,6,3,9
LA PAZ,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-04-01,0,0,0,0,0,0,0,0,3,3,0,0,1,2,0,0,0,2,0,0,4,7,11
ORURO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-04-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
POTOSI,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-04-01,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,1,4,5
SAN JULIAN,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,1,0,3,4,7
SANTA CRUZ DE LA SIERRA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-04-01,0,0,0,0,0,0,0,0,2,2,3,7,1,1,1,0,1,0,0,1,8,11,19
SUCRE,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ACHOCALLA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,5,0,5
ATOCHA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
BERMEJO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CABEZAS,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,4,4
CAMIRI,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,1,4
CARMEN RIVERO TORREZ,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4
CHARAGUA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2
CHIMORE,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,3
COBIJA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,2,1,3,5,8
COCHABAMBA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,57,55,5,3,26,28,4,5,43,37,4,1,139,129,268
COLQUECHACA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,3,1,4
COMARAPA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,3,2,5
CUEVO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CULPINA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
EL ALTO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,22,17,37,37,44,41,46,35,34,45,39,42,222,217,439
EL PUENTE(STC),vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,2,3
EL PUENTE(TJA),vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
EL TORNO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,8,6,1,1,5,2,0,0,5,2,1,1,20,12,32
FILADELFIA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
GAIOC JATUN AYLLU YURA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
GIA-TIM,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2
HUACARETA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
HUANUNI,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
ICLA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,11,14,13,9,5,1,2,4,3,2,0,2,34,32,66
LA GUARDIA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,4,6,3,6,1,2,0,0,1,7,0,0,9,21,30
LA PAZ,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,47,45,0,0,24,25,0,0,23,19,0,2,94,91,185
LAGUNILLAS,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
LLALLAGUA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,4,7,16,15,0,1,0,0,0,0,0,0,20,23,43
LORETO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,5,5,6,7,13
MACHARETI,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,3,2,5
MAGDALENA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,1,1,5,0,2,5,2,0,0,0,0,6,10,16
MINEROS,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
MONTEAGUDO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,22,21,11,9,14,19,14,8,10,19,34,19,105,95,200
MONTERO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3,0,3
ORURO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,1,4,5
PADCAYA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PAILON,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,2,1,3,3,1,1,0,0,0,1,1,1,7,7,14
POROMA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,3,2,5
PORONGO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2,3
PORVENIR,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,1,3
POTOSI,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,11,7,4,1,14,4,3,2,7,0,2,5,41,19,60
PUERTO VILLARROEL,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2
QUILLACOLLO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,1,2,4,5,1,2,6,4,0,1,1,2,13,16,29
RIBERALTA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,3,4
ROBORE,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
RURRENABAQUE,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,1,6,4,4,3,3,4,3,2,0,2,5,16,21,37
SACABA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN ANDRES,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3,3
SAN ANTONIO DE ESMORUCO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,2,3,5
SAN BORJA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN CARLOS,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,17,14,3,3,12,10,2,0,17,15,3,4,54,46,100
SAN IGNACIO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,1,0,6,5,0,0,6,3,1,0,5,4,19,12,31
SAN IGNACIO DE VELASCO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN JUAN DE YAPACANI,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,4,0,0,0,0,2,6,8
SAN MATIAS,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,200,253,41,30,154,147,46,45,184,169,32,21,657,665,1322
SANTA ROSA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,3,2,5
SANTA ROSA DEL SARA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,0,0,0,0,0,5,1,6
SHINAOTA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,1,3
SOPACHUY,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,1,0,0,0,5,4,9
SUCRE,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,3,3,6
TACOBAMBA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,4,0,7,2,9
TAHUA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,0,0,0,0,5,2,7
TARIJA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,4,2,2,0,2,2,1,3,4,4,1,0,14,11,25
TRINIDAD,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,3,2,6,8
TUPIZA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,2,1,4,2,1,2,1,1,1,1,1,1,10,8,18
VALLEGRANDE,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,1,3
VILLA MONTES,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,4,1,5
VILLA TUNARI,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,4
VILLAZON,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
YACUIBA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3
YAPACANI,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,3,2,5
YOCALLA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
YOTALA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-05-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
APOLO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2
ASCENCION DE GUARAYOS,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,7,9,0,0,4,1,0,0,2,2,0,0,13,12,25
ATOCHA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,4,4,5,6,11
BAURES,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,5,5,6,8,14
BERMEJO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,3,1,4
BETANZOS,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
BUENA VISTA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,2,0,0,1,1,6,4,10
CABEZAS,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,3,0,4,3,2,2,3,6,1,0,13,11,26,22,48
CAMARGO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CAMIRI,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,1,2,0,0,3,3,0,1,3,3,0,0,7,9,16
CHARAGUA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,1,3,2,2,3,3,1,1,1,1,3,10,11,21
CHIMORE,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,2,4
CLIZA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
COBIJA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,1,5,6,0,1,4,7,1,0,6,5,16,20,36
COCHABAMBA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,45,44,26,25,32,37,31,38,45,34,73,54,252,232,484
COMARAPA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,8,8,5,3,2,5,0,0,1,1,2,4,18,21,39
CONCEPCION,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,32,38,3,2,10,18,3,2,13,12,3,5,64,77,141
COTAGAITA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,3,3,5,8
EL ALTO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,19,24,11,16,10,11,36,27,13,14,36,38,125,130,255
EL TORNO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,3,2,0,0,6,4,0,1,2,4,1,0,12,11,23
FERNANDEZ ALONSO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
FILADELFIA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,3,6
GIA-TIM,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,2,0,0,3,3,6
GUAYARAMERIN,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,3,5,0,6,6,1,1,1,3,2,4,5,17,20,37
