,group,variable,month,ANTIPOLIOMELITICA 3RA DOSIS < A 1 AÑO - D,ANTIPOLIOMELITICA 3RA DOSIS < A 1 AÑO - D,ANTIPOLIOMELITICA 3RA DOSIS < A 1 AÑO - F,ANTIPOLIOMELITICA 3RA DOSIS < A 1 AÑO - F,ANTIPOLIOMELITICA 3RA DOSIS 12 A 23 MESES - D,ANTIPOLIOMELITICA 3RA DOSIS 12 A 23 MESES - D,ANTIPOLIOMELITICA 3RA DOSIS 12 A 23 MESES - F,ANTIPOLIOMELITICA 3RA DOSIS 12 A 23 MESES - F,ANTIPOLIOMELITICA 3RA DOSIS 2 AÑOS - D,ANTIPOLIOMELITICA 3RA DOSIS 2 AÑOS - D,ANTIPOLIOMELITICA 3RA DOSIS 2 AÑOS - F,ANTIPOLIOMELITICA 3RA DOSIS 2 AÑOS - F,ANTIPOLIOMELITICA 3RA DOSIS 3 AÑOS - D,ANTIPOLIOMELITICA 3RA DOSIS 3 AÑOS - D,ANTIPOLIOMELITICA 3RA DOSIS 3 AÑOS - F,ANTIPOLIOMELITICA 3RA DOSIS 3 AÑOS - F,ANTIPOLIOMELITICA 3RA DOSIS 4 AÑOS - D,ANTIPOLIOMELITICA 3RA DOSIS 4 AÑOS - D,ANTIPOLIOMELITICA 3RA DOSIS 4 AÑOS - F,ANTIPOLIOMELITICA 3RA DOSIS 4 AÑOS - F,TOTALES,TOTALES,TOTALES
ARANI,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,7,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,17
ARBIETO,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,10,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,27
ARQUE,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,9
ASCENCION DE GUARAYOS,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,17,7,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,18,9,27
ATOCHA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
AUCAPATA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
AYATA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,5,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11
AYO AYO,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,7,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,18
AZURDUY,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,6,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,16
BATALLAS,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,15,10,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,13,29
BAURES,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,9
BELEN DE ANDAMARCA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
BELEN DE URMIRI,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
BELLA FLOR,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
BERMEJO,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,19,20,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,21,42
BETANZOS,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,10,7,7,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,10,28
BOLIVAR,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
BOLPEBRA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BOYUIBE,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
BUENA VISTA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,5,16,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,24
CABEZAS,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,18,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,31
CAIROMA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,12,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,21
"CAIZA ""D""",vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,6,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,13
CAJUATA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,2,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,13
CALACOTO,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
CALAMARCA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14
CAMARGO,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CAMATAQUI (C. VILLA ABECIA),vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
CAMIRI,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,16,10,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,30
CAPINOTA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,12,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20,33
CAQUIAVIRI,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7
CARACOLLO,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,11,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,22
CARANAVI,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,25,30,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26,31,57
CARAPARI,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,10,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,16
CARIPUYO,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
CARMEN RIVERO TORREZ,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9
CATACORA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
CHACARILLA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
CHALLAPATA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,16,15,4,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,21,24,45
CHAQUI,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
CHARAGUA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,19,11,14,9,2,0,3,3,0,1,2,6,0,0,1,1,0,0,0,0,41,31,72
CHARAÑA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6
CHAYANTA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,14
CHIMORE,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,12,11,4,3,2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,18,18,36
CHIPAYA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
CHOQUE COTA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CHUA COCANI,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
CHULUMANI (V. DE LA LIBERTAD),vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,6,7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,8,16
CHUMA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
CHUQUIHUTA AYLLU JUCUMANI,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
CKOCHAS,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,7,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,19
CLIZA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,15,10,2,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,17,15,32
COBIJA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,15,21,9,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,27,52
COCAPATA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,12,7,4,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,18,11,29
COCHABAMBA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,346,355,9,7,30,25,4,1,7,5,3,2,2,5,2,3,2,1,0,0,405,404,809
COLCAPIRHUA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,21,18,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,25,19,44
"COLCHA ""K""",vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
COLLANA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COLOMI,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,13,12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,12,27
COLPA BELGICA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,2,4
COLQUECHACA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,11,9,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,10,24
COLQUENCHA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,15
COLQUIRI,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,7,5,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,7,16
COMANCHE,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
COMARAPA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,16
COMBAYA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
CONCEPCION,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,14,19,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,41
CORIPATA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,6,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,17
CORO CORO,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
COROICO,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,8,17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,27
CORQUE,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,4,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,12
COTAGAITA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,8,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,21
COTOCA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,34,32,6,7,4,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,44,44,88
CUATRO CAÑADAS,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,7,6,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,8,18
CULPINA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,8,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,20
CURAHUARA DE CARANGAS,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
CURVA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
DESAGUADERO,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7
EL ALTO,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,415,406,129,152,22,16,4,5,6,10,1,1,6,9,1,4,5,5,1,3,590,611,1201
EL CHORO,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
EL PUENTE(STC),vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
EL PUENTE(TJA),vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,3,2,0,0,0,0,0,0,3,1,0,3,1,2,2,2,3,3,1,6,13,19,32
EL TORNO,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,25,19,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,26,21,47
EL VILLAR,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
ENTRE RIOS TRJ,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,16,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7,25
ENTRE RIOS CBBA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,36,30,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,39,32,71
ESCARA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
ESCOMA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
EUCALIPTUS,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
EUREKA (SANTOS MERCADO),vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,0,0,5,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,14
EXALTACION,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
FERNANDEZ ALONSO,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,0,2,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8
FILADELFIA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11
GAIOC JATUN AYLLU YURA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
GENERAL SAAVEDRA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,9,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,17
GIA-TIM,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
GRAL. J.J. PEREZ (CHARAZANI),vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,8,5,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,8,20
GUANAY,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,10,7,12,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,13,35
GUAQUI,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9
GUAYARAMERIN,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,27,18,1,1,3,3,1,1,1,1,0,0,2,0,0,0,0,0,0,0,35,24,59
GUTIERREZ,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9
HUACARAJE,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
HUACARETA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8
HUACHACALLA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
HUANUNI,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,4,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,18
HUARINA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
HUATAJATA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
HUAYLLAMARCA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
ICHOCA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
ICLA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
INCAHUASI,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,0,7,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,12
INGAVI (HUMAITA),vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
INQUISIVI,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,1,4,3,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,14
IRUPANA (VILLA DE LANZA),vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,9,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,8,17
IXIAMAS,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,0,4,0,7,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,14,15
JESUS DE MACHACA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,13
LA ASUNTA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,35,26,1,4,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,40,32,72
LA GUARDIA,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,28,26,1,2,1,2,1,0,1,0,0,0,0,0,1,0,2,0,1,0,36,30,66
LA PAZ,vacunacion en menores  de 5 anos,antipoliomelitica 3ra dosis,2024-01-01,336,335,12,14,8,15,1,0,6,9,0,0,0,3,0,0,2,3,0,0,365,379,744
