,group,variable,month,ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,TOTALES,TOTALES,TOTALES
CHIMORE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,2,0,1,1,3,1,4
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,0,0,1,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,1,0,0,0,1,0,1
COCAPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,0,1,0,0,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,15,22,1,2,16,24,40
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,2,0,0,0,2,0,2
COLOMI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,1,1,0,0,1,1,2
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,0,1,0,0,0,1,1
COMARAPA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,1,0,1,0,2,0,2
CORIPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,1,0,0,0,1,0,1
COROICO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,0,1,0,0,0,1,1
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,1,0,0,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,2,3,1,0,3,3,6
CUEVO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,0,1,0,0,0,1,1
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,1,0,0,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,14,9,6,8,20,17,37
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,1,0,0,0,1,0,1
EL TORNO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,1,3,0,0,1,3,4
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,0,0,1,1,1,1,2
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,5,4,1,0,6,4,10
GUANAY,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,1,0,0,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,1,3,0,1,1,4,5
HUANUNI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,0,0,0,1,0,1,1
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,1,0,0,0,1,0,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,0,0,0,1,0,1,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,1,0,0,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,0,2,0,0,0,2,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,12,9,0,0,12,9,21
LAJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,0,0,0,1,0,1,1
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,1,0,0,0,1,0,1
MINEROS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,2,0,0,1,2,1,3
MIZQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,1,0,0,2,1,2,3
MONTERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,1,2,2,0,3,2,5
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,0,0,1,0,1,0,1
OKINAWA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,1,0,0,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,14,5,0,0,14,5,19
PAILON,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,6,8,21,16,27,24,51
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,0,1,0,0,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,3,3,4,3,7,6,13
PUCARANI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,1,0,1,0,2,0,2
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,1,0,0,0,1,0,1
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,0,1,0,0,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,4,8,1,1,5,9,14
PUNATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,0,1,0,0,0,1,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,5,0,2,3,7,3,10
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,0,0,1,2,1,2,3
SACABA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,4,3,1,1,5,4,9
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,2,3,1,3,3,6,9
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,0,0,1,0,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,1,1,0,0,1,1,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,1,0,4,8,5,8,13
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,0,0,1,0,1,0,1
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,0,1,0,0,0,1,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,0,1,0,0,0,1,1
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,1,0,0,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,32,42,5,7,37,49,86
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,0,0,1,0,1,0,1
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,1,0,0,0,1,0,1
SENA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,3,1,0,0,3,1,4
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,1,1,1,0,2,1,3
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,0,2,0,0,0,2,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,3,3,2,1,5,4,9
SUCRE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,4,0,1,0,5,0,5
TAPACARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,1,1,2,0,3,1,4
TARACO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,0,1,0,0,0,1,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,3,3,2,0,5,3,8
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,0,0,1,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,0,0,2,0,2,0,2
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,0,1,0,0,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,1,4,0,0,1,4,5
TUPIZA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,0,0,1,0,1,0,1
VIACHA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,1,1,0,1,1,2,3
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,0,2,0,0,0,2,2
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,7,2,0,1,7,3,10
VINTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,0,1,2,1,2,2,4
WARNES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,4,6,0,1,4,7,11
YACO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,1,0,0,0,1,0,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,2,0,1,1,3,1,4
YAPACANI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,1,0,0,0,1,0,1
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,1,1,1,0,2,1,3
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,1,2,1,0,2,2,4
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,1,0,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,1,1,0,0,1,1,2
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,1,0,0,0,1,0,1
BATALLAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,1,0,0,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,0,0,1,0,1,1
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,1,0,2,0,3,3
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,1,0,0,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,0,1,1,1,1,2
COBIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,1,0,0,0,1,0,1
COCAPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,0,1,1,1,1,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,10,5,2,0,12,5,17
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,1,2,0,0,1,2,3
COLOMI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,1,0,0,0,1,0,1
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,2,0,0,0,2,2
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,1,0,0,0,1,1
CORIPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,1,0,0,0,1,1
COROICO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,1,0,0,1,1,1,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,1,0,0,0,1,1
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,2,0,0,0,2,2
CUEVO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,0,1,0,1,0,1
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,0,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,12,14,11,7,23,21,44
EL TORNO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,1,2,0,0,1,2,3
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,1,0,0,0,1,0,1
ESCOMA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,0,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,1,0,4,1,5,1,6
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,1,0,0,0,1,0,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,1,0,0,1,1,1,2
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,2,0,2,0,4,4
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,4,0,1,0,5,0,5
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,8,4,2,0,10,4,14
LAJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,1,0,1,0,2,0,2
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,0,0,1,0,1,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,1,0,0,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,3,0,3,0,6,0,6
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,0,1,0,1,0,1
OKINAWA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,1,0,1,0,2,0,2
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,5,4,0,0,5,4,9
PAILON,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,1,9,8,9,9,18
POOPO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,0,1,0,1,0,1
PORCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,1,0,0,0,1,0,1
PORVENIR,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,0,1,1,1,1,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,1,2,1,1,2,3,5
PUCARANI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,1,0,0,0,1,0,1
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,1,0,0,0,1,0,1
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,0,1,0,1,0,1
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,0,3,1,3,1,4
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,4,2,0,0,4,2,6
PUNA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,0,0,1,0,1,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,3,2,3,6,6,8,14
RAVELO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,1,0,0,0,1,1
REYES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,1,0,0,0,1,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,1,1,0,1,1,2,3
ROBORE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,0,1,0,1,0,1
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,0,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,1,1,2,2,3,3,6
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,1,0,0,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,2,0,1,0,3,3
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,2,2,0,2,2,4
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,1,4,3,4,4,8
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,1,0,8,6,9,6,15
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,1,0,0,1,1,1,2
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,1,0,0,0,1,1
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,24,17,3,3,27,20,47
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,1,0,0,0,1,1
SENA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,1,0,3,1,4,1,5
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,1,0,1,0,2,2
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,2,0,0,0,2,0,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,2,1,0,1,2,3
SUCRE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,1,0,0,0,1,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,2,3,0,0,2,3,5
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,1,0,0,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,7,0,0,0,7,7
TUPIZA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,0,1,0,1,0,1
UYUNI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,1,0,0,0,1,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,1,0,0,0,1,0,1
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,1,0,0,0,1,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,2,1,2,0,4,1,5
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,0,1,1,1,1,2
VINTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,0,0,2,1,2,1,3
WARNES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,5,5,0,0,5,5,10
YACUIBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,2,0,0,1,2,1,3
YAPACANI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-02-01,1,0,0,0,1,0,1
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-03-01,4,0,0,0,4,0,4
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-03-01,2,0,0,1,2,1,3
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-03-01,0,0,0,1,0,1,1
APOLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-03-01,0,0,1,0,1,0,1
ARANI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-03-01,0,1,0,0,0,1,1
ARBIETO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-03-01,0,1,0,0,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-03-01,1,2,1,0,2,2,4
BATALLAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-03-01,0,0,0,1,0,1,1
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-03-01,1,0,0,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-03-01,0,0,1,1,1,1,2
CAMIRI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-03-01,0,1,0,0,0,1,1
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-03-01,2,0,0,0,2,0,2
CARAPARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-03-01,0,1,1,0,1,1,2
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-03-01,1,1,2,1,3,2,5
CHIMORE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-03-01,1,2,0,0,1,2,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-03-01,1,0,0,0,1,0,1
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-03-01,0,1,0,0,0,1,1
CLIZA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-03-01,0,1,0,0,0,1,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-03-01,0,2,0,0,0,2,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-03-01,19,12,1,0,20,12,32
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-03-01,1,0,0,0,1,0,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-03-01,3,2,0,0,3,2,5
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-03-01,1,0,0,0,1,0,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-03-01,1,0,1,0,2,0,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-03-01,5,5,0,1,5,6,11
