,group,variable,month,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS FUERA,SRP 2DA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
AYO AYO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,8,2,0,3,8,5,13
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,4,3,8,1,12,4,16
AZURDUY,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,2,4,4,3,6,7,13
BATALLAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,8,10,0,1,8,11,19
BAURES,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,0,2,1,0,1,2,3
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,1,0,0,0,1,0,1
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,2,0,0,0,2,0,2
BERMEJO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,22,11,1,0,23,11,34
BETANZOS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,14,9,6,6,20,15,35
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,0,3,1,0,1,3,4
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,5,6,2,0,7,6,13
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,7,7,2,0,9,7,16
CABEZAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,8,7,2,7,10,14,24
CAIROMA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,3,4,0,0,3,4,7
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,7,4,6,1,13,5,18
CAJUATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,4,5,0,0,4,5,9
CALACOTO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,0,0,1,0,1,0,1
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,7,4,0,0,7,4,11
CAMARGO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,12,18,6,2,18,20,38
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,1,0,0,1,1,1,2
CAMIRI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,23,20,3,3,26,23,49
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,5,9,1,2,6,11,17
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,4,4,1,0,5,4,9
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,10,8,0,1,10,9,19
CARANAVI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,13,12,1,3,14,15,29
CARAPARI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,9,9,1,3,10,12,22
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,6,7,0,0,6,7,13
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,3,0,1,1,4,1,5
CATACORA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,0,0,1,1,1,1,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,22,21,14,4,36,25,61
CHAQUI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,4,5,3,1,7,6,13
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,7,3,8,5,15,8,23
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,2,0,0,1,2,1,3
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,7,8,2,1,9,9,18
CHIMORE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,12,11,3,3,15,14,29
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,1,0,1,0,2,0,2
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,2,2,0,0,2,2,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,3,4,0,0,3,4,7
CHUMA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,1,5,4,3,5,8,13
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,1,3,1,0,2,3,5
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,17,9,4,12,21,21,42
CLIZA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,14,9,2,2,16,11,27
COBIJA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,28,38,6,9,34,47,81
COCAPATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,3,5,6,5,9,10,19
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,353,320,27,44,380,364,744
COIPASA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,1,0,0,0,1,0,1
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,19,21,9,4,28,25,53
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,5,5,1,0,6,5,11
COLOMI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,12,15,2,5,14,20,34
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,2,0,1,1,3,1,4
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,15,8,5,8,20,16,36
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,5,6,0,0,5,6,11
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,4,4,6,4,10,8,18
COMARAPA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,12,17,0,2,12,19,31
COMBAYA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,0,0,2,0,2,0,2
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,13,7,4,0,17,7,24
COPACABANA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,1,1,3,3,4,4,8
CORIPATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,4,7,0,0,4,7,11
CORO CORO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,2,4,0,0,2,4,6
COROICO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,2,1,2,1,4,2,6
CORQUE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,0,2,1,0,1,2,3
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,15,7,0,3,15,10,25
COTOCA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,55,56,0,4,55,60,115
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,32,25,2,4,34,29,63
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,3,5,1,1,4,6,10
CUEVO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,1,1,0,1,1,2,3
CULPINA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,10,11,7,8,17,19,36
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,1,2,0,0,1,2,3
CURVA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,0,0,1,2,1,2,3
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,1,0,1,2,2,2,4
EL ALTO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,243,211,57,77,300,288,588
EL CHORO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,0,2,0,0,0,2,2
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,6,11,1,1,7,12,19
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,3,3,0,2,3,5,8
EL TORNO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,60,72,0,1,60,73,133
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,0,1,0,0,0,1,1
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,13,15,2,3,15,18,33
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,31,22,1,3,32,25,57
ESCOMA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,1,0,1,0,2,0,2
ESMERALDA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,0,1,1,0,1,1,2
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,7,5,1,0,8,5,13
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,1,1,2,2,3,3,6
EXALTACION,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,1,1,0,0,1,1,2
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,7,9,0,4,7,13,20
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,1,0,0,1,1,1,2
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,2,6,0,1,2,7,9
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,0,3,3,2,3,5,8
GUANAY,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,2,1,1,0,3,1,4
GUAQUI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,3,1,0,1,3,2,5
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,26,45,4,5,30,50,80
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,4,5,1,3,5,8,13
HUACARETA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,3,3,2,0,5,3,8
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,0,0,1,1,1,1,2
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,0,2,0,0,0,2,2
HUANUNI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,2,3,5,4,7,7,14
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,1,0,0,0,1,0,1
HUARINA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,2,2,0,0,2,2,4
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,2,2,1,1,3,3,6
HUMANATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,1,0,1,1,2,1,3
ICHOCA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,2,0,0,0,2,0,2
ICLA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,3,5,2,4,5,9,14
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,6,2,2,2,8,4,12
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,0,2,0,0,0,2,2
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,4,1,1,1,5,2,7
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,0,1,0,0,0,1,1
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,2,1,3,0,5,1,6
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,2,1,0,0,2,1,3
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,18,11,2,2,20,13,33
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,109,96,4,8,113,104,217
LA PAZ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,160,166,9,7,169,173,342
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,6,3,0,2,6,5,11
LAJA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,7,4,1,1,8,5,13
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,1,0,0,0,1,0,1
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,2,6,4,6,6,12,18
LLICA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,1,0,0,0,1,0,1
LORETO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,3,2,2,4,5,6,11
LURIBAY,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,6,2,0,0,6,2,8
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,2,1,0,1,2,2,4
MACHARETI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,3,2,4,6,7,8,15
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,2,0,1,2,3,2,5
MAIRANA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,9,9,0,0,9,9,18
MALLA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,0,0,0,2,0,2,2
MAPIRI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,2,2,0,0,2,2,4
MECAPACA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,6,12,2,2,8,14,22
MINEROS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,15,6,1,2,16,8,24
MIZQUE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,16,9,7,7,23,16,39
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,4,4,1,1,5,5,10
MOJINETE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,0,1,1,0,1,1,2
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,1,3,0,0,1,3,4
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,13,16,0,1,13,17,30
MONTERO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,59,44,5,4,64,48,112
MORO MORO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,0,2,0,0,0,2,2
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,3,1,2,2,5,3,8
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,0,1,0,1,0,2,2
NAZACARA DE PACAJES,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,2,1,0,0,2,1,3
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,0,0,1,0,1,0,1
OCURI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,7,5,6,7,13,12,25
OKINAWA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,5,5,1,0,6,5,11
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,2,2,2,1,4,3,7
ORURO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,161,162,2,0,163,162,325
PADCAYA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,17,16,0,0,17,16,33
PADILLA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,5,3,0,0,5,3,8
PAILON,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,13,20,11,10,24,30,54
PALCA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,7,6,4,5,11,11,22
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,12,11,6,1,18,12,30
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,4,1,0,0,4,1,5
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,1,0,2,1,3,1,4
PASORAPA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,1,0,2,0,3,0,3
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,9,6,2,4,11,10,21
PAZÑA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,0,0,1,0,1,0,1
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,3,0,0,1,3,1,4
POCOATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,2,1,4,4,6,5,11
POCONA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,0,3,5,4,5,7,12
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,9,8,0,1,9,9,18
POOPO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,3,2,1,1,4,3,7
PORCO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,10,10,0,0,10,10,20
POROMA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,5,3,3,1,8,4,12
PORONGO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,4,3,0,0,4,3,7
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,18,26,5,1,23,27,50
PORVENIR,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,0,2,0,1,0,3,3
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,0,3,0,0,0,3,3
POTOSI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,179,153,20,11,199,164,363
PRESTO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,2,1,9,2,11,3,14
PUCARA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,1,1,0,1,1,2,3
PUCARANI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,13,18,2,5,15,23,38
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,5,4,3,3,8,7,15
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,5,4,2,2,7,6,13
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,4,1,3,0,7,1,8
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,0,2,3,0,3,2,5
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,18,9,1,0,19,9,28
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,2,4,0,0,2,4,6
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,0,0,0,1,0,1,1
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,0,2,4,6,4,8,12
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,33,41,4,7,37,48,85
PUNA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,5,2,8,5,13,7,20
PUNATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,12,8,8,12,20,20,40
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,0,0,2,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,43,36,85,82,128,118,246
QUIME,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,7,5,1,0,8,5,13
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,0,1,0,0,0,1,1
RAQAYPAMPA(ETA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,1,2,2,4,3,6,9
RAVELO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,7,1,4,0,11,1,12
REYES,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,5,11,9,3,14,14,28
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,85,81,4,6,89,87,176
ROBORE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,28,24,0,0,28,24,52
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,9,14,3,2,12,16,28
SABAYA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,1,3,0,0,1,3,4
SACABA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,91,88,20,15,111,103,214
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,4,2,1,1,5,3,8
SACACA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,8,5,8,7,16,12,28
SAIPINA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,3,6,1,2,4,8,12
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,6,8,0,1,6,9,15
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,3,2,1,1,4,3,7
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,0,1,0,0,0,1,1
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,1,2,0,0,1,2,3
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,2,4,0,2,2,6,8
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,4,6,2,3,6,9,15
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,24,21,8,10,32,31,63
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,0,0,2,2,2,2,4
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,10,13,1,1,11,14,25
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,10,19,14,6,24,25,49
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,43,36,11,11,54,47,101
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,1,1,0,0,1,1,2
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,10,8,0,0,10,8,18
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,3,1,0,0,3,1,4
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,39,37,9,10,48,47,95
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,1,2,1,1,2,3,5
