,group,variable,month,INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
CHAQUI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,0,0,0,1,0,1,1
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,12,9,3,11,15,20,35
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,2,2,0,0,2,2,4
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,2,1,0,0,2,1,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,5,3,5,8,10,11,21
CHUMA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,0,1,3,3,3,4,7
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,0,0,10,10,10,10,20
COBIJA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,22,14,10,10,32,24,56
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,62,68,3,9,65,77,142
COIPASA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,2,0,0,0,2,0,2
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,0,1,0,0,0,1,1
COMANCHE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,0,3,0,0,0,3,3
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,16,20,8,5,24,25,49
COPACABANA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,1,0,0,0,1,0,1
CORO CORO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,0,2,0,0,0,2,2
COROICO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,12,11,0,0,12,11,23
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,2,3,0,1,2,4,6
EL ALTO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,79,72,21,28,100,100,200
ESCOMA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,0,0,0,1,0,1,1
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,1,1,1,1,2,2,4
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,1,1,1,1,2,2,4
GUAQUI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,1,2,0,0,1,2,3
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,3,1,0,0,3,1,4
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,0,2,0,1,0,3,3
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,3,2,0,0,3,2,5
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,0,0,5,6,5,6,11
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,2,1,0,0,2,1,3
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,6,4,1,0,7,4,11
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,1,5,0,0,1,5,6
LA PAZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,54,53,48,66,102,119,221
LLICA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,1,1,0,0,1,1,2
MACHARETI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,1,0,0,0,1,0,1
MAPIRI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,6,1,0,1,6,2,8
MECAPACA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,1,1,0,0,1,1,2
MINEROS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,6,5,0,0,6,5,11
MOJINETE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,0,0,1,1,1,1,2
MONTERO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,35,29,5,3,40,32,72
OCURI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,1,0,0,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,73,69,2,1,75,70,145
PADCAYA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,0,1,0,0,0,1,1
PALCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,1,1,1,1,2,2,4
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,6,4,3,1,9,5,14
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,2,0,0,0,2,0,2
PAZÑA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,5,0,1,1,6,1,7
POCOATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,6,5,0,0,6,5,11
POOPO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,1,4,1,0,2,4,6
POROMA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,0,4,1,0,1,4,5
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,1,0,0,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,16,16,0,0,16,16,32
PUCARANI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,0,1,3,1,3,2,5
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,1,1,0,0,1,1,2
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,3,3,1,2,4,5,9
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,12,14,1,2,13,16,29
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,1,3,3,3,4,6,10
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,0,0,3,2,3,2,5
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,5,9,12,12,17,21,38
PUNA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,1,0,2,4,3,4,7
RAVELO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,2,0,0,1,2,1,3
REYES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,1,2,1,1,2,3,5
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,32,27,11,7,43,34,77
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,10,9,0,0,10,9,19
SABAYA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,1,2,0,0,1,2,3
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,0,1,0,0,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,5,8,5,10,10,18,28
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,0,0,1,0,1,0,1
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,4,5,1,3,5,8,13
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,0,1,0,0,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,15,9,8,12,23,21,44
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,2,0,0,0,2,0,2
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,2,1,3,0,5,1,6
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,12,3,0,0,12,3,15
SAN PEDRO DE MACHA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,4,1,0,0,4,1,5
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,0,1,8,2,8,3,11
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,10,4,0,0,10,4,14
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,74,84,0,0,74,84,158
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,8,4,0,0,8,4,12
SENA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,4,2,0,1,4,3,7
SORACACHI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,1,1,3,1,4,2,6
SUCRE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,6,11,0,0,6,11,17
TARIJA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,25,22,1,2,26,24,50
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,0,1,2,7,2,8,10
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,0,1,2,0,2,1,3
TOLEDO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,2,8,0,0,2,8,10
TRIGAL,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,0,0,0,2,0,2,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,56,77,2,1,58,78,136
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,8,4,2,0,10,4,14
UYUNI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,6,2,6,4,12,6,18
VIACHA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,3,5,0,4,3,9,12
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,9,3,0,0,9,3,12
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,1,2,0,0,1,2,3
VILLAZON,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,1,0,0,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,25,36,0,1,25,37,62
YACUIBA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,8,14,0,0,8,14,22
YANACACHI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,1,0,1,1,2,1,3
YAPACANI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,8,7,13,8,21,15,36
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-02-01,0,0,1,1,1,1,2
LLICA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-02-01,0,1,0,0,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-02-01,1,0,0,0,1,0,1
OCURI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-02-01,0,1,0,0,0,1,1
POCOATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-02-01,0,1,1,0,1,1,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-02-01,9,4,0,0,9,4,13
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-02-01,2,1,0,0,2,1,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-02-01,1,0,0,2,1,2,3
TARIJA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-02-01,2,1,0,0,2,1,3
TUPIZA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-02-01,0,2,0,0,0,2,2
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-02-01,1,1,0,0,1,1,2
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-02-01,0,2,0,0,0,2,2
VILLAZON,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-02-01,0,1,0,0,0,1,1
WARNES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-02-01,8,3,0,0,8,3,11
LLICA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-03-01,0,1,0,0,0,1,1
OCURI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-03-01,2,0,0,0,2,0,2
ORURO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-03-01,5,5,0,0,5,5,10
POTOSI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-03-01,5,7,0,0,5,7,12
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-03-01,2,1,0,0,2,1,3
SUCRE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-03-01,1,2,0,0,1,2,3
TUPIZA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-03-01,1,0,0,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-04-01,10,4,0,0,10,4,14
LA PAZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-04-01,1,0,0,0,1,0,1
OCURI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-04-01,1,0,0,0,1,0,1
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-04-01,1,5,0,0,1,5,6
ACACIO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,0,1,0,0,0,1,1
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,28,20,16,10,44,30,74
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,33,42,0,0,33,42,75
AIQUILE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,16,23,30,23,46,46,92
ALALAY,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,0,0,3,2,3,2,5
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,12,23,0,0,12,23,35
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,2,1,5,0,7,1,8
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,6,4,1,0,7,4,11
ANZALDO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,2,1,1,3,3,4,7
APOLO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,7,8,11,19,18,27,45
ARANI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,13,14,3,3,16,17,33
ARBIETO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,28,28,14,17,42,45,87
ARQUE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,15,17,4,7,19,24,43
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,6,9,0,0,6,9,15
ATOCHA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,3,6,0,2,3,8,11
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,13,18,0,1,13,19,32
AYATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,8,4,7,4,15,8,23
AYO AYO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,8,6,5,8,13,14,27
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,24,21,44,54,68,75,143
BATALLAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,31,17,6,3,37,20,57
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,0,0,3,7,3,7,10
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,0,0,1,2,1,2,3
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,0,1,8,7,8,8,16
BERMEJO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,72,53,25,35,97,88,185
BETANZOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,9,11,3,1,12,12,24
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,0,4,1,1,1,5,6
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,0,1,0,1,0,2,2
CAIROMA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,12,10,8,11,20,21,41
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,7,9,0,0,7,9,16
CAJUATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,17,17,0,1,17,18,35
CALACOTO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,2,3,2,5,4,8,12
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,10,21,0,1,10,22,32
CAMARGO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,7,14,2,4,9,18,27
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,3,2,1,0,4,2,6
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,23,25,4,0,27,25,52
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,1,0,1,0,2,0,2
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,20,23,1,4,21,27,48
CARAPARI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,21,14,26,24,47,38,85
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,3,3,7,16,10,19,29
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,3,6,0,1,3,7,10
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,3,1,0,0,3,1,4
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,29,21,9,11,38,32,70
CHAQUI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,9,9,12,3,21,12,33
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,3,3,0,0,3,3,6
CHIMORE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,37,49,8,3,45,52,97
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,0,0,3,1,3,1,4
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,0,2,2,4,2,6,8
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,6,6,0,0,6,6,12
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,5,9,2,2,7,11,18
CHUMA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,14,10,4,6,18,16,34
CLIZA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,35,30,16,9,51,39,90
COBIJA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,49,54,40,46,89,100,189
COCAPATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,16,11,8,15,24,26,50
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,627,624,35,33,662,657,1319
COIPASA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,2,3,0,0,2,3,5
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,19,14,4,3,23,17,40
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,12,21,3,2,15,23,38
COLLANA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,2,2,0,0,2,2,4
COLOMI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,40,36,4,2,44,38,82
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,8,13,3,1,11,14,25
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,26,24,0,0,26,24,50
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,21,13,15,13,36,26,62
COMANCHE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,1,1,0,0,1,1,2
COMBAYA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,0,0,5,2,5,2,7
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,8,14,3,5,11,19,30
COPACABANA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,5,2,8,10,13,12,25
CORIPATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,19,9,0,0,19,9,28
CORO CORO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,7,2,3,2,10,4,14
COROICO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,3,9,4,6,7,15,22
CORQUE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,15,8,2,2,17,10,27
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,13,15,0,0,13,15,28
COTOCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,52,38,1,3,53,41,94
CRUZ DE MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,0,1,1,0,1,1,2
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,38,21,2,3,40,24,64
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,3,6,3,2,6,8,14
CULPINA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,33,29,1,1,34,30,64
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,3,0,2,1,5,1,6
CURVA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,2,3,2,5,4,8,12
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,7,13,0,0,7,13,20
EL ALTO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,622,615,446,382,1068,997,2065
EL CHORO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-05-01,4,3,2,2,6,5,11
