,group,variable,month,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS FUERA,SRP 1RA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,1,5,1,0,2,5,7
AYATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,3,0,4,3,7,3,10
AYO AYO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,6,9,1,0,7,9,16
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,11,13,4,5,15,18,33
AZURDUY,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,2,7,2,3,4,10,14
BATALLAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,13,6,4,5,17,11,28
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,0,0,1,2,1,2,3
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,0,0,0,1,0,1,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,24,17,0,2,24,19,43
BETANZOS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,16,11,6,16,22,27,49
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,1,0,2,2,3,2,5
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,0,0,0,1,0,1,1
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,3,4,3,2,6,6,12
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,6,11,8,5,14,16,30
CABEZAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,15,16,22,23,37,39,76
CAIROMA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,8,5,0,0,8,5,13
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,4,3,4,5,8,8,16
CAJUATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,12,11,0,0,12,11,23
CALACOTO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,0,1,2,3,2,4,6
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,6,7,3,4,9,11,20
CAMARGO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,11,5,2,3,13,8,21
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,5,1,0,0,5,1,6
CAMIRI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,26,26,0,4,26,30,56
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,9,11,0,1,9,12,21
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,5,4,0,0,5,4,9
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,7,4,0,2,7,6,13
CARANAVI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,39,26,3,1,42,27,69
CARAPARI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,5,2,9,10,14,12,26
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,3,5,2,4,5,9,14
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,1,2,5,5,6,7,13
CATACORA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,0,3,0,1,0,4,4
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,11,15,4,4,15,19,34
CHAQUI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,4,2,1,2,5,4,9
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,14,8,6,4,20,12,32
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,0,1,1,1,1,2,3
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,10,3,1,4,11,7,18
CHIMORE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,20,20,9,7,29,27,56
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,1,1,0,0,1,1,2
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,2,1,0,0,2,1,3
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,2,1,1,2,3,3,6
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,8,7,1,4,9,11,20
CHUMA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,6,2,5,1,11,3,14
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,0,1,3,1,3,2,5
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,3,3,3,1,6,4,10
CLIZA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,1,4,4,4,5,8,13
COBIJA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,21,17,22,22,43,39,82
COCAPATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,6,5,8,11,14,16,30
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,526,530,24,24,550,554,1104
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,37,35,0,4,37,39,76
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,8,7,1,2,9,9,18
COLLANA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,0,1,1,1,1,2,3
COLOMI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,7,10,4,4,11,14,25
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,2,1,4,3,6,4,10
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,8,6,11,11,19,17,36
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,13,5,4,4,17,9,26
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,4,5,7,4,11,9,20
COMANCHE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,0,2,0,0,0,2,2
COMARAPA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,13,8,2,3,15,11,26
COMBAYA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,0,0,2,1,2,1,3
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,14,17,13,9,27,26,53
COPACABANA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,4,1,6,6,10,7,17
CORIPATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,9,13,3,4,12,17,29
CORO CORO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,2,2,2,4,4,6,10
COROICO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,11,8,3,0,14,8,22
CORQUE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,5,3,0,0,5,3,8
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,8,11,0,1,8,12,20
COTOCA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,48,43,8,9,56,52,108
CRUZ DE MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,0,1,0,0,0,1,1
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,16,12,1,0,17,12,29
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,0,0,4,2,4,2,6
CUEVO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,1,1,1,0,2,1,3
CULPINA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,4,1,6,8,10,9,19
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,1,0,0,0,1,0,1
CURVA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,0,0,0,2,0,2,2
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,2,1,1,1,3,2,5
EL ALTO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,373,398,136,132,509,530,1039
EL CHORO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,2,2,0,2,2,4,6
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,6,9,0,0,6,9,15
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,1,1,2,3,3,4,7
EL TORNO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,41,48,2,1,43,49,92
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,3,1,1,1,4,2,6
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,15,7,6,7,21,14,35
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,36,41,1,0,37,41,78
ESCOMA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,0,0,4,0,4,0,4
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,0,1,1,1,1,2,3
EXALTACION,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,1,1,0,0,1,1,2
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,1,0,5,10,6,10,16
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,0,1,5,8,5,9,14
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,13,15,2,3,15,18,33
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,4,4,3,1,7,5,12
GUANAY,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,2,7,4,6,6,13,19
GUAQUI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,1,2,0,0,1,2,3
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,37,36,17,16,54,52,106
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,6,6,0,3,6,9,15
HUACARETA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,1,5,0,3,1,8,9
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,0,0,1,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,6,13,8,7,14,20,34
HUARINA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,5,3,1,2,6,5,11
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,4,3,0,0,4,3,7
HUMANATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,1,0,0,7,1,7,8
ICHOCA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,3,1,1,1,4,2,6
ICLA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,1,4,0,0,1,4,5
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,1,1,1,3,2,4,6
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,6,3,3,4,9,7,16
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,6,3,4,2,10,5,15
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,3,4,3,1,6,5,11
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,9,7,2,5,11,12,23
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,21,29,4,6,25,35,60
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,83,86,2,7,85,93,178
LA PAZ,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,314,359,9,9,323,368,691
LA RIVERA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,0,2,0,0,0,2,2
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,2,0,2,1,4,1,5
LAJA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,4,7,0,0,4,7,11
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,0,1,0,0,0,1,1
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,7,9,9,13,16,22,38
LLICA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,2,2,0,0,2,2,4
LORETO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,4,6,2,1,6,7,13
LURIBAY,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,8,1,1,1,9,2,11
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,1,2,1,0,2,2,4
MACHARETI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,2,2,4,4,6,6,12
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,6,5,5,8,11,13,24
MAIRANA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,14,10,0,0,14,10,24
MALLA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,2,0,3,2,5,2,7
MAPIRI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,3,2,0,0,3,2,5
MECAPACA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,11,6,0,1,11,7,18
MINEROS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,18,14,1,0,19,14,33
MIZQUE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,13,8,3,8,16,16,32
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,0,1,5,6,5,7,12
MOJINETE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,2,0,0,0,2,0,2
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,2,5,0,0,2,5,7
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,15,14,1,0,16,14,30
MONTERO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,78,74,2,2,80,76,156
MORO MORO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,1,1,0,0,1,1,2
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,3,3,0,0,3,3,6
NAZACARA DE PACAJES,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,0,2,0,0,0,2,2
OCURI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,8,5,1,8,9,13,22
OKINAWA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,1,3,4,4,5,7,12
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,0,1,11,9,11,10,21
ORURO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,213,202,1,1,214,203,417
PADCAYA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,7,7,0,2,7,9,16
PADILLA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,5,0,0,0,5,0,5
PAILON,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,20,25,17,25,37,50,87
PALCA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,14,7,15,4,29,11,40
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,9,15,10,8,19,23,42
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,1,1,0,0,1,1,2
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,2,1,0,0,2,1,3
PASORAPA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,0,0,3,4,3,4,7
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,14,10,5,3,19,13,32
PAZÑA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,4,2,0,1,4,3,7
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,8,4,0,0,8,4,12
POCOATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,3,5,13,13,16,18,34
POCONA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,2,1,11,6,13,7,20
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,5,10,0,0,5,10,15
POOPO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,2,1,0,1,2,2,4
PORCO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,6,1,6,5,12,6,18
POROMA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,5,6,7,3,12,9,21
PORONGO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,3,1,8,9,11,10,21
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,11,15,6,3,17,18,35
PORVENIR,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,0,1,1,1,1,2,3
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,1,1,0,0,1,1,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,162,173,25,8,187,181,368
PRESTO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,3,2,1,1,4,3,7
PUCARA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,1,0,0,0,1,0,1
PUCARANI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,10,13,10,9,20,22,42
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,6,5,0,2,6,7,13
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,9,6,6,3,15,9,24
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,2,3,2,2,4,5,9
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,1,0,2,0,3,0,3
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,12,7,3,7,15,14,29
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,3,3,6,3,9,6,15
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,0,0,4,0,4,0,4
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,4,11,5,6,9,17,26
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,36,38,5,7,41,45,86
PUNA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,1,5,6,14,7,19,26
PUNATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,23,17,15,8,38,25,63
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,1,0,4,1,5,1,6
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,56,41,85,99,141,140,281
QUIME,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,4,1,1,4,5,5,10
RAQAYPAMPA(ETA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,2,1,5,4,7,5,12
RAVELO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,9,2,7,4,16,6,22
REYES,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,6,2,10,17,16,19,35
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,55,45,41,49,96,94,190
ROBORE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,6,5,0,0,6,5,11
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,5,9,12,6,17,15,32
SABAYA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,2,2,0,1,2,3,5
SACABA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,93,99,13,15,106,114,220
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,1,1,2,1,3,2,5
SACACA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,9,5,7,8,16,13,29
SAIPINA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,3,1,5,1,8,2,10
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,7,8,3,1,10,9,19
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,8,10,2,1,10,11,21
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,0,1,0,0,0,1,1
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,3,2,5,3,8,5,13
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,2,6,1,2,3,8,11
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,40,46,9,12,49,58,107
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,1,4,5,1,6,5,11
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,5,7,13,5,18,12,30
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,9,8,12,9,21,17,38
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,54,53,11,17,65,70,135
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,15,24,0,0,15,24,39
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,8,4,0,0,8,4,12
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,12,8,17,18,29,26,55
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,3,3,0,0,3,3,6
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,32,39,10,9,42,48,90
