municipality,group,variable,month,Otras actividades,TOTAL
MAGDALENA,otras actividades de enfermeria,otras actividades,2023-01-01,95,95
MAIRANA,otras actividades de enfermeria,otras actividades,2023-01-01,1880,1880
MALLA,otras actividades de enfermeria,otras actividades,2023-01-01,3,3
MAPIRI,otras actividades de enfermeria,otras actividades,2023-01-01,16,16
MECAPACA,otras actividades de enfermeria,otras actividades,2023-01-01,2,2
MINEROS,otras actividades de enfermeria,otras actividades,2023-01-01,769,769
MIZQUE,otras actividades de enfermeria,otras actividades,2023-01-01,9700,9700
MOCOMOCO,otras actividades de enfermeria,otras actividades,2023-01-01,173,173
MOJOCOYA,otras actividades de enfermeria,otras actividades,2023-01-01,206,206
MONTEAGUDO,otras actividades de enfermeria,otras actividades,2023-01-01,30637,30637
MONTERO,otras actividades de enfermeria,otras actividades,2023-01-01,151149,151149
MORO MORO,otras actividades de enfermeria,otras actividades,2023-01-01,10,10
NACEBE (SANTA ROSA DEL ABUNA),otras actividades de enfermeria,otras actividades,2023-01-01,5,5
NAZACARA DE PACAJES,otras actividades de enfermeria,otras actividades,2023-01-01,4,4
OCURI,otras actividades de enfermeria,otras actividades,2023-01-01,5,5
OKINAWA,otras actividades de enfermeria,otras actividades,2023-01-01,321,321
OMEREQUE,otras actividades de enfermeria,otras actividades,2023-01-01,23,23
ORURO,otras actividades de enfermeria,otras actividades,2023-01-01,166947,166947
PADCAYA,otras actividades de enfermeria,otras actividades,2023-01-01,129,129
PADILLA,otras actividades de enfermeria,otras actividades,2023-01-01,4900,4900
PAILON,otras actividades de enfermeria,otras actividades,2023-01-01,2605,2605
PALCA,otras actividades de enfermeria,otras actividades,2023-01-01,117,117
PALOS BLANCOS,otras actividades de enfermeria,otras actividades,2023-01-01,565,565
PAMPA AULLAGAS,otras actividades de enfermeria,otras actividades,2023-01-01,114,114
PAMPA GRANDE,otras actividades de enfermeria,otras actividades,2023-01-01,81,81
PAPEL PAMPA,otras actividades de enfermeria,otras actividades,2023-01-01,152,152
PATACAMAYA,otras actividades de enfermeria,otras actividades,2023-01-01,146,146
PAZÑA,otras actividades de enfermeria,otras actividades,2023-01-01,430,430
PELECHUCO,otras actividades de enfermeria,otras actividades,2023-01-01,48,48
POCOATA,otras actividades de enfermeria,otras actividades,2023-01-01,5,5
POCONA,otras actividades de enfermeria,otras actividades,2023-01-01,136,136
POJO (CBBA),otras actividades de enfermeria,otras actividades,2023-01-01,11,11
POOPO,otras actividades de enfermeria,otras actividades,2023-01-01,60,60
POROMA,otras actividades de enfermeria,otras actividades,2023-01-01,392,392
PORONGO,otras actividades de enfermeria,otras actividades,2023-01-01,175,175
PORTACHUELO,otras actividades de enfermeria,otras actividades,2023-01-01,970,970
PORVENIR,otras actividades de enfermeria,otras actividades,2023-01-01,66,66
POSTRER VALLE,otras actividades de enfermeria,otras actividades,2023-01-01,4,4
POTOSI,otras actividades de enfermeria,otras actividades,2023-01-01,91818,91818
PRESTO,otras actividades de enfermeria,otras actividades,2023-01-01,1416,1416
PUCARA,otras actividades de enfermeria,otras actividades,2023-01-01,1,1
PUCARANI,otras actividades de enfermeria,otras actividades,2023-01-01,31,31
PUERTO ACOSTA,otras actividades de enfermeria,otras actividades,2023-01-01,117,117
PUERTO CARABUCO,otras actividades de enfermeria,otras actividades,2023-01-01,59,59
PUERTO GONZALO MORENO,otras actividades de enfermeria,otras actividades,2023-01-01,32,32
PUERTO PEREZ,otras actividades de enfermeria,otras actividades,2023-01-01,34,34
PUERTO QUIJARRO,otras actividades de enfermeria,otras actividades,2023-01-01,232,232
PUERTO RICO,otras actividades de enfermeria,otras actividades,2023-01-01,3,3
PUERTO SUAREZ,otras actividades de enfermeria,otras actividades,2023-01-01,71,71
PUERTO VILLARROEL,otras actividades de enfermeria,otras actividades,2023-01-01,15884,15884
PUNA,otras actividades de enfermeria,otras actividades,2023-01-01,621,621
PUNATA,otras actividades de enfermeria,otras actividades,2023-01-01,70898,70898
QUIABAYA,otras actividades de enfermeria,otras actividades,2023-01-01,6,6
QUILLACOLLO,otras actividades de enfermeria,otras actividades,2023-01-01,6068,6068
QUIME,otras actividades de enfermeria,otras actividades,2023-01-01,2,2
QUIRUSILLAS,otras actividades de enfermeria,otras actividades,2023-01-01,65,65
RAQAYPAMPA(ETA),otras actividades de enfermeria,otras actividades,2023-01-01,2,2
RAVELO,otras actividades de enfermeria,otras actividades,2023-01-01,9,9
REYES,otras actividades de enfermeria,otras actividades,2023-01-01,1042,1042
RIBERALTA,otras actividades de enfermeria,otras actividades,2023-01-01,19983,19983
ROBORE,otras actividades de enfermeria,otras actividades,2023-01-01,12545,12545
RURRENABAQUE,otras actividades de enfermeria,otras actividades,2023-01-01,819,819
SABAYA,otras actividades de enfermeria,otras actividades,2023-01-01,3,3
SACABA,otras actividades de enfermeria,otras actividades,2023-01-01,13994,13994
SACABAMBA,otras actividades de enfermeria,otras actividades,2023-01-01,11,11
SACACA,otras actividades de enfermeria,otras actividades,2023-01-01,7,7
SAIPINA,otras actividades de enfermeria,otras actividades,2023-01-01,25,25
SALINAS DE GARCI MENDOZA,otras actividades de enfermeria,otras actividades,2023-01-01,1468,1468
SAMAIPATA,otras actividades de enfermeria,otras actividades,2023-01-01,77,77
SAN ANDRES,otras actividades de enfermeria,otras actividades,2023-01-01,1454,1454
SAN ANDRES DE MACHACA,otras actividades de enfermeria,otras actividades,2023-01-01,3,3
SAN ANTONIO DE LOMERIO,otras actividades de enfermeria,otras actividades,2023-01-01,40,40
SAN BORJA,otras actividades de enfermeria,otras actividades,2023-01-01,3851,3851
SAN BUENA VENTURA,otras actividades de enfermeria,otras actividades,2023-01-01,1274,1274
SAN CARLOS,otras actividades de enfermeria,otras actividades,2023-01-01,2839,2839
SAN IGNACIO,otras actividades de enfermeria,otras actividades,2023-01-01,7655,7655
SAN IGNACIO DE VELASCO,otras actividades de enfermeria,otras actividades,2023-01-01,42612,42612
SAN JAVIER(BNI),otras actividades de enfermeria,otras actividades,2023-01-01,131,131
SAN JAVIER(STC),otras actividades de enfermeria,otras actividades,2023-01-01,151,151
SAN JOAQUIN,otras actividades de enfermeria,otras actividades,2023-01-01,1399,1399
SAN JOSE DE CHIQUITOS,otras actividades de enfermeria,otras actividades,2023-01-01,71,71
SAN JUAN DE YAPACANI,otras actividades de enfermeria,otras actividades,2023-01-01,46,46
SAN JULIAN,otras actividades de enfermeria,otras actividades,2023-01-01,477,477
SAN LORENZO(PND),otras actividades de enfermeria,otras actividades,2023-01-01,5,5
SAN LORENZO(TJA),otras actividades de enfermeria,otras actividades,2023-01-01,55,55
SAN LUCAS,otras actividades de enfermeria,otras actividades,2023-01-01,4354,4354
SAN MATIAS,otras actividades de enfermeria,otras actividades,2023-01-01,767,767
SAN MIGUEL DE VELASCO,otras actividades de enfermeria,otras actividades,2023-01-01,461,461
SAN PABLO DE LIPEZ,otras actividades de enfermeria,otras actividades,2023-01-01,18,18
SAN PEDRO,otras actividades de enfermeria,otras actividades,2023-01-01,1243,1243
SAN PEDRO DE BUENA VISTA,otras actividades de enfermeria,otras actividades,2023-01-01,67,67
SAN PEDRO DE CURAHUARA,otras actividades de enfermeria,otras actividades,2023-01-01,1,1
SAN PEDRO DE MACHA,otras actividades de enfermeria,otras actividades,2023-01-01,9,9
SAN PEDRO DE TIQUINA,otras actividades de enfermeria,otras actividades,2023-01-01,5,5
SAN RAFAEL,otras actividades de enfermeria,otras actividades,2023-01-01,136,136
SAN RAMON BENI,otras actividades de enfermeria,otras actividades,2023-01-01,280,280
SAN RAMON SCZ,otras actividades de enfermeria,otras actividades,2023-01-01,190,190
SANTA ANA,otras actividades de enfermeria,otras actividades,2023-01-01,10348,10348
SANTA CRUZ DE LA SIERRA,otras actividades de enfermeria,otras actividades,2023-01-01,1603354,1603354
SANTA ROSA,otras actividades de enfermeria,otras actividades,2023-01-01,644,644
SANTA ROSA DEL SARA,otras actividades de enfermeria,otras actividades,2023-01-01,144,144
SANTIAGO DE CALLAPA,otras actividades de enfermeria,otras actividades,2023-01-01,1,1
SANTIAGO DE HUARI,otras actividades de enfermeria,otras actividades,2023-01-01,4,4
SANTIAGO DE HUATA,otras actividades de enfermeria,otras actividades,2023-01-01,3,3
SANTIAGO DE MACHACA,otras actividades de enfermeria,otras actividades,2023-01-01,2,2
SANTIVAÑES,otras actividades de enfermeria,otras actividades,2023-01-01,2,2
SANTUARIO DE QUILLACAS,otras actividades de enfermeria,otras actividades,2023-01-01,163,163
SAPAHAQUI,otras actividades de enfermeria,otras actividades,2023-01-01,19,19
SENA,otras actividades de enfermeria,otras actividades,2023-01-01,283,283
SHINAOTA,otras actividades de enfermeria,otras actividades,2023-01-01,638,638
SICA SICA (VILLA AROMA),otras actividades de enfermeria,otras actividades,2023-01-01,117,117
SIPE SIPE,otras actividades de enfermeria,otras actividades,2023-01-01,302,302
SOPACHUY,otras actividades de enfermeria,otras actividades,2023-01-01,252,252
SORACACHI,otras actividades de enfermeria,otras actividades,2023-01-01,56,56
SORATA,otras actividades de enfermeria,otras actividades,2023-01-01,793,793
SUCRE,otras actividades de enfermeria,otras actividades,2023-01-01,280577,280577
TACACOMA,otras actividades de enfermeria,otras actividades,2023-01-01,2,2
TACOPAYA,otras actividades de enfermeria,otras actividades,2023-01-01,20,20
TAHUA,otras actividades de enfermeria,otras actividades,2023-01-01,4,4
TAPACARI,otras actividades de enfermeria,otras actividades,2023-01-01,144,144
TARABUCO,otras actividades de enfermeria,otras actividades,2023-01-01,2013,2013
TARACO,otras actividades de enfermeria,otras actividades,2023-01-01,13,13
TARATA,otras actividades de enfermeria,otras actividades,2023-01-01,257,257
TARIJA,otras actividades de enfermeria,otras actividades,2023-01-01,677661,677661
TARVITA,otras actividades de enfermeria,otras actividades,2023-01-01,816,816
TEOPONTE,otras actividades de enfermeria,otras actividades,2023-01-01,174,174
TIAHUANACU,otras actividades de enfermeria,otras actividades,2023-01-01,114,114
TINGUIPAYA,otras actividades de enfermeria,otras actividades,2023-01-01,7,7
TIPUANI,otras actividades de enfermeria,otras actividades,2023-01-01,47,47
TIQUIPAYA,otras actividades de enfermeria,otras actividades,2023-01-01,106,106
TIRAQUE (CBBA),otras actividades de enfermeria,otras actividades,2023-01-01,93,93
TITO YUPANQUI (PARQUIPUJIO),otras actividades de enfermeria,otras actividades,2023-01-01,127,127
TOCO,otras actividades de enfermeria,otras actividades,2023-01-01,25,25
TOLATA,otras actividades de enfermeria,otras actividades,2023-01-01,14,14
TOLEDO,otras actividades de enfermeria,otras actividades,2023-01-01,164,164
TOMAVE,otras actividades de enfermeria,otras actividades,2023-01-01,3,3
TOMINA,otras actividades de enfermeria,otras actividades,2023-01-01,2521,2521
TORO TORO,otras actividades de enfermeria,otras actividades,2023-01-01,64,64
TOTORA(CBBA),otras actividades de enfermeria,otras actividades,2023-01-01,1392,1392
TOTORA(ORR),otras actividades de enfermeria,otras actividades,2023-01-01,6,6
TRIGAL,otras actividades de enfermeria,otras actividades,2023-01-01,3,3
TRINIDAD,otras actividades de enfermeria,otras actividades,2023-01-01,657132,657132
TUPIZA,otras actividades de enfermeria,otras actividades,2023-01-01,19295,19295
TURCO,otras actividades de enfermeria,otras actividades,2023-01-01,351,351
UMALA,otras actividades de enfermeria,otras actividades,2023-01-01,6,6
UNCIA,otras actividades de enfermeria,otras actividades,2023-01-01,12,12
URIONDO (A. CONCEPCION),otras actividades de enfermeria,otras actividades,2023-01-01,8,8
URUBICHA,otras actividades de enfermeria,otras actividades,2023-01-01,52,52
UYUNI,otras actividades de enfermeria,otras actividades,2023-01-01,8567,8567
VACAS,otras actividades de enfermeria,otras actividades,2023-01-01,4,4
VALLEGRANDE,otras actividades de enfermeria,otras actividades,2023-01-01,7838,7838
VIACHA,otras actividades de enfermeria,otras actividades,2023-01-01,1265,1265
VILA VILA,otras actividades de enfermeria,otras actividades,2023-01-01,49,49
VILLA CHARCAS,otras actividades de enfermeria,otras actividades,2023-01-01,3,3
VILLA MONTES,otras actividades de enfermeria,otras actividades,2023-01-01,34137,34137
VILLA NUEVA (LOMA ALTA),otras actividades de enfermeria,otras actividades,2023-01-01,3,3
VILLA RIVERO,otras actividades de enfermeria,otras actividades,2023-01-01,1,1
VILLA SERRANO,otras actividades de enfermeria,otras actividades,2023-01-01,1447,1447
VILLA TUNARI,otras actividades de enfermeria,otras actividades,2023-01-01,2587,2587
VILLA VACA GUZMAN (MUYUPAMPA),otras actividades de enfermeria,otras actividades,2023-01-01,1243,1243
VILLAZON,otras actividades de enfermeria,otras actividades,2023-01-01,7539,7539
VINTO,otras actividades de enfermeria,otras actividades,2023-01-01,5155,5155
VITICHI,otras actividades de enfermeria,otras actividades,2023-01-01,16,16
WALDO BALLIVIAN,otras actividades de enfermeria,otras actividades,2023-01-01,13,13
WARNES,otras actividades de enfermeria,otras actividades,2023-01-01,25574,25574
YACO,otras actividades de enfermeria,otras actividades,2023-01-01,1,1
YACUIBA,otras actividades de enfermeria,otras actividades,2023-01-01,157797,157797
YAMPARAEZ,otras actividades de enfermeria,otras actividades,2023-01-01,24,24
YANACACHI,otras actividades de enfermeria,otras actividades,2023-01-01,15,15
YAPACANI,otras actividades de enfermeria,otras actividades,2023-01-01,912,912
YOCALLA,otras actividades de enfermeria,otras actividades,2023-01-01,16,16
YOTALA,otras actividades de enfermeria,otras actividades,2023-01-01,82,82
YUNCHARA,otras actividades de enfermeria,otras actividades,2023-01-01,19,19
ZUDAÑEZ,otras actividades de enfermeria,otras actividades,2023-01-01,867,867
ACACIO,otras actividades de enfermeria,otras actividades,2023-02-01,4,4
ACHACACHI,otras actividades de enfermeria,otras actividades,2023-02-01,85,85
ACHOCALLA,otras actividades de enfermeria,otras actividades,2023-02-01,11,11
AIQUILE,otras actividades de enfermeria,otras actividades,2023-02-01,1067,1067
ALALAY,otras actividades de enfermeria,otras actividades,2023-02-01,30,30
ALCALA,otras actividades de enfermeria,otras actividades,2023-02-01,291,291
ALTO BENI,otras actividades de enfermeria,otras actividades,2023-02-01,19,19
ANCORAIMES,otras actividades de enfermeria,otras actividades,2023-02-01,13,13
ANDAMARCA,otras actividades de enfermeria,otras actividades,2023-02-01,39,39
ANTEQUERA,otras actividades de enfermeria,otras actividades,2023-02-01,1,1
ANZALDO,otras actividades de enfermeria,otras actividades,2023-02-01,10,10
APOLO,otras actividades de enfermeria,otras actividades,2023-02-01,1873,1873
ARAMPAMPA,otras actividades de enfermeria,otras actividades,2023-02-01,8,8
ARANI,otras actividades de enfermeria,otras actividades,2023-02-01,49,49
ARBIETO,otras actividades de enfermeria,otras actividades,2023-02-01,279,279
ARQUE,otras actividades de enfermeria,otras actividades,2023-02-01,11,11
ASCENCION DE GUARAYOS,otras actividades de enfermeria,otras actividades,2023-02-01,1064,1064
ATOCHA,otras actividades de enfermeria,otras actividades,2023-02-01,1841,1841
AUCAPATA,otras actividades de enfermeria,otras actividades,2023-02-01,2,2
AYATA,otras actividades de enfermeria,otras actividades,2023-02-01,3,3
AYO AYO,otras actividades de enfermeria,otras actividades,2023-02-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,otras actividades,2023-02-01,312,312
AZURDUY,otras actividades de enfermeria,otras actividades,2023-02-01,226,226
BATALLAS,otras actividades de enfermeria,otras actividades,2023-02-01,13,13
BAURES,otras actividades de enfermeria,otras actividades,2023-02-01,268,268
BELEN DE URMIRI,otras actividades de enfermeria,otras actividades,2023-02-01,8,8
BELLA FLOR,otras actividades de enfermeria,otras actividades,2023-02-01,258,258
BERMEJO,otras actividades de enfermeria,otras actividades,2023-02-01,73062,73062
BETANZOS,otras actividades de enfermeria,otras actividades,2023-02-01,1073,1073
BOLPEBRA,otras actividades de enfermeria,otras actividades,2023-02-01,12,12
BOYUIBE,otras actividades de enfermeria,otras actividades,2023-02-01,190,190
BUENA VISTA,otras actividades de enfermeria,otras actividades,2023-02-01,83,83
CABEZAS,otras actividades de enfermeria,otras actividades,2023-02-01,160,160
CAIROMA,otras actividades de enfermeria,otras actividades,2023-02-01,9,9
"CAIZA ""D""",otras actividades de enfermeria,otras actividades,2023-02-01,1153,1153
CAJUATA,otras actividades de enfermeria,otras actividades,2023-02-01,179,179
CALAMARCA,otras actividades de enfermeria,otras actividades,2023-02-01,21,21
CAMARGO,otras actividades de enfermeria,otras actividades,2023-02-01,7976,7976
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria,otras actividades,2023-02-01,45,45
CAMIRI,otras actividades de enfermeria,otras actividades,2023-02-01,2822,2822
CAPINOTA,otras actividades de enfermeria,otras actividades,2023-02-01,41,41
CAQUIAVIRI,otras actividades de enfermeria,otras actividades,2023-02-01,43,43
CARACOLLO,otras actividades de enfermeria,otras actividades,2023-02-01,176,176
