municipality,group,variable,month,Tratamientos iniciados con esquema l,TOTAL
PUCARANI,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
PUERTO CARABUCO,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
PUERTO QUIJARRO,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,3,3
PUERTO RICO,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
PUERTO SUAREZ,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,7,7
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,6,6
PUNATA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,6,6
QUIME,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
RIBERALTA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,11,11
RURRENABAQUE,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
SACABA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
SACACA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
SAN ANTONIO DE ESMORUCO,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
SAN BENITO,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
SAN BORJA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,7,7
SAN BUENA VENTURA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
SAN CARLOS,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
SAN IGNACIO,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
SAN IGNACIO DE VELASCO,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,6,6
SAN JAVIER(BNI),tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
SAN JAVIER(STC),tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
SAN JULIAN,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,5,5
SAN LORENZO(TJA),tuberculosis,tratamientos iniciados con esquema l,2005-01-01,2,2
SAN LUCAS,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,3,3
SAN MATIAS,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,3,3
SAN MIGUEL DE VELASCO,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
SAN PEDRO,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,5,5
SAN RAMON,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
SANTA ANA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,83,83
SANTA ROSA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
SIPE SIPE,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,2,2
SORATA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,2,2
SUCRE,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,25,25
TACACHI,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
TARIJA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,6,6
TEOPONTE,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
TINGUIPAYA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,4,4
TIPUANI,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,2,2
TIQUIPAYA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema l,2005-01-01,3,3
TRINIDAD,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,7,7
TUPIZA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,3,3
UNCIA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,4,4
UYUNI,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,2,2
VALLEGRANDE,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
VILLA MONTES,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,2,2
VILLA RIVERO,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,3,3
VILLAZON,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,2,2
VINTO,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,2,2
VITICHI,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
YACUIBA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,9,9
YAPACANI,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,4,4
ZUDAÑEZ,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
ACHACACHI,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
ACHOCALLA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,2,2
AIQUILE,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,2,2
ANCORAIMES,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
ANTEQUERA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
ANZALDO,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
APOLO,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
ARBIETO,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
ASCENCION DE GUARAYOS,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,3,3
ATOCHA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
BERMEJO,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,10,10
BETANZOS,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
BOLIVAR,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
BUENA VISTA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,2,2
CAJUATA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,3,3
CAMARGO,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,2,2
CAPINOTA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,2,2
CARANAVI,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,15,15
CARAPARI,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,2,2
CHALLAPATA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,2,2
CHARAGUA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,2,2
CHAYANTA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
CHIMORE,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,2,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,tratamientos iniciados con esquema l,2005-02-01,4,4
COBIJA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,2,2
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,24,24
COLCAPIRHUA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,5,5
COLPA BELGICA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,2,2
COLQUECHACA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
COMARAPA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
COMBAYA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
CORIPATA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
COROICO,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,5,5
COTAGAITA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,2,2
COTOCA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
CULPINA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,41,41
EL PUENTE(STC),tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
EL TORNO,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,3,3
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,6,6
FERNANDEZ ALONSO,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
GUANAY,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,2,2
GUAYARAMERIN,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,3,3
HUACARETA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
IXIAMAS,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
LA ASUNTA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,5,5
LA GUARDIA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,5,5
LA PAZ,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,73,73
LAGUNILLAS,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
LLALLAGUA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
MAGDALENA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,4,4
MAIRANA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,2,2
MAPIRI,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
MINEROS,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,4,4
MONTEAGUDO,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,4,4
MONTERO,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,12,12
MOROCHATA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
ORURO,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,14,14
PADCAYA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
PADILLA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
PAILON,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,4,4
PALOS BLANCOS,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
PAMPA GRANDE,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
POTOSI,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,9,9
PUCARANI,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
PUERTO ACOSTA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
PUERTO GONZALO MORENO,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
PUERTO SUAREZ,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,2,2
PUNA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
PUNATA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
QUIABAYA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,3,3
QUIME,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,3,3
RIBERALTA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
SACABA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,4,4
SALINAS DE GARCI MENDOZA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
SAN BENITO,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,2,2
SAN BORJA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,7,7
SAN IGNACIO,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
SAN IGNACIO DE VELASCO,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,2,2
SAN JAVIER(STC),tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
SAN JOSE DE CHIQUITOS,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,3,3
SAN JUAN DE YAPACANI,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
SAN JULIAN,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,4,4
SAN LORENZO(TJA),tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
SAN LUCAS,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,2,2
SAN PEDRO,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
SAN PEDRO DE BUENA VISTA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
SANTA ANA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,104,104
SANTA ROSA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
SANTA ROSA DEL SARA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,2,2
SAPAHAQUI,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,2,2
SIPE SIPE,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,5,5
SORATA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,3,3
SUCRE,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,15,15
TAPACARI,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
TARABUCO,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
TARIJA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,4,4
TARVITA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,2,2
TEOPONTE,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
TIPUANI,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,2,2
TIQUIPAYA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,2,2
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema l,2005-02-01,5,5
TRINIDAD,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,4,4
TUPIZA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,2,2
UMALA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
UNCIA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,4,4
URIONDO (A. CONCEPCION),tuberculosis,tratamientos iniciados con esquema l,2005-02-01,2,2
UYUNI,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,2,2
VIACHA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,7,7
VILLA MONTES,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,7,7
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis,tratamientos iniciados con esquema l,2005-02-01,1,1
VINTO,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,5,5
WARNES,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,7,7
YACUIBA,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,13,13
YAPACANI,tuberculosis,tratamientos iniciados con esquema l,2005-02-01,6,6
ACHACACHI,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,2,2
AIQUILE,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
ARANI,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
ARBIETO,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,2,2
ARQUE,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
AZURDUY,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
BAURES,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
BERMEJO,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,5,5
BETANZOS,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
BUENA VISTA,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
CAMARGO,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
CAPINOTA,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
CARACOLLO,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
CARANAVI,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,10,10
CARAPARI,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
CHAQUI,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
CHIMORE,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,2,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,tratamientos iniciados con esquema l,2005-03-01,4,4
CHUMA,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
CLIZA,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
COBIJA,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,2,2
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,34,34
COLCAPIRHUA,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,7,7
COLLANA,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
COLOMI,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
COLPA BELGICA,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
COLQUECHACA,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
CONCEPCION,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,4,4
CORIPATA,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,4,4
COROICO,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,2,2
COTAGAITA,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,2,2
COTOCA,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,3,3
CUATRO CAÑADAS,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
CUEVO,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
CULPINA,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,34,34
EL PUENTE(STC),tuberculosis,tratamientos iniciados con esquema l,2005-03-01,2,2
EL TORNO,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,5,5
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,4,4
FERNANDEZ ALONSO,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,3,3
GENERAL SAAVEDRA,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,2,2
GUANAY,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,2,2
GUAYARAMERIN,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,5,5
HUANUNI,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
HUAYLLAMARCA,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
INQUISIVI,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
IRUPANA (VILLA DE LANZA),tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
LA ASUNTA,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
LA GUARDIA,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,7,7
LA PAZ,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,101,101
LAJA,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
LLALLAGUA,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,2,2
MAGDALENA,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
MINEROS,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,4,4
MIZQUE,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
MONTEAGUDO,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,3,3
MONTERO,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,10,10
OCURI,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
ORURO,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,13,13
PADCAYA,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
PADILLA,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
PAILON,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,2,2
PALCA,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
PALOS BLANCOS,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,6,6
PATACAMAYA,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
POCOATA,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,2,2
POROMA,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
POTOSI,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,27,27
PUCARANI,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
PUERTO ACOSTA,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
PUERTO QUIJARRO,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,3,3
PUNA,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
PUNATA,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,5,5
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,10,10
RAVELO,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,2,2
REYES,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
RIBERALTA,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,6,6
RURRENABAQUE,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,2,2
SACABA,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,11,11
SAN ANTONIO DE ESMORUCO,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
SAN ANTONIO DE LOMERIO,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
SAN BENITO,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,2,2
SAN BORJA,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,2,2
SAN IGNACIO,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
SAN IGNACIO DE VELASCO,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,5,5
SAN JAVIER(STC),tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
SAN JUAN DE YAPACANI,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
SAN JULIAN,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,2,2
SAN LUCAS,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
SAN MATIAS,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
SAN MIGUEL DE VELASCO,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
SAN PEDRO,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
SAN PEDRO DE BUENA VISTA,tuberculosis,tratamientos iniciados con esquema l,2005-03-01,1,1
