municipality,group,variable,month,Tratamientos iniciados con esquema lll,TOTAL
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema lll,2005-03-01,2,2
TUPIZA,tuberculosis,tratamientos iniciados con esquema lll,2005-03-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2005-03-01,3,3
WARNES,tuberculosis,tratamientos iniciados con esquema lll,2005-03-01,1,1
ASCENCION DE GUARAYOS,tuberculosis,tratamientos iniciados con esquema lll,2005-04-01,1,1
COBIJA,tuberculosis,tratamientos iniciados con esquema lll,2005-04-01,2,2
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2005-04-01,3,3
COROICO,tuberculosis,tratamientos iniciados con esquema lll,2005-04-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema lll,2005-04-01,1,1
EL TORNO,tuberculosis,tratamientos iniciados con esquema lll,2005-04-01,1,1
FERNANDEZ ALONSO,tuberculosis,tratamientos iniciados con esquema lll,2005-04-01,1,1
GENERAL SAAVEDRA,tuberculosis,tratamientos iniciados con esquema lll,2005-04-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2005-04-01,3,3
LLALLAGUA,tuberculosis,tratamientos iniciados con esquema lll,2005-04-01,4,4
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2005-04-01,3,3
POSTRER VALLE,tuberculosis,tratamientos iniciados con esquema lll,2005-04-01,2,2
POTOSI,tuberculosis,tratamientos iniciados con esquema lll,2005-04-01,2,2
PUERTO GONZALO MORENO,tuberculosis,tratamientos iniciados con esquema lll,2005-04-01,1,1
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema lll,2005-04-01,2,2
PUNATA,tuberculosis,tratamientos iniciados con esquema lll,2005-04-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema lll,2005-04-01,1,1
SAN BORJA,tuberculosis,tratamientos iniciados con esquema lll,2005-04-01,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2005-04-01,4,4
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2005-04-01,4,4
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema lll,2005-04-01,2,2
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2005-04-01,4,4
"CAIZA ""D""",tuberculosis,tratamientos iniciados con esquema lll,2005-05-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema lll,2005-05-01,1,1
COBIJA,tuberculosis,tratamientos iniciados con esquema lll,2005-05-01,1,1
COLQUECHACA,tuberculosis,tratamientos iniciados con esquema lll,2005-05-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2005-05-01,11,11
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2005-05-01,1,1
PAMPA GRANDE,tuberculosis,tratamientos iniciados con esquema lll,2005-05-01,1,1
PORCO,tuberculosis,tratamientos iniciados con esquema lll,2005-05-01,1,1
POTOSI,tuberculosis,tratamientos iniciados con esquema lll,2005-05-01,1,1
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema lll,2005-05-01,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2005-05-01,3,3
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2005-05-01,7,7
TRINIDAD,tuberculosis,tratamientos iniciados con esquema lll,2005-05-01,1,1
TUPIZA,tuberculosis,tratamientos iniciados con esquema lll,2005-05-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2005-05-01,2,2
BOYUIBE,tuberculosis,tratamientos iniciados con esquema lll,2005-06-01,1,1
CAJUATA,tuberculosis,tratamientos iniciados con esquema lll,2005-06-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema lll,2005-06-01,2,2
CAPINOTA,tuberculosis,tratamientos iniciados con esquema lll,2005-06-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2005-06-01,1,1
COROICO,tuberculosis,tratamientos iniciados con esquema lll,2005-06-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema lll,2005-06-01,1,1
LA GUARDIA,tuberculosis,tratamientos iniciados con esquema lll,2005-06-01,2,2
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2005-06-01,2,2
ORURO,tuberculosis,tratamientos iniciados con esquema lll,2005-06-01,1,1
PALOS BLANCOS,tuberculosis,tratamientos iniciados con esquema lll,2005-06-01,1,1
PAMPA GRANDE,tuberculosis,tratamientos iniciados con esquema lll,2005-06-01,1,1
POTOSI,tuberculosis,tratamientos iniciados con esquema lll,2005-06-01,1,1
PUERTO ACOSTA,tuberculosis,tratamientos iniciados con esquema lll,2005-06-01,3,3
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema lll,2005-06-01,6,6
RIBERALTA,tuberculosis,tratamientos iniciados con esquema lll,2005-06-01,1,1
SACABA,tuberculosis,tratamientos iniciados con esquema lll,2005-06-01,2,2
SAMAIPATA,tuberculosis,tratamientos iniciados con esquema lll,2005-06-01,1,1
SAN LORENZO(TJA),tuberculosis,tratamientos iniciados con esquema lll,2005-06-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2005-06-01,3,3
SANTA ROSA DEL SARA,tuberculosis,tratamientos iniciados con esquema lll,2005-06-01,1,1
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2005-06-01,9,9
TIQUIPAYA,tuberculosis,tratamientos iniciados con esquema lll,2005-06-01,1,1
VILLAZON,tuberculosis,tratamientos iniciados con esquema lll,2005-06-01,1,1
VINTO,tuberculosis,tratamientos iniciados con esquema lll,2005-06-01,2,2
YOCALLA,tuberculosis,tratamientos iniciados con esquema lll,2005-06-01,1,1
BAURES,tuberculosis,tratamientos iniciados con esquema lll,2005-07-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema lll,2005-07-01,1,1
CARANAVI,tuberculosis,tratamientos iniciados con esquema lll,2005-07-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2005-07-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2005-07-01,8,8
MONTEAGUDO,tuberculosis,tratamientos iniciados con esquema lll,2005-07-01,2,2
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2005-07-01,3,3
OCURI,tuberculosis,tratamientos iniciados con esquema lll,2005-07-01,1,1
POTOSI,tuberculosis,tratamientos iniciados con esquema lll,2005-07-01,1,1
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema lll,2005-07-01,2,2
RIBERALTA,tuberculosis,tratamientos iniciados con esquema lll,2005-07-01,2,2
SAN JOSE DE CHIQUITOS,tuberculosis,tratamientos iniciados con esquema lll,2005-07-01,1,1
SAN JULIAN,tuberculosis,tratamientos iniciados con esquema lll,2005-07-01,2,2
SAN LORENZO(TJA),tuberculosis,tratamientos iniciados con esquema lll,2005-07-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2005-07-01,3,3
SANTA ROSA DEL SARA,tuberculosis,tratamientos iniciados con esquema lll,2005-07-01,1,1
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2005-07-01,9,9
VILLA MONTES,tuberculosis,tratamientos iniciados con esquema lll,2005-07-01,1,1
WARNES,tuberculosis,tratamientos iniciados con esquema lll,2005-07-01,2,2
YACUIBA,tuberculosis,tratamientos iniciados con esquema lll,2005-07-01,1,1
YAPACANI,tuberculosis,tratamientos iniciados con esquema lll,2005-07-01,1,1
CABEZAS,tuberculosis,tratamientos iniciados con esquema lll,2005-08-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema lll,2005-08-01,1,1
COROICO,tuberculosis,tratamientos iniciados con esquema lll,2005-08-01,1,1
COTAGAITA,tuberculosis,tratamientos iniciados con esquema lll,2005-08-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema lll,2005-08-01,3,3
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema lll,2005-08-01,2,2
GENERAL SAAVEDRA,tuberculosis,tratamientos iniciados con esquema lll,2005-08-01,1,1
LA ASUNTA,tuberculosis,tratamientos iniciados con esquema lll,2005-08-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2005-08-01,9,9
LLALLAGUA,tuberculosis,tratamientos iniciados con esquema lll,2005-08-01,1,1
MAGDALENA,tuberculosis,tratamientos iniciados con esquema lll,2005-08-01,1,1
MINEROS,tuberculosis,tratamientos iniciados con esquema lll,2005-08-01,1,1
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2005-08-01,4,4
PORVENIR,tuberculosis,tratamientos iniciados con esquema lll,2005-08-01,1,1
POTOSI,tuberculosis,tratamientos iniciados con esquema lll,2005-08-01,5,5
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema lll,2005-08-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema lll,2005-08-01,2,2
SACABA,tuberculosis,tratamientos iniciados con esquema lll,2005-08-01,2,2
SAN JULIAN,tuberculosis,tratamientos iniciados con esquema lll,2005-08-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2005-08-01,4,4
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2005-08-01,16,16
TARIJA,tuberculosis,tratamientos iniciados con esquema lll,2005-08-01,1,1
TIQUIPAYA,tuberculosis,tratamientos iniciados con esquema lll,2005-08-01,1,1
TRINIDAD,tuberculosis,tratamientos iniciados con esquema lll,2005-08-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2005-08-01,1,1
WARNES,tuberculosis,tratamientos iniciados con esquema lll,2005-08-01,1,1
YACUIBA,tuberculosis,tratamientos iniciados con esquema lll,2005-08-01,1,1
BERMEJO,tuberculosis,tratamientos iniciados con esquema lll,2005-09-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema lll,2005-09-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2005-09-01,2,2
COROICO,tuberculosis,tratamientos iniciados con esquema lll,2005-09-01,1,1
CULPINA,tuberculosis,tratamientos iniciados con esquema lll,2005-09-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema lll,2005-09-01,1,1
GENERAL SAAVEDRA,tuberculosis,tratamientos iniciados con esquema lll,2005-09-01,2,2
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2005-09-01,2,2
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2005-09-01,1,1
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema lll,2005-09-01,1,1
PUNATA,tuberculosis,tratamientos iniciados con esquema lll,2005-09-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema lll,2005-09-01,2,2
SACABA,tuberculosis,tratamientos iniciados con esquema lll,2005-09-01,2,2
SAN ANTONIO DE ESMORUCO,tuberculosis,tratamientos iniciados con esquema lll,2005-09-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2005-09-01,4,4
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2005-09-01,13,13
TARIJA,tuberculosis,tratamientos iniciados con esquema lll,2005-09-01,1,1
TIQUIPAYA,tuberculosis,tratamientos iniciados con esquema lll,2005-09-01,4,4
TOMINA,tuberculosis,tratamientos iniciados con esquema lll,2005-09-01,1,1
VILLA MONTES,tuberculosis,tratamientos iniciados con esquema lll,2005-09-01,2,2
YAPACANI,tuberculosis,tratamientos iniciados con esquema lll,2005-09-01,1,1
BERMEJO,tuberculosis,tratamientos iniciados con esquema lll,2005-10-01,2,2
CAMIRI,tuberculosis,tratamientos iniciados con esquema lll,2005-10-01,1,1
CAPINOTA,tuberculosis,tratamientos iniciados con esquema lll,2005-10-01,1,1
CARANAVI,tuberculosis,tratamientos iniciados con esquema lll,2005-10-01,1,1
CHIMORE,tuberculosis,tratamientos iniciados con esquema lll,2005-10-01,1,1
COBIJA,tuberculosis,tratamientos iniciados con esquema lll,2005-10-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2005-10-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema lll,2005-10-01,1,1
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema lll,2005-10-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2005-10-01,6,6
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2005-10-01,5,5
ORURO,tuberculosis,tratamientos iniciados con esquema lll,2005-10-01,1,1
ROBORE,tuberculosis,tratamientos iniciados con esquema lll,2005-10-01,1,1
SAN IGNACIO,tuberculosis,tratamientos iniciados con esquema lll,2005-10-01,1,1
SAN IGNACIO DE VELASCO,tuberculosis,tratamientos iniciados con esquema lll,2005-10-01,1,1
SAN JOSE DE CHIQUITOS,tuberculosis,tratamientos iniciados con esquema lll,2005-10-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2005-10-01,6,6
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2005-10-01,9,9
TARIJA,tuberculosis,tratamientos iniciados con esquema lll,2005-10-01,2,2
TIQUIPAYA,tuberculosis,tratamientos iniciados con esquema lll,2005-10-01,1,1
TRINIDAD,tuberculosis,tratamientos iniciados con esquema lll,2005-10-01,2,2
TUPIZA,tuberculosis,tratamientos iniciados con esquema lll,2005-10-01,1,1
WARNES,tuberculosis,tratamientos iniciados con esquema lll,2005-10-01,1,1
YACUIBA,tuberculosis,tratamientos iniciados con esquema lll,2005-10-01,1,1
YOTALA,tuberculosis,tratamientos iniciados con esquema lll,2005-10-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema lll,2005-11-01,1,1
CAPINOTA,tuberculosis,tratamientos iniciados con esquema lll,2005-11-01,1,1
CHARAGUA,tuberculosis,tratamientos iniciados con esquema lll,2005-11-01,1,1
GUAQUI,tuberculosis,tratamientos iniciados con esquema lll,2005-11-01,1,1
IRUPANA (VILLA DE LANZA),tuberculosis,tratamientos iniciados con esquema lll,2005-11-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2005-11-01,10,10
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2005-11-01,1,1
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema lll,2005-11-01,2,2
SAN IGNACIO DE VELASCO,tuberculosis,tratamientos iniciados con esquema lll,2005-11-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2005-11-01,3,3
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2005-11-01,9,9
TUPIZA,tuberculosis,tratamientos iniciados con esquema lll,2005-11-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2005-11-01,1,1
YACUIBA,tuberculosis,tratamientos iniciados con esquema lll,2005-11-01,2,2
BETANZOS,tuberculosis,tratamientos iniciados con esquema lll,2005-12-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema lll,2005-12-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2005-12-01,2,2
EL ALTO,tuberculosis,tratamientos iniciados con esquema lll,2005-12-01,1,1
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema lll,2005-12-01,1,1
FILADELFIA,tuberculosis,tratamientos iniciados con esquema lll,2005-12-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2005-12-01,3,3
LLALLAGUA,tuberculosis,tratamientos iniciados con esquema lll,2005-12-01,2,2
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2005-12-01,1,1
POTOSI,tuberculosis,tratamientos iniciados con esquema lll,2005-12-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2005-12-01,2,2
TARIJA,tuberculosis,tratamientos iniciados con esquema lll,2005-12-01,1,1
TIQUIPAYA,tuberculosis,tratamientos iniciados con esquema lll,2005-12-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2005-12-01,2,2
YACUIBA,tuberculosis,tratamientos iniciados con esquema lll,2005-12-01,1,1
