,group,variable,month,OTROS EN MENORES DE 5 AÑOS CANTIDAD,OTROS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
SAN BORJA,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,7,5,12
SAN CARLOS,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,3,7,10
SAN IGNACIO,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,1,1,2
SAN IGNACIO DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,47,36,83
SAN JOAQUIN,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,1,0,1
SAN JOSE DE CHIQUITOS,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,2,1,3
SAN JULIAN,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,8,26,34
SAN MATIAS,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,2,0,2
SAN RAMON SCZ,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,1378,1281,2659
SANTA ROSA,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,0,3,3
SHINAOTA,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,4,6,10
SUCRE,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,48,44,92
TARABUCO,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,0,4,4
TARACO,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,6,7,13
TARIJA,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,147,105,252
TIPUANI,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,1,0,1
TIQUIPAYA,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,15,15,30
TRINIDAD,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,38,26,64
TUPIZA,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,7,10,17
UYUNI,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,3,2,5
VALLEGRANDE,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,7,9,16
VILLA MONTES,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,5,3,8
VILLA TUNARI,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,14,4,18
VILLAZON,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,9,6,15
WARNES,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,7,2,9
YACUIBA,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,41,47,88
YAPACANI,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,6,8,14
ZUDAÑEZ,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,3,4,7
AIQUILE,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,4,2,6
ASCENCION DE GUARAYOS,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,16,17,33
BERMEJO,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,152,137,289
BETANZOS,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,1,0,1
BOYUIBE,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,1,0,1
BUENA VISTA,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,1,0,1
CAMIRI,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,32,15,47
CARANAVI,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,12,6,18
CARMEN RIVERO TORREZ,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,10,2,12
CHALLAPATA,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,7,4,11
CHARAGUA,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,10,11,21
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,otros en menores de 5 anos,2013-02-01,3,0,3
CLIZA,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,3,0,3
COBIJA,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,117,118,235
COCHABAMBA,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,339,307,646
COLCAPIRHUA,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,6,3,9
COLQUECHACA,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,0,5,5
COMARAPA,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,1,2,3
CONCEPCION,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,1,1,2
COROICO,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,1,0,1
COTAGAITA,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,1,0,1
EL ALTO,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,256,306,562
EL TORNO,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,0,1,1
ENTRE RIOS TRJ,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,1,0,1
FERNANDEZ ALONSO,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,63,33,96
GUAYARAMERIN,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,46,27,73
GUTIERREZ,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,1,0,1
HUANUNI,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,3,2,5
LA ASUNTA,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,2,0,2
LA GUARDIA,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,11,7,18
LA PAZ,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,617,577,1194
LLALLAGUA,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,52,42,94
MAGDALENA,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,2,1,3
MAIRANA,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,2,1,3
MONTEAGUDO,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,10,9,19
MONTERO,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,285,196,481
ORURO,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,22,26,48
PADILLA,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,3,3,6
PORTACHUELO,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,42,38,80
POTOSI,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,57,31,88
PUERTO RICO,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,2,3,5
PUERTO SUAREZ,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,4,2,6
PUERTO VILLARROEL,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,13,5,18
PUNATA,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,8,11,19
QUILLACOLLO,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,59,54,113
RIBERALTA,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,49,29,78
ROBORE,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,5,2,7
RURRENABAQUE,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,3,10,13
SACABA,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,18,14,32
SAN BORJA,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,4,4,8
SAN CARLOS,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,3,2,5
SAN IGNACIO,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,3,2,5
SAN IGNACIO DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,33,25,58
SAN JOAQUIN,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,0,3,3
SAN JOSE DE CHIQUITOS,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,1,1,2
SAN JULIAN,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,5,6,11
SAN RAFAEL,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,0,2,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,415,376,791
SANTA ROSA,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,0,1,1
SHINAOTA,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,6,4,10
SOPACHUY,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,1,0,1
SUCRE,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,58,53,111
TARABUCO,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,1,2,3
TARACO,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,13,10,23
TARIJA,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,150,115,265
TARVITA,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,0,1,1
TIQUIPAYA,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,21,9,30
TRINIDAD,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,43,41,84
TUPIZA,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,2,12,14
UYUNI,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,1,0,1
VALLEGRANDE,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,6,6,12
VILLA MONTES,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,15,4,19
VILLA TUNARI,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,7,5,12
VILLAZON,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,8,10,18
VINTO,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,13,18,31
WARNES,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,3,9,12
YACUIBA,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,46,47,93
YAPACANI,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,14,17,31
ZUDAÑEZ,diagnostico de egreso,otros en menores de 5 anos,2013-02-01,2,3,5
AIQUILE,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,3,3,6
ASCENCION DE GUARAYOS,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,24,15,39
ATOCHA,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,6,1,7
BERMEJO,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,218,172,390
CAMARGO,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,9,4,13
CAMIRI,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,19,17,36
CAPINOTA,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,2,1,3
CARANAVI,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,16,7,23
CARMEN RIVERO TORREZ,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,7,6,13
CHALLAPATA,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,5,1,6
CHARAGUA,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,8,9,17
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,otros en menores de 5 anos,2013-03-01,13,17,30
CLIZA,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,4,3,7
COBIJA,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,90,101,191
COCAPATA,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,1,0,1
COCHABAMBA,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,279,282,561
COLCAPIRHUA,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,4,3,7
COLLANA,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,5,2,7
COMARAPA,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,0,2,2
CONCEPCION,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,1,0,1
COROICO,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,7,8,15
COTOCA,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,3,5,8
EL ALTO,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,407,321,728
EL TORNO,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,1,2,3
ENTRE RIOS TRJ,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,2,1,3
GUAYARAMERIN,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,16,22,38
GUTIERREZ,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,0,1,1
HUANUNI,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,1,3,4
IRUPANA (VILLA DE LANZA),diagnostico de egreso,otros en menores de 5 anos,2013-03-01,0,2,2
LA ASUNTA,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,1,2,3
LA GUARDIA,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,21,16,37
LA PAZ,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,374,411,785
LLALLAGUA,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,85,60,145
MAGDALENA,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,5,3,8
MAIRANA,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,0,2,2
MOJOCOYA,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,6,10,16
MONTEAGUDO,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,11,7,18
MONTERO,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,537,433,970
ORURO,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,42,31,73
PADILLA,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,3,6,9
PAILON,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,0,2,2
PORTACHUELO,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,69,69,138
POTOSI,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,49,30,79
PUERTO RICO,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,8,10,18
PUERTO SUAREZ,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,7,3,10
PUERTO VILLARROEL,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,13,6,19
PUNATA,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,11,10,21
QUILLACOLLO,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,52,40,92
ROBORE,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,4,2,6
RURRENABAQUE,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,16,10,26
SACABA,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,42,28,70
SAN ANTONIO DE LOMERIO,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,0,1,1
SAN BORJA,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,9,5,14
SAN CARLOS,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,4,4,8
SAN IGNACIO DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,46,55,101
SAN JOAQUIN,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,1,0,1
SAN JOSE DE CHIQUITOS,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,5,4,9
SAN JULIAN,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,23,12,35
SAN MATIAS,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,2,1,3
SAN MIGUEL DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,1,0,1
SAN RAFAEL,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,2,1,3
SAN RAMON SCZ,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,1,0,1
SANTA ANA,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,379,331,710
SANTA ROSA,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,1,1,2
SHINAOTA,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,1,2,3
SUCRE,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,65,53,118
TARIJA,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,96,63,159
TARVITA,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,0,1,1
TIPUANI,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,0,1,1
TIQUIPAYA,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,35,31,66
TRINIDAD,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,44,45,89
TUPIZA,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,11,7,18
UYUNI,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,0,2,2
VALLEGRANDE,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,20,15,35
VILLA MONTES,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,13,8,21
VILLA TUNARI,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,14,15,29
VILLAZON,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,11,7,18
VINTO,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,3,2,5
WARNES,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,9,4,13
YACUIBA,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,25,23,48
YAPACANI,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,9,1,10
ZUDAÑEZ,diagnostico de egreso,otros en menores de 5 anos,2013-03-01,1,1,2
AIQUILE,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,2,2,4
ASCENCION DE GUARAYOS,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,22,22,44
BERMEJO,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,295,220,515
BOYUIBE,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,0,1,1
CAMARGO,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,6,9,15
CAMIRI,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,23,14,37
CAPINOTA,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,0,2,2
CARANAVI,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,9,17,26
CARMEN RIVERO TORREZ,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,11,8,19
CHALLAPATA,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,13,4,17
CHARAGUA,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,6,9,15
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,otros en menores de 5 anos,2013-04-01,18,13,31
CLIZA,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,1,1,2
COBIJA,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,86,80,166
COCHABAMBA,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,363,321,684
COLCAPIRHUA,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,5,3,8
CONCEPCION,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,2,1,3
COROICO,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,1,2,3
CULPINA,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,4,0,4
EL ALTO,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,460,358,818
EL PUENTE(TJA),diagnostico de egreso,otros en menores de 5 anos,2013-04-01,2,0,2
EL TORNO,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,20,15,35
ENTRE RIOS TRJ,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,0,4,4
FERNANDEZ ALONSO,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,57,54,111
GUAYARAMERIN,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,26,18,44
GUTIERREZ,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,0,1,1
HUANUNI,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,2,2,4
IRUPANA (VILLA DE LANZA),diagnostico de egreso,otros en menores de 5 anos,2013-04-01,2,0,2
LA ASUNTA,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,1,3,4
LA GUARDIA,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,7,9,16
LA PAZ,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,395,383,778
LLALLAGUA,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,92,91,183
MAGDALENA,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,5,0,5
MAIRANA,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,3,0,3
MONTEAGUDO,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,9,12,21
MONTERO,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,640,456,1096
ORURO,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,41,31,72
PADILLA,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,5,7,12
PAILON,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,0,1,1
PORONGO,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,1,1,2
PORTACHUELO,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,73,72,145
POTOSI,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,40,36,76
PUERTO GONZALO MORENO,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,1,0,1
PUERTO RICO,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,1,7,8
PUERTO SUAREZ,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,2,0,2
PUERTO VILLARROEL,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,9,7,16
PUNATA,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,27,12,39
QUILLACOLLO,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,79,74,153
RIBERALTA,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,26,20,46
ROBORE,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,3,1,4
RURRENABAQUE,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,8,6,14
SACABA,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,37,9,46
SAN BORJA,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,2,1,3
SAN CARLOS,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,1,1,2
SAN IGNACIO DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,23,32,55
SAN JOAQUIN,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,1,3,4
SAN JOSE DE CHIQUITOS,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,1,4,5
SAN JULIAN,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,11,4,15
SAN MATIAS,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,1,0,1
SAN RAFAEL,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,597,533,1130
SANTA ROSA,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,1,2,3
SHINAOTA,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,2,11,13
SOPACHUY,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,0,1,1
SUCRE,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,35,30,65
TARABUCO,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,1,2,3
TARIJA,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,103,95,198
TIQUIPAYA,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,22,9,31
TRINIDAD,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,35,20,55
TUPIZA,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,18,27,45
UYUNI,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,1,1,2
VALLEGRANDE,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,13,11,24
VILLA TUNARI,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,9,5,14
VILLAZON,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,9,7,16
VINTO,diagnostico de egreso,otros en menores de 5 anos,2013-04-01,2,2,4
