,group,variable,month,DIARREAS EN MENORES DE 5 AÑOS CANTIDAD,DIARREAS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
QUILLACOLLO,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,23,23,46
RIBERALTA,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,10,6,16
ROBORE,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,1,2,3
RURRENABAQUE,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,4,2,6
SACABA,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,4,4,8
SAN BORJA,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,0,1,1
SAN CARLOS,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,2,7,9
SAN IGNACIO,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,2,0,2
SAN IGNACIO DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,9,10,19
SAN JOAQUIN,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,0,1,1
SAN JOSE DE CHIQUITOS,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,2,0,2
SAN JULIAN,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,25,17,42
SAN PABLO DE LIPEZ,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,1,0,1
SAN PEDRO,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,33,26,59
SAN RAFAEL,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,1,0,1
SAN RAMON SCZ,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,1,0,1
SANTA ANA,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,1,1,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,247,198,445
SANTA ROSA,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,1,0,1
SHINAOTA,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,1,9,10
SICA SICA (VILLA AROMA),diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,1,0,1
SUCRE,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,9,8,17
TARACO,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,4,2,6
TARIJA,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,28,23,51
TIPUANI,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,1,0,1
TRINIDAD,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,19,10,29
TUPIZA,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,6,3,9
UYUNI,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,0,3,3
VALLEGRANDE,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,0,2,2
VILLA MONTES,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,3,4,7
VILLA SERRANO,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,34,34,68
VILLA TUNARI,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,11,3,14
VILLAZON,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,3,1,4
VINTO,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,45,55,100
WARNES,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,9,6,15
YACUIBA,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,24,12,36
YAPACANI,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,10,6,16
ZUDAÑEZ,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,0,1,1
AIQUILE,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,4,1,5
APOLO,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,0,1,1
AZURDUY,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,5,1,6
BERMEJO,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,30,31,61
BOYUIBE,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,1,1,2
BUENA VISTA,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,1,0,1
CAMIRI,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,10,6,16
CAPINOTA,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,1,0,1
CARANAVI,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,1,0,1
CARMEN RIVERO TORREZ,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,3,1,4
CHARAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,4,3,7
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,3,1,4
CLIZA,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,1,2,3
COBIJA,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,10,11,21
COCAPATA,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,14,19,33
COCHABAMBA,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,86,60,146
COLCAPIRHUA,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,1,0,1
COLQUECHACA,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,0,1,1
COMARAPA,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,1,1,2
CONCEPCION,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,1,2,3
COROICO,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,1,2,3
EL ALTO,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,33,34,67
EL PUENTE(STC),diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,11,4,15
FERNANDEZ ALONSO,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,14,12,26
GUAYARAMERIN,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,7,7,14
HUANUNI,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,1,0,1
LA ASUNTA,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,1,0,1
LA GUARDIA,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,3,6,9
LA PAZ,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,20,20,40
LLALLAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,9,12,21
MAGDALENA,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,3,1,4
MAIRANA,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,2,0,2
MONTEAGUDO,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,6,3,9
MONTERO,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,88,70,158
ORURO,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,22,18,40
PADILLA,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,1,0,1
PAILON,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,1,0,1
POCOATA,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,3,1,4
PORTACHUELO,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,13,10,23
POSTRER VALLE,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,4,0,4
POTOSI,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,9,901,910
PUERTO RICO,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,1,3,4
PUERTO SUAREZ,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,0,1,1
PUERTO VILLARROEL,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,3,1,4
PUNATA,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,2,1,3
QUILLACOLLO,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,33,33,66
RIBERALTA,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,5,2,7
ROBORE,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,2,2,4
RURRENABAQUE,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,1,0,1
SACABA,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,3,1,4
SAMAIPATA,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,0,2,2
SAN BORJA,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,3,2,5
SAN CARLOS,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,2,0,2
SAN IGNACIO,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,1,3,4
SAN IGNACIO DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,5,4,9
SAN JOAQUIN,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,1,0,1
SAN JULIAN,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,19,21,40
SAN PEDRO,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,18,7,25
SAN RAFAEL,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,0,1,1
SAN RAMON SCZ,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,1,1,2
SANTA ANA,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,205,204,409
SHINAOTA,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,8,7,15
SOPACHUY,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,1,2,3
SUCRE,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,8,4,12
TARABUCO,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,1,0,1
TARACO,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,2,3,5
TARIJA,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,19,17,36
TIPUANI,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,1,0,1
TOTORA(CBBA),diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,1,0,1
TRIGAL,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,1,0,1
TRINIDAD,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,15,9,24
TUPIZA,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,0,4,4
UYUNI,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,2,0,2
VALLEGRANDE,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,2,3,5
VILLA MONTES,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,1,14,15
VILLA SERRANO,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,25,17,42
VILLA TUNARI,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,7,9,16
VILLAZON,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,2,0,2
VINTO,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,6,8,14
WARNES,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,0,4,4
YACUIBA,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,18,10,28
YAPACANI,diagnostico de egreso,diarreas en menores de 5 anos,2013-02-01,5,10,15
ACHACACHI,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,1,0,1
AIQUILE,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,1,0,1
ATOCHA,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,1,2,3
AZURDUY,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,3,7,10
BAURES,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,1,0,1
BERMEJO,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,13,13,26
BOYUIBE,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,1,0,1
CAMARGO,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,1,0,1
CAMIRI,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,3,4,7
CAPINOTA,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,1,0,1
CARANAVI,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,1,0,1
CARMEN RIVERO TORREZ,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,0,1,1
CHALLAPATA,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,4,1,5
CHARAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,22,10,32
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,1,0,1
CLIZA,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,0,2,2
COBIJA,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,9,9,18
COCAPATA,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,14,12,26
COCHABAMBA,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,36,35,71
COLLANA,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,6,2,8
COMARAPA,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,1,0,1
CONCEPCION,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,0,1,1
COROICO,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,1,0,1
COTOCA,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,4,3,7
EL ALTO,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,61,39,100
EL TORNO,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,6,0,6
ENTRE RIOS TRJ,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,1,0,1
GUAYARAMERIN,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,11,5,16
HUANUNI,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,1,1,2
LA GUARDIA,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,5,2,7
LA PAZ,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,21,28,49
LAGUNILLAS,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,0,1,1
LLALLAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,21,10,31
MAGDALENA,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,4,2,6
MOJOCOYA,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,2,0,2
MONTEAGUDO,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,1,1,2
MONTERO,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,66,30,96
OKINAWA,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,34,21,55
ORURO,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,27,26,53
PADILLA,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,0,1,1
POCOATA,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,0,6,6
PORTACHUELO,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,11,7,18
POTOSI,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,27,24,51
PUERTO SUAREZ,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,5,5,10
PUERTO VILLARROEL,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,3,1,4
PUNATA,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,2,5,7
QUILLACOLLO,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,14,21,35
RAVELO,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,0,1,1
RIBERALTA,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,2,1,3
ROBORE,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,2,3,5
RURRENABAQUE,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,8,5,13
SACABA,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,1,3,4
SACABAMBA,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,1,0,1
SAMAIPATA,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,1,0,1
SAN BORJA,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,6,6,12
SAN BUENA VENTURA,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,1,0,1
SAN CARLOS,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,2,3,5
SAN IGNACIO,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,0,1,1
SAN IGNACIO DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,9,5,14
SAN JOAQUIN,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,1,0,1
SAN JOSE DE CHIQUITOS,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,0,3,3
SAN JULIAN,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,17,12,29
SAN MIGUEL DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,2,0,2
SAN PEDRO,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,6,6,12
SAN RAMON BENI,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,0,1,1
SAN RAMON SCZ,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,0,1,1
SANTA ANA,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,1,1,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,116,95,211
SHINAOTA,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,3,4,7
SICA SICA (VILLA AROMA),diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,7,26,33
SOPACHUY,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,0,1,1
SUCRE,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,14,21,35
TARABUCO,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,1,1,2
TARIJA,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,24,12,36
TARVITA,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,0,1,1
TRINIDAD,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,11,12,23
TUPIZA,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,3,2,5
UMALA,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,1,0,1
UYUNI,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,1,2,3
VALLEGRANDE,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,6,3,9
VILLA MONTES,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,1,0,1
VILLA SERRANO,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,19,26,45
VILLA TUNARI,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,4,6,10
VILLAZON,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,2,5,7
VINTO,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,10,9,19
WARNES,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,3,2,5
YACUIBA,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,9,7,16
YAPACANI,diagnostico de egreso,diarreas en menores de 5 anos,2013-03-01,5,1,6
ASCENCION DE GUARAYOS,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,0,1,1
AZURDUY,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,2,2,4
BERMEJO,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,25,22,47
BETANZOS,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,3,2,5
CAMARGO,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,2,1,3
CAMIRI,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,2,4,6
CAPINOTA,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,2,0,2
CARANAVI,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,2,0,2
CHALLAPATA,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,1,1,2
CHARAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,1,1,2
CLIZA,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,3,0,3
COBIJA,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,13,6,19
COCAPATA,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,5,0,5
COCHABAMBA,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,86,68,154
COLQUECHACA,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,0,2,2
CONCEPCION,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,1,1,2
COROICO,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,1,0,1
COTOCA,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,3,5,8
CULPINA,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,1,0,1
EL ALTO,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,64,48,112
EL TORNO,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,11,10,21
FERNANDEZ ALONSO,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,12,6,18
GUAYARAMERIN,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,12,11,23
HUANUNI,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,1,1,2
LA ASUNTA,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,2,1,3
LA GUARDIA,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,3,4,7
LA PAZ,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,27,19,46
LLALLAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,15,14,29
MAGDALENA,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,6,2,8
MECAPACA,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,7,8,15
MONTEAGUDO,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,1,4,5
MONTERO,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,259,164,423
ORURO,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,28,30,58
PAILON,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,2,1,3
PORONGO,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,9,7,16
PORTACHUELO,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,8,10,18
POTOSI,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,33,18,51
PUERTO SUAREZ,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,6,7,13
PUERTO VILLARROEL,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,4,1,5
PUNATA,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,3,2,5
QUILLACOLLO,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,33,29,62
RIBERALTA,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,8,3,11
ROBORE,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,1,1,2
RURRENABAQUE,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,1,0,1
SACABA,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,5,5,10
SAN BORJA,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,3,0,3
SAN CARLOS,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,3,1,4
SAN IGNACIO DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2013-04-01,6,4,10
