,group,variable,month,NEUMONÍAS EN MENORES DE 5 AÑOS CANTIDAD,NEUMONÍAS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
SAN RAMON SCZ,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,1,0,1
SANTA ANA,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,1,1,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,246,181,427
SHINAOTA,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,4,0,4
SUCRE,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,41,38,79
TARACO,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,1,1,2
TARIJA,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,11,6,17
TIQUIPAYA,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,1,0,1
TRINIDAD,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,1,7,8
VALLEGRANDE,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,1,0,1
VILLA MONTES,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,1,0,1
VILLA SERRANO,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,1,1,2
VILLA TUNARI,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,8,6,14
VILLAZON,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,1,2,3
VINTO,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,11,10,21
WARNES,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,6,1,7
YACUIBA,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,9,6,15
YAPACANI,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,4,6,10
AIQUILE,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,1,0,1
ASCENCION DE GUARAYOS,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,18,13,31
AZURDUY,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,1,0,1
BAURES,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,2,0,2
BERMEJO,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,4,6,10
BOYUIBE,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,1,0,1
BUENA VISTA,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,1,0,1
CAMIRI,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,3,0,3
CAPINOTA,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,1,0,1
CARANAVI,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,0,1,1
CHARAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,6,5,11
CLIZA,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,1,3,4
COBIJA,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,40,23,63
COCAPATA,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,11,6,17
COCHABAMBA,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,27,25,52
COLQUECHACA,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,0,14,14
COMARAPA,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,2,0,2
CONCEPCION,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,1,4,5
COROICO,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,7,4,11
EL ALTO,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,16,27,43
EL PUENTE(STC),diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,0,1,1
EL TORNO,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,1,2,3
FERNANDEZ ALONSO,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,28,10,38
GUAYARAMERIN,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,10,10,20
GUTIERREZ,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,1,0,1
HUANUNI,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,1,1,2
LA ASUNTA,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,0,1,1
LA GUARDIA,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,1,2,3
LA PAZ,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,25,26,51
LLALLAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,2,0,2
MAGDALENA,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,2,0,2
MAIRANA,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,0,1,1
MONTEAGUDO,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,1,0,1
MONTERO,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,90,41,131
ORURO,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,5,5,10
PADILLA,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,0,1,1
POCOATA,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,1,1,2
PORTACHUELO,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,5,5,10
POTOSI,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,12,10,22
PUERTO RICO,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,7,13,20
PUERTO VILLARROEL,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,4,1,5
QUILLACOLLO,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,8,4,12
RIBERALTA,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,3,6,9
ROBORE,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,6,3,9
RURRENABAQUE,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,3,2,5
SACABA,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,3,4,7
SAN CARLOS,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,4,1,5
SAN IGNACIO,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,2,5,7
SAN IGNACIO DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,8,10,18
SAN JOAQUIN,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,1,0,1
SAN RAMON SCZ,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,0,1,1
SANTA ANA,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,1,1,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,121,128,249
SANTA ROSA,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,1,0,1
SHINAOTA,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,5,1,6
SOPACHUY,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,1,0,1
SUCRE,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,17,12,29
TARABUCO,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,1,0,1
TARACO,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,0,1,1
TARIJA,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,1,1,2
TIPUANI,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,1,0,1
TIQUIPAYA,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,1,0,1
TRINIDAD,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,11,10,21
VILLA SERRANO,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,1,0,1
VILLA TUNARI,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,4,7,11
VINTO,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,2,2,4
WARNES,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,5,2,7
YACUIBA,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,25,17,42
YAPACANI,diagnostico de egreso,neumonias en menores de 5 anos,2013-02-01,8,7,15
AIQUILE,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,3,0,3
APOLO,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,2,1,3
ASCENCION DE GUARAYOS,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,13,21,34
ATOCHA,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,1,0,1
AZURDUY,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,0,2,2
BERMEJO,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,1,1,2
BOYUIBE,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,1,0,1
CABEZAS,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,2,0,2
CAMIRI,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,14,12,26
CAPINOTA,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,2,1,3
CARANAVI,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,2,1,3
CHALLAPATA,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,1,0,1
CHARAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,9,7,16
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,3,2,5
CHUMA,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,0,1,1
CLIZA,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,6,1,7
COBIJA,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,35,25,60
COCAPATA,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,19,8,27
COCHABAMBA,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,48,27,75
COLCAPIRHUA,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,0,1,1
COLLANA,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,4,6,10
COMARAPA,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,4,1,5
CONCEPCION,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,7,6,13
COROICO,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,0,1,1
COTOCA,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,2,6,8
EL ALTO,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,61,54,115
EL TORNO,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,2,3,5
ENTRE RIOS TRJ,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,0,1,1
GUAYARAMERIN,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,5,5,10
HUANUNI,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,1,3,4
LA ASUNTA,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,1,1,2
LA GUARDIA,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,5,3,8
LA PAZ,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,111,88,199
LLALLAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,4,1,5
MAGDALENA,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,4,1,5
MAIRANA,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,3,4,7
MONTEAGUDO,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,0,3,3
MONTERO,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,311,206,517
OKINAWA,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,18,16,34
ORURO,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,16,9,25
PADILLA,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,1,0,1
PAILON,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,2,1,3
POCOATA,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,0,14,14
PORTACHUELO,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,7,12,19
POTOSI,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,34,22,56
PUERTO RICO,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,3,4,7
PUERTO SUAREZ,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,11,5,16
PUERTO VILLARROEL,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,10,3,13
PUNATA,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,4,3,7
QUILLACOLLO,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,16,2,18
ROBORE,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,10,8,18
RURRENABAQUE,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,2,2,4
SACABA,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,9,9,18
SAMAIPATA,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,1,0,1
SAN ANTONIO DE LOMERIO,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,1,2,3
SAN CARLOS,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,9,5,14
SAN IGNACIO,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,2,5,7
SAN IGNACIO DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,49,39,88
SAN JOAQUIN,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,4,1,5
SAN JOSE DE CHIQUITOS,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,3,0,3
SAN JULIAN,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,9,7,16
SAN MIGUEL DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,2,0,2
SAN RAFAEL,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,2,1,3
SAN RAMON SCZ,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,7,11,18
SANTA ANA,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,96,90,186
SHINAOTA,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,11,12,23
SUCRE,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,29,30,59
TARABUCO,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,1,1,2
TARIJA,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,36,19,55
TIPUANI,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,0,1,1
TIQUIPAYA,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,1,2,3
TOMINA,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,1,0,1
TRINIDAD,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,8,11,19
TUPIZA,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,2,1,3
UYUNI,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,0,1,1
VALLEGRANDE,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,1,0,1
VILLA SERRANO,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,2,0,2
VILLA TUNARI,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,8,7,15
VILLAZON,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,1,0,1
VINTO,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,12,5,17
WARNES,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,7,7,14
YACUIBA,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,40,34,74
YAPACANI,diagnostico de egreso,neumonias en menores de 5 anos,2013-03-01,16,15,31
ACHACACHI,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,1,0,1
AIQUILE,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,0,3,3
APOLO,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,2,1,3
ASCENCION DE GUARAYOS,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,6,6,12
ATOCHA,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,0,1,1
AZURDUY,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,2,0,2
BERMEJO,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,7,9,16
CAMARGO,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,1,0,1
CAMIRI,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,25,11,36
CAPINOTA,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,2,3,5
CHALLAPATA,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,1,4,5
CHARAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,8,9,17
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,7,4,11
CLIZA,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,8,2,10
COBIJA,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,12,18,30
COCAPATA,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,1,0,1
COCHABAMBA,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,121,89,210
COLCAPIRHUA,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,2,1,3
COLQUECHACA,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,3,0,3
COMARAPA,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,0,1,1
CONCEPCION,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,4,1,5
COROICO,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,5,2,7
COTOCA,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,6,4,10
CULPINA,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,5,4,9
EL ALTO,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,124,105,229
EL TORNO,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,7,1,8
ENTRE RIOS TRJ,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,0,1,1
GUAYARAMERIN,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,3,3,6
GUTIERREZ,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,3,1,4
HUANUNI,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,4,7,11
IRUPANA (VILLA DE LANZA),diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,1,0,1
JESUS DE MACHACA,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,1,0,1
LA ASUNTA,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,2,0,2
LA GUARDIA,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,3,7,10
LA PAZ,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,89,83,172
LAGUNILLAS,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,0,4,4
LLALLAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,16,9,25
MAGDALENA,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,0,4,4
MAIRANA,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,0,2,2
MECAPACA,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,2,2,4
MONTEAGUDO,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,14,11,25
MONTERO,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,222,145,367
ORURO,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,37,25,62
PADILLA,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,1,0,1
PAILON,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,0,1,1
PORONGO,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,8,3,11
PORTACHUELO,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,12,11,23
POTOSI,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,60,42,102
PUERTO RICO,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,1,2,3
PUERTO SUAREZ,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,5,0,5
PUERTO VILLARROEL,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,12,8,20
PUNATA,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,14,4,18
QUILLACOLLO,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,28,13,41
RIBERALTA,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,1,5,6
ROBORE,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,5,9,14
RURRENABAQUE,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,3,7,10
SACABA,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,41,27,68
SAMAIPATA,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,2,1,3
SAN ANTONIO DE LOMERIO,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,5,1,6
SAN BORJA,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,1,1,2
SAN CARLOS,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,5,4,9
SAN IGNACIO,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,0,1,1
SAN IGNACIO DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,35,29,64
SAN JOAQUIN,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,0,1,1
SAN JOSE DE CHIQUITOS,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,3,0,3
SAN JULIAN,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,7,6,13
SAN MATIAS,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,1,0,1
SAN MIGUEL DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,1,0,1
SAN PEDRO,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,1,1,2
SAN RAFAEL,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,0,1,1
SAN RAMON BENI,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,1,0,1
SANTA ANA,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,7,1,8
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,237,308,545
SHINAOTA,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,15,13,28
SOPACHUY,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,3,0,3
SUCRE,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,10,13,23
TARABUCO,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,2,0,2
TARIJA,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,14,17,31
TARVITA,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,0,1,1
TIPUANI,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,0,1,1
TOMINA,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,1,1,2
TRINIDAD,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,2,4,6
TUPIZA,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,3,4,7
UYUNI,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,1,0,1
VILLA MONTES,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,2,1,3
VILLA SERRANO,diagnostico de egreso,neumonias en menores de 5 anos,2013-04-01,0,1,1
