,group,variable,month,REPETIDAS A. < 15,REPETIDAS A. < 15,REPETIDAS B. 15 A 19,REPETIDAS B. 15 A 19,REPETIDAS C. 20 - 34,REPETIDAS C. 20 - 34,REPETIDAS D. 35 - 49,REPETIDAS D. 35 - 49,REPETIDAS E. 50 Y +,REPETIDAS E. 50 Y +,TOTALES
CALAMARCA,consultas prenatales,repetidas,2019-01-01,0,0,11,1,42,3,8,0,0,0,65
CAMARGO,consultas prenatales,repetidas,2019-01-01,0,0,7,1,57,2,12,0,0,0,79
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,repetidas,2019-01-01,0,0,1,0,4,1,3,0,0,0,9
CAMIRI,consultas prenatales,repetidas,2019-01-01,1,0,62,0,223,0,30,0,0,0,316
CAPINOTA,consultas prenatales,repetidas,2019-01-01,0,0,51,0,93,0,19,0,0,0,163
CAQUIAVIRI,consultas prenatales,repetidas,2019-01-01,1,0,10,2,21,2,6,1,0,0,43
CARACOLLO,consultas prenatales,repetidas,2019-01-01,0,0,23,0,120,4,5,0,0,0,152
CARANAVI,consultas prenatales,repetidas,2019-01-01,2,0,57,0,247,0,56,0,0,0,362
CARAPARI,consultas prenatales,repetidas,2019-01-01,0,0,10,0,63,0,13,0,0,0,86
CARIPUYO,consultas prenatales,repetidas,2019-01-01,0,0,6,0,8,3,3,2,0,0,22
CARMEN RIVERO TORREZ,consultas prenatales,repetidas,2019-01-01,0,0,15,0,32,0,5,0,0,0,52
CATACORA,consultas prenatales,repetidas,2019-01-01,0,0,1,2,1,1,0,0,0,0,5
CHACARILLA,consultas prenatales,repetidas,2019-01-01,0,0,4,0,1,0,1,0,0,0,6
CHALLAPATA,consultas prenatales,repetidas,2019-01-01,0,0,34,1,134,4,17,2,0,0,192
CHAQUI,consultas prenatales,repetidas,2019-01-01,0,0,5,0,23,0,6,2,0,0,36
CHARAGUA,consultas prenatales,repetidas,2019-01-01,3,0,29,0,100,5,17,3,0,0,157
CHARAÑA,consultas prenatales,repetidas,2019-01-01,0,0,0,0,4,0,1,0,0,0,5
CHAYANTA,consultas prenatales,repetidas,2019-01-01,0,0,12,5,28,5,8,2,0,0,60
CHIMORE,consultas prenatales,repetidas,2019-01-01,3,0,61,3,197,7,23,1,0,0,295
CHIPAYA,consultas prenatales,repetidas,2019-01-01,0,0,1,0,6,0,0,0,0,0,7
CHOQUE COTA,consultas prenatales,repetidas,2019-01-01,0,0,0,0,3,0,0,0,0,0,3
CHUA COCANI,consultas prenatales,repetidas,2019-01-01,0,0,3,0,8,0,1,0,0,0,12
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,repetidas,2019-01-01,3,0,19,0,83,0,20,0,0,0,125
CHUMA,consultas prenatales,repetidas,2019-01-01,0,0,9,0,14,3,2,0,0,0,28
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,repetidas,2019-01-01,0,0,6,0,15,5,5,3,0,0,34
CKOCHAS,consultas prenatales,repetidas,2019-01-01,0,0,13,4,25,15,7,12,0,0,76
CLIZA,consultas prenatales,repetidas,2019-01-01,0,0,18,0,136,0,24,0,0,0,178
COBIJA,consultas prenatales,repetidas,2019-01-01,8,0,164,0,457,1,58,0,0,0,688
COCAPATA,consultas prenatales,repetidas,2019-01-01,1,0,15,2,39,12,8,5,0,0,82
COCHABAMBA,consultas prenatales,repetidas,2019-01-01,6,1,671,3,5108,84,1063,1,1,0,6938
COIPASA,consultas prenatales,repetidas,2019-01-01,0,0,1,0,4,0,1,0,0,0,6
COLCAPIRHUA,consultas prenatales,repetidas,2019-01-01,1,0,46,3,287,13,48,5,0,0,403
"COLCHA ""K""",consultas prenatales,repetidas,2019-01-01,0,0,8,0,48,3,6,1,0,0,66
COLLANA,consultas prenatales,repetidas,2019-01-01,0,0,1,0,6,1,0,0,0,0,8
COLOMI,consultas prenatales,repetidas,2019-01-01,1,0,60,0,140,0,24,0,0,0,225
COLPA BELGICA,consultas prenatales,repetidas,2019-01-01,1,0,9,0,37,0,1,0,0,0,48
COLQUECHACA,consultas prenatales,repetidas,2019-01-01,1,0,43,8,109,13,38,6,0,0,218
COLQUENCHA,consultas prenatales,repetidas,2019-01-01,0,0,15,1,50,0,7,0,0,0,73
COLQUIRI,consultas prenatales,repetidas,2019-01-01,0,0,7,1,28,7,7,1,0,0,51
COMANCHE,consultas prenatales,repetidas,2019-01-01,0,0,5,1,4,0,1,1,0,0,12
COMARAPA,consultas prenatales,repetidas,2019-01-01,1,0,43,0,94,0,17,0,0,0,155
COMBAYA,consultas prenatales,repetidas,2019-01-01,0,0,1,0,1,0,0,0,0,0,2
CONCEPCION,consultas prenatales,repetidas,2019-01-01,2,0,55,4,105,5,7,14,0,0,192
COPACABANA,consultas prenatales,repetidas,2019-01-01,0,0,5,0,46,1,6,0,0,0,58
CORIPATA,consultas prenatales,repetidas,2019-01-01,0,0,25,0,81,0,16,0,0,0,122
CORO CORO,consultas prenatales,repetidas,2019-01-01,0,0,6,0,8,3,6,0,0,0,23
COROICO,consultas prenatales,repetidas,2019-01-01,0,0,21,0,67,3,12,0,0,0,103
CORQUE,consultas prenatales,repetidas,2019-01-01,0,0,1,0,13,1,4,0,0,0,19
COTAGAITA,consultas prenatales,repetidas,2019-01-01,0,0,26,1,58,3,11,1,0,0,100
COTOCA,consultas prenatales,repetidas,2019-01-01,3,0,104,2,358,14,49,2,0,0,532
CUATRO CAÑADAS,consultas prenatales,repetidas,2019-01-01,3,0,24,0,119,7,19,0,0,0,172
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,repetidas,2019-01-01,0,0,4,0,6,0,0,0,0,0,10
CUEVO,consultas prenatales,repetidas,2019-01-01,0,0,4,0,15,3,2,1,0,0,25
CULPINA,consultas prenatales,repetidas,2019-01-01,1,0,18,5,48,5,18,3,0,0,98
CURAHUARA DE CARANGAS,consultas prenatales,repetidas,2019-01-01,0,0,7,0,15,0,4,1,0,0,27
CURVA,consultas prenatales,repetidas,2019-01-01,0,0,2,0,4,2,1,1,0,0,10
DESAGUADERO,consultas prenatales,repetidas,2019-01-01,0,0,8,0,30,0,6,0,0,0,44
EL ALTO,consultas prenatales,repetidas,2019-01-01,12,10,780,152,4901,844,982,135,0,0,7816
EL CHORO,consultas prenatales,repetidas,2019-01-01,0,0,3,0,3,3,1,0,0,0,10
EL PUENTE(STC),consultas prenatales,repetidas,2019-01-01,0,0,14,0,26,0,6,0,0,0,46
EL PUENTE(TJA),consultas prenatales,repetidas,2019-01-01,0,0,11,2,24,1,4,0,0,0,42
EL TORNO,consultas prenatales,repetidas,2019-01-01,7,0,76,5,335,8,66,1,0,0,498
EL VILLAR,consultas prenatales,repetidas,2019-01-01,0,0,3,1,11,1,0,1,0,0,17
ENTRE RIOS TRJ,consultas prenatales,repetidas,2019-01-01,3,0,25,2,71,6,12,1,0,0,120
ENTRE RIOS CBBA,consultas prenatales,repetidas,2019-01-01,4,0,96,2,275,0,36,0,0,0,413
ESCOMA,consultas prenatales,repetidas,2019-01-01,0,0,8,0,14,0,5,0,0,0,27
ESMERALDA,consultas prenatales,repetidas,2019-01-01,0,0,0,0,0,1,0,0,0,0,1
EUCALIPTUS,consultas prenatales,repetidas,2019-01-01,0,0,4,0,16,0,3,0,0,0,23
EUREKA (SANTOS MERCADO),consultas prenatales,repetidas,2019-01-01,0,0,2,0,7,0,1,0,0,0,10
EXALTACION,consultas prenatales,repetidas,2019-01-01,0,0,3,0,5,0,1,0,0,0,9
FERNANDEZ ALONSO,consultas prenatales,repetidas,2019-01-01,0,0,13,0,52,2,10,0,0,0,77
FILADELFIA,consultas prenatales,repetidas,2019-01-01,0,0,11,0,13,0,1,0,0,0,25
GENERAL SAAVEDRA,consultas prenatales,repetidas,2019-01-01,0,0,20,0,52,0,11,0,0,0,83
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,repetidas,2019-01-01,0,0,6,2,11,4,2,0,0,0,25
GUANAY,consultas prenatales,repetidas,2019-01-01,0,0,20,2,58,3,9,0,0,0,92
GUAQUI,consultas prenatales,repetidas,2019-01-01,0,0,5,0,14,0,3,0,0,0,22
GUAYARAMERIN,consultas prenatales,repetidas,2019-01-01,4,0,104,0,252,1,29,0,0,0,390
GUTIERREZ,consultas prenatales,repetidas,2019-01-01,1,0,13,0,31,0,6,0,0,0,51
HUACARETA,consultas prenatales,repetidas,2019-01-01,1,0,10,2,29,0,3,0,0,0,45
HUACAYA (VILLA DE HUACAYA),consultas prenatales,repetidas,2019-01-01,0,0,4,1,4,2,2,0,0,0,13
HUACHACALLA,consultas prenatales,repetidas,2019-01-01,0,0,1,0,3,0,1,0,0,0,5
HUANUNI,consultas prenatales,repetidas,2019-01-01,0,0,28,0,122,0,16,1,0,0,167
HUARACAJE,consultas prenatales,repetidas,2019-01-01,0,0,7,0,12,0,1,0,0,0,20
HUARINA,consultas prenatales,repetidas,2019-01-01,2,0,3,0,19,2,5,0,0,0,31
HUATAJATA,consultas prenatales,repetidas,2019-01-01,1,0,2,0,6,0,3,0,0,0,12
HUAYLLAMARCA,consultas prenatales,repetidas,2019-01-01,0,0,6,0,7,0,2,0,0,0,15
HUMANATA,consultas prenatales,repetidas,2019-01-01,0,0,7,0,3,0,1,0,0,0,11
ICHOCA,consultas prenatales,repetidas,2019-01-01,0,0,1,3,7,0,1,0,0,0,12
ICLA,consultas prenatales,repetidas,2019-01-01,0,0,4,0,13,5,4,0,0,0,26
INCAHUASI,consultas prenatales,repetidas,2019-01-01,0,0,6,6,16,12,4,1,0,0,45
INGAVI (HUMAITA),consultas prenatales,repetidas,2019-01-01,1,0,4,0,9,0,2,0,0,0,16
INQUISIVI,consultas prenatales,repetidas,2019-01-01,0,0,12,2,22,4,5,0,0,0,45
IRUPANA (VILLA DE LANZA),consultas prenatales,repetidas,2019-01-01,0,0,13,1,42,3,6,0,0,0,65
IXIAMAS,consultas prenatales,repetidas,2019-01-01,1,0,10,0,27,0,5,0,0,0,43
JESUS DE MACHACA,consultas prenatales,repetidas,2019-01-01,0,0,10,2,26,1,6,0,0,0,45
LA ASUNTA,consultas prenatales,repetidas,2019-01-01,1,0,61,0,179,1,25,0,0,0,267
LA GUARDIA,consultas prenatales,repetidas,2019-01-01,2,0,150,0,537,0,80,0,1,0,770
LA PAZ,consultas prenatales,repetidas,2019-01-01,37,0,474,14,4237,8,1071,0,89,0,5930
LAGUNILLAS,consultas prenatales,repetidas,2019-01-01,0,0,8,2,20,2,1,0,0,0,33
LAJA,consultas prenatales,repetidas,2019-01-01,1,0,20,0,66,0,1,0,0,0,88
LAS CARRERAS,consultas prenatales,repetidas,2019-01-01,1,0,2,1,4,0,1,0,0,0,9
LICOMA PAMPA,consultas prenatales,repetidas,2019-01-01,0,0,9,0,5,0,0,0,0,0,14
LLALLAGUA,consultas prenatales,repetidas,2019-01-01,0,0,90,2,218,7,40,0,0,0,357
LLICA,consultas prenatales,repetidas,2019-01-01,0,0,7,0,12,1,1,0,0,0,21
LORETO,consultas prenatales,repetidas,2019-01-01,0,0,3,1,9,0,3,0,0,0,16
LURIBAY,consultas prenatales,repetidas,2019-01-01,0,0,6,0,23,0,2,0,0,0,31
MACHACAMARCA,consultas prenatales,repetidas,2019-01-01,0,0,1,0,10,0,2,0,0,0,13
MACHARETI,consultas prenatales,repetidas,2019-01-01,0,0,6,0,9,2,0,0,0,0,17
MAGDALENA,consultas prenatales,repetidas,2019-01-01,1,0,19,0,70,0,15,0,0,0,105
MAIRANA,consultas prenatales,repetidas,2019-01-01,2,0,21,0,69,0,20,0,0,0,112
MALLA,consultas prenatales,repetidas,2019-01-01,0,0,0,0,2,1,1,1,0,0,5
MAPIRI,consultas prenatales,repetidas,2019-01-01,2,0,39,0,115,1,15,0,0,0,172
MECAPACA,consultas prenatales,repetidas,2019-01-01,0,0,10,2,38,2,6,0,0,0,58
MINEROS,consultas prenatales,repetidas,2019-01-01,3,0,41,0,121,4,16,0,0,0,185
MIZQUE,consultas prenatales,repetidas,2019-01-01,0,0,38,2,88,1,23,0,1,0,153
MOCOMOCO,consultas prenatales,repetidas,2019-01-01,0,0,9,1,19,1,2,1,0,0,33
MOJINETE,consultas prenatales,repetidas,2019-01-01,0,0,0,0,2,0,0,1,0,0,3
MOJOCOYA,consultas prenatales,repetidas,2019-01-01,0,0,4,0,13,2,2,0,0,0,21
MONTEAGUDO,consultas prenatales,repetidas,2019-01-01,2,0,37,1,133,1,22,0,0,0,196
MONTERO,consultas prenatales,repetidas,2019-01-01,7,0,216,4,881,10,161,3,0,0,1282
MORO MORO,consultas prenatales,repetidas,2019-01-01,0,0,4,2,10,3,1,2,0,0,22
MOROCHATA,consultas prenatales,repetidas,2019-01-01,0,0,14,1,27,2,7,1,0,0,52
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,repetidas,2019-01-01,1,0,5,0,10,0,2,0,0,0,18
NAZACARA DE PACAJES,consultas prenatales,repetidas,2019-01-01,0,0,1,0,1,0,0,0,0,0,2
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,repetidas,2019-01-01,0,0,1,0,2,0,0,0,0,0,3
OCURI,consultas prenatales,repetidas,2019-01-01,0,0,6,0,31,4,21,6,0,0,68
OKINAWA,consultas prenatales,repetidas,2019-01-01,1,0,25,0,64,1,1,0,0,0,92
OMEREQUE,consultas prenatales,repetidas,2019-01-01,0,0,8,0,24,0,10,0,0,0,42
ORURO,consultas prenatales,repetidas,2019-01-01,2,0,359,127,2095,62,574,5,1,0,3225
PADCAYA,consultas prenatales,repetidas,2019-01-01,0,0,12,0,46,1,18,0,0,0,77
PADILLA,consultas prenatales,repetidas,2019-01-01,1,0,19,2,53,2,7,1,0,0,85
PAILON,consultas prenatales,repetidas,2019-01-01,1,0,52,0,198,1,21,0,2,0,275
PALCA,consultas prenatales,repetidas,2019-01-01,0,0,17,1,48,1,8,0,0,0,75
PALOS BLANCOS,consultas prenatales,repetidas,2019-01-01,6,0,38,1,118,1,27,0,0,0,191
PAMPA AULLAGAS,consultas prenatales,repetidas,2019-01-01,0,0,4,0,4,1,0,1,0,0,10
PAMPA GRANDE,consultas prenatales,repetidas,2019-01-01,0,0,7,0,41,0,3,0,0,0,51
PAPEL PAMPA,consultas prenatales,repetidas,2019-01-01,1,0,9,0,14,1,1,0,0,0,26
PASORAPA,consultas prenatales,repetidas,2019-01-01,0,0,3,0,1,0,0,0,0,0,4
PATACAMAYA,consultas prenatales,repetidas,2019-01-01,0,0,25,2,117,4,19,0,0,0,167
PAZÑA,consultas prenatales,repetidas,2019-01-01,0,0,4,0,10,0,1,2,0,0,17
PELECHUCO,consultas prenatales,repetidas,2019-01-01,0,0,6,1,20,0,4,1,0,0,32
POCOATA,consultas prenatales,repetidas,2019-01-01,0,0,14,6,34,18,3,16,0,0,91
POCONA,consultas prenatales,repetidas,2019-01-01,1,0,14,0,29,1,6,0,0,0,51
POJO (CBBA),consultas prenatales,repetidas,2019-01-01,0,0,12,1,46,0,14,0,0,0,73
POOPO,consultas prenatales,repetidas,2019-01-01,0,0,6,0,12,1,0,0,0,0,19
PORCO,consultas prenatales,repetidas,2019-01-01,1,0,30,1,55,4,6,0,0,0,97
POROMA,consultas prenatales,repetidas,2019-01-01,0,0,14,1,17,21,11,6,0,0,70
PORONGO,consultas prenatales,repetidas,2019-01-01,1,0,3,0,18,1,7,1,0,0,31
PORTACHUELO,consultas prenatales,repetidas,2019-01-01,0,0,35,0,83,3,13,0,0,0,134
PORVENIR,consultas prenatales,repetidas,2019-01-01,0,0,14,0,27,0,1,0,0,0,42
POSTRER VALLE,consultas prenatales,repetidas,2019-01-01,0,0,4,0,3,0,0,0,0,0,7
POTOSI,consultas prenatales,repetidas,2019-01-01,12,0,230,42,1197,59,175,6,0,0,1721
PRESTO,consultas prenatales,repetidas,2019-01-01,1,0,2,3,11,8,10,2,0,0,37
PUCARA,consultas prenatales,repetidas,2019-01-01,0,0,0,0,1,1,0,0,0,0,2
PUCARANI,consultas prenatales,repetidas,2019-01-01,0,0,23,2,93,5,11,0,0,0,134
PUERTO ACOSTA,consultas prenatales,repetidas,2019-01-01,0,0,5,1,15,2,4,0,0,0,27
PUERTO CARABUCO,consultas prenatales,repetidas,2019-01-01,0,0,6,1,24,5,4,0,0,0,40
PUERTO GONZALO MORENO,consultas prenatales,repetidas,2019-01-01,0,0,11,1,23,0,4,1,0,0,40
PUERTO PEREZ,consultas prenatales,repetidas,2019-01-01,0,0,4,1,9,1,2,0,0,0,17
PUERTO QUIJARRO,consultas prenatales,repetidas,2019-01-01,1,0,31,3,10,0,3,0,0,0,48
PUERTO RICO,consultas prenatales,repetidas,2019-01-01,3,0,26,0,31,1,3,0,0,0,64
PUERTO SILES,consultas prenatales,repetidas,2019-01-01,0,0,0,0,7,0,2,0,0,0,9
PUERTO SUAREZ,consultas prenatales,repetidas,2019-01-01,2,0,22,0,106,1,11,0,0,0,142
PUERTO VILLARROEL,consultas prenatales,repetidas,2019-01-01,3,0,126,0,337,3,37,1,1,0,508
PUNA,consultas prenatales,repetidas,2019-01-01,0,0,10,3,23,16,4,5,0,0,61
PUNATA,consultas prenatales,repetidas,2019-01-01,1,0,39,0,180,5,50,1,0,0,276
QUIABAYA,consultas prenatales,repetidas,2019-01-01,0,0,2,0,9,0,1,0,0,0,12
QUILLACOLLO,consultas prenatales,repetidas,2019-01-01,2,1,128,24,512,95,102,21,1,0,886
QUIME,consultas prenatales,repetidas,2019-01-01,0,0,7,0,27,1,4,0,0,0,39
QUIRUSILLAS,consultas prenatales,repetidas,2019-01-01,0,0,0,0,4,0,2,0,0,0,6
RAQAYPAMPA(ETA),consultas prenatales,repetidas,2019-01-01,0,0,8,0,7,0,9,0,0,0,24
RAVELO,consultas prenatales,repetidas,2019-01-01,0,0,10,2,16,8,8,11,0,0,55
REYES,consultas prenatales,repetidas,2019-01-01,1,0,21,0,44,1,7,0,0,0,74
RIBERALTA,consultas prenatales,repetidas,2019-01-01,23,0,288,0,672,4,85,0,0,0,1072
ROBORE,consultas prenatales,repetidas,2019-01-01,2,0,21,0,51,2,6,2,0,0,84
RURRENABAQUE,consultas prenatales,repetidas,2019-01-01,4,26,118,28,24,0,7,0,0,0,207
SABAYA,consultas prenatales,repetidas,2019-01-01,0,0,2,0,9,2,1,0,0,0,14
SACABA,consultas prenatales,repetidas,2019-01-01,3,0,168,15,545,47,122,12,0,0,912
SACABAMBA,consultas prenatales,repetidas,2019-01-01,0,0,8,0,10,0,7,1,1,0,27
SACACA,consultas prenatales,repetidas,2019-01-01,0,0,17,4,40,4,12,0,0,0,77
SAIPINA,consultas prenatales,repetidas,2019-01-01,0,0,6,0,34,0,2,0,0,0,42
SALINAS DE GARCI MENDOZA,consultas prenatales,repetidas,2019-01-01,0,0,5,1,25,4,7,4,0,0,46
SAMAIPATA,consultas prenatales,repetidas,2019-01-01,0,0,8,0,15,0,6,0,0,0,29
SAN AGUSTIN,consultas prenatales,repetidas,2019-01-01,0,0,0,0,7,0,4,0,0,0,11
SAN ANDRES,consultas prenatales,repetidas,2019-01-01,3,0,19,0,28,0,7,0,0,0,57
SAN ANDRES DE MACHACA,consultas prenatales,repetidas,2019-01-01,0,0,1,0,3,1,0,1,0,0,6
SAN ANTONIO DE ESMORUCO,consultas prenatales,repetidas,2019-01-01,0,0,1,0,2,0,0,0,0,0,3
SAN ANTONIO DE LOMERIO,consultas prenatales,repetidas,2019-01-01,0,0,8,2,23,4,3,1,0,0,41
SAN BENITO,consultas prenatales,repetidas,2019-01-01,1,0,11,0,36,0,11,0,0,0,59
SAN BORJA,consultas prenatales,repetidas,2019-01-01,1,0,82,1,238,3,49,0,2,0,376
SAN BUENA VENTURA,consultas prenatales,repetidas,2019-01-01,1,0,12,0,47,1,10,0,0,0,71
SAN CARLOS,consultas prenatales,repetidas,2019-01-01,2,0,26,1,93,0,18,0,0,0,140
SAN IGNACIO,consultas prenatales,repetidas,2019-01-01,5,0,34,0,111,0,28,0,0,0,178
SAN IGNACIO DE VELASCO,consultas prenatales,repetidas,2019-01-01,5,2,103,5,292,12,59,4,0,0,482
SAN JAVIER(BNI),consultas prenatales,repetidas,2019-01-01,0,0,1,0,6,0,1,0,0,0,8
SAN JAVIER(STC),consultas prenatales,repetidas,2019-01-01,1,0,23,0,72,0,0,0,0,0,96
SAN JOAQUIN,consultas prenatales,repetidas,2019-01-01,0,0,5,0,24,0,2,0,0,0,31
SAN JOSE DE CHIQUITOS,consultas prenatales,repetidas,2019-01-01,4,0,50,0,127,0,7,0,0,0,188
SAN JUAN DE YAPACANI,consultas prenatales,repetidas,2019-01-01,0,1,9,0,30,0,5,0,0,0,45
SAN JULIAN,consultas prenatales,repetidas,2019-01-01,1,0,60,0,202,4,25,0,0,0,292
SAN LORENZO(PND),consultas prenatales,repetidas,2019-01-01,1,0,11,1,25,2,6,2,0,0,48
SAN LORENZO(TJA),consultas prenatales,repetidas,2019-01-01,1,0,27,2,85,3,9,2,0,0,129
SAN LUCAS,consultas prenatales,repetidas,2019-01-01,0,1,34,11,78,19,20,13,0,0,176
SAN MATIAS,consultas prenatales,repetidas,2019-01-01,5,0,36,0,80,0,20,0,0,0,141
SAN MIGUEL DE VELASCO,consultas prenatales,repetidas,2019-01-01,1,0,19,2,64,1,6,2,0,0,95
SAN PABLO DE LIPEZ,consultas prenatales,repetidas,2019-01-01,0,0,3,0,8,0,0,0,0,0,11
SAN PEDRO,consultas prenatales,repetidas,2019-01-01,0,0,22,0,69,1,8,0,0,0,100
SAN PEDRO DE BUENA VISTA,consultas prenatales,repetidas,2019-01-01,0,0,20,5,42,14,31,11,0,0,123
SAN PEDRO DE CURAHUARA,consultas prenatales,repetidas,2019-01-01,0,0,5,0,9,0,3,0,0,0,17
SAN PEDRO DE QUEMES,consultas prenatales,repetidas,2019-01-01,0,0,0,0,1,0,1,0,0,0,2
SAN PEDRO DE TIQUINA,consultas prenatales,repetidas,2019-01-01,0,0,3,0,7,1,2,0,0,0,13
SAN PEDRO(PND),consultas prenatales,repetidas,2019-01-01,0,0,0,1,5,1,0,1,0,0,8
SAN RAFAEL,consultas prenatales,repetidas,2019-01-01,1,0,13,0,16,0,4,0,0,0,34
SAN RAMON BENI,consultas prenatales,repetidas,2019-01-01,0,0,4,0,15,0,2,0,0,0,21
SAN RAMON SCZ,consultas prenatales,repetidas,2019-01-01,1,0,20,0,43,0,9,0,0,0,73
SANTA ANA,consultas prenatales,repetidas,2019-01-01,4,0,39,2,90,2,6,0,0,0,143
SANTA CRUZ DE LA SIERRA,consultas prenatales,repetidas,2019-01-01,34,0,1612,2,8474,3,1210,4,5,0,11344
SANTA ROSA,consultas prenatales,repetidas,2019-01-01,0,0,16,2,49,1,4,1,0,0,73
SANTA ROSA DEL SARA,consultas prenatales,repetidas,2019-01-01,2,0,28,0,59,1,10,0,0,0,100
SANTIAGO DE CALLAPA,consultas prenatales,repetidas,2019-01-01,0,0,2,0,7,1,1,1,0,0,12
SANTIAGO DE HUARI,consultas prenatales,repetidas,2019-01-01,0,0,3,2,16,6,6,4,0,0,37
SANTIAGO DE HUATA,consultas prenatales,repetidas,2019-01-01,0,0,4,0,19,0,1,0,0,0,24
SANTIAGO DE MACHACA,consultas prenatales,repetidas,2019-01-01,0,0,3,0,6,0,2,0,0,0,11
SANTIVAÑES,consultas prenatales,repetidas,2019-01-01,0,0,10,0,30,0,2,0,0,0,42
