,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TOTALES,TOTALES,TOTALES
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-09-01,1,0,1,0,2,0,2
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-10-01,0,0,1,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-10-01,2,0,3,0,5,0,5
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-10-01,1,0,1,0,2,0,2
SIPE SIPE,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-10-01,1,0,1,0,2,0,2
SUCRE,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-10-01,0,1,0,0,0,1,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-10-01,0,1,2,0,2,1,3
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-11-01,1,0,0,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-11-01,1,0,0,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-11-01,0,0,2,0,2,0,2
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-11-01,1,0,0,0,1,0,1
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-12-01,0,0,1,0,1,0,1
COLQUIRI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-12-01,0,0,1,0,1,0,1
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-12-01,0,1,0,1,0,2,2
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-12-01,0,0,1,0,1,0,1
