,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TOTALES,TOTALES,TOTALES
ANZALDO,leishmaniasis,tratamientos de leishmania mucosa,2013-03-01,1,0,0,0,1,0,1
APOLO,leishmaniasis,tratamientos de leishmania mucosa,2013-03-01,0,1,0,0,0,1,1
BERMEJO,leishmaniasis,tratamientos de leishmania mucosa,2013-03-01,1,0,1,0,2,0,2
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2013-03-01,1,0,1,1,2,1,3
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa,2013-03-01,2,0,0,0,2,0,2
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2013-03-01,2,0,2,0,4,0,4
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa,2013-03-01,1,1,1,0,2,1,3
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania mucosa,2013-03-01,1,0,0,0,1,0,1
PUERTO RICO,leishmaniasis,tratamientos de leishmania mucosa,2013-03-01,1,0,0,0,1,0,1
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2013-03-01,1,0,2,1,3,1,4
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa,2013-03-01,1,0,0,0,1,0,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2013-03-01,1,0,0,0,1,0,1
ANZALDO,leishmaniasis,tratamientos de leishmania mucosa,2013-04-01,0,0,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania mucosa,2013-04-01,0,0,0,1,0,1,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2013-04-01,3,0,1,0,4,0,4
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2013-04-01,1,0,1,0,2,0,2
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa,2013-04-01,2,1,0,0,2,1,3
IXIAMAS,leishmaniasis,tratamientos de leishmania mucosa,2013-04-01,1,0,0,0,1,0,1
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania mucosa,2013-04-01,0,0,1,0,1,0,1
QUILLACOLLO,leishmaniasis,tratamientos de leishmania mucosa,2013-04-01,1,0,0,0,1,0,1
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2013-04-01,0,0,1,0,1,0,1
SACABA,leishmaniasis,tratamientos de leishmania mucosa,2013-04-01,1,0,0,0,1,0,1
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa,2013-04-01,0,0,1,0,1,0,1
SAN LORENZO(PND),leishmaniasis,tratamientos de leishmania mucosa,2013-04-01,2,0,0,0,2,0,2
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2013-04-01,1,0,1,0,2,0,2
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2013-05-01,1,0,2,0,3,0,3
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa,2013-05-01,1,0,0,0,1,0,1
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2013-05-01,0,1,0,0,0,1,1
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa,2013-05-01,1,0,1,0,2,0,2
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania mucosa,2013-05-01,1,1,0,0,1,1,2
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania mucosa,2013-05-01,2,0,0,0,2,0,2
QUILLACOLLO,leishmaniasis,tratamientos de leishmania mucosa,2013-05-01,0,0,1,0,1,0,1
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2013-05-01,1,1,0,0,1,1,2
SACABA,leishmaniasis,tratamientos de leishmania mucosa,2013-05-01,0,0,1,0,1,0,1
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa,2013-05-01,1,1,1,0,2,1,3
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2013-05-01,1,0,0,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2013-06-01,1,2,0,0,1,2,3
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2013-06-01,1,0,0,1,1,1,2
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2013-06-01,0,0,0,1,0,1,1
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa,2013-06-01,4,0,1,0,5,0,5
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania mucosa,2013-06-01,1,0,0,0,1,0,1
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania mucosa,2013-06-01,0,0,0,2,0,2,2
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2013-06-01,2,0,0,0,2,0,2
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa,2013-06-01,0,0,0,1,0,1,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2013-06-01,2,0,1,0,3,0,3
BERMEJO,leishmaniasis,tratamientos de leishmania mucosa,2013-07-01,1,0,0,0,1,0,1
CAPINOTA,leishmaniasis,tratamientos de leishmania mucosa,2013-07-01,1,0,0,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2013-07-01,0,0,0,3,0,3,3
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2013-07-01,0,1,0,0,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania mucosa,2013-07-01,1,1,0,0,1,1,2
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2013-07-01,2,0,2,1,4,1,5
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2013-07-01,2,0,0,0,2,0,2
BERMEJO,leishmaniasis,tratamientos de leishmania mucosa,2013-08-01,1,0,1,0,2,0,2
CAPINOTA,leishmaniasis,tratamientos de leishmania mucosa,2013-08-01,0,0,1,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2013-08-01,2,3,1,1,3,4,7
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa,2013-08-01,1,0,1,1,2,1,3
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa,2013-08-01,1,0,0,0,1,0,1
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania mucosa,2013-08-01,0,1,0,0,0,1,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2013-08-01,0,1,0,1,0,2,2
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania mucosa,2013-08-01,1,3,2,1,3,4,7
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania mucosa,2013-08-01,0,1,0,0,0,1,1
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2013-08-01,3,0,1,0,4,0,4
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2013-08-01,1,0,0,0,1,0,1
APOLO,leishmaniasis,tratamientos de leishmania mucosa,2013-09-01,0,0,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania mucosa,2013-09-01,1,0,0,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2013-09-01,0,1,1,1,1,2,3
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa,2013-09-01,1,0,1,0,2,0,2
COROICO,leishmaniasis,tratamientos de leishmania mucosa,2013-09-01,2,0,0,0,2,0,2
EUREKA (SANTOS MERCADO),leishmaniasis,tratamientos de leishmania mucosa,2013-09-01,1,0,0,0,1,0,1
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa,2013-09-01,0,0,1,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2013-09-01,0,0,0,1,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania mucosa,2013-09-01,1,2,2,4,3,6,9
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania mucosa,2013-09-01,0,1,0,1,0,2,2
PUERTO RICO,leishmaniasis,tratamientos de leishmania mucosa,2013-09-01,1,0,0,0,1,0,1
SAN LORENZO(PND),leishmaniasis,tratamientos de leishmania mucosa,2013-09-01,1,0,0,0,1,0,1
SENA,leishmaniasis,tratamientos de leishmania mucosa,2013-09-01,1,0,0,0,1,0,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2013-09-01,1,0,0,0,1,0,1
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2013-10-01,0,1,0,0,0,1,1
CAPINOTA,leishmaniasis,tratamientos de leishmania mucosa,2013-10-01,1,0,1,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania mucosa,2013-10-01,2,0,0,0,2,0,2
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2013-10-01,0,0,1,1,1,1,2
COROICO,leishmaniasis,tratamientos de leishmania mucosa,2013-10-01,0,0,1,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2013-10-01,1,1,0,0,1,1,2
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania mucosa,2013-10-01,1,1,0,2,1,3,4
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2013-10-01,0,0,2,0,2,0,2
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2013-10-01,1,0,0,0,1,0,1
SENA,leishmaniasis,tratamientos de leishmania mucosa,2013-10-01,0,1,0,0,0,1,1
VILLA NUEVA (LOMA ALTA),leishmaniasis,tratamientos de leishmania mucosa,2013-10-01,0,1,0,0,0,1,1
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2013-11-01,3,0,0,0,3,0,3
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2013-11-01,0,1,0,0,0,1,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2013-11-01,0,1,0,0,0,1,1
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa,2013-11-01,0,0,1,0,1,0,1
COLQUIRI,leishmaniasis,tratamientos de leishmania mucosa,2013-11-01,1,0,0,0,1,0,1
COROICO,leishmaniasis,tratamientos de leishmania mucosa,2013-11-01,1,0,0,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2013-11-01,2,0,1,0,3,0,3
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2013-11-01,1,0,1,0,2,0,2
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2013-11-01,0,1,0,0,0,1,1
SANTA ROSA,leishmaniasis,tratamientos de leishmania mucosa,2013-11-01,0,1,0,0,0,1,1
SENA,leishmaniasis,tratamientos de leishmania mucosa,2013-11-01,0,0,0,1,0,1,1
VILLA NUEVA (LOMA ALTA),leishmaniasis,tratamientos de leishmania mucosa,2013-11-01,0,0,0,1,0,1,1
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2013-12-01,0,0,2,0,2,0,2
BERMEJO,leishmaniasis,tratamientos de leishmania mucosa,2013-12-01,0,0,1,0,1,0,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2013-12-01,0,0,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania mucosa,2013-12-01,1,0,0,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2013-12-01,0,0,0,1,0,1,1
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa,2013-12-01,1,0,0,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2013-12-01,1,0,1,0,2,0,2
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2013-12-01,1,0,0,0,1,0,1
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa,2013-12-01,1,0,0,0,1,0,1
INQUISIVI,leishmaniasis,tratamientos de leishmania mucosa,2013-12-01,1,0,1,0,2,0,2
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania mucosa,2013-12-01,1,1,0,0,1,1,2
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2013-12-01,1,0,0,0,1,0,1
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania mucosa,2013-12-01,0,0,1,0,1,0,1
PUERTO RICO,leishmaniasis,tratamientos de leishmania mucosa,2013-12-01,0,1,0,0,0,1,1
SACABA,leishmaniasis,tratamientos de leishmania mucosa,2013-12-01,0,1,0,1,0,2,2
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2013-12-01,0,0,1,0,1,0,1
