municipality,group,variable,month,Anestesias generales y regionales,TOTAL
PUNATA,cirugias y anestesias,anestesias generales y regionales,2009-01-01,46,46
QUILLACOLLO,cirugias y anestesias,anestesias generales y regionales,2009-01-01,32,32
REYES,cirugias y anestesias,anestesias generales y regionales,2009-01-01,2,2
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2009-01-01,216,216
ROBORE,cirugias y anestesias,anestesias generales y regionales,2009-01-01,8,8
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2009-01-01,10,10
SACABA,cirugias y anestesias,anestesias generales y regionales,2009-01-01,53,53
SAMAIPATA,cirugias y anestesias,anestesias generales y regionales,2009-01-01,2,2
SAN BORJA,cirugias y anestesias,anestesias generales y regionales,2009-01-01,26,26
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2009-01-01,17,17
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2009-01-01,18,18
SAN IGNACIO,cirugias y anestesias,anestesias generales y regionales,2009-01-01,6,6
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2009-01-01,69,69
SAN JAVIER(STC),cirugias y anestesias,anestesias generales y regionales,2009-01-01,7,7
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2009-01-01,38,38
SAN JUAN DE YAPACANI,cirugias y anestesias,anestesias generales y regionales,2009-01-01,47,47
SAN JULIAN,cirugias y anestesias,anestesias generales y regionales,2009-01-01,26,26
SAN LUCAS,cirugias y anestesias,anestesias generales y regionales,2009-01-01,17,17
SAN MATIAS,cirugias y anestesias,anestesias generales y regionales,2009-01-01,16,16
SAN RAMON,cirugias y anestesias,anestesias generales y regionales,2009-01-01,1,1
SAN RAMON,cirugias y anestesias,anestesias generales y regionales,2009-01-01,2,2
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2009-01-01,23,23
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2009-01-01,4299,4299
SENA,cirugias y anestesias,anestesias generales y regionales,2009-01-01,57,57
SOPACHUY,cirugias y anestesias,anestesias generales y regionales,2009-01-01,5,5
SUCRE,cirugias y anestesias,anestesias generales y regionales,2009-01-01,1335,1335
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2009-01-01,7,7
TARIJA,cirugias y anestesias,anestesias generales y regionales,2009-01-01,562,562
TIRAQUE (CBBA),cirugias y anestesias,anestesias generales y regionales,2009-01-01,7,7
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2009-01-01,285,285
TUPIZA,cirugias y anestesias,anestesias generales y regionales,2009-01-01,30,30
UNCIA,cirugias y anestesias,anestesias generales y regionales,2009-01-01,64,64
UYUNI,cirugias y anestesias,anestesias generales y regionales,2009-01-01,13,13
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2009-01-01,47,47
VIACHA,cirugias y anestesias,anestesias generales y regionales,2009-01-01,18,18
VILLA MONTES,cirugias y anestesias,anestesias generales y regionales,2009-01-01,67,67
VILLA TUNARI,cirugias y anestesias,anestesias generales y regionales,2009-01-01,14,14
VILLAZON,cirugias y anestesias,anestesias generales y regionales,2009-01-01,56,56
VINTO,cirugias y anestesias,anestesias generales y regionales,2009-01-01,1,1
WARNES,cirugias y anestesias,anestesias generales y regionales,2009-01-01,19,19
YACUIBA,cirugias y anestesias,anestesias generales y regionales,2009-01-01,85,85
YOTALA,cirugias y anestesias,anestesias generales y regionales,2009-01-01,25,25
ZUDAÑEZ,cirugias y anestesias,anestesias generales y regionales,2009-01-01,10,10
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2009-02-01,5,5
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2009-02-01,39,39
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,anestesias generales y regionales,2009-02-01,1,1
BAURES,cirugias y anestesias,anestesias generales y regionales,2009-02-01,4,4
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2009-02-01,45,45
BETANZOS,cirugias y anestesias,anestesias generales y regionales,2009-02-01,7,7
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2009-02-01,8,8
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2009-02-01,89,89
CARACOLLO,cirugias y anestesias,anestesias generales y regionales,2009-02-01,40,40
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2009-02-01,11,11
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2009-02-01,4,4
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2009-02-01,11,11
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,anestesias generales y regionales,2009-02-01,3,3
COBIJA,cirugias y anestesias,anestesias generales y regionales,2009-02-01,109,109
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2009-02-01,3268,3268
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2009-02-01,52,52
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2009-02-01,9,9
CONCEPCION,cirugias y anestesias,anestesias generales y regionales,2009-02-01,27,27
COROICO,cirugias y anestesias,anestesias generales y regionales,2009-02-01,19,19
COTOCA,cirugias y anestesias,anestesias generales y regionales,2009-02-01,11,11
CULPINA,cirugias y anestesias,anestesias generales y regionales,2009-02-01,13,13
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2009-02-01,611,611
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2009-02-01,24,24
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2009-02-01,115,115
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2009-02-01,2526,2526
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2009-02-01,41,41
MAGDALENA,cirugias y anestesias,anestesias generales y regionales,2009-02-01,13,13
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2009-02-01,11,11
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2009-02-01,39,39
ORURO,cirugias y anestesias,anestesias generales y regionales,2009-02-01,577,577
PADILLA,cirugias y anestesias,anestesias generales y regionales,2009-02-01,17,17
PATACAMAYA,cirugias y anestesias,anestesias generales y regionales,2009-02-01,17,17
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2009-02-01,49,49
PORVENIR,cirugias y anestesias,anestesias generales y regionales,2009-02-01,9,9
POTOSI,cirugias y anestesias,anestesias generales y regionales,2009-02-01,699,699
PUERTO ACOSTA,cirugias y anestesias,anestesias generales y regionales,2009-02-01,2,2
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2009-02-01,74,74
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2009-02-01,210,210
PUNATA,cirugias y anestesias,anestesias generales y regionales,2009-02-01,40,40
QUILLACOLLO,cirugias y anestesias,anestesias generales y regionales,2009-02-01,32,32
REYES,cirugias y anestesias,anestesias generales y regionales,2009-02-01,5,5
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2009-02-01,218,218
ROBORE,cirugias y anestesias,anestesias generales y regionales,2009-02-01,10,10
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2009-02-01,6,6
SACABA,cirugias y anestesias,anestesias generales y regionales,2009-02-01,82,82
SAN BORJA,cirugias y anestesias,anestesias generales y regionales,2009-02-01,10,10
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2009-02-01,6,6
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2009-02-01,18,18
SAN IGNACIO,cirugias y anestesias,anestesias generales y regionales,2009-02-01,4,4
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2009-02-01,47,47
SAN JAVIER(STC),cirugias y anestesias,anestesias generales y regionales,2009-02-01,14,14
SAN JOAQUIN,cirugias y anestesias,anestesias generales y regionales,2009-02-01,1,1
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2009-02-01,28,28
SAN JUAN DE YAPACANI,cirugias y anestesias,anestesias generales y regionales,2009-02-01,47,47
SAN JULIAN,cirugias y anestesias,anestesias generales y regionales,2009-02-01,5,5
SAN LUCAS,cirugias y anestesias,anestesias generales y regionales,2009-02-01,12,12
SAN MATIAS,cirugias y anestesias,anestesias generales y regionales,2009-02-01,18,18
SAN RAMON,cirugias y anestesias,anestesias generales y regionales,2009-02-01,5,5
SAN RAMON,cirugias y anestesias,anestesias generales y regionales,2009-02-01,8,8
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2009-02-01,19,19
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2009-02-01,3205,3205
SANTA ROSA,cirugias y anestesias,anestesias generales y regionales,2009-02-01,3,3
SANTA ROSA DEL SARA,cirugias y anestesias,anestesias generales y regionales,2009-02-01,4,4
SOPACHUY,cirugias y anestesias,anestesias generales y regionales,2009-02-01,7,7
SUCRE,cirugias y anestesias,anestesias generales y regionales,2009-02-01,966,966
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2009-02-01,8,8
TARIJA,cirugias y anestesias,anestesias generales y regionales,2009-02-01,452,452
TIRAQUE (CBBA),cirugias y anestesias,anestesias generales y regionales,2009-02-01,7,7
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2009-02-01,215,215
TUPIZA,cirugias y anestesias,anestesias generales y regionales,2009-02-01,21,21
UNCIA,cirugias y anestesias,anestesias generales y regionales,2009-02-01,45,45
UYUNI,cirugias y anestesias,anestesias generales y regionales,2009-02-01,7,7
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2009-02-01,36,36
VIACHA,cirugias y anestesias,anestesias generales y regionales,2009-02-01,14,14
VILLA MONTES,cirugias y anestesias,anestesias generales y regionales,2009-02-01,57,57
VILLA TUNARI,cirugias y anestesias,anestesias generales y regionales,2009-02-01,9,9
VILLAZON,cirugias y anestesias,anestesias generales y regionales,2009-02-01,34,34
VINTO,cirugias y anestesias,anestesias generales y regionales,2009-02-01,37,37
WARNES,cirugias y anestesias,anestesias generales y regionales,2009-02-01,26,26
YACUIBA,cirugias y anestesias,anestesias generales y regionales,2009-02-01,108,108
YAPACANI,cirugias y anestesias,anestesias generales y regionales,2009-02-01,6,6
YOTALA,cirugias y anestesias,anestesias generales y regionales,2009-02-01,20,20
ACHACACHI,cirugias y anestesias,anestesias generales y regionales,2009-03-01,1,1
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2009-03-01,10,10
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2009-03-01,40,40
AZURDUY,cirugias y anestesias,anestesias generales y regionales,2009-03-01,1,1
BAURES,cirugias y anestesias,anestesias generales y regionales,2009-03-01,3,3
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2009-03-01,65,65
BETANZOS,cirugias y anestesias,anestesias generales y regionales,2009-03-01,4,4
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2009-03-01,7,7
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2009-03-01,98,98
CARACOLLO,cirugias y anestesias,anestesias generales y regionales,2009-03-01,6,6
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2009-03-01,19,19
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2009-03-01,9,9
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2009-03-01,6,6
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,anestesias generales y regionales,2009-03-01,3,3
COBIJA,cirugias y anestesias,anestesias generales y regionales,2009-03-01,134,134
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2009-03-01,3419,3419
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2009-03-01,73,73
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2009-03-01,13,13
CONCEPCION,cirugias y anestesias,anestesias generales y regionales,2009-03-01,34,34
COPACABANA,cirugias y anestesias,anestesias generales y regionales,2009-03-01,6,6
COROICO,cirugias y anestesias,anestesias generales y regionales,2009-03-01,24,24
COTAGAITA,cirugias y anestesias,anestesias generales y regionales,2009-03-01,1,1
COTOCA,cirugias y anestesias,anestesias generales y regionales,2009-03-01,12,12
CULPINA,cirugias y anestesias,anestesias generales y regionales,2009-03-01,21,21
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2009-03-01,780,780
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2009-03-01,17,17
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2009-03-01,77,77
JESUS DE MACHACA,cirugias y anestesias,anestesias generales y regionales,2009-03-01,6,6
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2009-03-01,2986,2986
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2009-03-01,55,55
MAGDALENA,cirugias y anestesias,anestesias generales y regionales,2009-03-01,11,11
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2009-03-01,6,6
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2009-03-01,38,38
MONTERO,cirugias y anestesias,anestesias generales y regionales,2009-03-01,60,60
OCURI,cirugias y anestesias,anestesias generales y regionales,2009-03-01,3,3
ORURO,cirugias y anestesias,anestesias generales y regionales,2009-03-01,703,703
PADILLA,cirugias y anestesias,anestesias generales y regionales,2009-03-01,28,28
PATACAMAYA,cirugias y anestesias,anestesias generales y regionales,2009-03-01,14,14
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2009-03-01,55,55
PORVENIR,cirugias y anestesias,anestesias generales y regionales,2009-03-01,13,13
POTOSI,cirugias y anestesias,anestesias generales y regionales,2009-03-01,752,752
PUERTO ACOSTA,cirugias y anestesias,anestesias generales y regionales,2009-03-01,5,5
PUERTO RICO,cirugias y anestesias,anestesias generales y regionales,2009-03-01,85,85
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2009-03-01,79,79
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2009-03-01,96,96
PUNATA,cirugias y anestesias,anestesias generales y regionales,2009-03-01,42,42
QUILLACOLLO,cirugias y anestesias,anestesias generales y regionales,2009-03-01,45,45
REYES,cirugias y anestesias,anestesias generales y regionales,2009-03-01,8,8
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2009-03-01,271,271
ROBORE,cirugias y anestesias,anestesias generales y regionales,2009-03-01,12,12
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2009-03-01,11,11
SACABA,cirugias y anestesias,anestesias generales y regionales,2009-03-01,89,89
SAN BORJA,cirugias y anestesias,anestesias generales y regionales,2009-03-01,36,36
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2009-03-01,10,10
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2009-03-01,30,30
SAN IGNACIO,cirugias y anestesias,anestesias generales y regionales,2009-03-01,6,6
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2009-03-01,61,61
SAN JAVIER(STC),cirugias y anestesias,anestesias generales y regionales,2009-03-01,12,12
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2009-03-01,69,69
SAN JUAN DE YAPACANI,cirugias y anestesias,anestesias generales y regionales,2009-03-01,44,44
SAN JULIAN,cirugias y anestesias,anestesias generales y regionales,2009-03-01,35,35
SAN LUCAS,cirugias y anestesias,anestesias generales y regionales,2009-03-01,13,13
SAN MATIAS,cirugias y anestesias,anestesias generales y regionales,2009-03-01,23,23
SAN RAMON,cirugias y anestesias,anestesias generales y regionales,2009-03-01,19,19
SAN RAMON,cirugias y anestesias,anestesias generales y regionales,2009-03-01,3,3
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2009-03-01,26,26
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2009-03-01,4508,4508
SANTA ROSA,cirugias y anestesias,anestesias generales y regionales,2009-03-01,1,1
SOPACHUY,cirugias y anestesias,anestesias generales y regionales,2009-03-01,6,6
SUCRE,cirugias y anestesias,anestesias generales y regionales,2009-03-01,1192,1192
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2009-03-01,15,15
TARIJA,cirugias y anestesias,anestesias generales y regionales,2009-03-01,437,437
TIQUIPAYA,cirugias y anestesias,anestesias generales y regionales,2009-03-01,3,3
TIRAQUE (CBBA),cirugias y anestesias,anestesias generales y regionales,2009-03-01,8,8
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2009-03-01,256,256
TUPIZA,cirugias y anestesias,anestesias generales y regionales,2009-03-01,28,28
UYUNI,cirugias y anestesias,anestesias generales y regionales,2009-03-01,10,10
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2009-03-01,43,43
VIACHA,cirugias y anestesias,anestesias generales y regionales,2009-03-01,15,15
VILLA MONTES,cirugias y anestesias,anestesias generales y regionales,2009-03-01,67,67
VILLA TUNARI,cirugias y anestesias,anestesias generales y regionales,2009-03-01,39,39
VILLAZON,cirugias y anestesias,anestesias generales y regionales,2009-03-01,58,58
VINTO,cirugias y anestesias,anestesias generales y regionales,2009-03-01,3,3
WARNES,cirugias y anestesias,anestesias generales y regionales,2009-03-01,26,26
YACUIBA,cirugias y anestesias,anestesias generales y regionales,2009-03-01,147,147
YAMPARAEZ,cirugias y anestesias,anestesias generales y regionales,2009-03-01,3,3
YAPACANI,cirugias y anestesias,anestesias generales y regionales,2009-03-01,11,11
YOTALA,cirugias y anestesias,anestesias generales y regionales,2009-03-01,18,18
ZUDAÑEZ,cirugias y anestesias,anestesias generales y regionales,2009-03-01,1,1
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2009-04-01,4,4
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2009-04-01,32,32
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,anestesias generales y regionales,2009-04-01,1,1
AZURDUY,cirugias y anestesias,anestesias generales y regionales,2009-04-01,12,12
BAURES,cirugias y anestesias,anestesias generales y regionales,2009-04-01,3,3
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2009-04-01,61,61
BETANZOS,cirugias y anestesias,anestesias generales y regionales,2009-04-01,4,4
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2009-04-01,20,20
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2009-04-01,77,77
CARACOLLO,cirugias y anestesias,anestesias generales y regionales,2009-04-01,17,17
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2009-04-01,24,24
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2009-04-01,9,9
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2009-04-01,9,9
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,anestesias generales y regionales,2009-04-01,2,2
COBIJA,cirugias y anestesias,anestesias generales y regionales,2009-04-01,129,129
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2009-04-01,3302,3302
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2009-04-01,62,62
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2009-04-01,11,11
CONCEPCION,cirugias y anestesias,anestesias generales y regionales,2009-04-01,26,26
COROICO,cirugias y anestesias,anestesias generales y regionales,2009-04-01,22,22
COTAGAITA,cirugias y anestesias,anestesias generales y regionales,2009-04-01,1,1
COTOCA,cirugias y anestesias,anestesias generales y regionales,2009-04-01,14,14
CULPINA,cirugias y anestesias,anestesias generales y regionales,2009-04-01,23,23
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2009-04-01,884,884
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2009-04-01,20,20
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2009-04-01,67,67
JESUS DE MACHACA,cirugias y anestesias,anestesias generales y regionales,2009-04-01,3,3
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2009-04-01,3066,3066
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2009-04-01,54,54
MAGDALENA,cirugias y anestesias,anestesias generales y regionales,2009-04-01,10,10
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2009-04-01,3,3
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2009-04-01,42,42
MONTERO,cirugias y anestesias,anestesias generales y regionales,2009-04-01,58,58
OCURI,cirugias y anestesias,anestesias generales y regionales,2009-04-01,1,1
ORURO,cirugias y anestesias,anestesias generales y regionales,2009-04-01,636,636
PADILLA,cirugias y anestesias,anestesias generales y regionales,2009-04-01,11,11
PATACAMAYA,cirugias y anestesias,anestesias generales y regionales,2009-04-01,19,19
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2009-04-01,32,32
PORVENIR,cirugias y anestesias,anestesias generales y regionales,2009-04-01,7,7
POTOSI,cirugias y anestesias,anestesias generales y regionales,2009-04-01,648,648
PUERTO ACOSTA,cirugias y anestesias,anestesias generales y regionales,2009-04-01,3,3
PUERTO RICO,cirugias y anestesias,anestesias generales y regionales,2009-04-01,113,113
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2009-04-01,83,83
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2009-04-01,125,125
PUNATA,cirugias y anestesias,anestesias generales y regionales,2009-04-01,54,54
QUILLACOLLO,cirugias y anestesias,anestesias generales y regionales,2009-04-01,42,42
REYES,cirugias y anestesias,anestesias generales y regionales,2009-04-01,5,5
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2009-04-01,270,270
ROBORE,cirugias y anestesias,anestesias generales y regionales,2009-04-01,7,7
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2009-04-01,6,6
SACABA,cirugias y anestesias,anestesias generales y regionales,2009-04-01,85,85
SAMAIPATA,cirugias y anestesias,anestesias generales y regionales,2009-04-01,3,3
SAN ANDRES,cirugias y anestesias,anestesias generales y regionales,2009-04-01,1,1
SAN BORJA,cirugias y anestesias,anestesias generales y regionales,2009-04-01,36,36
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2009-04-01,13,13
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2009-04-01,25,25
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2009-04-01,67,67
SAN JAVIER(STC),cirugias y anestesias,anestesias generales y regionales,2009-04-01,7,7
SAN JOAQUIN,cirugias y anestesias,anestesias generales y regionales,2009-04-01,1,1
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2009-04-01,36,36
SAN JUAN DE YAPACANI,cirugias y anestesias,anestesias generales y regionales,2009-04-01,35,35
SAN JULIAN,cirugias y anestesias,anestesias generales y regionales,2009-04-01,63,63
SAN LUCAS,cirugias y anestesias,anestesias generales y regionales,2009-04-01,18,18
SAN MATIAS,cirugias y anestesias,anestesias generales y regionales,2009-04-01,20,20
SAN RAMON,cirugias y anestesias,anestesias generales y regionales,2009-04-01,13,13
SAN RAMON,cirugias y anestesias,anestesias generales y regionales,2009-04-01,1,1
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2009-04-01,33,33
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2009-04-01,4197,4197
SANTA ROSA,cirugias y anestesias,anestesias generales y regionales,2009-04-01,1,1
SOPACHUY,cirugias y anestesias,anestesias generales y regionales,2009-04-01,4,4
SUCRE,cirugias y anestesias,anestesias generales y regionales,2009-04-01,1361,1361
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2009-04-01,9,9
TARIJA,cirugias y anestesias,anestesias generales y regionales,2009-04-01,527,527
TARVITA,cirugias y anestesias,anestesias generales y regionales,2009-04-01,5,5
TIRAQUE (CBBA),cirugias y anestesias,anestesias generales y regionales,2009-04-01,13,13
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2009-04-01,145,145
TUPIZA,cirugias y anestesias,anestesias generales y regionales,2009-04-01,26,26
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2009-04-01,40,40
VIACHA,cirugias y anestesias,anestesias generales y regionales,2009-04-01,15,15
VILLA MONTES,cirugias y anestesias,anestesias generales y regionales,2009-04-01,56,56
VILLAZON,cirugias y anestesias,anestesias generales y regionales,2009-04-01,49,49
VINTO,cirugias y anestesias,anestesias generales y regionales,2009-04-01,33,33
