,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TOTALES,TOTALES
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2022-02-01,0,0,1,0,1,0
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania mucosa,2022-02-01,0,0,1,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2022-02-01,3,0,1,0,4,0
TARATA,leishmaniasis,tratamientos de leishmania mucosa,2022-02-01,1,0,0,0,1,0
APOLO,leishmaniasis,tratamientos de leishmania mucosa,2022-03-01,0,0,1,0,1,0
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2022-03-01,0,0,1,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2022-03-01,3,3,0,0,3,3
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2022-03-01,1,1,1,1,2,2
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa,2022-03-01,1,0,0,0,1,0
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2022-03-01,1,0,0,0,1,0
MAPIRI,leishmaniasis,tratamientos de leishmania mucosa,2022-03-01,0,0,1,0,1,0
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2022-03-01,1,0,0,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2022-03-01,2,0,4,1,6,1
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa,2022-03-01,9,6,0,0,9,6
TARATA,leishmaniasis,tratamientos de leishmania mucosa,2022-03-01,1,0,1,0,2,0
VILLA MONTES,leishmaniasis,tratamientos de leishmania mucosa,2022-03-01,0,0,0,1,0,1
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2022-04-01,1,1,0,0,1,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2022-04-01,5,4,3,3,8,7
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2022-04-01,3,0,3,0,6,0
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2022-04-01,0,1,0,0,0,1
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa,2022-04-01,0,0,1,0,1,0
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2022-04-01,0,0,1,0,1,0
PUERTO RICO,leishmaniasis,tratamientos de leishmania mucosa,2022-04-01,0,1,0,0,0,1
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2022-04-01,2,0,4,0,6,0
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa,2022-04-01,9,6,9,6,18,12
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2022-05-01,0,0,1,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2022-05-01,3,2,4,4,7,6
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2022-05-01,1,1,2,0,3,1
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2022-05-01,0,0,0,1,0,1
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa,2022-05-01,1,0,1,0,2,0
MONTERO,leishmaniasis,tratamientos de leishmania mucosa,2022-05-01,4,15,11,0,15,15
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania mucosa,2022-05-01,0,1,0,0,0,1
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2022-05-01,1,0,0,0,1,0
PUERTO RICO,leishmaniasis,tratamientos de leishmania mucosa,2022-05-01,1,0,0,1,1,1
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2022-05-01,1,0,3,0,4,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2022-05-01,0,0,0,1,0,1
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2022-06-01,1,0,1,0,2,0
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2022-06-01,0,2,0,0,0,2
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2022-06-01,1,2,0,1,1,3
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2022-06-01,0,1,3,2,3,3
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2022-06-01,0,0,1,1,1,1
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2022-06-01,1,0,0,0,1,0
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa,2022-06-01,1,0,1,0,2,0
INGAVI (HUMAITA),leishmaniasis,tratamientos de leishmania mucosa,2022-06-01,1,0,0,0,1,0
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania mucosa,2022-06-01,0,0,0,1,0,1
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2022-06-01,1,0,1,0,2,0
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa,2022-06-01,1,0,0,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2022-06-01,1,0,0,0,1,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2022-06-01,2,1,0,0,2,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2022-06-01,1,0,0,0,1,0
VINTO,leishmaniasis,tratamientos de leishmania mucosa,2022-06-01,2,0,0,0,2,0
AYOPAYA (V. DE INDEPENDENCIA),leishmaniasis,tratamientos de leishmania mucosa,2022-07-01,0,0,1,0,1,0
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2022-07-01,1,0,0,0,1,0
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2022-07-01,0,0,2,0,2,0
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2022-07-01,0,0,1,1,1,1
CARAPARI,leishmaniasis,tratamientos de leishmania mucosa,2022-07-01,0,0,129,0,129,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2022-07-01,1,1,0,1,1,2
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa,2022-07-01,1,0,0,0,1,0
CONCEPCION,leishmaniasis,tratamientos de leishmania mucosa,2022-07-01,1,0,0,0,1,0
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2022-07-01,2,0,0,0,2,0
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa,2022-07-01,1,0,1,0,2,0
MAGDALENA,leishmaniasis,tratamientos de leishmania mucosa,2022-07-01,1,0,0,0,1,0
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2022-07-01,0,0,1,0,1,0
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa,2022-07-01,0,0,1,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2022-07-01,4,0,0,1,4,1
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2022-07-01,0,0,2,1,2,1
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2022-07-01,1,0,0,0,1,0
VINTO,leishmaniasis,tratamientos de leishmania mucosa,2022-07-01,0,0,2,0,2,0
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2022-08-01,0,0,1,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2022-08-01,6,4,2,1,8,5
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2022-08-01,3,0,2,0,5,0
MAPIRI,leishmaniasis,tratamientos de leishmania mucosa,2022-08-01,0,0,2,0,2,0
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania mucosa,2022-08-01,0,0,1,0,1,0
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2022-08-01,1,0,1,0,2,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2022-08-01,1,1,1,0,2,1
SACABA,leishmaniasis,tratamientos de leishmania mucosa,2022-08-01,0,0,1,0,1,0
SAN ANDRES,leishmaniasis,tratamientos de leishmania mucosa,2022-08-01,0,0,1,0,1,0
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2022-08-01,1,0,1,0,2,0
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa,2022-08-01,1,0,0,0,1,0
SANTA ANA,leishmaniasis,tratamientos de leishmania mucosa,2022-08-01,0,0,1,0,1,0
ALTO BENI,leishmaniasis,tratamientos de leishmania mucosa,2022-09-01,0,0,1,1,1,1
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2022-09-01,1,0,0,0,1,0
CAJUATA,leishmaniasis,tratamientos de leishmania mucosa,2022-09-01,0,0,1,1,1,1
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2022-09-01,1,1,0,0,1,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2022-09-01,0,0,6,4,6,4
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2022-09-01,1,1,0,0,1,1
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2022-09-01,1,1,2,0,3,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2022-09-01,1,0,0,0,1,0
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania mucosa,2022-09-01,1,0,0,0,1,0
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2022-09-01,0,0,1,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2022-09-01,4,0,2,0,6,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2022-09-01,0,2,0,0,0,2
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2022-09-01,0,0,1,0,1,0
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania mucosa,2022-09-01,0,1,0,0,0,1
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa,2022-09-01,0,0,2,0,2,0
VILLA MONTES,leishmaniasis,tratamientos de leishmania mucosa,2022-09-01,1,0,0,0,1,0
ALTO BENI,leishmaniasis,tratamientos de leishmania mucosa,2022-10-01,0,1,1,0,1,1
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2022-10-01,1,0,1,0,2,0
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2022-10-01,0,1,0,1,0,2
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2022-10-01,2,0,2,0,4,0
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2022-10-01,1,0,1,0,2,0
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2022-10-01,1,0,2,1,3,1
INGAVI (HUMAITA),leishmaniasis,tratamientos de leishmania mucosa,2022-10-01,1,0,1,0,2,0
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2022-10-01,1,0,1,1,2,1
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania mucosa,2022-10-01,0,0,2,0,2,0
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania mucosa,2022-10-01,1,0,1,0,2,0
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2022-10-01,0,2,0,0,0,2
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2022-10-01,2,0,2,0,4,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2022-10-01,0,0,0,2,0,2
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2022-10-01,1,0,0,0,1,0
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania mucosa,2022-10-01,0,0,0,1,0,1
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa,2022-10-01,1,2,0,0,1,2
SAN PEDRO(PND),leishmaniasis,tratamientos de leishmania mucosa,2022-10-01,1,0,0,0,1,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2022-10-01,1,0,0,0,1,0
ALTO BENI,leishmaniasis,tratamientos de leishmania mucosa,2022-11-01,0,1,0,1,0,2
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2022-11-01,2,0,2,0,4,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2022-11-01,3,2,2,0,5,2
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2022-11-01,0,0,1,0,1,0
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2022-11-01,1,1,1,0,2,1
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania mucosa,2022-11-01,0,0,1,0,1,0
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2022-11-01,0,0,0,1,0,1
PUERTO RICO,leishmaniasis,tratamientos de leishmania mucosa,2022-11-01,1,0,0,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2022-11-01,1,0,2,1,3,1
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2022-11-01,0,1,0,0,0,1
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa,2022-11-01,0,0,1,2,1,2
SAN PEDRO(PND),leishmaniasis,tratamientos de leishmania mucosa,2022-11-01,1,0,1,0,2,0
SENA,leishmaniasis,tratamientos de leishmania mucosa,2022-11-01,1,0,0,0,1,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2022-11-01,0,0,6,0,6,0
ALTO BENI,leishmaniasis,tratamientos de leishmania mucosa,2022-12-01,0,0,0,1,0,1
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2022-12-01,1,0,0,0,1,0
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2022-12-01,0,1,0,0,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2022-12-01,0,1,1,1,1,2
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa,2022-12-01,1,0,0,0,1,0
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2022-12-01,2,0,1,0,3,0
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2022-12-01,0,0,0,1,0,1
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa,2022-12-01,1,0,0,0,1,0
HUACARETA,leishmaniasis,tratamientos de leishmania mucosa,2022-12-01,0,0,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2022-12-01,0,0,1,0,1,0
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2022-12-01,1,0,0,0,1,0
PUERTO RICO,leishmaniasis,tratamientos de leishmania mucosa,2022-12-01,0,0,1,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2022-12-01,0,0,4,0,4,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2022-12-01,2,0,1,0,3,0
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa,2022-12-01,1,4,0,0,1,4
SAN PEDRO(PND),leishmaniasis,tratamientos de leishmania mucosa,2022-12-01,0,0,1,0,1,0
SENA,leishmaniasis,tratamientos de leishmania mucosa,2022-12-01,0,0,1,0,1,0
