,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA CONCLUIDO,TOTALES,TOTALES
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-06-01,1,0,1,0,2,0
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-06-01,1,0,0,0,1,0
BERMEJO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-07-01,1,0,0,0,1,0
CARAPARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-07-01,0,0,2,0,2,0
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-07-01,1,0,0,0,1,0
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-07-01,1,0,1,0,2,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-07-01,1,1,0,0,1,1
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-08-01,1,0,2,0,3,0
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-08-01,1,0,0,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-08-01,0,0,1,0,1,0
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-08-01,0,0,1,0,1,0
SAN LORENZO(PND),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-08-01,0,1,0,0,0,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-08-01,0,0,1,1,1,1
BERMEJO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-09-01,0,0,1,0,1,0
LA PAZ,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-09-01,0,1,0,0,0,1
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-09-01,1,0,1,0,2,0
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-09-01,0,0,1,0,1,0
QUILLACOLLO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-09-01,1,0,0,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-09-01,1,0,0,0,1,0
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-09-01,1,2,0,0,1,2
SAN IGNACIO DE VELASCO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-09-01,3,0,0,1,3,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-10-01,1,0,0,0,1,0
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-10-01,1,0,0,0,1,0
QUILLACOLLO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-10-01,0,0,1,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-10-01,0,0,1,0,1,0
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-10-01,0,1,0,0,0,1
SAN LORENZO(PND),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-10-01,0,1,0,0,0,1
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-11-01,1,0,0,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-11-01,0,0,1,0,1,0
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-11-01,1,0,0,0,1,0
ENTRE RIOS TRJ,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-11-01,1,0,0,0,1,0
SAN LORENZO(PND),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-11-01,0,0,0,1,0,1
SIPE SIPE,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-11-01,1,0,0,0,1,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-11-01,0,0,1,0,1,0
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-12-01,0,0,1,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-12-01,0,1,1,1,1,2
ENTRE RIOS TRJ,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-12-01,0,0,1,0,1,0
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-12-01,1,0,1,0,2,0
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-12-01,0,0,1,0,1,0
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-12-01,2,0,0,0,2,0
SIPE SIPE,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-12-01,0,0,1,0,1,0
