,group,variable,month,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TOTALES,TOTALES
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2022-01-01,8,4,17,5,25,9
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2022-01-01,1,0,2,0,3,0
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2022-01-01,3,4,3,3,6,7
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2022-01-01,0,1,0,1,0,2
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2022-01-01,2,1,3,0,5,1
REYES,leishmaniasis,tratamientos de leishmania cutanea,2022-01-01,1,0,0,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2022-01-01,1,0,0,1,1,1
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2022-01-01,1,0,2,2,3,2
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2022-01-01,1,0,0,0,1,0
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2022-01-01,0,0,1,0,1,0
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2022-01-01,1,0,2,0,3,0
SENA,leishmaniasis,tratamientos de leishmania cutanea,2022-01-01,1,0,0,0,1,0
SHINAOTA,leishmaniasis,tratamientos de leishmania cutanea,2022-01-01,4,1,1,1,5,2
TRINIDAD,leishmaniasis,tratamientos de leishmania cutanea,2022-01-01,1,0,0,0,1,0
VILLA NUEVA (LOMA ALTA),leishmaniasis,tratamientos de leishmania cutanea,2022-01-01,0,0,1,0,1,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2022-01-01,9,2,7,2,16,4
ALTO BENI,leishmaniasis,tratamientos de leishmania cutanea,2022-02-01,1,1,0,0,1,1
ARANI,leishmaniasis,tratamientos de leishmania cutanea,2022-02-01,1,0,0,0,1,0
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2022-02-01,0,2,0,0,0,2
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2022-02-01,3,1,0,1,3,2
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2022-02-01,1,1,1,1,2,2
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2022-02-01,1,0,0,0,1,0
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2022-02-01,3,0,1,0,4,0
CONCEPCION,leishmaniasis,tratamientos de leishmania cutanea,2022-02-01,1,0,3,0,4,0
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2022-02-01,2,2,1,1,3,3
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2022-02-01,5,0,2,1,7,1
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2022-02-01,2,0,3,0,5,0
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2022-02-01,1,0,2,1,3,1
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2022-02-01,1,1,0,1,1,2
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2022-02-01,2,0,2,0,4,0
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2022-02-01,8,4,0,1,8,5
MAPIRI,leishmaniasis,tratamientos de leishmania cutanea,2022-02-01,1,0,0,0,1,0
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2022-02-01,1,1,2,0,3,1
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2022-02-01,1,4,1,5,2,9
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2022-02-01,2,1,2,2,4,3
REYES,leishmaniasis,tratamientos de leishmania cutanea,2022-02-01,0,0,1,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2022-02-01,3,0,1,0,4,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2022-02-01,2,1,0,0,2,1
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2022-02-01,1,0,1,0,2,0
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2022-02-01,2,1,0,1,2,2
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2022-02-01,2,0,1,0,3,0
SENA,leishmaniasis,tratamientos de leishmania cutanea,2022-02-01,0,0,1,0,1,0
SHINAOTA,leishmaniasis,tratamientos de leishmania cutanea,2022-02-01,0,0,0,1,0,1
VILLA NUEVA (LOMA ALTA),leishmaniasis,tratamientos de leishmania cutanea,2022-02-01,0,1,0,1,0,2
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2022-02-01,7,5,6,3,13,8
ALTO BENI,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,3,0,2,1,5,1
APOLO,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,1,0,0,0,1,0
ARBIETO,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,1,0,0,0,1,0
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,1,0,0,0,1,0
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,2,0,0,2,2,2
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,3,0,4,1,7,1
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,1,1,1,0,2,1
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,5,0,1,1,6,1
COCAPATA,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,1,0,1,0,2,0
CONCEPCION,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,1,0,0,0,1,0
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,0,0,1,1,1,1
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,7,4,7,3,14,7
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,3,0,3,0,6,0
EUREKA (SANTOS MERCADO),leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,1,0,0,0,1,0
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,1,0,0,1,1,1
GUANAY,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,1,1,0,0,1,1
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,0,1,0,0,0,1
HUACARETA,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,0,0,1,0,1,0
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,0,0,2,1,2,1
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,1,1,1,1,2,2
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,5,8,11,7,16,15
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,2,1,0,1,2,2
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,1,0,1,0,2,0
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,1,0,1,0,2,0
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,4,0,1,2,5,2
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,1,1,2,1,3,2
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,2,0,0,0,2,0
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,1,1,1,2,2,3
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,11,2,3,0,14,2
SAN IGNACIO DE VELASCO,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,1,0,0,0,1,0
SAN LORENZO(PND),leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,1,0,1,0,2,0
SANTA ROSA,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,2,0,2,0,4,0
SENA,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,1,0,0,0,1,0
SHINAOTA,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,3,0,2,0,5,0
SIPE SIPE,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,0,1,0,0,0,1
SUCRE,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,0,1,0,0,0,1
TACOBAMBA,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,0,7,0,0,0,7
TEOPONTE,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,1,3,0,0,1,3
TIPUANI,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,0,0,1,0,1,0
TRINIDAD,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,0,1,0,0,0,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,3,5,5,5,8,10
VINTO,leishmaniasis,tratamientos de leishmania cutanea,2022-03-01,1,0,0,0,1,0
ARANI,leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,0,0,1,0,1,0
ARBIETO,leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,0,0,1,0,1,0
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,1,1,1,0,2,1
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,2,0,0,0,2,0
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,1,0,0,0,1,0
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,0,0,2,0,2,0
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,4,3,2,2,6,5
CARMEN RIVERO TORREZ,leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,0,0,1,0,1,0
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,1,0,1,0,2,0
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,8,2,7,0,15,2
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,1,0,0,0,1,0
CONCEPCION,leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,0,0,2,0,2,0
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,3,0,4,0,7,0
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,2,1,1,0,3,1
EUREKA (SANTOS MERCADO),leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,1,2,1,1,2,3
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,1,1,0,1,1,2
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,0,1,0,1,0,2
HUACARETA,leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,1,0,0,0,1,0
INGAVI (HUMAITA),leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,0,0,1,0,1,0
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,2,0,0,0,2,0
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,1,0,0,0,1,0
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,8,9,8,6,16,15
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,2,1,3,1,5,2
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,6,5,6,3,12,8
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,1,1,0,0,1,1
REYES,leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,1,0,0,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,8,0,3,0,11,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,2,0,2,1,4,1
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,1,0,2,0,3,0
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,0,0,0,1,0,1
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,1,0,0,0,1,0
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,6,0,5,0,11,0
SENA,leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,1,0,1,0,2,0
SHINAOTA,leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,1,2,0,1,1,3
SIPE SIPE,leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,0,0,0,1,0,1
TACOBAMBA,leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,0,44,0,0,0,44
TEOPONTE,leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,0,0,1,3,1,3
TIQUIPAYA,leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,1,0,0,0,1,0
TRINIDAD,leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,2,0,0,0,2,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,8,5,5,3,13,8
VINTO,leishmaniasis,tratamientos de leishmania cutanea,2022-04-01,0,0,1,0,1,0
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,1,0,0,1,1,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,3,1,2,0,5,1
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,8,2,6,3,14,5
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,0,0,1,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,14,1,12,2,26,3
COCAPATA,leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,1,0,1,0,2,0
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,0,0,1,0,1,0
COLCAPIRHUA,leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,1,0,1,0,2,0
CONCEPCION,leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,2,0,0,0,2,0
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,0,1,0,0,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,5,0,3,0,8,0
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,7,1,4,1,11,2
EUREKA (SANTOS MERCADO),leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,1,1,1,0,2,1
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,2,2,3,3,5,5
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,1,0,3,0,4,0
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,4,0,4,0,8,0
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,15,3,12,7,27,10
MONTEAGUDO,leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,1,0,0,0,1,0
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,2,1,1,1,3,2
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,0,1,0,0,0,1
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,3,1,2,1,5,2
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,0,1,0,0,0,1
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,0,1,0,0,0,1
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,1,0,1,0,2,0
QUILLACOLLO,leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,2,0,0,0,2,0
REYES,leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,0,0,1,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,9,3,8,0,17,3
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,0,2,1,0,1,2
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,0,0,1,0,1,0
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,2,3,3,1,5,4
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,3,3,3,2,6,5
SENA,leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,0,0,1,0,1,0
SHINAOTA,leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,0,0,1,0,1,0
SICAYA,leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,1,0,0,0,1,0
TIQUIPAYA,leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,0,0,1,0,1,0
TRINIDAD,leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,2,1,0,0,2,1
VILLA NUEVA (LOMA ALTA),leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,1,0,0,0,1,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2022-05-01,9,5,4,3,13,8
APOLO,leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,1,0,0,0,1,0
AYOPAYA (V. DE INDEPENDENCIA),leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,1,0,0,0,1,0
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,0,0,1,0,1,0
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,0,4,2,1,2,5
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,1,1,0,1,1,2
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,5,4,4,1,9,5
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,3,1,1,0,4,1
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,12,10,10,1,22,11
COCAPATA,leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,1,0,1,0,2,0
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,1,0,0,0,1,0
CONCEPCION,leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,17,0,5,0,22,0
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,0,0,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,6,1,4,0,10,1
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,4,2,5,1,9,3
EUREKA (SANTOS MERCADO),leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,0,1,0,2,0,3
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,1,0,1,0,2,0
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,2,0,0,0,2,0
HUACARETA,leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,0,1,0,0,0,1
INGAVI (HUMAITA),leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,1,0,0,0,1,0
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,1,1,1,1,2,2
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,11,7,7,3,18,10
MONTEAGUDO,leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,0,0,1,0,1,0
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,2,0,2,1,4,1
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,4,1,3,2,7,3
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,3,4,2,0,5,4
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,1,0,0,1,1,1
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,0,0,1,1,1,1
QUILLACOLLO,leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,1,2,1,1,2,3
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,15,2,9,2,24,4
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,3,0,2,1,5,1
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,1,0,0,0,1,0
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,3,0,1,0,4,0
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,3,1,0,0,3,1
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,2,2,1,1,3,3
SAN LORENZO(PND),leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,1,0,1,0,2,0
SENA,leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,0,1,0,0,0,1
SICAYA,leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,0,0,1,0,1,0
TIQUIPAYA,leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,1,0,0,0,1,0
TRINIDAD,leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,1,1,0,0,1,1
VILLA NUEVA (LOMA ALTA),leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,0,0,1,0,1,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2022-06-01,9,5,16,7,25,12
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,1,0,0,0,1,0
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,1,0,0,4,1,4
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,0,0,1,0,1,0
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,2,7,5,6,7,13
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,1,1,0,2,1,3
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,21,5,21,10,42,15
COCAPATA,leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,0,0,1,0,1,0
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,0,0,1,0,1,0
CONCEPCION,leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,15,0,5,0,20,0
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,2,1,5,1,7,2
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,3,0,3,1,6,1
EUREKA (SANTOS MERCADO),leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,1,0,0,0,1,0
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,3,1,2,0,5,1
GUANAY,leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,1,0,0,0,1,0
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,3,0,4,0,7,0
HUACARETA,leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,0,0,0,1,0,1
INGAVI (HUMAITA),leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,0,0,2,1,2,1
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,4,2,0,0,4,2
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,0,0,1,1,1,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,2,2,10,8,12,10
MAPIRI,leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,2,0,0,0,2,0
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,0,1,1,0,1,1
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,5,1,0,0,5,1
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,1,1,5,4,6,5
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,1,0,0,0,1,0
QUILLACOLLO,leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,2,0,1,1,3,1
REYES,leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,0,0,1,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,16,4,11,1,27,5
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,3,0,2,0,5,0
SAN ANDRES,leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,1,0,0,0,1,0
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,3,1,2,1,5,2
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,1,0,3,1,4,1
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,1,1,2,2,3,3
SAN JAVIER(BNI),leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,0,0,1,0,1,0
SAN LORENZO(PND),leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,2,0,1,0,3,0
SANTA ANA,leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,1,0,0,0,1,0
SENA,leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,3,0,0,1,3,1
TACOBAMBA,leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,0,1,0,0,0,1
TIQUIPAYA,leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,0,0,1,0,1,0
TRINIDAD,leishmaniasis,tratamientos de leishmania cutanea,2022-07-01,1,1,2,0,3,1
