municipality,group,variable,month,Nº de visitas familiares realizadas,TOTAL
CORQUE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,122,122
COTAGAITA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,647,647
COTOCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,64,64
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,107,107
CUCHUMUELA (V. G. VILLARROEL),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,5,5
CUEVO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,148,148
CULPINA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,161,161
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,114,114
CURVA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,38,38
DESAGUADERO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,21,21
EL ALTO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,4138,4138
EL CHORO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,136,136
EL PUENTE(STC),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,194,194
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,481,481
EL TORNO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,558,558
EL VILLAR,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,66,66
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,497,497
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,579,579
ESCOMA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,18,18
EUCALIPTUS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,1,1
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,471,471
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,254,254
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,93,93
GUANAY,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,10,10
GUAQUI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,23,23
GUAYARAMERIN,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,316,316
GUTIERREZ,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,19,19
HUACARETA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,126,126
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,95,95
HUACHACALLA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,19,19
HUANUNI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,384,384
HUARACAJE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,21,21
HUARINA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,222,222
HUATAJATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,22,22
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,125,125
HUMANATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,13,13
ICHOCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,6,6
ICLA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,142,142
INCAHUASI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,344,344
INQUISIVI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,76,76
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,187,187
IXIAMAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,53,53
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,264,264
LA ASUNTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,11,11
LA GUARDIA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,191,191
LA PAZ,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,93,93
LAGUNILLAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,485,485
LAJA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,105,105
LAS CARRERAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,58,58
LLALLAGUA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,113,113
LLICA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,166,166
LORETO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,17,17
LURIBAY,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,83,83
MACHACAMARCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,100,100
MACHARETI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,186,186
MAGDALENA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,59,59
MALLA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,5,5
MECAPACA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,50,50
MINEROS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,123,123
MIZQUE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,109,109
MOCOMOCO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,368,368
MOJINETE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,36,36
MOJOCOYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,165,165
MONTEAGUDO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,286,286
MONTERO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,1046,1046
MORO MORO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,59,59
MOROCHATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,68,68
NACEBE (SANTA ROSA DEL ABUNA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,27,27
OCURI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,33,33
OKINAWA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,60,60
OMEREQUE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,595,595
ORURO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,1811,1811
PADCAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,477,477
PADILLA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,206,206
PAILON,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,468,468
PALCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,152,152
PALOS BLANCOS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,523,523
PAMPA AULLAGAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,102,102
PAMPA GRANDE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,25,25
PAPEL PAMPA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,107,107
PASORAPA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,74,74
PATACAMAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,43,43
PAZÑA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,79,79
PELECHUCO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,74,74
POCOATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,359,359
POCONA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,144,144
POJO (CBBA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,77,77
POOPO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,126,126
PORCO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,100,100
POROMA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,187,187
PORONGO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,242,242
PORTACHUELO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,62,62
PORVENIR,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,13,13
POTOSI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,2275,2275
PRESTO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,135,135
PUCARANI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,430,430
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,53,53
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,290,290
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,108,108
PUERTO PEREZ,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,289,289
PUERTO QUIJARRO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,17,17
PUERTO SILES,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,50,50
PUERTO SUAREZ,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,50,50
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,492,492
PUNA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,191,191
PUNATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,522,522
QUIABAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,5,5
QUILLACOLLO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,319,319
QUIME,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,113,113
QUIRUSILLAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,112,112
RAQAYPAMPA(ETA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,77,77
RAVELO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,492,492
REYES,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,80,80
RIBERALTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,1077,1077
ROBORE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,6,6
RURRENABAQUE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,168,168
SABAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,61,61
SACABA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,1809,1809
SACABAMBA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,155,155
SACACA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,166,166
SAIPINA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,191,191
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,459,459
SAMAIPATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,94,94
SAN ANDRES,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,133,133
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,118,118
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,18,18
SAN BENITO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,55,55
SAN BORJA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,434,434
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,98,98
SAN CARLOS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,482,482
SAN IGNACIO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,134,134
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,437,437
SAN JAVIER(BNI),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,19,19
SAN JOAQUIN,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,6,6
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,85,85
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,334,334
SAN JULIAN,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,1005,1005
SAN LORENZO(PND),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,88,88
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,168,168
SAN LUCAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,216,216
SAN MATIAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,26,26
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,134,134
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,30,30
SAN PEDRO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,308,308
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,85,85
SAN PEDRO DE CURAHUARA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,33,33
SAN PEDRO DE QUEMES,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,28,28
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,275,275
SAN PEDRO(PND),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,15,15
SAN RAFAEL,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,5,5
SAN RAMON SCZ,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,40,40
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,1476,1476
SANTA ROSA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,82,82
SANTA ROSA DEL SARA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,10,10
SANTIAGO DE CALLAPA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,47,47
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,352,352
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,77,77
SANTIAGO DE MACHACA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,68,68
SANTIVAÑES,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,316,316
SANTUARIO DE QUILLACAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,135,135
SAPAHAQUI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,74,74
SHINAOTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,323,323
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,215,215
SICAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,85,85
SIPE SIPE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,126,126
SOPACHUY,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,159,159
SORACACHI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,515,515
SORATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,278,278
SUCRE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,926,926
TACACHI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,68,68
TACACOMA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,91,91
TACOBAMBA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,9,9
TACOPAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,336,336
TAHUA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,117,117
TAPACARI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,181,181
TARABUCO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,230,230
TARACO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,42,42
TARATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,101,101
TARIJA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,1622,1622
TARVITA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,111,111
TEOPONTE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,38,38
TIAHUANACU,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,52,52
TINGUIPAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,251,251
TIPUANI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,3,3
TIQUIPAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,374,374
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,1360,1360
TOCO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,269,269
TOLATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,233,233
TOLEDO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,311,311
TOMINA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,119,119
TORO TORO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,47,47
TOTORA(CBBA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,317,317
TOTORA(ORR),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,96,96
TRIGAL,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,84,84
TRINIDAD,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,290,290
TUPIZA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,900,900
