municipality,group,variable,month,Nº de actividades educativas en Salud,TOTAL
COLOMI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,6,6
COLPA BELGICA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,2,2
COLQUECHACA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,85,85
COLQUENCHA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,4,4
COLQUIRI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,4,4
COMANCHE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,1,1
COMARAPA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,6,6
CONCEPCION,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,10,10
CORO CORO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,10,10
COROICO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,1,1
CORQUE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,30,30
COTAGAITA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,19,19
COTOCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,11,11
CUCHUMUELA (V. G. VILLARROEL),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,5,5
CUEVO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,4,4
CULPINA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,24,24
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,1,1
CURVA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,1,1
DESAGUADERO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,3,3
EL ALTO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,488,488
EL CHORO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,20,20
EL PUENTE(STC),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,6,6
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,89,89
EL TORNO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,59,59
EL VILLAR,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,39,39
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,7,7
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,123,123
ESCARA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,1,1
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,42,42
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,9,9
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,1,1
GUAQUI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,12,12
GUAYARAMERIN,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,18,18
HUACARETA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,6,6
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,18,18
HUACHACALLA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,1,1
HUANUNI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,138,138
HUARINA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,2,2
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,5,5
ICHOCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,6,6
ICLA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,35,35
INCAHUASI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,1,1
INQUISIVI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,60,60
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,11,11
IXIAMAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,3,3
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,8,8
LA GUARDIA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,43,43
LA PAZ,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,97,97
LAGUNILLAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,3,3
LAJA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,20,20
LLALLAGUA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,1,1
LORETO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,9,9
LURIBAY,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,4,4
MACHACAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,5,5
MACHARETI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,4,4
MAIRANA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,5,5
MAPIRI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,1,1
MECAPACA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,18,18
MINEROS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,18,18
MIZQUE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,2,2
MOCOMOCO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,1,1
MOJINETE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,12,12
MOJOCOYA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,25,25
MONTEAGUDO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,13,13
MONTERO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,134,134
MORO MORO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,6,6
MOROCHATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,5,5
NAZACARA DE PACAJES,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,6,6
OCURI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,8,8
OKINAWA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,8,8
OMEREQUE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,24,24
ORURO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,595,595
PADCAYA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,17,17
PADILLA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,29,29
PAILON,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,3,3
PALCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,9,9
PALOS BLANCOS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,29,29
PAMPA AULLAGAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,2,2
PAMPA GRANDE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,6,6
PAPEL PAMPA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,4,4
PASORAPA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,1,1
PATACAMAYA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,4,4
PAZÑA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,2,2
PELECHUCO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,7,7
POCOATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,39,39
POCONA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,5,5
POOPO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,2,2
POROMA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,7,7
PORONGO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,31,31
PORTACHUELO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,4,4
POTOSI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,42,42
PRESTO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,30,30
PUCARANI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,66,66
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,3,3
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,2,2
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,13,13
PUERTO PEREZ,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,28,28
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,47,47
PUNA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,23,23
PUNATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,386,386
QUILLACOLLO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,11,11
QUIME,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,1,1
RAQAYPAMPA(ETA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,1,1
RAVELO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,12,12
REYES,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,6,6
RIBERALTA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,30,30
ROBORE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,9,9
RURRENABAQUE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,2,2
SABAYA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,31,31
SACABA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,106,106
SACABAMBA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,4,4
SACACA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,27,27
SAIPINA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,33,33
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,62,62
SAMAIPATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,17,17
SAN ANDRES,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,1,1
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,4,4
SAN BENITO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,5,5
SAN BORJA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,144,144
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,1,1
SAN CARLOS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,53,53
SAN IGNACIO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,69,69
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,27,27
SAN JAVIER(BNI),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,1,1
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,7,7
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,14,14
SAN JULIAN,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,35,35
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,14,14
SAN LUCAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,7,7
SAN MATIAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,1,1
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,33,33
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,22,22
SAN PEDRO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,61,61
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,60,60
SAN PEDRO DE CURAHUARA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,19,19
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,27,27
SAN RAFAEL,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,2,2
SAN RAMON SCZ,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,1,1
SANTA ANA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,2,2
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,614,614
SANTA ROSA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,5,5
SANTIAGO DE CALLAPA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,20,20
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,25,25
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,1,1
SANTIVAÑES,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,16,16
SANTUARIO DE QUILLACAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,2,2
SAPAHAQUI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,18,18
SHINAOTA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,38,38
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,34,34
SICAYA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,5,5
SIPE SIPE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,29,29
SOPACHUY,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,5,5
SORACACHI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,70,70
SUCRE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,45,45
TACACOMA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,16,16
TACOPAYA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,36,36
TAHUA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,1,1
TAPACARI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,13,13
TARABUCO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,68,68
TARATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,6,6
TARIJA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,46,46
TARVITA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,52,52
TEOPONTE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,3,3
TIAHUANACU,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,23,23
TINGUIPAYA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,3,3
TIPUANI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,7,7
TIQUIPAYA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,57,57
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,87,87
TITO YUPANQUI (PARQUIPUJIO),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,1,1
TOCO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,27,27
TOLATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,7,7
TOLEDO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,9,9
TOMINA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,23,23
TORO TORO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,17,17
TOTORA(ORR),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,70,70
TRINIDAD,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,424,424
TUPIZA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,20,20
TURCO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,11,11
UMALA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,5,5
UNCIA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,7,7
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,34,34
URUBICHA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,1,1
UYUNI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,19,19
VACAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,4,4
VALLEGRANDE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,17,17
VIACHA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,52,52
VILA VILA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,6,6
VILLA CHARCAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,23,23
VILLA MONTES,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,3,3
VILLA RIVERO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,14,14
VILLA SERRANO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,7,7
VILLA TUNARI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,115,115
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,3,3
VILLAZON,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,28,28
VINTO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,48,48
VITICHI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,4,4
WALDO BALLIVIAN,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,1,1
WARNES,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,197,197
YACO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,3,3
YACUIBA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,77,77
YAMPARAEZ,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,46,46
YANACACHI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,7,7
YAPACANI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,446,446
YOTALA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,18,18
YUNCHARA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,8,8
ZUDAÑEZ,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,33,33
ACACIO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-02-01,3,3
ACHACACHI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-02-01,32,32
ACHOCALLA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-02-01,31,31
AIQUILE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-02-01,7,7
ALALAY,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-02-01,2,2
ALCALA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-02-01,21,21
ALTO BENI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-02-01,8,8
ANCORAIMES,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-02-01,2,2
ANDAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-02-01,19,19
ANTEQUERA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-02-01,3,3
ANZALDO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-02-01,26,26
APOLO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-02-01,1,1
ARAMPAMPA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-02-01,20,20
ARANI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-02-01,14,14
ARBIETO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-02-01,6,6
ARQUE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-02-01,5,5
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-02-01,44,44
ATOCHA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-02-01,7,7
