,group,variable,month,ANESTESIAS GENERALES Y REGIONALES CANTIDAD,ANESTESIAS GENERALES Y REGIONALES CANTIDAD,TOTALES
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2012-01-01,2,5,7
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2012-01-01,5,17,22
SAN IGNACIO,cirugias y anestesias,anestesias generales y regionales,2012-01-01,0,3,3
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2012-01-01,11,57,68
SAN JAVIER(STC),cirugias y anestesias,anestesias generales y regionales,2012-01-01,7,5,12
SAN JOAQUIN,cirugias y anestesias,anestesias generales y regionales,2012-01-01,1,3,4
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2012-01-01,1,7,8
SAN JUAN DE YAPACANI,cirugias y anestesias,anestesias generales y regionales,2012-01-01,39,24,63
SAN JULIAN,cirugias y anestesias,anestesias generales y regionales,2012-01-01,1,7,8
SAN LUCAS,cirugias y anestesias,anestesias generales y regionales,2012-01-01,1,8,9
SAN MATIAS,cirugias y anestesias,anestesias generales y regionales,2012-01-01,3,1,4
SAN RAMON BENI,cirugias y anestesias,anestesias generales y regionales,2012-01-01,0,3,3
SAN RAMON SCZ,cirugias y anestesias,anestesias generales y regionales,2012-01-01,1,0,1
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2012-01-01,5,10,15
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2012-01-01,1682,2535,4217
SANTA ROSA,cirugias y anestesias,anestesias generales y regionales,2012-01-01,0,2,2
SHINAOTA,cirugias y anestesias,anestesias generales y regionales,2012-01-01,0,3,3
SOPACHUY,cirugias y anestesias,anestesias generales y regionales,2012-01-01,0,2,2
SUCRE,cirugias y anestesias,anestesias generales y regionales,2012-01-01,498,735,1233
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2012-01-01,0,6,6
TARIJA,cirugias y anestesias,anestesias generales y regionales,2012-01-01,194,339,533
TIQUIPAYA,cirugias y anestesias,anestesias generales y regionales,2012-01-01,0,10,10
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2012-01-01,81,279,360
TUPIZA,cirugias y anestesias,anestesias generales y regionales,2012-01-01,19,16,35
UYUNI,cirugias y anestesias,anestesias generales y regionales,2012-01-01,4,15,19
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2012-01-01,14,33,47
VIACHA,cirugias y anestesias,anestesias generales y regionales,2012-01-01,2,5,7
VILLA TUNARI,cirugias y anestesias,anestesias generales y regionales,2012-01-01,20,57,77
VILLAZON,cirugias y anestesias,anestesias generales y regionales,2012-01-01,38,64,102
VINTO,cirugias y anestesias,anestesias generales y regionales,2012-01-01,14,16,30
WARNES,cirugias y anestesias,anestesias generales y regionales,2012-01-01,3,29,32
YACUIBA,cirugias y anestesias,anestesias generales y regionales,2012-01-01,92,101,193
YAPACANI,cirugias y anestesias,anestesias generales y regionales,2012-01-01,7,14,21
ZUDAÑEZ,cirugias y anestesias,anestesias generales y regionales,2012-01-01,2,0,2
ACHACACHI,cirugias y anestesias,anestesias generales y regionales,2012-02-01,1,1,2
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2012-02-01,1,7,8
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2012-02-01,0,14,14
ATOCHA,cirugias y anestesias,anestesias generales y regionales,2012-02-01,6,9,15
BAURES,cirugias y anestesias,anestesias generales y regionales,2012-02-01,0,6,6
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2012-02-01,14,20,34
BETANZOS,cirugias y anestesias,anestesias generales y regionales,2012-02-01,1,0,1
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2012-02-01,10,17,27
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2012-02-01,14,68,82
CARACOLLO,cirugias y anestesias,anestesias generales y regionales,2012-02-01,2,1,3
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2012-02-01,3,20,23
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2012-02-01,0,6,6
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2012-02-01,1,10,11
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,anestesias generales y regionales,2012-02-01,0,1,1
COBIJA,cirugias y anestesias,anestesias generales y regionales,2012-02-01,40,92,132
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2012-02-01,1198,2376,3574
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2012-02-01,18,32,50
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2012-02-01,0,10,10
CONCEPCION,cirugias y anestesias,anestesias generales y regionales,2012-02-01,2,12,14
COROICO,cirugias y anestesias,anestesias generales y regionales,2012-02-01,4,14,18
COTAGAITA,cirugias y anestesias,anestesias generales y regionales,2012-02-01,0,2,2
COTOCA,cirugias y anestesias,anestesias generales y regionales,2012-02-01,1,8,9
CULPINA,cirugias y anestesias,anestesias generales y regionales,2012-02-01,7,8,15
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2012-02-01,275,624,899
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2012-02-01,11,24,35
ENTRE RIOS TRJ,cirugias y anestesias,anestesias generales y regionales,2012-02-01,1,4,5
ESCOMA,cirugias y anestesias,anestesias generales y regionales,2012-02-01,1,0,1
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2012-02-01,8,44,52
HUANUNI,cirugias y anestesias,anestesias generales y regionales,2012-02-01,2,20,22
HUARACAJE,cirugias y anestesias,anestesias generales y regionales,2012-02-01,0,1,1
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2012-02-01,1226,1732,2958
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2012-02-01,13,31,44
MAGDALENA,cirugias y anestesias,anestesias generales y regionales,2012-02-01,1,8,9
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2012-02-01,0,9,9
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2012-02-01,16,48,64
MONTERO,cirugias y anestesias,anestesias generales y regionales,2012-02-01,27,108,135
ORURO,cirugias y anestesias,anestesias generales y regionales,2012-02-01,289,366,655
PADILLA,cirugias y anestesias,anestesias generales y regionales,2012-02-01,10,19,29
PATACAMAYA,cirugias y anestesias,anestesias generales y regionales,2012-02-01,0,5,5
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2012-02-01,14,31,45
POTOSI,cirugias y anestesias,anestesias generales y regionales,2012-02-01,190,382,572
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2012-02-01,21,42,63
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2012-02-01,13,16,29
PUNATA,cirugias y anestesias,anestesias generales y regionales,2012-02-01,12,27,39
QUILLACOLLO,cirugias y anestesias,anestesias generales y regionales,2012-02-01,1,20,21
REYES,cirugias y anestesias,anestesias generales y regionales,2012-02-01,0,8,8
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2012-02-01,70,208,278
ROBORE,cirugias y anestesias,anestesias generales y regionales,2012-02-01,2,8,10
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2012-02-01,3,13,16
SACABA,cirugias y anestesias,anestesias generales y regionales,2012-02-01,25,95,120
SAMAIPATA,cirugias y anestesias,anestesias generales y regionales,2012-02-01,1,6,7
SAN BORJA,cirugias y anestesias,anestesias generales y regionales,2012-02-01,5,30,35
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2012-02-01,0,7,7
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2012-02-01,1,16,17
SAN IGNACIO,cirugias y anestesias,anestesias generales y regionales,2012-02-01,0,2,2
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2012-02-01,11,50,61
SAN JAVIER(STC),cirugias y anestesias,anestesias generales y regionales,2012-02-01,2,9,11
SAN JOAQUIN,cirugias y anestesias,anestesias generales y regionales,2012-02-01,0,3,3
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2012-02-01,1,17,18
SAN JULIAN,cirugias y anestesias,anestesias generales y regionales,2012-02-01,1,7,8
SAN LUCAS,cirugias y anestesias,anestesias generales y regionales,2012-02-01,3,10,13
SAN RAMON BENI,cirugias y anestesias,anestesias generales y regionales,2012-02-01,0,7,7
SAN RAMON SCZ,cirugias y anestesias,anestesias generales y regionales,2012-02-01,4,13,17
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2012-02-01,0,18,18
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2012-02-01,1618,2074,3692
SANTA ROSA,cirugias y anestesias,anestesias generales y regionales,2012-02-01,0,4,4
SHINAOTA,cirugias y anestesias,anestesias generales y regionales,2012-02-01,0,9,9
SOPACHUY,cirugias y anestesias,anestesias generales y regionales,2012-02-01,0,4,4
SUCRE,cirugias y anestesias,anestesias generales y regionales,2012-02-01,419,591,1010
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2012-02-01,1,6,7
TARIJA,cirugias y anestesias,anestesias generales y regionales,2012-02-01,241,399,640
TARVITA,cirugias y anestesias,anestesias generales y regionales,2012-02-01,0,9,9
TIQUIPAYA,cirugias y anestesias,anestesias generales y regionales,2012-02-01,0,23,23
TOTORA(CBBA),cirugias y anestesias,anestesias generales y regionales,2012-02-01,0,1,1
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2012-02-01,71,195,266
UYUNI,cirugias y anestesias,anestesias generales y regionales,2012-02-01,2,17,19
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2012-02-01,4,31,35
VIACHA,cirugias y anestesias,anestesias generales y regionales,2012-02-01,1,1,2
VILLA MONTES,cirugias y anestesias,anestesias generales y regionales,2012-02-01,18,57,75
VILLA TUNARI,cirugias y anestesias,anestesias generales y regionales,2012-02-01,7,62,69
VILLAZON,cirugias y anestesias,anestesias generales y regionales,2012-02-01,119,39,158
VINTO,cirugias y anestesias,anestesias generales y regionales,2012-02-01,33,25,58
WARNES,cirugias y anestesias,anestesias generales y regionales,2012-02-01,0,20,20
YACUIBA,cirugias y anestesias,anestesias generales y regionales,2012-02-01,35,103,138
YAPACANI,cirugias y anestesias,anestesias generales y regionales,2012-02-01,11,37,48
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2012-03-01,5,11,16
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2012-03-01,9,8,17
AZURDUY,cirugias y anestesias,anestesias generales y regionales,2012-03-01,0,1,1
BAURES,cirugias y anestesias,anestesias generales y regionales,2012-03-01,1,1,2
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2012-03-01,14,48,62
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2012-03-01,3,1,4
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2012-03-01,17,109,126
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2012-03-01,3,37,40
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2012-03-01,1,1,2
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2012-03-01,0,19,19
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,anestesias generales y regionales,2012-03-01,0,3,3
CLIZA,cirugias y anestesias,anestesias generales y regionales,2012-03-01,0,6,6
COBIJA,cirugias y anestesias,anestesias generales y regionales,2012-03-01,69,94,163
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2012-03-01,1413,2520,3933
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2012-03-01,17,41,58
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2012-03-01,0,8,8
CONCEPCION,cirugias y anestesias,anestesias generales y regionales,2012-03-01,0,18,18
COROICO,cirugias y anestesias,anestesias generales y regionales,2012-03-01,3,19,22
COTAGAITA,cirugias y anestesias,anestesias generales y regionales,2012-03-01,0,1,1
COTOCA,cirugias y anestesias,anestesias generales y regionales,2012-03-01,0,13,13
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2012-03-01,256,607,863
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2012-03-01,10,28,38
ENTRE RIOS TRJ,cirugias y anestesias,anestesias generales y regionales,2012-03-01,0,3,3
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2012-03-01,5,26,31
HUACARETA,cirugias y anestesias,anestesias generales y regionales,2012-03-01,0,1,1
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2012-03-01,1177,1761,2938
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2012-03-01,13,32,45
MAGDALENA,cirugias y anestesias,anestesias generales y regionales,2012-03-01,1,9,10
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2012-03-01,0,6,6
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2012-03-01,25,27,52
MONTERO,cirugias y anestesias,anestesias generales y regionales,2012-03-01,25,88,113
OCURI,cirugias y anestesias,anestesias generales y regionales,2012-03-01,0,2,2
ORURO,cirugias y anestesias,anestesias generales y regionales,2012-03-01,172,459,631
PADILLA,cirugias y anestesias,anestesias generales y regionales,2012-03-01,13,7,20
PAILON,cirugias y anestesias,anestesias generales y regionales,2012-03-01,0,1,1
PATACAMAYA,cirugias y anestesias,anestesias generales y regionales,2012-03-01,2,4,6
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2012-03-01,4,17,21
POTOSI,cirugias y anestesias,anestesias generales y regionales,2012-03-01,249,422,671
PUERTO QUIJARRO,cirugias y anestesias,anestesias generales y regionales,2012-03-01,3,0,3
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2012-03-01,14,51,65
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2012-03-01,10,4,14
PUNATA,cirugias y anestesias,anestesias generales y regionales,2012-03-01,21,34,55
QUILLACOLLO,cirugias y anestesias,anestesias generales y regionales,2012-03-01,4,29,33
REYES,cirugias y anestesias,anestesias generales y regionales,2012-03-01,2,4,6
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2012-03-01,69,226,295
ROBORE,cirugias y anestesias,anestesias generales y regionales,2012-03-01,1,5,6
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2012-03-01,0,20,20
SACABA,cirugias y anestesias,anestesias generales y regionales,2012-03-01,36,121,157
SAMAIPATA,cirugias y anestesias,anestesias generales y regionales,2012-03-01,2,10,12
SAN BORJA,cirugias y anestesias,anestesias generales y regionales,2012-03-01,5,28,33
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2012-03-01,1,8,9
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2012-03-01,7,18,25
SAN IGNACIO,cirugias y anestesias,anestesias generales y regionales,2012-03-01,0,5,5
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2012-03-01,9,46,55
SAN JAVIER(STC),cirugias y anestesias,anestesias generales y regionales,2012-03-01,2,10,12
SAN JOAQUIN,cirugias y anestesias,anestesias generales y regionales,2012-03-01,0,3,3
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2012-03-01,1,13,14
SAN JUAN DE YAPACANI,cirugias y anestesias,anestesias generales y regionales,2012-03-01,0,74,74
SAN JULIAN,cirugias y anestesias,anestesias generales y regionales,2012-03-01,4,16,20
SAN MATIAS,cirugias y anestesias,anestesias generales y regionales,2012-03-01,2,1,3
SAN RAMON BENI,cirugias y anestesias,anestesias generales y regionales,2012-03-01,0,3,3
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2012-03-01,0,17,17
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2012-03-01,1671,3018,4689
SHINAOTA,cirugias y anestesias,anestesias generales y regionales,2012-03-01,0,21,21
SOPACHUY,cirugias y anestesias,anestesias generales y regionales,2012-03-01,0,4,4
SUCRE,cirugias y anestesias,anestesias generales y regionales,2012-03-01,398,617,1015
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2012-03-01,1,6,7
TARIJA,cirugias y anestesias,anestesias generales y regionales,2012-03-01,240,433,673
TARVITA,cirugias y anestesias,anestesias generales y regionales,2012-03-01,0,6,6
TIQUIPAYA,cirugias y anestesias,anestesias generales y regionales,2012-03-01,0,26,26
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2012-03-01,63,73,136
UYUNI,cirugias y anestesias,anestesias generales y regionales,2012-03-01,3,18,21
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2012-03-01,11,27,38
VILLA MONTES,cirugias y anestesias,anestesias generales y regionales,2012-03-01,16,61,77
VILLA TUNARI,cirugias y anestesias,anestesias generales y regionales,2012-03-01,1,26,27
VILLAZON,cirugias y anestesias,anestesias generales y regionales,2012-03-01,20,20,40
VINTO,cirugias y anestesias,anestesias generales y regionales,2012-03-01,14,17,31
WARNES,cirugias y anestesias,anestesias generales y regionales,2012-03-01,2,19,21
YACUIBA,cirugias y anestesias,anestesias generales y regionales,2012-03-01,46,107,153
YAPACANI,cirugias y anestesias,anestesias generales y regionales,2012-03-01,4,37,41
ACHACACHI,cirugias y anestesias,anestesias generales y regionales,2012-04-01,0,1,1
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2012-04-01,4,8,12
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2012-04-01,3,3,6
ATOCHA,cirugias y anestesias,anestesias generales y regionales,2012-04-01,4,2,6
BAURES,cirugias y anestesias,anestesias generales y regionales,2012-04-01,0,6,6
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2012-04-01,11,47,58
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2012-04-01,9,23,32
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2012-04-01,6,72,78
CARACOLLO,cirugias y anestesias,anestesias generales y regionales,2012-04-01,4,3,7
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2012-04-01,5,24,29
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2012-04-01,1,1,2
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2012-04-01,1,8,9
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,anestesias generales y regionales,2012-04-01,4,12,16
CLIZA,cirugias y anestesias,anestesias generales y regionales,2012-04-01,0,9,9
COBIJA,cirugias y anestesias,anestesias generales y regionales,2012-04-01,23,80,103
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2012-04-01,1037,1921,2958
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2012-04-01,28,36,64
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2012-04-01,0,4,4
CONCEPCION,cirugias y anestesias,anestesias generales y regionales,2012-04-01,0,14,14
COROICO,cirugias y anestesias,anestesias generales y regionales,2012-04-01,4,11,15
COTAGAITA,cirugias y anestesias,anestesias generales y regionales,2012-04-01,0,7,7
CULPINA,cirugias y anestesias,anestesias generales y regionales,2012-04-01,0,15,15
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2012-04-01,221,479,700
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2012-04-01,18,15,33
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2012-04-01,8,43,51
HUANUNI,cirugias y anestesias,anestesias generales y regionales,2012-04-01,2,4,6
HUARACAJE,cirugias y anestesias,anestesias generales y regionales,2012-04-01,0,1,1
INCAHUASI,cirugias y anestesias,anestesias generales y regionales,2012-04-01,0,12,12
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2012-04-01,897,1358,2255
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2012-04-01,5,23,28
MAGDALENA,cirugias y anestesias,anestesias generales y regionales,2012-04-01,0,8,8
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2012-04-01,0,12,12
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2012-04-01,10,34,44
MONTERO,cirugias y anestesias,anestesias generales y regionales,2012-04-01,28,104,132
OCURI,cirugias y anestesias,anestesias generales y regionales,2012-04-01,0,2,2
ORURO,cirugias y anestesias,anestesias generales y regionales,2012-04-01,176,335,511
PADILLA,cirugias y anestesias,anestesias generales y regionales,2012-04-01,4,14,18
PAILON,cirugias y anestesias,anestesias generales y regionales,2012-04-01,1,2,3
PATACAMAYA,cirugias y anestesias,anestesias generales y regionales,2012-04-01,3,9,12
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2012-04-01,9,40,49
POTOSI,cirugias y anestesias,anestesias generales y regionales,2012-04-01,192,307,499
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2012-04-01,27,52,79
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2012-04-01,4,0,4
PUNATA,cirugias y anestesias,anestesias generales y regionales,2012-04-01,16,31,47
QUILLACOLLO,cirugias y anestesias,anestesias generales y regionales,2012-04-01,16,69,85
REYES,cirugias y anestesias,anestesias generales y regionales,2012-04-01,3,10,13
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2012-04-01,73,195,268
ROBORE,cirugias y anestesias,anestesias generales y regionales,2012-04-01,3,4,7
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2012-04-01,1,10,11
SACABA,cirugias y anestesias,anestesias generales y regionales,2012-04-01,21,91,112
SAMAIPATA,cirugias y anestesias,anestesias generales y regionales,2012-04-01,2,7,9
SAN BORJA,cirugias y anestesias,anestesias generales y regionales,2012-04-01,4,32,36
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2012-04-01,0,11,11
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2012-04-01,29,43,72
SAN IGNACIO,cirugias y anestesias,anestesias generales y regionales,2012-04-01,1,2,3
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2012-04-01,14,52,66
SAN JAVIER(STC),cirugias y anestesias,anestesias generales y regionales,2012-04-01,5,12,17
SAN JOAQUIN,cirugias y anestesias,anestesias generales y regionales,2012-04-01,0,3,3
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2012-04-01,0,6,6
SAN JUAN DE YAPACANI,cirugias y anestesias,anestesias generales y regionales,2012-04-01,40,2,42
SAN JULIAN,cirugias y anestesias,anestesias generales y regionales,2012-04-01,2,13,15
SAN LUCAS,cirugias y anestesias,anestesias generales y regionales,2012-04-01,3,3,6
SAN RAMON BENI,cirugias y anestesias,anestesias generales y regionales,2012-04-01,0,2,2
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2012-04-01,13,40,53
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2012-04-01,2044,2025,4069
SANTA ROSA,cirugias y anestesias,anestesias generales y regionales,2012-04-01,0,3,3
SHINAOTA,cirugias y anestesias,anestesias generales y regionales,2012-04-01,0,17,17
SOPACHUY,cirugias y anestesias,anestesias generales y regionales,2012-04-01,0,4,4
SUCRE,cirugias y anestesias,anestesias generales y regionales,2012-04-01,325,469,794
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2012-04-01,1,4,5
TARIJA,cirugias y anestesias,anestesias generales y regionales,2012-04-01,168,382,550
TARVITA,cirugias y anestesias,anestesias generales y regionales,2012-04-01,0,2,2
TIQUIPAYA,cirugias y anestesias,anestesias generales y regionales,2012-04-01,0,17,17
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2012-04-01,56,93,149
