municipality,group,variable,month,Nuevas en personas de 60 años o más -Hombre,Nuevas en personas de 60 años o más -Mujer,TOTAL-H,TOTAL-M,TOTAL
BUENA VISTA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,101,77,101,77,178
CABEZAS,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,22,32,22,32,54
CAIROMA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,28,19,28,19,47
"CAIZA ""D""",consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,32,80,32,80,112
CAJUATA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,31,30,31,30,61
CALACOTO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,27,34,27,34,61
CALAMARCA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,19,20,19,20,39
CAMARGO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,215,358,215,358,573
CAMATAQUI (C. VILLA ABECIA),consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,13,22,13,22,35
CAMIRI,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,578,768,578,768,1346
CAPINOTA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,49,66,49,66,115
CAQUIAVIRI,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,30,37,30,37,67
CARACOLLO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,74,56,74,56,130
CARANAVI,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,223,119,223,119,342
CARANGAS,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,0,1,0,1,1
CARAPARI,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,47,33,47,33,80
CARIPUYO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,15,18,15,18,33
CARMEN RIVERO TORREZ,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,1,2,1,2,3
CATACORA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,1,2,1,2,3
CHACARILLA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,1,1,1,1,2
CHALLAPATA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,114,78,114,78,192
CHAQUI,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,30,44,30,44,74
CHARAGUA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,51,48,51,48,99
CHARAÑA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,9,4,9,4,13
CHAYANTA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,42,52,42,52,94
CHIMORE,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,19,14,19,14,33
CHIPAYA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,7,3,7,3,10
CHOQUE COTA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,10,9,10,9,19
CHULUMANI (V. DE LA LIBERTAD),consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,49,32,49,32,81
CHUMA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,25,58,25,58,83
CLIZA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,14,33,14,33,47
COBIJA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,359,440,359,440,799
COCHABAMBA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,3499,5876,3499,5876,9375
COLCAPIRHUA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,122,221,122,221,343
"COLCHA ""K""",consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,72,96,72,96,168
COLLANA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,13,12,13,12,25
COLOMI,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,8,12,8,12,20
COLPA BELGICA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,48,17,48,17,65
COLQUECHACA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,100,142,100,142,242
COLQUENCHA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,23,40,23,40,63
COLQUIRI,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,67,49,67,49,116
COMANCHE,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,11,5,11,5,16
COMARAPA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,128,151,128,151,279
COMBAYA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,3,11,3,11,14
CONCEPCION,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,58,61,58,61,119
COPACABANA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,30,26,30,26,56
CORIPATA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,32,23,32,23,55
CORO CORO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,21,29,21,29,50
COROICO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,68,54,68,54,122
CORQUE,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,33,32,33,32,65
COTAGAITA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,187,388,187,388,575
COTOCA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,74,87,74,87,161
CUATRO CAÑADAS,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,25,28,25,28,53
CUCHUMUELA (V. G. VILLARROEL),consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,3,2,3,2,5
CUEVO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,15,39,15,39,54
CULPINA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,35,60,35,60,95
CURAHUARA DE CARANGAS,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,16,29,16,29,45
CURVA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,3,7,3,7,10
DESAGUADERO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,14,15,14,15,29
EL ALTO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,1161,1266,1161,1266,2427
EL CHORO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,24,33,24,33,57
EL PUENTE(STC),consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,7,9,7,9,16
EL PUENTE(TJA),consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,35,74,35,74,109
EL TORNO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,213,181,213,181,394
EL VILLAR,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,28,42,28,42,70
ENTRE RIOS,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,54,59,54,59,113
ENTRE RIOS,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,10,5,10,5,15
ESCARA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,2,2,2,2,4
ESMERALDA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,6,7,6,7,13
EUCALIPTUS,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,79,75,79,75,154
EUREKA (SANTOS MERCADO),consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,1,2,1,2,3
EXALTACION,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,9,4,9,4,13
FERNANDEZ ALONSO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,13,17,13,17,30
FILADELFIA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,14,14,14,14,28
GENERAL SAAVEDRA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,28,22,28,22,50
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,12,16,12,16,28
GUANAY,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,74,41,74,41,115
GUAQUI,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,23,20,23,20,43
GUAYARAMERIN,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,542,510,542,510,1052
GUTIERREZ,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,35,44,35,44,79
HUACARETA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,54,51,54,51,105
HUACAYA (VILLA DE HUACAYA),consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,4,27,4,27,31
HUACHACALLA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,6,4,6,4,10
HUANUNI,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,117,123,117,123,240
HUARACAJE,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,6,6,6,6,12
HUAYLLAMARCA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,33,40,33,40,73
ICHOCA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,17,8,17,8,25
ICLA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,13,47,13,47,60
INCAHUASI,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,30,68,30,68,98
INGAVI (HUMAITA),consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,4,1,4,1,5
INQUISIVI,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,27,28,27,28,55
IRUPANA (VILLA DE LANZA),consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,39,45,39,45,84
IXIAMAS,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,10,6,10,6,16
JESUS DE MACHACA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,58,46,58,46,104
LA ASUNTA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,9,6,9,6,15
LA GUARDIA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,43,56,43,56,99
LA PAZ,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,8522,9763,8522,9763,18285
LAGUNILLAS,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,23,28,23,28,51
LAJA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,25,27,25,27,52
LAS CARRERAS,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,28,36,28,36,64
LICOMA PAMPA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,10,3,10,3,13
LLALLAGUA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,161,239,161,239,400
LLICA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,34,42,34,42,76
LORETO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,5,7,5,7,12
LURIBAY,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,24,19,24,19,43
MACHACAMARCA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,66,60,66,60,126
MACHARETI,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,52,39,52,39,91
MAGDALENA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,33,38,33,38,71
MAIRANA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,43,70,43,70,113
MALLA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,7,11,7,11,18
MAPIRI,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,26,24,26,24,50
MECAPACA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,41,29,41,29,70
MINEROS,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,116,13,116,13,129
MIZQUE,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,16,22,16,22,38
MOCOMOCO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,25,37,25,37,62
MOJINETE,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,5,15,5,15,20
MOJOCOYA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,26,31,26,31,57
MONTEAGUDO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,247,222,247,222,469
MONTERO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,384,498,384,498,882
MORO MORO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,19,41,19,41,60
MOROCHATA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,13,19,13,19,32
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,3,3,3,3,6
NAZACARA DE PACAJES,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,1,1,1,1,2
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,4,6,4,6,10
OCURI,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,61,83,61,83,144
OKINAWA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,61,61,61,61,122
OMEREQUE,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,6,16,6,16,22
ORURO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,2504,2947,2504,2947,5451
PADCAYA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,74,117,74,117,191
PADILLA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,102,150,102,150,252
PAILON,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,12,16,12,16,28
PALCA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,16,22,16,22,38
PALOS BLANCOS,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,35,18,35,18,53
PAMPA AULLAGAS,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,7,5,7,5,12
PAMPA GRANDE,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,25,34,25,34,59
PAPEL PAMPA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,17,14,17,14,31
PASORAPA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,4,15,4,15,19
PATACAMAYA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,28,20,28,20,48
PAZÑA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,42,49,42,49,91
PELECHUCO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,23,19,23,19,42
POCOATA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,60,103,60,103,163
POCONA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,26,48,26,48,74
POJO (CBBA),consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,8,7,8,7,15
POOPO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,38,75,38,75,113
PORCO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,8,18,8,18,26
POROMA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,24,58,24,58,82
PORONGO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,23,18,23,18,41
PORTACHUELO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,139,125,139,125,264
PORVENIR,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,11,13,11,13,24
POSTRER VALLE,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,26,21,26,21,47
POTOSI,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,1873,1861,1873,1861,3734
PRESTO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,14,38,14,38,52
PUCARA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,18,37,18,37,55
PUCARANI,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,39,31,39,31,70
PUERTO ACOSTA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,119,85,119,85,204
PUERTO CARABUCO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,44,59,44,59,103
PUERTO GONZALO MORENO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,14,11,14,11,25
PUERTO PEREZ,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,44,48,44,48,92
PUERTO QUIJARRO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,88,65,88,65,153
PUERTO RICO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,21,5,21,5,26
PUERTO SUAREZ,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,77,109,77,109,186
PUERTO VILLARROEL,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,35,24,35,24,59
PUNA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,95,193,95,193,288
PUNATA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,143,181,143,181,324
QUIABAYA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,6,5,6,5,11
QUILLACOLLO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,48,592,48,592,640
QUIME,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,21,22,21,22,43
QUIRUSILLAS,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,7,4,7,4,11
RAVELO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,29,42,29,42,71
REYES,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,70,62,70,62,132
RIBERALTA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,115,181,115,181,296
ROBORE,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,31,59,31,59,90
RURRENABAQUE,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,154,136,154,136,290
SABAYA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,23,35,23,35,58
SACABA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,136,195,136,195,331
SACABAMBA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,8,9,8,9,17
SACACA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,19,35,19,35,54
SAIPINA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,56,92,56,92,148
SALINAS DE GARCI MENDOZA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,61,51,61,51,112
SAMAIPATA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,60,75,60,75,135
SAN AGUSTIN,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,12,8,12,8,20
SAN ANDRES,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,26,15,26,15,41
SAN ANDRES DE MACHACA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,19,37,19,37,56
SAN ANTONIO DE ESMORUCO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,8,6,8,6,14
SAN ANTONIO DE LOMERIO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,12,16,12,16,28
SAN BENITO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,14,40,14,40,54
SAN BORJA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,141,111,141,111,252
SAN BUENA VENTURA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,6,9,6,9,15
SAN CARLOS,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,102,84,102,84,186
SAN IGNACIO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,95,79,95,79,174
SAN IGNACIO DE VELASCO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,272,280,272,280,552
SAN JAVIER(BNI),consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,11,11,11,11,22
SAN JAVIER(STC),consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,12,18,12,18,30
SAN JOAQUIN,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,60,62,60,62,122
SAN JOSE DE CHIQUITOS,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,91,92,91,92,183
SAN JUAN DE YAPACANI,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,37,20,37,20,57
SAN JULIAN,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,53,58,53,58,111
SAN LORENZO(PND),consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,5,3,5,3,8
SAN LORENZO(TJA),consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,43,65,43,65,108
SAN LUCAS,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,141,231,141,231,372
SAN MATIAS,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,21,11,21,11,32
SAN MIGUEL DE VELASCO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,33,43,33,43,76
SAN PABLO DE LIPEZ,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,18,23,18,23,41
SAN PEDRO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,39,38,39,38,77
SAN PEDRO DE BUENA VISTA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,23,37,23,37,60
SAN PEDRO DE CURAHUARA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,14,22,14,22,36
SAN PEDRO DE TIQUINA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,19,16,19,16,35
SAN PEDRO(PND),consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,1,4,1,4,5
SAN RAFAEL,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,9,13,9,13,22
SAN RAMON,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,54,76,54,76,130
SAN RAMON,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,14,21,14,21,35
SANTA ANA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,105,119,105,119,224
SANTA CRUZ DE LA SIERRA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,7323,10938,7323,10938,18261
SANTA ROSA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,45,29,45,29,74
SANTA ROSA DEL SARA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,40,26,40,26,66
SANTIAGO DE CALLAPA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,19,11,19,11,30
SANTIAGO DE HUARI,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,67,50,67,50,117
SANTIAGO DE MACHACA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,18,28,18,28,46
SANTIVAÑES,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,16,47,16,47,63
SANTUARIO DE QUILLACAS,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,15,12,15,12,27
SAPAHAQUI,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,29,37,29,37,66
SENA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,21,9,21,9,30
SICA SICA (VILLA AROMA),consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,38,57,38,57,95
SICAYA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,2,2,2,2,4
SIPE SIPE,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,30,49,30,49,79
SOPACHUY,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,30,44,30,44,74
SORACACHI,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,8,6,8,6,14
SORATA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,37,43,37,43,80
SUCRE,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,2181,3125,2181,3125,5306
TACACHI,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,2,10,2,10,12
TACACOMA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,10,5,10,5,15
TACOBAMBA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,15,38,15,38,53
TACOPAYA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,11,24,11,24,35
TAHUA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,4,1,4,1,5
TAPACARI,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,38,49,38,49,87
TARABUCO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,45,79,45,79,124
TARACO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,10,23,10,23,33
TARATA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,12,14,12,14,26
TARIJA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,1745,2165,1745,2165,3910
TARVITA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,66,77,66,77,143
TEOPONTE,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,54,35,54,35,89
TIAWANACU,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,22,33,22,33,55
TINGUIPAYA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,53,81,53,81,134
TIPUANI,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,5,8,5,8,13
TIQUIPAYA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,30,27,30,27,57
TIRAQUE (CBBA),consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,72,59,72,59,131
TITO YUPANQUI (PARQUIPUJIO),consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,5,22,5,22,27
TOCO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,11,12,11,12,23
