municipality,group,variable,month,Repetidas en menores de 5 años -Hombre,Repetidas en menores de 5 años -Mujer,TOTAL-H,TOTAL-M,TOTAL
COBIJA,consulta externa,repetidas en menores de 5 anos,2006-01-01,182,168,182,168,350
COCHABAMBA,consulta externa,repetidas en menores de 5 anos,2006-01-01,2820,2369,2820,2369,5189
COLCAPIRHUA,consulta externa,repetidas en menores de 5 anos,2006-01-01,157,138,157,138,295
"COLCHA ""K""",consulta externa,repetidas en menores de 5 anos,2006-01-01,4,3,4,3,7
COLLANA,consulta externa,repetidas en menores de 5 anos,2006-01-01,2,3,2,3,5
COLOMI,consulta externa,repetidas en menores de 5 anos,2006-01-01,10,7,10,7,17
COLPA BELGICA,consulta externa,repetidas en menores de 5 anos,2006-01-01,41,18,41,18,59
COLQUECHACA,consulta externa,repetidas en menores de 5 anos,2006-01-01,4,1,4,1,5
COLQUENCHA,consulta externa,repetidas en menores de 5 anos,2006-01-01,1,1,1,1,2
COLQUIRI,consulta externa,repetidas en menores de 5 anos,2006-01-01,42,33,42,33,75
COMANCHE,consulta externa,repetidas en menores de 5 anos,2006-01-01,1,0,1,0,1
COMARAPA,consulta externa,repetidas en menores de 5 anos,2006-01-01,48,41,48,41,89
CONCEPCION,consulta externa,repetidas en menores de 5 anos,2006-01-01,1,3,1,3,4
COPACABANA,consulta externa,repetidas en menores de 5 anos,2006-01-01,0,1,0,1,1
CORIPATA,consulta externa,repetidas en menores de 5 anos,2006-01-01,7,2,7,2,9
CORO CORO,consulta externa,repetidas en menores de 5 anos,2006-01-01,7,2,7,2,9
COROICO,consulta externa,repetidas en menores de 5 anos,2006-01-01,18,15,18,15,33
CORQUE,consulta externa,repetidas en menores de 5 anos,2006-01-01,2,3,2,3,5
COTAGAITA,consulta externa,repetidas en menores de 5 anos,2006-01-01,31,12,31,12,43
COTOCA,consulta externa,repetidas en menores de 5 anos,2006-01-01,16,7,16,7,23
CUATRO CAÑADAS,consulta externa,repetidas en menores de 5 anos,2006-01-01,22,19,22,19,41
CUCHUMUELA (V. G. VILLARROEL),consulta externa,repetidas en menores de 5 anos,2006-01-01,1,0,1,0,1
CUEVO,consulta externa,repetidas en menores de 5 anos,2006-01-01,18,17,18,17,35
CULPINA,consulta externa,repetidas en menores de 5 anos,2006-01-01,22,9,22,9,31
CURAHUARA DE CARANGAS,consulta externa,repetidas en menores de 5 anos,2006-01-01,1,1,1,1,2
EL ALTO,consulta externa,repetidas en menores de 5 anos,2006-01-01,2060,1874,2060,1874,3934
EL CHORO,consulta externa,repetidas en menores de 5 anos,2006-01-01,3,0,3,0,3
EL PUENTE(STC),consulta externa,repetidas en menores de 5 anos,2006-01-01,4,4,4,4,8
EL PUENTE(TJA),consulta externa,repetidas en menores de 5 anos,2006-01-01,32,30,32,30,62
EL TORNO,consulta externa,repetidas en menores de 5 anos,2006-01-01,60,59,60,59,119
EL VILLAR,consulta externa,repetidas en menores de 5 anos,2006-01-01,1,2,1,2,3
ENTRE RIOS,consulta externa,repetidas en menores de 5 anos,2006-01-01,3,8,3,8,11
ENTRE RIOS,consulta externa,repetidas en menores de 5 anos,2006-01-01,70,56,70,56,126
EUCALIPTUS,consulta externa,repetidas en menores de 5 anos,2006-01-01,4,6,4,6,10
EXALTACION,consulta externa,repetidas en menores de 5 anos,2006-01-01,10,9,10,9,19
FERNANDEZ ALONSO,consulta externa,repetidas en menores de 5 anos,2006-01-01,33,33,33,33,66
FILADELFIA,consulta externa,repetidas en menores de 5 anos,2006-01-01,4,3,4,3,7
GENERAL SAAVEDRA,consulta externa,repetidas en menores de 5 anos,2006-01-01,29,20,29,20,49
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,repetidas en menores de 5 anos,2006-01-01,6,2,6,2,8
GUANAY,consulta externa,repetidas en menores de 5 anos,2006-01-01,1,0,1,0,1
GUAQUI,consulta externa,repetidas en menores de 5 anos,2006-01-01,2,1,2,1,3
GUAYARAMERIN,consulta externa,repetidas en menores de 5 anos,2006-01-01,37,83,37,83,120
GUTIERREZ,consulta externa,repetidas en menores de 5 anos,2006-01-01,24,22,24,22,46
HUACARETA,consulta externa,repetidas en menores de 5 anos,2006-01-01,28,22,28,22,50
HUACAYA (VILLA DE HUACAYA),consulta externa,repetidas en menores de 5 anos,2006-01-01,1,1,1,1,2
HUANUNI,consulta externa,repetidas en menores de 5 anos,2006-01-01,80,94,80,94,174
HUARACAJE,consulta externa,repetidas en menores de 5 anos,2006-01-01,10,4,10,4,14
HUAYLLAMARCA,consulta externa,repetidas en menores de 5 anos,2006-01-01,1,0,1,0,1
ICHOCA,consulta externa,repetidas en menores de 5 anos,2006-01-01,1,2,1,2,3
ICLA,consulta externa,repetidas en menores de 5 anos,2006-01-01,11,3,11,3,14
INCAHUASI,consulta externa,repetidas en menores de 5 anos,2006-01-01,1,2,1,2,3
INGAVI (HUMAITA),consulta externa,repetidas en menores de 5 anos,2006-01-01,12,6,12,6,18
INQUISIVI,consulta externa,repetidas en menores de 5 anos,2006-01-01,12,12,12,12,24
IRUPANA (VILLA DE LANZA),consulta externa,repetidas en menores de 5 anos,2006-01-01,7,3,7,3,10
IXIAMAS,consulta externa,repetidas en menores de 5 anos,2006-01-01,18,7,18,7,25
JESUS DE MACHACA,consulta externa,repetidas en menores de 5 anos,2006-01-01,2,6,2,6,8
LA ASUNTA,consulta externa,repetidas en menores de 5 anos,2006-01-01,4,7,4,7,11
LA GUARDIA,consulta externa,repetidas en menores de 5 anos,2006-01-01,79,68,79,68,147
LA PAZ,consulta externa,repetidas en menores de 5 anos,2006-01-01,3154,3130,3154,3130,6284
LAGUNILLAS,consulta externa,repetidas en menores de 5 anos,2006-01-01,5,5,5,5,10
LAJA,consulta externa,repetidas en menores de 5 anos,2006-01-01,2,2,2,2,4
LAS CARRERAS,consulta externa,repetidas en menores de 5 anos,2006-01-01,2,13,2,13,15
LLALLAGUA,consulta externa,repetidas en menores de 5 anos,2006-01-01,32,25,32,25,57
LLICA,consulta externa,repetidas en menores de 5 anos,2006-01-01,0,1,0,1,1
LORETO,consulta externa,repetidas en menores de 5 anos,2006-01-01,7,17,7,17,24
LURIBAY,consulta externa,repetidas en menores de 5 anos,2006-01-01,5,2,5,2,7
MACHACAMARCA,consulta externa,repetidas en menores de 5 anos,2006-01-01,0,2,0,2,2
MACHARETI,consulta externa,repetidas en menores de 5 anos,2006-01-01,7,11,7,11,18
MAGDALENA,consulta externa,repetidas en menores de 5 anos,2006-01-01,16,33,16,33,49
MAIRANA,consulta externa,repetidas en menores de 5 anos,2006-01-01,6,13,6,13,19
MALLA,consulta externa,repetidas en menores de 5 anos,2006-01-01,0,3,0,3,3
MAPIRI,consulta externa,repetidas en menores de 5 anos,2006-01-01,7,6,7,6,13
MECAPACA,consulta externa,repetidas en menores de 5 anos,2006-01-01,10,7,10,7,17
MINEROS,consulta externa,repetidas en menores de 5 anos,2006-01-01,25,22,25,22,47
MIZQUE,consulta externa,repetidas en menores de 5 anos,2006-01-01,26,11,26,11,37
MOJINETE,consulta externa,repetidas en menores de 5 anos,2006-01-01,1,0,1,0,1
MOJOCOYA,consulta externa,repetidas en menores de 5 anos,2006-01-01,5,7,5,7,12
MONTEAGUDO,consulta externa,repetidas en menores de 5 anos,2006-01-01,52,21,52,21,73
MONTERO,consulta externa,repetidas en menores de 5 anos,2006-01-01,285,351,285,351,636
MORO MORO,consulta externa,repetidas en menores de 5 anos,2006-01-01,2,5,2,5,7
MOROCHATA,consulta externa,repetidas en menores de 5 anos,2006-01-01,39,65,39,65,104
OCURI,consulta externa,repetidas en menores de 5 anos,2006-01-01,0,1,0,1,1
OKINAWA,consulta externa,repetidas en menores de 5 anos,2006-01-01,2,1,2,1,3
OMEREQUE,consulta externa,repetidas en menores de 5 anos,2006-01-01,3,2,3,2,5
ORURO,consulta externa,repetidas en menores de 5 anos,2006-01-01,480,469,480,469,949
PADCAYA,consulta externa,repetidas en menores de 5 anos,2006-01-01,11,11,11,11,22
PADILLA,consulta externa,repetidas en menores de 5 anos,2006-01-01,7,5,7,5,12
PAILON,consulta externa,repetidas en menores de 5 anos,2006-01-01,29,17,29,17,46
PALCA,consulta externa,repetidas en menores de 5 anos,2006-01-01,2,6,2,6,8
PALOS BLANCOS,consulta externa,repetidas en menores de 5 anos,2006-01-01,31,39,31,39,70
PAMPA AULLAGAS,consulta externa,repetidas en menores de 5 anos,2006-01-01,1,1,1,1,2
PAMPA GRANDE,consulta externa,repetidas en menores de 5 anos,2006-01-01,7,15,7,15,22
PAPEL PAMPA,consulta externa,repetidas en menores de 5 anos,2006-01-01,2,1,2,1,3
PASORAPA,consulta externa,repetidas en menores de 5 anos,2006-01-01,2,0,2,0,2
PATACAMAYA,consulta externa,repetidas en menores de 5 anos,2006-01-01,9,7,9,7,16
PAZÑA,consulta externa,repetidas en menores de 5 anos,2006-01-01,2,1,2,1,3
POCOATA,consulta externa,repetidas en menores de 5 anos,2006-01-01,4,6,4,6,10
POCONA,consulta externa,repetidas en menores de 5 anos,2006-01-01,5,7,5,7,12
POOPO,consulta externa,repetidas en menores de 5 anos,2006-01-01,2,0,2,0,2
PORCO,consulta externa,repetidas en menores de 5 anos,2006-01-01,5,2,5,2,7
POROMA,consulta externa,repetidas en menores de 5 anos,2006-01-01,3,0,3,0,3
PORONGO,consulta externa,repetidas en menores de 5 anos,2006-01-01,26,28,26,28,54
PORTACHUELO,consulta externa,repetidas en menores de 5 anos,2006-01-01,12,10,12,10,22
PORVENIR,consulta externa,repetidas en menores de 5 anos,2006-01-01,0,1,0,1,1
POSTRER VALLE,consulta externa,repetidas en menores de 5 anos,2006-01-01,1,0,1,0,1
POTOSI,consulta externa,repetidas en menores de 5 anos,2006-01-01,439,320,439,320,759
PRESTO,consulta externa,repetidas en menores de 5 anos,2006-01-01,5,2,5,2,7
PUCARA,consulta externa,repetidas en menores de 5 anos,2006-01-01,1,1,1,1,2
PUCARANI,consulta externa,repetidas en menores de 5 anos,2006-01-01,2,2,2,2,4
PUERTO ACOSTA,consulta externa,repetidas en menores de 5 anos,2006-01-01,23,27,23,27,50
PUERTO CARABUCO,consulta externa,repetidas en menores de 5 anos,2006-01-01,8,10,8,10,18
PUERTO GONZALO MORENO,consulta externa,repetidas en menores de 5 anos,2006-01-01,10,8,10,8,18
PUERTO PEREZ,consulta externa,repetidas en menores de 5 anos,2006-01-01,1,0,1,0,1
PUERTO QUIJARRO,consulta externa,repetidas en menores de 5 anos,2006-01-01,18,11,18,11,29
PUERTO RICO,consulta externa,repetidas en menores de 5 anos,2006-01-01,1,3,1,3,4
PUERTO SILES,consulta externa,repetidas en menores de 5 anos,2006-01-01,0,1,0,1,1
PUERTO SUAREZ,consulta externa,repetidas en menores de 5 anos,2006-01-01,17,11,17,11,28
PUERTO VILLARROEL,consulta externa,repetidas en menores de 5 anos,2006-01-01,34,31,34,31,65
PUNA,consulta externa,repetidas en menores de 5 anos,2006-01-01,7,6,7,6,13
PUNATA,consulta externa,repetidas en menores de 5 anos,2006-01-01,33,49,33,49,82
QUILLACOLLO,consulta externa,repetidas en menores de 5 anos,2006-01-01,313,296,313,296,609
QUIME,consulta externa,repetidas en menores de 5 anos,2006-01-01,7,3,7,3,10
QUIRUSILLAS,consulta externa,repetidas en menores de 5 anos,2006-01-01,3,2,3,2,5
RAVELO,consulta externa,repetidas en menores de 5 anos,2006-01-01,0,1,0,1,1
REYES,consulta externa,repetidas en menores de 5 anos,2006-01-01,27,8,27,8,35
RIBERALTA,consulta externa,repetidas en menores de 5 anos,2006-01-01,299,271,299,271,570
ROBORE,consulta externa,repetidas en menores de 5 anos,2006-01-01,11,10,11,10,21
RURRENABAQUE,consulta externa,repetidas en menores de 5 anos,2006-01-01,11,9,11,9,20
SABAYA,consulta externa,repetidas en menores de 5 anos,2006-01-01,2,0,2,0,2
SACABA,consulta externa,repetidas en menores de 5 anos,2006-01-01,235,192,235,192,427
SACABAMBA,consulta externa,repetidas en menores de 5 anos,2006-01-01,2,4,2,4,6
SACACA,consulta externa,repetidas en menores de 5 anos,2006-01-01,5,3,5,3,8
SAIPINA,consulta externa,repetidas en menores de 5 anos,2006-01-01,18,32,18,32,50
SALINAS DE GARCI MENDOZA,consulta externa,repetidas en menores de 5 anos,2006-01-01,2,1,2,1,3
SAMAIPATA,consulta externa,repetidas en menores de 5 anos,2006-01-01,4,4,4,4,8
SAN AGUSTIN,consulta externa,repetidas en menores de 5 anos,2006-01-01,1,0,1,0,1
SAN ANDRES,consulta externa,repetidas en menores de 5 anos,2006-01-01,23,22,23,22,45
SAN ANTONIO DE ESMORUCO,consulta externa,repetidas en menores de 5 anos,2006-01-01,1,1,1,1,2
SAN ANTONIO DE LOMERIO,consulta externa,repetidas en menores de 5 anos,2006-01-01,0,1,0,1,1
SAN BENITO,consulta externa,repetidas en menores de 5 anos,2006-01-01,21,17,21,17,38
SAN BORJA,consulta externa,repetidas en menores de 5 anos,2006-01-01,46,27,46,27,73
SAN BUENA VENTURA,consulta externa,repetidas en menores de 5 anos,2006-01-01,3,4,3,4,7
SAN CARLOS,consulta externa,repetidas en menores de 5 anos,2006-01-01,14,8,14,8,22
SAN IGNACIO,consulta externa,repetidas en menores de 5 anos,2006-01-01,106,106,106,106,212
SAN IGNACIO DE VELASCO,consulta externa,repetidas en menores de 5 anos,2006-01-01,188,205,188,205,393
SAN JAVIER(BNI),consulta externa,repetidas en menores de 5 anos,2006-01-01,1,2,1,2,3
SAN JAVIER(STC),consulta externa,repetidas en menores de 5 anos,2006-01-01,17,7,17,7,24
SAN JOAQUIN,consulta externa,repetidas en menores de 5 anos,2006-01-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,consulta externa,repetidas en menores de 5 anos,2006-01-01,7,3,7,3,10
SAN JUAN DE YAPACANI,consulta externa,repetidas en menores de 5 anos,2006-01-01,31,32,31,32,63
SAN JULIAN,consulta externa,repetidas en menores de 5 anos,2006-01-01,56,48,56,48,104
SAN LORENZO(PND),consulta externa,repetidas en menores de 5 anos,2006-01-01,4,1,4,1,5
SAN LORENZO(TJA),consulta externa,repetidas en menores de 5 anos,2006-01-01,27,37,27,37,64
SAN LUCAS,consulta externa,repetidas en menores de 5 anos,2006-01-01,17,90,17,90,107
SAN MATIAS,consulta externa,repetidas en menores de 5 anos,2006-01-01,2,3,2,3,5
SAN MIGUEL DE VELASCO,consulta externa,repetidas en menores de 5 anos,2006-01-01,30,23,30,23,53
SAN PABLO DE LIPEZ,consulta externa,repetidas en menores de 5 anos,2006-01-01,3,5,3,5,8
SAN PEDRO,consulta externa,repetidas en menores de 5 anos,2006-01-01,43,68,43,68,111
SAN PEDRO DE CURAHUARA,consulta externa,repetidas en menores de 5 anos,2006-01-01,2,0,2,0,2
SAN PEDRO DE TIQUINA,consulta externa,repetidas en menores de 5 anos,2006-01-01,3,1,3,1,4
SAN PEDRO(PND),consulta externa,repetidas en menores de 5 anos,2006-01-01,4,0,4,0,4
SAN RAFAEL,consulta externa,repetidas en menores de 5 anos,2006-01-01,3,1,3,1,4
SAN RAMON,consulta externa,repetidas en menores de 5 anos,2006-01-01,4,1,4,1,5
SAN RAMON,consulta externa,repetidas en menores de 5 anos,2006-01-01,4,9,4,9,13
SANTA ANA,consulta externa,repetidas en menores de 5 anos,2006-01-01,28,17,28,17,45
SANTA CRUZ DE LA SIERRA,consulta externa,repetidas en menores de 5 anos,2006-01-01,3648,3774,3648,3774,7422
SANTA ROSA,consulta externa,repetidas en menores de 5 anos,2006-01-01,16,22,16,22,38
SANTA ROSA DEL SARA,consulta externa,repetidas en menores de 5 anos,2006-01-01,44,47,44,47,91
SANTIAGO DE HUARI,consulta externa,repetidas en menores de 5 anos,2006-01-01,12,12,12,12,24
SANTIAGO DE MACHACA,consulta externa,repetidas en menores de 5 anos,2006-01-01,3,0,3,0,3
SANTIVAÑES,consulta externa,repetidas en menores de 5 anos,2006-01-01,11,6,11,6,17
SANTUARIO DE QUILLACAS,consulta externa,repetidas en menores de 5 anos,2006-01-01,4,1,4,1,5
SAPAHAQUI,consulta externa,repetidas en menores de 5 anos,2006-01-01,1,3,1,3,4
SENA,consulta externa,repetidas en menores de 5 anos,2006-01-01,6,5,6,5,11
SICA SICA (VILLA AROMA),consulta externa,repetidas en menores de 5 anos,2006-01-01,3,5,3,5,8
SICAYA,consulta externa,repetidas en menores de 5 anos,2006-01-01,1,2,1,2,3
SIPE SIPE,consulta externa,repetidas en menores de 5 anos,2006-01-01,137,102,137,102,239
SOPACHUY,consulta externa,repetidas en menores de 5 anos,2006-01-01,12,1,12,1,13
SORATA,consulta externa,repetidas en menores de 5 anos,2006-01-01,0,4,0,4,4
SUCRE,consulta externa,repetidas en menores de 5 anos,2006-01-01,614,620,614,620,1234
TACACHI,consulta externa,repetidas en menores de 5 anos,2006-01-01,1,3,1,3,4
TACACOMA,consulta externa,repetidas en menores de 5 anos,2006-01-01,1,1,1,1,2
TACOPAYA,consulta externa,repetidas en menores de 5 anos,2006-01-01,1,1,1,1,2
TAPACARI,consulta externa,repetidas en menores de 5 anos,2006-01-01,6,4,6,4,10
TARABUCO,consulta externa,repetidas en menores de 5 anos,2006-01-01,79,106,79,106,185
TARATA,consulta externa,repetidas en menores de 5 anos,2006-01-01,6,2,6,2,8
TARIJA,consulta externa,repetidas en menores de 5 anos,2006-01-01,814,724,814,724,1538
TARVITA,consulta externa,repetidas en menores de 5 anos,2006-01-01,14,10,14,10,24
TEOPONTE,consulta externa,repetidas en menores de 5 anos,2006-01-01,2,0,2,0,2
TIAWANACU,consulta externa,repetidas en menores de 5 anos,2006-01-01,2,2,2,2,4
TINGUIPAYA,consulta externa,repetidas en menores de 5 anos,2006-01-01,5,8,5,8,13
TIPUANI,consulta externa,repetidas en menores de 5 anos,2006-01-01,13,20,13,20,33
TIQUIPAYA,consulta externa,repetidas en menores de 5 anos,2006-01-01,196,170,196,170,366
TIRAQUE (CBBA),consulta externa,repetidas en menores de 5 anos,2006-01-01,117,105,117,105,222
TITO YUPANQUI (PARQUIPUJIO),consulta externa,repetidas en menores de 5 anos,2006-01-01,1,1,1,1,2
TOCO,consulta externa,repetidas en menores de 5 anos,2006-01-01,2,2,2,2,4
TODOS SANTOS,consulta externa,repetidas en menores de 5 anos,2006-01-01,0,1,0,1,1
TOLATA,consulta externa,repetidas en menores de 5 anos,2006-01-01,5,8,5,8,13
TOLEDO,consulta externa,repetidas en menores de 5 anos,2006-01-01,2,2,2,2,4
TOMAVE,consulta externa,repetidas en menores de 5 anos,2006-01-01,4,2,4,2,6
TOMINA,consulta externa,repetidas en menores de 5 anos,2006-01-01,0,1,0,1,1
TORO TORO,consulta externa,repetidas en menores de 5 anos,2006-01-01,2,0,2,0,2
TOTORA(CBBA),consulta externa,repetidas en menores de 5 anos,2006-01-01,65,75,65,75,140
TOTORA(ORR),consulta externa,repetidas en menores de 5 anos,2006-01-01,4,6,4,6,10
TRIGAL,consulta externa,repetidas en menores de 5 anos,2006-01-01,2,2,2,2,4
TRINIDAD,consulta externa,repetidas en menores de 5 anos,2006-01-01,614,459,614,459,1073
TUPIZA,consulta externa,repetidas en menores de 5 anos,2006-01-01,84,106,84,106,190
TURCO,consulta externa,repetidas en menores de 5 anos,2006-01-01,0,3,0,3,3
UNCIA,consulta externa,repetidas en menores de 5 anos,2006-01-01,8,9,8,9,17
URIONDO (A. CONCEPCION),consulta externa,repetidas en menores de 5 anos,2006-01-01,28,25,28,25,53
URUBICHA,consulta externa,repetidas en menores de 5 anos,2006-01-01,2,5,2,5,7
UYUNI,consulta externa,repetidas en menores de 5 anos,2006-01-01,57,16,57,16,73
VACAS,consulta externa,repetidas en menores de 5 anos,2006-01-01,26,31,26,31,57
VALLEGRANDE,consulta externa,repetidas en menores de 5 anos,2006-01-01,14,19,14,19,33
VIACHA,consulta externa,repetidas en menores de 5 anos,2006-01-01,54,46,54,46,100
VILA VILA,consulta externa,repetidas en menores de 5 anos,2006-01-01,1,0,1,0,1
VILLA MONTES,consulta externa,repetidas en menores de 5 anos,2006-01-01,22,10,22,10,32
VILLA RIVERO,consulta externa,repetidas en menores de 5 anos,2006-01-01,5,3,5,3,8
VILLA SERRANO,consulta externa,repetidas en menores de 5 anos,2006-01-01,6,1,6,1,7
VILLA TUNARI,consulta externa,repetidas en menores de 5 anos,2006-01-01,75,47,75,47,122
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,repetidas en menores de 5 anos,2006-01-01,9,0,9,0,9
VILLAZON,consulta externa,repetidas en menores de 5 anos,2006-01-01,48,60,48,60,108
VINTO,consulta externa,repetidas en menores de 5 anos,2006-01-01,176,120,176,120,296
VITICHI,consulta externa,repetidas en menores de 5 anos,2006-01-01,3,8,3,8,11
WARNES,consulta externa,repetidas en menores de 5 anos,2006-01-01,72,81,72,81,153
YACO,consulta externa,repetidas en menores de 5 anos,2006-01-01,1,2,1,2,3
YACUIBA,consulta externa,repetidas en menores de 5 anos,2006-01-01,166,117,166,117,283
YAMPARAEZ,consulta externa,repetidas en menores de 5 anos,2006-01-01,7,4,7,4,11
YAPACANI,consulta externa,repetidas en menores de 5 anos,2006-01-01,16,18,16,18,34
YOCALLA,consulta externa,repetidas en menores de 5 anos,2006-01-01,3,2,3,2,5
YOTALA,consulta externa,repetidas en menores de 5 anos,2006-01-01,14,14,14,14,28
YUNCHARA,consulta externa,repetidas en menores de 5 anos,2006-01-01,1,7,1,7,8
ZUDAÑEZ,consulta externa,repetidas en menores de 5 anos,2006-01-01,2,1,2,1,3
ACACIO,consulta externa,repetidas en menores de 5 anos,2006-02-01,3,0,3,0,3
ACHACACHI,consulta externa,repetidas en menores de 5 anos,2006-02-01,9,11,9,11,20
AIQUILE,consulta externa,repetidas en menores de 5 anos,2006-02-01,72,85,72,85,157
ALALAY,consulta externa,repetidas en menores de 5 anos,2006-02-01,2,2,2,2,4
ALCALA,consulta externa,repetidas en menores de 5 anos,2006-02-01,0,1,0,1,1
ANCORAIMES,consulta externa,repetidas en menores de 5 anos,2006-02-01,4,11,4,11,15
ANDAMARCA,consulta externa,repetidas en menores de 5 anos,2006-02-01,1,0,1,0,1
ANTEQUERA,consulta externa,repetidas en menores de 5 anos,2006-02-01,18,38,18,38,56
ANZALDO,consulta externa,repetidas en menores de 5 anos,2006-02-01,10,13,10,13,23
APOLO,consulta externa,repetidas en menores de 5 anos,2006-02-01,3,1,3,1,4
ARANI,consulta externa,repetidas en menores de 5 anos,2006-02-01,31,36,31,36,67
ARBIETO,consulta externa,repetidas en menores de 5 anos,2006-02-01,15,11,15,11,26
ARQUE,consulta externa,repetidas en menores de 5 anos,2006-02-01,1,1,1,1,2
ASCENCION DE GUARAYOS,consulta externa,repetidas en menores de 5 anos,2006-02-01,76,53,76,53,129
ATOCHA,consulta externa,repetidas en menores de 5 anos,2006-02-01,37,33,37,33,70
AUCAPATA,consulta externa,repetidas en menores de 5 anos,2006-02-01,11,6,11,6,17
AYATA,consulta externa,repetidas en menores de 5 anos,2006-02-01,39,42,39,42,81
AYO AYO,consulta externa,repetidas en menores de 5 anos,2006-02-01,2,8,2,8,10
