municipality,group,variable,month,Repetidas en personas de 60 años o más -Hombre,Repetidas en personas de 60 años o más -Mujer,TOTAL-H,TOTAL-M,TOTAL
EL ALTO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,564,681,564,681,1245
EL CHORO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,0,1,0,1,1
EL PUENTE(TJA),consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,2,1,2,3
EL TORNO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,284,222,284,222,506
EL VILLAR,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,3,1,3,1,4
ENTRE RIOS,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,0,2,0,2
ENTRE RIOS,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,5,10,5,10,15
EUCALIPTUS,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,2,1,2,3
EUREKA (SANTOS MERCADO),consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,0,1,0,1,1
EXALTACION,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,0,1,0,1,1
FERNANDEZ ALONSO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,1,1,1,2
FILADELFIA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,2,1,2,3
GENERAL SAAVEDRA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,0,5,0,5,5
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,0,2,0,2,2
GUANAY,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,0,1,0,1,1
GUAQUI,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,10,5,10,5,15
GUAYARAMERIN,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,217,204,217,204,421
GUTIERREZ,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,0,5,0,5,5
HUACARETA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,7,6,7,6,13
HUACHACALLA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,0,1,0,1
HUANUNI,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,93,75,93,75,168
HUARACAJE,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,1,1,1,2
HUAYLLAMARCA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,3,2,3,2,5
ICHOCA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,3,4,3,4,7
ICLA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,2,1,2,3
INCAHUASI,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,0,2,0,2
INQUISIVI,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,7,2,7,2,9
IRUPANA (VILLA DE LANZA),consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,6,9,6,9,15
JESUS DE MACHACA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,5,6,5,6,11
LA GUARDIA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,4,11,4,11,15
LA PAZ,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,8774,11931,8774,11931,20705
LAJA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,14,2,14,2,16
LAS CARRERAS,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,6,2,6,8
LLALLAGUA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,70,76,70,76,146
LLICA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,7,9,7,9,16
LORETO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,1,1,1,2
MACHACAMARCA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,44,39,44,39,83
MACHARETI,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,0,2,0,2
MAGDALENA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,69,85,69,85,154
MAIRANA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,0,1,0,1,1
MALLA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,0,1,0,1
MECAPACA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,4,4,4,4,8
MINEROS,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,89,4,89,4,93
MIZQUE,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,4,2,4,6
MOCOMOCO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,3,5,3,5,8
MOJINETE,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,3,2,3,5
MOJOCOYA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,4,1,4,5
MONTEAGUDO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,93,66,93,66,159
MONTERO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,654,820,654,820,1474
MORO MORO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,4,2,4,6
MOROCHATA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,8,10,8,10,18
OCURI,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,0,1,0,1,1
OKINAWA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,7,7,7,7,14
ORURO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1264,1587,1264,1587,2851
PADCAYA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,7,10,7,10,17
PADILLA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,14,15,14,15,29
PALCA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,3,0,3,0,3
PALOS BLANCOS,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,6,4,6,4,10
PAMPA AULLAGAS,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,1,1,1,2
PAMPA GRANDE,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,11,1,11,12
PAPEL PAMPA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,3,3,3,3,6
PASORAPA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,0,3,0,3,3
PATACAMAYA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,0,1,0,1,1
PAZÑA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,14,14,14,14,28
POCOATA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,0,1,0,1
POCONA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,0,3,0,3,3
POOPO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,5,3,5,3,8
POROMA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,4,3,4,3,7
PORONGO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,6,1,6,1,7
PORTACHUELO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,11,5,11,5,16
PORVENIR,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,1,2,1,3
POSTRER VALLE,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,4,1,4,1,5
POTOSI,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,986,1084,986,1084,2070
PUCARA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,3,2,3,5
PUCARANI,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,4,7,4,7,11
PUERTO ACOSTA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,9,6,9,6,15
PUERTO CARABUCO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,4,3,4,3,7
PUERTO GONZALO MORENO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,4,0,4,0,4
PUERTO PEREZ,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,16,3,16,3,19
PUERTO QUIJARRO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,18,10,18,10,28
PUERTO RICO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,1,1,1,2
PUERTO SUAREZ,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,4,1,4,5
PUERTO VILLARROEL,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,7,1,7,8
PUNA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,11,2,11,13
PUNATA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,79,74,79,74,153
QUILLACOLLO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,47,323,47,323,370
QUIRUSILLAS,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,0,2,0,2
RIBERALTA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,5,17,5,17,22
ROBORE,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,13,22,13,22,35
RURRENABAQUE,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,54,34,54,34,88
SABAYA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,0,2,0,2,2
SACABA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,80,98,80,98,178
SACABAMBA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,3,1,3,4
SAIPINA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,39,58,39,58,97
SALINAS DE GARCI MENDOZA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,3,2,3,5
SAMAIPATA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,0,1,0,1
SAN ANDRES,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,0,1,0,1,1
SAN ANDRES DE MACHACA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,5,2,5,2,7
SAN BENITO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,9,12,9,12,21
SAN BORJA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,65,46,65,46,111
SAN CARLOS,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,15,11,15,11,26
SAN IGNACIO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,40,59,40,59,99
SAN IGNACIO DE VELASCO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,38,52,38,52,90
SAN JAVIER(BNI),consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,1,2,1,3
SAN JAVIER(STC),consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,0,3,0,3,3
SAN JOAQUIN,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,16,17,16,17,33
SAN JOSE DE CHIQUITOS,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,13,20,13,20,33
SAN JUAN DE YAPACANI,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,15,11,15,11,26
SAN JULIAN,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,5,14,5,14,19
SAN LORENZO(PND),consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,1,2,1,3
SAN LORENZO(TJA),consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,3,6,3,6,9
SAN LUCAS,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,26,31,26,31,57
SAN MIGUEL DE VELASCO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,26,78,26,78,104
SAN PABLO DE LIPEZ,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,3,0,3,0,3
SAN PEDRO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,5,7,5,7,12
SAN PEDRO DE BUENA VISTA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,0,1,0,1,1
SAN PEDRO DE CURAHUARA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,4,4,4,4,8
SAN PEDRO DE TIQUINA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,12,1,12,13
SAN PEDRO(PND),consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,1,1,1,2
SAN RAFAEL,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,0,1,0,1
SAN RAMON,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,22,30,22,30,52
SAN RAMON,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,8,2,8,10
SANTA ANA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,99,131,99,131,230
SANTA CRUZ DE LA SIERRA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2566,4895,2566,4895,7461
SANTA ROSA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,0,2,0,2
SANTA ROSA DEL SARA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,3,1,3,4
SANTIAGO DE CALLAPA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,1,2,1,3
SANTIAGO DE HUARI,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,13,8,13,8,21
SANTIAGO DE MACHACA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,3,1,3,1,4
SANTIVAÑES,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,9,2,9,11
SANTUARIO DE QUILLACAS,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,1,2,1,3
SENA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,0,1,0,1
SICA SICA (VILLA AROMA),consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,7,4,7,4,11
SICAYA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,0,1,0,1,1
SIPE SIPE,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,17,33,17,33,50
SORACACHI,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,1,2,1,3
SORATA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,3,1,3,1,4
SUCRE,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1150,1344,1150,1344,2494
TACACHI,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,1,2,1,3
TACOBAMBA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,0,3,0,3,3
TACOPAYA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,0,1,0,1,1
TAHUA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,0,1,0,1
TAPACARI,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,5,2,5,7
TARABUCO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,9,32,9,32,41
TARACO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,3,4,3,4,7
TARATA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,2,1,2,3
TARIJA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1302,1933,1302,1933,3235
TARVITA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,2,1,2,3
TEOPONTE,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,13,9,13,9,22
TIAWANACU,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,3,8,3,8,11
TIPUANI,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,3,0,3,0,3
TIQUIPAYA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,10,21,10,21,31
TIRAQUE (CBBA),consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,7,10,7,10,17
TITO YUPANQUI (PARQUIPUJIO),consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,0,1,0,1,1
TOCO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,1,1,1,2
TOLATA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,1,2,1,3
TOLEDO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,2,2,2,4
TOMAVE,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,0,4,0,4,4
TOMINA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,0,2,0,2
TORO TORO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,1,2,1,3
TOTORA(CBBA),consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,3,7,3,7,10
TRIGAL,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,0,2,0,2
TRINIDAD,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,354,351,354,351,705
TUPIZA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,75,92,75,92,167
TURCO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,1,1,1,2
UNCIA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,68,95,68,95,163
URIONDO (A. CONCEPCION),consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,2,2,2,4
UYUNI,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,25,26,25,26,51
VACAS,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,14,14,14,14,28
VALLEGRANDE,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,54,111,54,111,165
VIACHA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,84,101,84,101,185
VILLA MONTES,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,101,89,101,89,190
VILLA RIVERO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,1,2,1,3
VILLA SERRANO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,7,3,7,3,10
VILLA TUNARI,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,69,70,69,70,139
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,0,1,0,1,1
VILLAZON,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,39,49,39,49,88
VINTO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,7,3,7,3,10
VITICHI,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,8,3,8,3,11
WALDO BALLIVIAN,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,1,1,1,2
WARNES,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,5,15,5,15,20
YACO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,2,1,2,3
YACUIBA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,174,253,174,253,427
YAMPARAEZ,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,7,7,7,7,14
YANACACHI,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,0,2,0,2
YAPACANI,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,3,6,3,6,9
YOCALLA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,5,1,5,6
YOTALA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,6,7,6,7,13
ZUDAÑEZ,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,0,2,0,2,2
ACACIO,consulta externa,repetidas en personas de 60 anos o mas,2006-02-01,1,2,1,2,3
ACHACACHI,consulta externa,repetidas en personas de 60 anos o mas,2006-02-01,30,50,30,50,80
ACHOCALLA,consulta externa,repetidas en personas de 60 anos o mas,2006-02-01,2,2,2,2,4
AIQUILE,consulta externa,repetidas en personas de 60 anos o mas,2006-02-01,38,40,38,40,78
ALALAY,consulta externa,repetidas en personas de 60 anos o mas,2006-02-01,0,2,0,2,2
ANCORAIMES,consulta externa,repetidas en personas de 60 anos o mas,2006-02-01,3,3,3,3,6
ANDAMARCA,consulta externa,repetidas en personas de 60 anos o mas,2006-02-01,5,2,5,2,7
ANTEQUERA,consulta externa,repetidas en personas de 60 anos o mas,2006-02-01,0,1,0,1,1
ANZALDO,consulta externa,repetidas en personas de 60 anos o mas,2006-02-01,1,4,1,4,5
APOLO,consulta externa,repetidas en personas de 60 anos o mas,2006-02-01,7,5,7,5,12
ARANI,consulta externa,repetidas en personas de 60 anos o mas,2006-02-01,6,9,6,9,15
ARBIETO,consulta externa,repetidas en personas de 60 anos o mas,2006-02-01,6,1,6,1,7
ARQUE,consulta externa,repetidas en personas de 60 anos o mas,2006-02-01,0,3,0,3,3
ASCENCION DE GUARAYOS,consulta externa,repetidas en personas de 60 anos o mas,2006-02-01,8,5,8,5,13
ATOCHA,consulta externa,repetidas en personas de 60 anos o mas,2006-02-01,34,80,34,80,114
AUCAPATA,consulta externa,repetidas en personas de 60 anos o mas,2006-02-01,3,2,3,2,5
AYATA,consulta externa,repetidas en personas de 60 anos o mas,2006-02-01,2,7,2,7,9
AYO AYO,consulta externa,repetidas en personas de 60 anos o mas,2006-02-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,repetidas en personas de 60 anos o mas,2006-02-01,1,8,1,8,9
BATALLAS,consulta externa,repetidas en personas de 60 anos o mas,2006-02-01,1,3,1,3,4
BAURES,consulta externa,repetidas en personas de 60 anos o mas,2006-02-01,2,6,2,6,8
BERMEJO,consulta externa,repetidas en personas de 60 anos o mas,2006-02-01,127,71,127,71,198
BETANZOS,consulta externa,repetidas en personas de 60 anos o mas,2006-02-01,13,29,13,29,42
