municipality,group,variable,month,Repetidas en personas de 15 a 59 años -Hombre,Repetidas en personas de 15 a 59 años -Mujer,TOTAL-H,TOTAL-M,TOTAL
JESUS DE MACHACA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,5,10,5,10,15
LA ASUNTA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,4,5,4,5,9
LA GUARDIA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,35,129,35,129,164
LA PAZ,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,12468,29116,12468,29116,41584
LAGUNILLAS,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,3,1,3,4
LAJA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,25,7,25,7,32
LAS CARRERAS,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,10,1,10,11
LLALLAGUA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,108,152,108,152,260
LLICA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,6,1,6,7
LORETO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,4,2,4,2,6
LURIBAY,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,5,1,5,6
MACHACAMARCA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,14,29,14,29,43
MACHARETI,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,8,42,8,42,50
MAGDALENA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,39,152,39,152,191
MAIRANA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,6,13,6,13,19
MALLA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,3,1,3,4
MECAPACA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,14,24,14,24,38
MINEROS,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,4,48,4,48,52
MIZQUE,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,0,4,0,4,4
MOCOMOCO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,10,14,10,14,24
MOJINETE,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,2,8,2,8,10
MOJOCOYA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,3,13,3,13,16
MONTEAGUDO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,49,203,49,203,252
MONTERO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,630,1705,630,1705,2335
MORO MORO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,6,1,6,7
MOROCHATA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,8,53,8,53,61
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,0,3,0,3,3
OCURI,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,0,1,0,1
OKINAWA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,11,33,11,33,44
ORURO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1782,4279,1782,4279,6061
PADCAYA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,9,11,9,11,20
PADILLA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,8,30,8,30,38
PAILON,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,3,17,3,17,20
PALCA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,7,9,7,9,16
PALOS BLANCOS,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,18,45,18,45,63
PAMPA AULLAGAS,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,2,1,2,1,3
PAMPA GRANDE,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,3,6,3,6,9
PAPEL PAMPA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,2,1,2,3
PASORAPA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,0,1,0,1,1
PATACAMAYA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,2,1,2,1,3
PAZÑA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,23,19,23,19,42
PELECHUCO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,6,1,6,1,7
POCOATA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,2,11,2,11,13
POCONA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,11,8,11,8,19
POOPO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,2,2,2,2,4
PORCO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,5,1,5,6
POROMA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,0,11,0,11,11
PORONGO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,4,8,4,8,12
PORTACHUELO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,8,11,8,11,19
PORVENIR,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,3,3,3,3,6
POSTRER VALLE,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,8,1,8,1,9
POTOSI,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,5594,3578,5594,3578,9172
PRESTO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,1,1,1,2
PUCARA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,0,6,0,6,6
PUCARANI,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,5,8,5,8,13
PUERTO ACOSTA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,13,14,13,14,27
PUERTO CARABUCO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,4,5,4,5,9
PUERTO GONZALO MORENO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,2,8,2,8,10
PUERTO PEREZ,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,4,6,4,6,10
PUERTO QUIJARRO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,76,111,76,111,187
PUERTO RICO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,0,2,0,2,2
PUERTO SILES,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,1,1,1,2
PUERTO SUAREZ,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,11,38,11,38,49
PUERTO VILLARROEL,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,29,50,29,50,79
PUNA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,6,14,6,14,20
PUNATA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,81,217,81,217,298
QUIABAYA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,0,1,0,1,1
QUILLACOLLO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,161,568,161,568,729
QUIME,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,45,5,45,5,50
RAVELO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,2,1,2,1,3
REYES,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,96,77,96,77,173
RIBERALTA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,132,509,132,509,641
ROBORE,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,56,100,56,100,156
RURRENABAQUE,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,15,55,15,55,70
SABAYA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,0,1,0,1
SACABA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,152,441,152,441,593
SACABAMBA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,0,1,0,1
SACACA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,0,1,0,1,1
SAIPINA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,15,46,15,46,61
SALINAS DE GARCI MENDOZA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,6,1,6,7
SAMAIPATA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,5,1,5,6
SAN AGUSTIN,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,0,1,0,1,1
SAN ANDRES,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,8,1,8,9
SAN ANTONIO DE ESMORUCO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,4,11,4,11,15
SAN ANTONIO DE LOMERIO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,1,1,1,2
SAN BENITO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,8,31,8,31,39
SAN BORJA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,25,174,25,174,199
SAN BUENA VENTURA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,6,1,6,7
SAN CARLOS,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,5,201,5,201,206
SAN IGNACIO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,16,74,16,74,90
SAN IGNACIO DE VELASCO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,75,178,75,178,253
SAN JAVIER(BNI),consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,1,1,1,2
SAN JAVIER(STC),consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,5,38,5,38,43
SAN JOAQUIN,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,9,25,9,25,34
SAN JOSE DE CHIQUITOS,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,5,14,5,14,19
SAN JUAN DE YAPACANI,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,32,23,32,23,55
SAN JULIAN,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,41,433,41,433,474
SAN LORENZO(PND),consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,2,2,2,2,4
SAN LORENZO(TJA),consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,12,17,12,17,29
SAN LUCAS,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,38,55,38,55,93
SAN MATIAS,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,78,1,78,79
SAN MIGUEL DE VELASCO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,34,71,34,71,105
SAN PABLO DE LIPEZ,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,7,13,7,13,20
SAN PEDRO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,27,58,27,58,85
SAN PEDRO DE BUENA VISTA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,2,1,2,3
SAN PEDRO DE CURAHUARA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,1,1,1,2
SAN PEDRO DE TIQUINA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,6,1,6,1,7
SAN PEDRO(PND),consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,7,3,7,3,10
SAN RAFAEL,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,4,3,4,3,7
SAN RAMON,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,6,77,6,77,83
SAN RAMON,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,6,90,6,90,96
SANTA ANA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,31,90,31,90,121
SANTA CRUZ DE LA SIERRA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,5886,15992,5886,15992,21878
SANTA ROSA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,0,4,0,4,4
SANTA ROSA DEL SARA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,8,20,8,20,28
SANTIAGO DE CALLAPA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,2,1,2,3
SANTIAGO DE HUARI,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,7,17,7,17,24
SANTIAGO DE MACHACA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,6,2,6,2,8
SANTIVAÑES,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,4,5,4,5,9
SANTUARIO DE QUILLACAS,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,0,1,0,1
SAPAHAQUI,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,2,6,2,6,8
SICA SICA (VILLA AROMA),consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,2,3,2,3,5
SIPE SIPE,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,87,350,87,350,437
SOPACHUY,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,4,2,4,2,6
SORACACHI,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,3,6,3,6,9
SORATA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,1,1,1,2
SUCRE,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,2466,5633,2466,5633,8099
TACACHI,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,10,1,10,11
TACACOMA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,5,2,5,2,7
TACOPAYA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,2,3,2,3,5
TAHUA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,0,1,0,1
TAPACARI,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,11,25,11,25,36
TARABUCO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,11,17,11,17,28
TARATA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,0,4,0,4,4
TARIJA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,2017,6016,2017,6016,8033
TARVITA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,31,1,31,32
TEOPONTE,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,5,2,5,2,7
TIAWANACU,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,6,5,6,5,11
TINGUIPAYA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,4,1,4,5
TIPUANI,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,6,4,6,4,10
TIQUIPAYA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,15,150,15,150,165
TIRAQUE (CBBA),consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,70,283,70,283,353
TITO YUPANQUI (PARQUIPUJIO),consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,2,2,2,2,4
TODOS SANTOS,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,0,1,0,1,1
TOLATA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,7,6,7,6,13
TOLEDO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,6,6,6,6,12
TOMAVE,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,5,12,5,12,17
TOMINA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,2,1,2,3
TORO TORO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,3,3,3,3,6
TOTORA(CBBA),consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,3,7,3,7,10
TRIGAL,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,4,1,4,5
TRINIDAD,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1247,1993,1247,1993,3240
TUPIZA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,205,343,205,343,548
TURCO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,3,2,3,2,5
UNCIA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,120,149,120,149,269
URIONDO (A. CONCEPCION),consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,3,10,3,10,13
URUBICHA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,149,1,149,150
UYUNI,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,125,171,125,171,296
VACAS,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,19,51,19,51,70
