municipality,group,variable,month,Nuevas en personas de 5 a 14 años -Hombre,Nuevas en personas de 5 a 14 años -Mujer,TOTAL-H,TOTAL-M,TOTAL
HUANUNI,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,282,283,282,283,565
HUARACAJE,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,16,23,16,23,39
HUAYLLAMARCA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,13,17,13,17,30
ICHOCA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,9,10,9,10,19
ICLA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,24,22,24,22,46
INCAHUASI,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,59,56,59,56,115
INGAVI (HUMAITA),consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,14,15,14,15,29
INQUISIVI,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,32,33,32,33,65
IRUPANA (VILLA DE LANZA),consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,63,65,63,65,128
IXIAMAS,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,39,50,39,50,89
JESUS DE MACHACA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,24,20,24,20,44
LA ASUNTA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,153,133,153,133,286
LA GUARDIA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,195,166,195,166,361
LA PAZ,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,5763,5653,5763,5653,11416
LA RIVERA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,2,1,2,1,3
LAGUNILLAS,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,67,66,67,66,133
LAJA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,17,18,17,18,35
LAS CARRERAS,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,32,16,32,16,48
LICOMA PAMPA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,12,15,12,15,27
LLALLAGUA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,111,102,111,102,213
LLICA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,15,14,15,14,29
LORETO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,20,12,20,12,32
LURIBAY,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,11,19,11,19,30
MACHACAMARCA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,16,18,16,18,34
MACHARETI,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,74,94,74,94,168
MAGDALENA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,74,88,74,88,162
MAIRANA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,63,38,63,38,101
MALLA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,48,45,48,45,93
MAPIRI,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,34,27,34,27,61
MECAPACA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,50,42,50,42,92
MINEROS,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,36,40,36,40,76
MIZQUE,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,33,34,33,34,67
MOCOMOCO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,29,22,29,22,51
MOJINETE,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,2,3,2,3,5
MOJOCOYA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,33,18,33,18,51
MONTEAGUDO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,281,287,281,287,568
MONTERO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,678,908,678,908,1586
MORO MORO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,17,17,17,17,34
MOROCHATA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,17,20,17,20,37
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,32,24,32,24,56
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,30,33,30,33,63
OCURI,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,80,94,80,94,174
OKINAWA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,111,121,111,121,232
OMEREQUE,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,20,17,20,17,37
ORURO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,2164,2341,2164,2341,4505
PADCAYA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,146,116,146,116,262
PADILLA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,87,68,87,68,155
PAILON,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,43,63,43,63,106
PALCA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,28,24,28,24,52
PALOS BLANCOS,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,130,108,130,108,238
PAMPA AULLAGAS,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,15,4,15,4,19
PAMPA GRANDE,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,80,47,80,47,127
PAPEL PAMPA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,6,10,6,10,16
PASORAPA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,3,4,3,4,7
PATACAMAYA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,33,27,33,27,60
PAZÑA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,15,22,15,22,37
PELECHUCO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,30,23,30,23,53
POCOATA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,80,87,80,87,167
POCONA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,27,39,27,39,66
POJO (CBBA),consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,10,13,10,13,23
POOPO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,18,9,18,9,27
PORCO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,19,26,19,26,45
POROMA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,41,49,41,49,90
PORONGO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,74,67,74,67,141
PORTACHUELO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,142,159,142,159,301
PORVENIR,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,41,37,41,37,78
POSTRER VALLE,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,10,12,10,12,22
POTOSI,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,1404,1242,1404,1242,2646
PRESTO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,51,39,51,39,90
PUCARA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,13,7,13,7,20
PUCARANI,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,17,28,17,28,45
PUERTO ACOSTA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,35,34,35,34,69
PUERTO CARABUCO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,34,32,34,32,66
PUERTO GONZALO MORENO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,39,30,39,30,69
PUERTO PEREZ,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,24,18,24,18,42
PUERTO QUIJARRO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,106,65,106,65,171
PUERTO RICO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,55,62,55,62,117
PUERTO SILES,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,1,2,1,2,3
PUERTO SUAREZ,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,117,140,117,140,257
PUERTO VILLARROEL,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,220,167,220,167,387
PUNA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,80,74,80,74,154
PUNATA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,128,113,128,113,241
QUIABAYA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,2,4,2,4,6
QUILLACOLLO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,124,302,124,302,426
QUIME,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,20,26,20,26,46
QUIRUSILLAS,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,8,6,8,6,14
RAVELO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,26,34,26,34,60
REYES,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,54,44,54,44,98
RIBERALTA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,390,346,390,346,736
ROBORE,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,128,103,128,103,231
RURRENABAQUE,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,72,82,72,82,154
SABAYA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,5,5,5,5,10
SACABA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,183,194,183,194,377
SACABAMBA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,7,6,7,6,13
SACACA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,38,32,38,32,70
SAIPINA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,64,70,64,70,134
SALINAS DE GARCI MENDOZA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,36,42,36,42,78
SAMAIPATA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,48,34,48,34,82
SAN AGUSTIN,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,6,8,6,8,14
SAN ANDRES,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,70,78,70,78,148
SAN ANDRES DE MACHACA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,9,9,9,9,18
SAN ANTONIO DE ESMORUCO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,9,8,9,8,17
SAN ANTONIO DE LOMERIO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,23,14,23,14,37
SAN BENITO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,32,44,32,44,76
SAN BORJA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,98,101,98,101,199
SAN BUENA VENTURA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,34,34,34,34,68
SAN CARLOS,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,102,154,102,154,256
SAN IGNACIO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,174,131,174,131,305
SAN IGNACIO DE VELASCO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,439,357,439,357,796
SAN JAVIER(BNI),consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,18,21,18,21,39
SAN JAVIER(STC),consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,46,62,46,62,108
SAN JOAQUIN,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,8,23,8,23,31
SAN JOSE DE CHIQUITOS,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,119,130,119,130,249
SAN JUAN DE YAPACANI,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,58,38,58,38,96
SAN JULIAN,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,206,192,206,192,398
SAN LORENZO(PND),consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,21,30,21,30,51
SAN LORENZO(TJA),consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,131,144,131,144,275
SAN LUCAS,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,127,161,127,161,288
SAN MATIAS,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,30,38,30,38,68
SAN MIGUEL DE VELASCO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,49,70,49,70,119
SAN PABLO DE LIPEZ,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,27,27,27,27,54
SAN PEDRO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,207,203,207,203,410
SAN PEDRO DE BUENA VISTA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,30,42,30,42,72
SAN PEDRO DE CURAHUARA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,25,19,25,19,44
SAN PEDRO DE QUEMES,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,2,0,2,0,2
SAN PEDRO DE TIQUINA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,20,8,20,8,28
SAN PEDRO(PND),consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,14,14,14,14,28
SAN RAFAEL,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,27,29,27,29,56
SAN RAMON,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,35,37,35,37,72
SAN RAMON,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,61,48,61,48,109
SANTA ANA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,57,56,57,56,113
SANTA CRUZ DE LA SIERRA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,9927,11201,9927,11201,21128
SANTA ROSA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,32,15,32,15,47
SANTA ROSA DEL SARA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,144,134,144,134,278
SANTIAGO DE CALLAPA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,9,10,9,10,19
SANTIAGO DE HUARI,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,10,17,10,17,27
SANTIAGO DE MACHACA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,5,2,5,2,7
SANTIVAÑES,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,24,43,24,43,67
SANTUARIO DE QUILLACAS,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,11,4,11,4,15
SAPAHAQUI,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,44,41,44,41,85
SENA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,104,113,104,113,217
SICA SICA (VILLA AROMA),consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,41,31,41,31,72
SICAYA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,4,3,4,3,7
SIPE SIPE,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,69,74,69,74,143
SOPACHUY,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,45,29,45,29,74
SORACACHI,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,19,18,19,18,37
SORATA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,39,37,39,37,76
SUCRE,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,2388,2380,2388,2380,4768
TACACHI,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,2,5,2,5,7
TACACOMA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,8,9,8,9,17
TACOBAMBA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,15,13,15,13,28
TACOPAYA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,10,9,10,9,19
TAHUA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,11,10,11,10,21
TAPACARI,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,42,38,42,38,80
TARABUCO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,43,32,43,32,75
TARACO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,8,14,8,14,22
TARATA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,24,10,24,10,34
TARIJA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,1793,1801,1793,1801,3594
TARVITA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,55,73,55,73,128
TEOPONTE,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,35,34,35,34,69
