municipality,group,variable,month,Repetidas en personas de 5 a 14 años -Hombre,Repetidas en personas de 5 a 14 años -Mujer,TOTAL-H,TOTAL-M,TOTAL
CAMIRI,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,17,58,17,58,75
CAPINOTA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,10,8,10,8,18
CAQUIAVIRI,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,0,2,0,2,2
CARANAVI,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,6,1,6,1,7
CARIPUYO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,4,2,4,2,6
CATACORA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,0,1,0,1
CHALLAPATA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,18,4,18,4,22
CHAQUI,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,0,2,0,2,2
CHARAGUA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,4,4,4,4,8
CHARAÑA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,0,1,0,1,1
CHAYANTA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,7,1,7,1,8
CHIMORE,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,4,1,4,1,5
CHIPAYA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,0,1,0,1
CHOQUE COTA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,3,4,3,4,7
CHUMA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,1,1,1,2
CLIZA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,3,2,3,5
COBIJA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,26,30,26,30,56
COCHABAMBA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2070,2023,2070,2023,4093
COLCAPIRHUA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,62,49,62,49,111
COLLANA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,4,0,4,0,4
COLOMI,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,6,0,6,0,6
COLPA BELGICA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,23,6,23,6,29
COLQUECHACA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,3,2,3,5
COLQUIRI,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,4,1,4,1,5
COMANCHE,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,0,2,0,2,2
COMARAPA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,31,30,31,30,61
COMBAYA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,0,1,0,1,1
CORIPATA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,0,2,0,2
CORO CORO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,0,1,0,1,1
COROICO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,5,7,5,7,12
CORQUE,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,0,2,0,2
COTAGAITA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,13,8,13,8,21
COTOCA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,5,1,5,6
CUATRO CAÑADAS,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,6,1,6,7
CUEVO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,3,0,3,0,3
CULPINA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,0,1,0,1
CURAHUARA DE CARANGAS,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,1,1,1,2
DESAGUADERO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,0,1,0,1
EL ALTO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,930,764,930,764,1694
EL PUENTE(TJA),consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,1,2,1,3
EL TORNO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,57,67,57,67,124
EL VILLAR,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,0,1,0,1
ENTRE RIOS,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,5,2,5,7
ENTRE RIOS,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,30,25,30,25,55
EXALTACION,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,3,3,3,3,6
FERNANDEZ ALONSO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,5,5,5,5,10
FILADELFIA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,0,2,0,2
GENERAL SAAVEDRA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,10,2,10,12
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,8,13,8,13,21
GUAQUI,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,1,2,1,3
GUAYARAMERIN,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,28,42,28,42,70
GUTIERREZ,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,4,2,4,2,6
HUACARETA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,8,7,8,7,15
HUACAYA (VILLA DE HUACAYA),consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,1,2,1,3
HUANUNI,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,90,102,90,102,192
HUARACAJE,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,4,2,4,6
HUAYLLAMARCA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,4,2,4,6
ICLA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,0,1,0,1
INCAHUASI,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,0,2,0,2,2
INGAVI (HUMAITA),consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,1,2,1,3
IXIAMAS,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,3,2,3,5
JESUS DE MACHACA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,0,4,0,4,4
LA GUARDIA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,16,29,16,29,45
LA PAZ,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2257,2373,2257,2373,4630
LAGUNILLAS,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,1,1,1,2
LAJA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,10,0,10,0,10
LAS CARRERAS,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,1,1,1,2
LLALLAGUA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,7,5,7,5,12
LLICA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,1,1,1,2
LORETO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,3,3,3,3,6
MACHACAMARCA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,4,6,4,6,10
MACHARETI,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,2,1,2,3
MAGDALENA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,22,22,22,22,44
MAIRANA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,1,1,1,2
MALLA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,3,2,3,2,5
MAPIRI,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,0,1,0,1,1
MECAPACA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,5,2,5,7
MINEROS,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,5,2,5,7
MIZQUE,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,4,17,4,17,21
MOJOCOYA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,5,3,5,3,8
MONTEAGUDO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,20,18,20,18,38
MONTERO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,173,163,173,163,336
MORO MORO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,1,2,1,3
MOROCHATA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,4,2,4,6
OKINAWA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,3,3,3,3,6
ORURO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,455,511,455,511,966
PADCAYA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,12,10,12,10,22
PADILLA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,3,2,3,5
PAILON,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,0,5,0,5,5
PALCA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,5,0,5,0,5
PALOS BLANCOS,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,3,1,3,1,4
PAMPA AULLAGAS,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,0,2,0,2
PAMPA GRANDE,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,3,1,3,1,4
PAPEL PAMPA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,0,1,0,1
PASORAPA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,0,1,0,1
PAZÑA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,3,2,3,2,5
PELECHUCO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,2,1,2,3
POCOATA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,0,1,0,1
POCONA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,0,2,0,2,2
POOPO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,0,1,0,1
PORCO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,4,1,4,1,5
POROMA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,2,2,2,4
PORONGO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,3,4,3,4,7
PORTACHUELO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,12,7,12,7,19
POSTRER VALLE,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,0,1,0,1,1
POTOSI,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,359,403,359,403,762
PUCARA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,0,3,0,3,3
PUCARANI,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,0,2,0,2,2
PUERTO ACOSTA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,3,15,3,15,18
PUERTO CARABUCO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,3,2,3,2,5
PUERTO GONZALO MORENO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,0,1,0,1,1
PUERTO PEREZ,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,1,1,1,2
PUERTO QUIJARRO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,24,29,24,29,53
PUERTO SILES,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,3,2,3,5
PUERTO SUAREZ,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,17,50,17,50,67
PUERTO VILLARROEL,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,5,4,5,4,9
PUNA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,1,1,1,2
PUNATA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,18,21,18,21,39
QUIABAYA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,0,1,0,1,1
QUILLACOLLO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,61,61,61,61,122
QUIME,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,5,3,5,3,8
REYES,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,40,67,40,67,107
RIBERALTA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,19,20,19,20,39
ROBORE,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,8,5,8,5,13
RURRENABAQUE,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,4,1,4,5
SACABA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,43,34,43,34,77
SAIPINA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,14,14,14,14,28
SAMAIPATA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,0,2,0,2
SAN ANDRES,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,3,1,3,1,4
SAN ANTONIO DE ESMORUCO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,0,2,0,2
SAN BENITO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,4,7,4,7,11
SAN BORJA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,13,14,13,14,27
SAN BUENA VENTURA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,0,2,0,2,2
SAN CARLOS,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,2,2,2,4
SAN IGNACIO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,7,8,7,8,15
SAN IGNACIO DE VELASCO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,21,30,21,30,51
SAN JAVIER(STC),consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,5,2,5,2,7
SAN JOAQUIN,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,1,1,1,2
SAN JOSE DE CHIQUITOS,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,1,1,1,2
SAN JUAN DE YAPACANI,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,11,9,11,9,20
SAN JULIAN,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,10,20,10,20,30
SAN LORENZO(TJA),consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,3,7,3,7,10
SAN LUCAS,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,4,6,4,6,10
SAN MATIAS,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,0,1,0,1,1
SAN MIGUEL DE VELASCO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,11,18,11,18,29
SAN PABLO DE LIPEZ,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,3,0,3,0,3
SAN PEDRO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,11,16,11,16,27
SAN PEDRO DE BUENA VISTA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,0,2,0,2
SAN PEDRO(PND),consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,5,0,5,0,5
SAN RAFAEL,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,4,1,4,5
SAN RAMON,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,6,2,6,2,8
SAN RAMON,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,5,7,5,7,12
SANTA ANA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,30,37,30,37,67
SANTA CRUZ DE LA SIERRA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2082,3051,2082,3051,5133
SANTA ROSA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,1,1,1,2
SANTA ROSA DEL SARA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,5,7,5,7,12
SANTIAGO DE CALLAPA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,4,0,4,0,4
SANTIAGO DE HUARI,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,1,2,1,3
SANTIVAÑES,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,0,2,0,2,2
SAPAHAQUI,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,2,2,2,4
SENA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,0,1,0,1
SICA SICA (VILLA AROMA),consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,2,2,2,4
SIPE SIPE,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,20,20,20,20,40
SORACACHI,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,2,1,2,3
SORATA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,0,1,0,1
SUCRE,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,652,598,652,598,1250
TAPACARI,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,3,1,3,4
TARABUCO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,3,1,3,4
TARIJA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,581,676,581,676,1257
TARVITA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,0,2,0,2,2
TEOPONTE,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,0,2,0,2
TINGUIPAYA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,3,7,3,7,10
TIPUANI,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,0,2,0,2,2
TIQUIPAYA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,11,10,11,10,21
TIRAQUE (CBBA),consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,50,72,50,72,122
TITO YUPANQUI (PARQUIPUJIO),consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,0,1,0,1,1
TODOS SANTOS,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,0,1,0,1
TOLATA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,0,3,0,3,3
TOLEDO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,1,2,1,3
TOMAVE,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,2,2,2,4
TORO TORO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,0,1,0,1
TRIGAL,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,1,1,1,2
TRINIDAD,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,222,248,222,248,470
TUPIZA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,103,143,103,143,246
TURCO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,0,1,0,1
UNCIA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,48,68,48,68,116
URIONDO (A. CONCEPCION),consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,5,2,5,7
URUBICHA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,0,1,0,1,1
UYUNI,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,16,13,16,13,29
VACAS,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,13,8,13,8,21
VALLEGRANDE,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,11,13,11,13,24
VIACHA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,33,25,33,25,58
VILLA MONTES,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,21,14,21,14,35
VILLA RIVERO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,1,2,1,3
VILLA SERRANO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,1,1,1,2
VILLA TUNARI,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,17,8,17,8,25
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,2,2,2,4
VILLAZON,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,15,17,15,17,32
VINTO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,3,2,3,2,5
VITICHI,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,0,1,0,1,1
WALDO BALLIVIAN,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,0,1,0,1,1
WARNES,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,24,16,24,16,40
YACUIBA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,163,773,163,773,936
YAMPARAEZ,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,5,15,5,15,20
YAPACANI,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,6,7,6,7,13
YOTALA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,5,1,5,6
ZUDAÑEZ,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,0,1,0,1,1
ACACIO,consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,6,0,6,0,6
ACHACACHI,consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,2,6,2,6,8
AIQUILE,consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,12,21,12,21,33
ANCORAIMES,consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,1,0,1,0,1
ANZALDO,consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,3,2,3,2,5
APOLO,consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,2,1,2,1,3
ARANI,consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,3,2,3,2,5
ARBIETO,consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,1,1,1,1,2
ASCENCION DE GUARAYOS,consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,12,17,12,17,29
ATOCHA,consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,20,25,20,25,45
AUCAPATA,consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,3,2,3,2,5
AYATA,consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,4,2,4,2,6
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,3,5,3,5,8
BATALLAS,consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,0,1,0,1,1
BAURES,consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,1,1,1,1,2
BELEN DE ANDAMARCA,consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,0,1,0,1,1
BELEN DE URMIRI,consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,1,1,1,1,2
BERMEJO,consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,18,28,18,28,46
BETANZOS,consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,4,6,4,6,10
BOLIVAR,consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,0,1,0,1,1
BOYUIBE,consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,4,3,4,3,7
BUENA VISTA,consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,6,9,6,9,15
CABEZAS,consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,4,4,4,4,8
CAIROMA,consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,14,16,14,16,30
CAJUATA,consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,0,1,0,1,1
CALAMARCA,consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,1,1,1,1,2
CAMARGO,consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,11,2,11,2,13
CAMATAQUI (C. VILLA ABECIA),consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,2,1,2,1,3
CAMIRI,consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,25,44,25,44,69
CAPINOTA,consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,5,17,5,17,22
CAQUIAVIRI,consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,0,2,0,2,2
CARANAVI,consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,27,57,27,57,84
CARMEN RIVERO TORREZ,consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,0,1,0,1,1
CHALLAPATA,consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,8,8,8,8,16
CHARAGUA,consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,3,3,3,3,6
CHARAÑA,consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,0,1,0,1,1
CHAYANTA,consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,2,0,2,0,2
CHIMORE,consulta externa,repetidas en personas de 5 a 14 anos,2006-02-01,1,0,1,0,1
