municipality,group,variable,month,Nuevas en personas de 15 a 59 años -Hombre,Nuevas en personas de 15 a 59 años -Mujer,TOTAL-H,TOTAL-M,TOTAL
CAQUIAVIRI,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,53,118,53,118,171
CARACOLLO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,101,160,101,160,261
CARANAVI,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,590,798,590,798,1388
CARANGAS,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,7,9,7,9,16
CARAPARI,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,180,273,180,273,453
CARIPUYO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,50,142,50,142,192
CARMEN RIVERO TORREZ,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,18,32,18,32,50
CATACORA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,8,8,8,8,16
CHACARILLA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,4,6,4,6,10
CHALLAPATA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,168,369,168,369,537
CHAQUI,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,40,103,40,103,143
CHARAGUA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,228,509,228,509,737
CHARAÑA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,41,50,41,50,91
CHAYANTA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,142,276,142,276,418
CHIMORE,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,132,216,132,216,348
CHIPAYA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,15,23,15,23,38
CHOQUE COTA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,13,35,13,35,48
CHULUMANI (V. DE LA LIBERTAD),consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,170,249,170,249,419
CHUMA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,103,186,103,186,289
CLIZA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,38,139,38,139,177
COBIJA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,737,1402,737,1402,2139
COCHABAMBA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,11147,24668,11147,24668,35815
COLCAPIRHUA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,481,873,481,873,1354
"COLCHA ""K""",consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,144,278,144,278,422
COLLANA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,12,35,12,35,47
COLOMI,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,76,174,76,174,250
COLPA BELGICA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,83,116,83,116,199
COLQUECHACA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,366,666,366,666,1032
COLQUENCHA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,43,107,43,107,150
COLQUIRI,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,234,457,234,457,691
COMANCHE,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,20,37,20,37,57
COMARAPA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,218,501,218,501,719
COMBAYA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,10,23,10,23,33
CONCEPCION,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,97,185,97,185,282
COPACABANA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,87,26,87,26,113
CORIPATA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,129,180,129,180,309
CORO CORO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,42,116,42,116,158
COROICO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,208,329,208,329,537
CORQUE,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,86,81,86,81,167
COTAGAITA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,682,1104,682,1104,1786
COTOCA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,157,524,157,524,681
CUATRO CAÑADAS,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,267,562,267,562,829
CUCHUMUELA (V. G. VILLARROEL),consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,4,8,4,8,12
CUEVO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,96,134,96,134,230
CULPINA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,176,347,176,347,523
CURAHUARA DE CARANGAS,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,61,113,61,113,174
CURVA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,22,33,22,33,55
DESAGUADERO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,28,56,28,56,84
EL ALTO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,5648,10205,5648,10205,15853
EL CHORO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,47,88,47,88,135
EL PUENTE(STC),consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,71,142,71,142,213
EL PUENTE(TJA),consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,155,323,155,323,478
EL TORNO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,713,1055,713,1055,1768
EL VILLAR,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,90,211,90,211,301
ENTRE RIOS,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,338,422,338,422,760
ENTRE RIOS,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,236,265,236,265,501
ESCARA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,5,2,5,2,7
ESMERALDA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,3,1,3,1,4
EUCALIPTUS,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,75,123,75,123,198
EUREKA (SANTOS MERCADO),consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,27,51,27,51,78
EXALTACION,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,6,11,6,11,17
FERNANDEZ ALONSO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,130,284,130,284,414
FILADELFIA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,99,170,99,170,269
GENERAL SAAVEDRA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,136,233,136,233,369
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,58,106,58,106,164
GUANAY,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,173,330,173,330,503
GUAQUI,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,25,57,25,57,82
GUAYARAMERIN,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,503,1597,503,1597,2100
GUTIERREZ,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,207,326,207,326,533
HUACARETA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,190,334,190,334,524
HUACAYA (VILLA DE HUACAYA),consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,37,78,37,78,115
HUACHACALLA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,34,22,34,22,56
HUANUNI,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,473,661,473,661,1134
HUARACAJE,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,24,45,24,45,69
HUAYLLAMARCA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,48,59,48,59,107
ICHOCA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,23,53,23,53,76
ICLA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,99,256,99,256,355
INCAHUASI,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,201,588,201,588,789
INGAVI (HUMAITA),consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,37,27,37,27,64
INQUISIVI,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,103,157,103,157,260
IRUPANA (VILLA DE LANZA),consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,160,321,160,321,481
IXIAMAS,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,73,152,73,152,225
JESUS DE MACHACA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,91,224,91,224,315
LA ASUNTA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,230,259,230,259,489
LA GUARDIA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,284,614,284,614,898
LA PAZ,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,20875,37566,20875,37566,58441
LA RIVERA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,3,2,3,2,5
LAGUNILLAS,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,126,218,126,218,344
LAJA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,76,135,76,135,211
LAS CARRERAS,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,73,140,73,140,213
LICOMA PAMPA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,26,24,26,24,50
LLALLAGUA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,399,865,399,865,1264
LLICA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,76,99,76,99,175
LORETO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,17,28,17,28,45
LURIBAY,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,79,127,79,127,206
MACHACAMARCA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,46,70,46,70,116
MACHARETI,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,159,366,159,366,525
MAGDALENA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,149,311,149,311,460
MAIRANA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,97,234,97,234,331
MALLA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,26,61,26,61,87
MAPIRI,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,104,190,104,190,294
MECAPACA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,119,209,119,209,328
MINEROS,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,101,319,101,319,420
MIZQUE,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,44,104,44,104,148
MOCOMOCO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,129,122,129,122,251
MOJINETE,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,5,31,5,31,36
MOJOCOYA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,52,198,52,198,250
MONTEAGUDO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,693,1205,693,1205,1898
MONTERO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,1265,2867,1265,2867,4132
MORO MORO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,29,79,29,79,108
MOROCHATA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,86,198,86,198,284
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,53,61,53,61,114
NAZACARA DE PACAJES,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,3,5,3,5,8
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,119,75,119,75,194
OCURI,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,156,427,156,427,583
OKINAWA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,163,543,163,543,706
OMEREQUE,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,53,112,53,112,165
ORURO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,6703,10762,6703,10762,17465
PADCAYA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,279,496,279,496,775
PADILLA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,260,560,260,560,820
PAILON,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,109,161,109,161,270
PALCA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,89,134,89,134,223
PALOS BLANCOS,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,311,459,311,459,770
PAMPA AULLAGAS,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,37,35,37,35,72
PAMPA GRANDE,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,91,228,91,228,319
PAPEL PAMPA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,34,47,34,47,81
PASORAPA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,22,28,22,28,50
PATACAMAYA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,77,162,77,162,239
PAZÑA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,81,142,81,142,223
PELECHUCO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,132,121,132,121,253
POCOATA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,270,408,270,408,678
POCONA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,113,149,113,149,262
POJO (CBBA),consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,30,53,30,53,83
POOPO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,64,79,64,79,143
PORCO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,70,137,70,137,207
POROMA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,115,334,115,334,449
PORONGO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,115,166,115,166,281
PORTACHUELO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,262,847,262,847,1109
PORVENIR,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,117,101,117,101,218
POSTRER VALLE,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,47,49,47,49,96
POTOSI,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,10826,8298,10826,8298,19124
PRESTO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,76,270,76,270,346
PUCARA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,18,69,18,69,87
PUCARANI,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,92,197,92,197,289
PUERTO ACOSTA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,176,290,176,290,466
PUERTO CARABUCO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,101,146,101,146,247
PUERTO GONZALO MORENO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,77,85,77,85,162
PUERTO PEREZ,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,85,87,85,87,172
PUERTO QUIJARRO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,365,326,365,326,691
PUERTO RICO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,127,134,127,134,261
PUERTO SUAREZ,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,236,498,236,498,734
PUERTO VILLARROEL,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,523,731,523,731,1254
PUNA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,234,610,234,610,844
PUNATA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,344,774,344,774,1118
QUIABAYA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,7,9,7,9,16
QUILLACOLLO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,200,1880,200,1880,2080
QUIME,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,186,114,186,114,300
QUIRUSILLAS,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,13,26,13,26,39
RAVELO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,72,211,72,211,283
REYES,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,72,208,72,208,280
RIBERALTA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,684,1533,684,1533,2217
ROBORE,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,166,610,166,610,776
RURRENABAQUE,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,198,393,198,393,591
SABAYA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,53,63,53,63,116
SACABA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,612,1415,612,1415,2027
SACABAMBA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,53,54,53,54,107
SACACA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,90,254,90,254,344
SAIPINA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,135,214,135,214,349
SALINAS DE GARCI MENDOZA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,106,204,106,204,310
SAMAIPATA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,101,183,101,183,284
SAN AGUSTIN,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,34,57,34,57,91
SAN ANDRES,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,105,259,105,259,364
SAN ANDRES DE MACHACA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,36,69,36,69,105
SAN ANTONIO DE ESMORUCO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,36,68,36,68,104
SAN ANTONIO DE LOMERIO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,63,70,63,70,133
SAN BENITO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,62,141,62,141,203
SAN BORJA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,156,521,156,521,677
SAN BUENA VENTURA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,34,123,34,123,157
SAN CARLOS,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,132,405,132,405,537
SAN IGNACIO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,186,376,186,376,562
SAN IGNACIO DE VELASCO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,719,1482,719,1482,2201
SAN JAVIER(BNI),consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,21,28,21,28,49
SAN JAVIER(STC),consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,91,199,91,199,290
SAN JOAQUIN,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,36,83,36,83,119
SAN JOSE DE CHIQUITOS,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,240,481,240,481,721
SAN JUAN DE YAPACANI,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,235,299,235,299,534
SAN JULIAN,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,582,1108,582,1108,1690
SAN LORENZO(PND),consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,56,63,56,63,119
SAN LORENZO(TJA),consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,201,531,201,531,732
SAN LUCAS,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,377,1034,377,1034,1411
SAN MATIAS,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,97,128,97,128,225
SAN MIGUEL DE VELASCO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,111,198,111,198,309
SAN PABLO DE LIPEZ,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,79,157,79,157,236
SAN PEDRO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,307,520,307,520,827
SAN PEDRO DE BUENA VISTA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,133,269,133,269,402
SAN PEDRO DE CURAHUARA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,22,49,22,49,71
SAN PEDRO DE QUEMES,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,1,7,1,7,8
SAN PEDRO DE TIQUINA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,28,42,28,42,70
SAN PEDRO(PND),consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,26,48,26,48,74
SAN RAFAEL,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,78,114,78,114,192
SAN RAMON,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,55,146,55,146,201
SAN RAMON,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,137,257,137,257,394
SANTA ANA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,81,237,81,237,318
SANTA CRUZ DE LA SIERRA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,26172,45852,26172,45852,72024
SANTA ROSA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,115,118,115,118,233
SANTA ROSA DEL SARA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,240,421,240,421,661
SANTIAGO DE CALLAPA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,31,42,31,42,73
SANTIAGO DE HUARI,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,62,115,62,115,177
SANTIAGO DE MACHACA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,27,41,27,41,68
SANTIVAÑES,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,65,114,65,114,179
SANTUARIO DE QUILLACAS,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,23,30,23,30,53
SAPAHAQUI,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,94,121,94,121,215
SENA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,119,275,119,275,394
SICA SICA (VILLA AROMA),consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,102,201,102,201,303
SICAYA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,2,17,2,17,19
SIPE SIPE,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,106,501,106,501,607
SOPACHUY,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,121,236,121,236,357
SORACACHI,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,36,66,36,66,102
SORATA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,122,174,122,174,296
SUCRE,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,7002,14421,7002,14421,21423
TACACHI,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,11,36,11,36,47
TACACOMA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,49,70,49,70,119
TACOBAMBA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,58,121,58,121,179
TACOPAYA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,59,125,59,125,184
TAHUA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,9,14,9,14,23
TAPACARI,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,99,246,99,246,345
TARABUCO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,175,245,175,245,420
TARACO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,15,43,15,43,58
TARATA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,40,64,40,64,104
TARIJA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,4971,9878,4971,9878,14849
