,group,variable,month,ANTIPOLIOMIELÍTICA 5TA. DOSIS DENTRO,ANTIPOLIOMIELÍTICA 5TA. DOSIS DENTRO,ANTIPOLIOMIELÍTICA 5TA. DOSIS FUERA,ANTIPOLIOMIELÍTICA 5TA. DOSIS FUERA,TOTALES
CAJUATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,3,2,1,0,6
CALACOTO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,0,1,1,2
CALAMARCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,8,4,3,3,18
CAMARGO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,9,4,5,3,21
CAMATAQUI (C. VILLA ABECIA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,0,1,0,1
CAMIRI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,15,16,0,0,31
CAPINOTA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,3,9,0,0,12
CAQUIAVIRI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,1,1,0,0,2
CARACOLLO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,6,8,0,0,14
CARANAVI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,20,14,3,7,44
CARAPARI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,12,8,5,3,28
CARIPUYO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,2,1,1,0,4
CARMEN RIVERO TORREZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,3,4,0,0,7
CATACORA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,0,1,0,1
CHACARILLA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,1,0,1,2
CHALLAPATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,7,6,4,5,22
CHAQUI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,4,3,0,0,7
CHARAGUA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,8,8,15,6,37
CHARAÑA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,0,0,2,2
CHAYANTA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,8,2,2,2,14
CHIMORE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,18,6,5,1,30
CHOQUE COTA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,0,1,0,1
CHUA COCANI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,1,1,0,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,6,3,3,2,14
CHUMA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,2,0,4,2,8
CHUQUIHUTA AYLLU JUCUMANI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,1,0,0,0,1
CKOCHAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,2,3,1,0,6
CLIZA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,8,9,4,2,23
COBIJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,26,16,18,12,72
COCAPATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,2,4,6,4,16
COCHABAMBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,386,387,21,20,814
COLCAPIRHUA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,25,27,2,8,62
"COLCHA ""K""",vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,4,5,1,0,10
COLLANA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,0,0,1,1
COLOMI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,9,9,4,2,24
COLQUECHACA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,1,9,4,2,16
COLQUENCHA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,2,10,4,0,16
COLQUIRI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,4,5,4,2,15
COMANCHE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,2,0,0,2
COMARAPA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,6,9,0,0,15
CONCEPCION,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,16,16,7,10,49
COPACABANA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,2,2,1,3,8
CORIPATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,12,10,2,0,24
CORO CORO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,1,2,2,2,7
COROICO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,9,2,3,1,15
CORQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,1,2,0,0,3
COTAGAITA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,7,3,1,0,11
COTOCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,46,52,8,8,114
CUATRO CAÑADAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,10,15,3,3,31
CUEVO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,1,2,3,6
CULPINA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,7,4,1,2,14
CURAHUARA DE CARANGAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,1,0,0,0,1
CURVA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,0,1,0,1
DESAGUADERO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,2,1,0,1,4
EL ALTO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,335,269,86,82,772
EL CHORO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,3,0,0,0,3
EL PUENTE(STC),vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,2,1,0,0,3
EL PUENTE(TJA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,5,0,2,2,9
EL TORNO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,47,45,0,0,92
EL VILLAR,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,2,1,0,3
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,13,11,3,7,34
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,13,27,14,6,60
ESCOMA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,1,0,0,0,1
EUCALIPTUS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,2,3,0,0,5
EUREKA (SANTOS MERCADO),vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,0,4,2,6
EXALTACION,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,1,0,0,1
FERNANDEZ ALONSO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,2,5,5,0,12
FILADELFIA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,2,0,2,0,4
GAIOC JATUN AYLLU YURA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,2,2,1,5
GENERAL SAAVEDRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,3,4,0,0,7
GRAL. J.J. PEREZ (CHARAZANI),vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,1,0,1,4,6
GUANAY,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,6,2,2,5,15
GUAQUI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,1,0,0,0,1
GUAYARAMERIN,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,20,21,4,7,52
GUTIERREZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,2,4,0,0,6
HUACARAJE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,3,0,0,0,3
HUACARETA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,1,5,1,0,7
HUACAYA (VILLA DE HUACAYA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,0,3,0,3
HUACHACALLA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,2,0,0,0,2
HUANUNI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,4,7,4,1,16
HUARINA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,2,3,2,2,9
HUATAJATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,1,2,0,0,3
HUAYLLAMARCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,3,0,0,0,3
HUMANATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,1,2,2,5
ICHOCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,0,2,1,3
ICLA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,0,2,0,2
INCAHUASI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,1,0,0,0,1
INQUISIVI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,3,3,1,1,8
IRUPANA (VILLA DE LANZA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,4,5,1,6,16
IXIAMAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,5,6,2,0,13
JESUS DE MACHACA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,3,1,2,6
LA ASUNTA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,14,19,3,3,39
LA GUARDIA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,91,66,4,5,166
LA PAZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,431,403,8,9,851
LAGUNILLAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,1,1,5,1,8
LAJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,2,8,1,1,12
LAS CARRERAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,1,0,1,0,2
LICOMA PAMPA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,2,0,0,2
LLALLAGUA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,5,4,29,31,69
LLICA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,2,0,0,0,2
LORETO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,2,1,1,1,5
LURIBAY,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,4,4,0,1,9
MACHACAMARCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,0,1,1,2
MACHARETI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,1,2,0,1,4
MAGDALENA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,5,3,17,11,36
MAIRANA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,9,4,1,0,14
MALLA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,0,0,1,1
MAPIRI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,4,4,0,1,9
MECAPACA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,5,5,1,2,13
MINEROS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,7,10,1,1,19
MIZQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,5,11,8,7,31
MOCOMOCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,3,1,4,3,11
MOJOCOYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,1,1,0,2,4
MONTEAGUDO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,11,14,2,1,28
MONTERO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,51,51,15,26,143
MORO MORO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,0,0,2,2
MOROCHATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,3,0,2,1,6
NACEBE (SANTA ROSA DEL ABUNA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,1,1,0,1,3
OCURI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,2,2,1,3,8
OKINAWA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,5,7,3,4,19
OMEREQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,2,3,4,3,12
ORURO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,136,131,17,12,296
PADCAYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,10,5,3,1,19
PADILLA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,1,2,1,2,6
PAILON,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,9,9,8,7,33
PALCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,4,10,2,6,22
PALOS BLANCOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,6,10,8,6,30
PAMPA AULLAGAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,3,1,0,0,4
PAMPA GRANDE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,3,10,2,1,16
PAPEL PAMPA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,1,1,1,3
PATACAMAYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,6,8,0,0,14
PAZÑA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,1,0,0,1
PELECHUCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,5,3,0,1,9
POCOATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,2,3,7,3,15
POCONA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,2,1,10,3,16
POJO (CBBA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,2,5,0,4,11
POOPO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,1,3,0,0,4
PORCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,1,1,0,0,2
POROMA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,2,1,4,2,9
PORONGO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,4,6,0,2,12
PORTACHUELO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,11,15,0,3,29
PORVENIR,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,3,1,0,2,6
POSTRER VALLE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,2,0,1,1,4
POTOSI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,99,82,16,10,207
PRESTO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,2,2,2,6
PUCARA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,1,0,0,0,1
PUCARANI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,8,10,10,3,31
PUERTO ACOSTA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,4,4,1,1,10
PUERTO CARABUCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,1,2,8,2,13
PUERTO GONZALO MORENO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,3,1,4,4,12
PUERTO PEREZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,0,1,5,6
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,12,4,4,9,29
PUERTO RICO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,3,4,2,1,10
PUERTO SUAREZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,16,14,2,0,32
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,27,22,16,19,84
PUNA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,3,5,0,8,16
PUNATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,10,14,11,13,48
QUIABAYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,2,2,1,1,6
QUILLACOLLO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,54,59,47,54,214
QUIME,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,3,1,9,4,17
QUIRUSILLAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,1,0,1,2
RAQAYPAMPA(ETA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,2,4,4,1,11
RAVELO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,1,1,10,7,19
REYES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,6,6,0,0,12
RIBERALTA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,21,18,21,31,91
ROBORE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,4,3,1,3,11
RURRENABAQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,9,8,12,7,36
SACABA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,69,80,29,40,218
SACABAMBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,2,1,2,1,6
SACACA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,3,1,2,4,10
SAIPINA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,1,1,0,0,2
SALINAS DE GARCI MENDOZA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,3,1,1,1,6
SAMAIPATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,4,10,2,4,20
SAN AGUSTIN,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,1,0,0,1
SAN ANDRES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,8,3,19,23,53
SAN ANTONIO DE ESMORUCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,1,0,0,0,1
SAN ANTONIO DE LOMERIO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,4,2,2,3,11
SAN BENITO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,8,3,2,0,13
SAN BORJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,14,18,5,5,42
SAN BUENA VENTURA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,4,1,2,10,17
SAN CARLOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,9,6,1,1,17
SAN IGNACIO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,10,9,12,19,50
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,32,20,9,11,72
SAN JAVIER(BNI),vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,1,1,3,1,6
SAN JAVIER(STC),vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,9,12,3,2,26
SAN JOAQUIN,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,2,3,1,0,6
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,11,5,5,2,23
SAN JUAN DE YAPACANI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,3,3,4,2,12
SAN JULIAN,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,22,20,2,5,49
SAN LORENZO(PND),vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,1,1,2,1,5
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,14,11,2,0,27
SAN LUCAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,11,7,3,3,24
SAN MATIAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,3,2,0,3,8
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,2,7,2,6,17
SAN PEDRO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,4,10,3,2,19
SAN PEDRO DE BUENA VISTA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,7,2,7,7,23
