,group,variable,month,ANTIAMARILICA DOSIS UNICA DENTRO,ANTIAMARILICA DOSIS UNICA DENTRO,ANTIAMARILICA DOSIS UNICA FUERA,ANTIAMARILICA DOSIS UNICA FUERA,TOTALES
SAN BORJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,0,0,2,2,4
SAN IGNACIO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,1,1,6,0,8
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,0,1,0,0,1
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,0,1,2,0,3
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,0,1,0,0,1
SAN MATIAS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,0,0,0,1,1
SANTA ANA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,0,3,0,0,3
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,43,41,1,0,85
SENA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,0,0,1,0,1
SHINAOTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,0,1,0,1,2
SIPE SIPE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,0,0,1,1,2
SUCRE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,4,4,0,0,8
TARIJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,1,1,0,0,2
TIQUIPAYA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,1,2,0,0,3
TRINIDAD,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,1,4,6,2,13
UYUNI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,1,0,0,0,1
VILLA MONTES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,1,0,0,0,1
VILLA TUNARI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,0,3,0,0,3
VILLAZON,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,0,1,0,1,2
VINTO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,1,1,1,0,3
WARNES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,5,6,0,0,11
YACUIBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,3,2,0,0,5
ACHACACHI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,0,1,0,0,1
ACHOCALLA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,0,1,0,0,1
CHIMORE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,2,0,1,0,3
CHULUMANI (V. DE LA LIBERTAD),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,1,0,0,0,1
COBIJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,0,0,0,1,1
COCHABAMBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,8,8,1,2,19
COLCAPIRHUA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,0,0,1,0,1
COLOMI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,1,0,0,1,2
CONCEPCION,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,0,1,0,0,1
CORIPATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,1,0,0,0,1
COTOCA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,0,1,2,3,6
EL ALTO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,8,7,0,3,18
EL TORNO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,0,1,0,0,1
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,0,2,0,0,2
GENERAL SAAVEDRA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,0,2,0,0,2
GUAYARAMERIN,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,0,0,4,1,5
LA ASUNTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,0,1,0,0,1
LA GUARDIA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,2,1,0,0,3
LA PAZ,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,2,7,0,0,9
LICOMA PAMPA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,0,1,0,0,1
MONTERO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,1,0,0,1,2
ORURO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,0,1,0,0,1
PAILON,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,1,0,5,3,9
PORTACHUELO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,1,1,0,0,2
POTOSI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,1,2,0,0,3
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,1,2,0,0,3
PUNATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,0,0,1,0,1
QUILLACOLLO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,4,1,4,1,10
ROBORE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,0,1,0,0,1
RURRENABAQUE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,0,1,1,0,2
SACABA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,3,1,0,0,4
SACACA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,0,0,1,0,1
SAN BORJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,0,1,3,3,7
SAN IGNACIO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,0,0,0,1,1
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,0,1,0,0,1
SAN JAVIER(BNI),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,0,0,1,0,1
SAN JAVIER(STC),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,0,1,0,0,1
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,1,0,0,3,4
SANTA ANA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,14,12,1,5,32
SANTA ROSA DEL SARA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,1,0,0,0,1
SENA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,0,2,0,0,2
SHINAOTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,0,0,1,0,1
SIPE SIPE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,1,1,0,0,2
SUCRE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,1,0,0,0,1
TARIJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,3,1,0,0,4
TEOPONTE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,1,0,0,1,2
TRINIDAD,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,2,1,1,2,6
VIACHA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,2,1,0,0,3
VILLA TUNARI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,1,0,1,1,3
VILLAZON,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,0,1,0,0,1
VINTO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,1,0,0,1,2
WARNES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,1,1,0,0,2
YACUIBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-02-01,0,0,0,1,1
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,0,0,0,1,1
BERMEJO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,1,0,0,0,1
CHALLAPATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,1,0,0,0,1
CHUMA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,0,0,1,0,1
COBIJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,0,0,0,1,1
COCHABAMBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,10,22,6,9,47
COLCAPIRHUA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,1,1,1,0,3
COLOMI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,1,1,0,0,2
COTAGAITA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,1,0,0,0,1
COTOCA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,0,2,1,0,3
CUATRO CAÑADAS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,0,0,0,1,1
EL ALTO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,10,10,8,18,46
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,1,0,0,0,1
FERNANDEZ ALONSO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,1,0,0,0,1
GENERAL SAAVEDRA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,0,0,0,1,1
GUAYARAMERIN,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,1,0,0,0,1
INQUISIVI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,0,0,1,0,1
LA GUARDIA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,0,0,1,0,1
LA PAZ,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,6,9,0,0,15
LAJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,1,0,0,0,1
LLALLAGUA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,0,0,1,0,1
MAPIRI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,1,0,0,0,1
MINEROS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,1,0,0,0,1
MONTERO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,2,0,1,0,3
ORURO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,2,0,0,0,2
PORTACHUELO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,1,0,0,0,1
POTOSI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,1,0,0,2,3
PUCARANI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,1,0,0,0,1
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,0,0,0,1,1
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,1,1,2,1,5
PUNATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,1,0,0,0,1
QUILLACOLLO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,3,5,8,3,19
RIBERALTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,0,1,0,0,1
ROBORE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,1,0,0,0,1
RURRENABAQUE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,0,0,0,1,1
SACABA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,1,0,0,0,1
SAN ANDRES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,0,0,0,1,1
SAN BORJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,1,2,0,0,3
SAN CARLOS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,0,2,0,0,2
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,1,2,1,2,6
SAN LUCAS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,0,0,0,1,1
SAN MATIAS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,2,0,0,0,2
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,0,1,0,0,1
SANTA ANA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,0,0,3,4,7
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,24,21,5,4,54
SENA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,1,0,0,0,1
SHINAOTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,0,0,0,1,1
SORATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,0,1,0,0,1
SUCRE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,4,2,0,1,7
TARIJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,2,2,4,1,9
TIPUANI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,1,0,0,0,1
TIQUIPAYA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,0,1,0,0,1
TRINIDAD,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,3,0,4,2,9
VALLEGRANDE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,0,1,0,1,2
VIACHA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,0,0,1,0,1
VILLA MONTES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,1,0,0,0,1
VILLA TUNARI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,3,2,2,2,9
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,0,0,1,0,1
WARNES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,2,0,2,1,5
YACUIBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-03-01,1,0,0,1,2
ACHACACHI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,1,0,0,1
ACHOCALLA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,0,0,1,1
ANCORAIMES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,0,0,2,2
AYO AYO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,1,1,0,2
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,0,1,0,1
BAURES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,1,0,0,0,1
BERMEJO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,0,1,0,1
CARACOLLO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,1,0,0,1
CARANAVI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,1,0,0,0,1
CHALLAPATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,0,1,2,3
CHIMORE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,1,1,1,3
CHUQUIHUTA AYLLU JUCUMANI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,1,0,0,0,1
COBIJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,0,1,1,2
COCAPATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,3,8,1,1,13
COCHABAMBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,7,6,17,12,42
COIPASA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,0,0,1,1
CONCEPCION,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,0,1,1,2
CORIPATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,0,1,1,2
COTOCA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,2,7,8,17
CUATRO CAÑADAS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,0,1,0,1
EL ALTO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,15,17,49,51,132
EL PUENTE(TJA),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,0,1,1,2
EL TORNO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,1,1,0,0,2
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,3,0,0,3
EXALTACION,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,0,0,1,1
FERNANDEZ ALONSO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,0,0,1,1
GENERAL SAAVEDRA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,1,0,0,0,1
GUAYARAMERIN,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,1,0,0,1
HUACARAJE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,1,0,0,1
HUANUNI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,0,1,1,2
HUARINA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,1,0,0,1
INCAHUASI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,0,1,0,1
INQUISIVI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,1,0,0,1
LA GUARDIA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,1,1,3,3,8
LA PAZ,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,7,14,15,24,60
MACHARETI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,0,1,0,1
MAIRANA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,1,0,0,0,1
MECAPACA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,1,0,1,0,2
MINEROS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,1,1,0,2
MONTERO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,0,0,4,4
NUEVO MANOA (NUEVA ESPERANZA),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,0,1,0,1
OCURI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,0,1,0,1
OKINAWA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,1,0,0,1
ORURO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,2,1,19,18,40
PAILON,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,0,3,4,7
PALCA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,0,1,0,1
PALOS BLANCOS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,1,0,0,1
PATACAMAYA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,0,0,1,1
POCOATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,1,0,1,2
POJO (CBBA),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,0,1,0,1
PORTACHUELO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,1,0,0,0,1
POTOSI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,3,3,12,12,30
PUCARANI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,1,0,0,1
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,1,0,0,0,1
PUERTO RICO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,0,1,0,1
PUNATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,0,1,0,1
QUILLACOLLO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,1,0,8,7,16
REYES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,0,6,1,7
RIBERALTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,0,1,1,2
RURRENABAQUE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,0,3,2,5
SACABA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,2,1,2,0,5
SACABAMBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,0,1,0,1
SAN ANDRES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,0,2,2,4
SAN ANTONIO DE LOMERIO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,0,1,0,1
SAN BORJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,3,1,6,11,21
SAN BUENA VENTURA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,0,0,1,1
SAN CARLOS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,1,2,2,5
SAN IGNACIO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,0,0,1,1
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,0,0,2,2
SAN JAVIER(BNI),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,2,1,0,0,3
SAN JAVIER(STC),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,1,0,1,2
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,1,0,0,1
SAN JULIAN,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,0,1,1,2
SAN MATIAS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,1,1,0,0,2
SAN PEDRO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,0,2,0,0,2
SANTA ANA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-04-01,1,0,3,4,8
