municipality,group,variable,month,Consultas repetidas en menores de 5 años,TOTAL
EL TORNO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,5,5
EL VILLAR,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,8,8
ENTRE RIOS,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,2,2
ENTRE RIOS,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,53,53
FERNANDEZ ALONSO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,5,5
GENERAL SAAVEDRA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,94,94
GRAL. J.J. PEREZ (CHARAZANI),consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,1,1
GUANAY,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,8,8
GUAQUI,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,2,2
GUAYARAMERIN,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,12,12
GUTIERREZ,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,97,97
HUACARETA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,29,29
HUACHACALLA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,1,1
HUANUNI,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,129,129
HUARACAJE,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,4,4
HUAYLLAMARCA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,5,5
ICLA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,1,1
INCAHUASI,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,2,2
IRUPANA (VILLA DE LANZA),consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,4,4
IXIAMAS,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,1,1
JESUS DE MACHACA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,8,8
LA ASUNTA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,5,5
LA GUARDIA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,13,13
LA PAZ,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,1476,1476
LAGUNILLAS,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,5,5
LAJA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,2,2
LLALLAGUA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,50,50
MACHACAMARCA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,2,2
MACHARETI,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,3,3
MAGDALENA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,67,67
MAIRANA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,7,7
MAPIRI,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,16,16
MECAPACA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,1,1
MINEROS,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,1,1
MIZQUE,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,6,6
MOJOCOYA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,3,3
MONTEAGUDO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,5,5
MONTERO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,191,191
MORO MORO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,1,1
MOROCHATA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,8,8
OKINAWA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,9,9
OMEREQUE,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,7,7
ORURO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,565,565
PADCAYA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,6,6
PADILLA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,17,17
PAILON,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,19,19
PALCA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,3,3
PALOS BLANCOS,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,8,8
PAPEL PAMPA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,25,25
PAZÑA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,3,3
POCOATA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,4,4
POJO (CBBA),consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,3,3
POOPO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,4,4
PORCO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,5,5
POROMA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,2,2
PORVENIR,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,13,13
POSTRER VALLE,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,1,1
POTOSI,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,499,499
PUCARA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,8,8
PUERTO ACOSTA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,4,4
PUERTO QUIJARRO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,54,54
PUERTO SUAREZ,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,78,78
PUERTO VILLARROEL,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,1,1
PUNA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,3,3
PUNATA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,65,65
QUILLACOLLO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,190,190
QUIME,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,4,4
REYES,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,54,54
RIBERALTA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,3,3
ROBORE,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,14,14
RURRENABAQUE,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,255,255
SABAYA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,5,5
SACABA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,215,215
SACABAMBA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,3,3
SAIPINA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,20,20
SALINAS DE GARCI MENDOZA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,3,3
SAMAIPATA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,6,6
SAN AGUSTIN,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,2,2
SAN ANDRES DE MACHACA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,3,3
SAN BENITO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,4,4
SAN BORJA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,12,12
SAN BUENA VENTURA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,1,1
SAN CARLOS,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,3,3
SAN IGNACIO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,95,95
SAN IGNACIO DE VELASCO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,87,87
SAN JOAQUIN,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,18,18
SAN JOSE DE CHIQUITOS,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,1,1
SAN JULIAN,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,53,53
SAN LORENZO(TJA),consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,11,11
SAN MATIAS,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,6,6
SAN MIGUEL DE VELASCO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,1,1
SAN PEDRO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,5,5
SAN PEDRO DE BUENA VISTA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,1,1
SAN PEDRO DE TIQUINA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,48,48
SAN RAFAEL,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,77,77
SAN RAMON,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,12,12
SAN RAMON,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,11,11
SANTA ANA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,1,1
SANTA CRUZ DE LA SIERRA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,1737,1737
SANTA ROSA DEL SARA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,19,19
SANTIAGO DE HUARI,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,15,15
SANTUARIO DE QUILLACAS,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,3,3
SAPAHAQUI,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,1,1
SICA SICA (VILLA AROMA),consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,1,1
SICAYA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,1,1
SIPE SIPE,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,87,87
SOPACHUY,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,5,5
SUCRE,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,846,846
TAPACARI,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,4,4
TARATA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,3,3
TARIJA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,161,161
TIPUANI,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,8,8
TIQUIPAYA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,44,44
TIRAQUE (CBBA),consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,5,5
TOCO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,5,5
TOLATA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,7,7
TOLEDO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,3,3
TOMAVE,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,84,84
TOMINA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,130,130
TORO TORO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,1,1
TOTORA(CBBA),consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,7,7
TRINIDAD,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,149,149
TUPIZA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,2,2
UNCIA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,7,7
URIONDO (A. CONCEPCION),consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,10,10
URUBICHA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,25,25
UYUNI,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,8,8
VALLEGRANDE,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,29,29
VIACHA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,31,31
VILLA MONTES,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,7,7
VILLA RIVERO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,8,8
VILLA SERRANO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,10,10
VILLA TUNARI,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,33,33
VILLA VACA GUZMAN (MUYUPAMPA),consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,6,6
VILLAZON,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,40,40
VINTO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,21,21
VITICHI,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,4,4
WALDO BALLIVIAN,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,6,6
WARNES,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,49,49
YACUIBA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,60,60
YANACACHI,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,1,1
YAPACANI,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,42,42
YOTALA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,5,5
ZUDAÑEZ,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,2,2
ACHACACHI,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,3,3
ACHOCALLA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,7,7
AIQUILE,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,5,5
ANTEQUERA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,1,1
ANZALDO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,5,5
ARAMPAMPA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,1,1
ARANI,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,7,7
ARQUE,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,3,3
ATOCHA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,62,62
AUCAPATA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,23,23
BATALLAS,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,15,15
BAURES,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,3,3
BERMEJO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,14,14
BETANZOS,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,5,5
BUENA VISTA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,5,5
CABEZAS,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,6,6
"CAIZA ""D""",consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,6,6
CALACOTO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,28,28
CAMARGO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,55,55
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,14,14
CAMIRI,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,151,151
CAPINOTA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,32,32
CARACOLLO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,17,17
CARANAVI,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,39,39
CARAPARI,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,24,24
CHALLAPATA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,55,55
CHARAGUA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,1,1
CHAYANTA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,17,17
CHIMORE,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,3,3
CHULUMANI (V. DE LA LIBERTAD),consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,2,2
CLIZA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,34,34
COBIJA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,29,29
COCHABAMBA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,1703,1703
COLCAPIRHUA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,60,60
COLOMI,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,11,11
COLQUIRI,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,3,3
COMARAPA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,12,12
CONCEPCION,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,10,10
COROICO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,10,10
CORQUE,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,5,5
COTAGAITA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,11,11
COTOCA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,9,9
CUATRO CAÑADAS,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,30,30
CUCHUMUELA (V. G. VILLARROEL),consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,1,1
CUEVO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,1,1
CULPINA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,4,4
CURAHUARA DE CARANGAS,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,22,22
DESAGUADERO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,1,1
EL ALTO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,390,390
EL PUENTE(STC),consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,59,59
EL PUENTE(TJA),consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,3,3
EL TORNO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,3,3
EL VILLAR,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,7,7
ENTRE RIOS,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,52,52
FERNANDEZ ALONSO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,6,6
FILADELFIA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,4,4
GENERAL SAAVEDRA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,6,6
GRAL. J.J. PEREZ (CHARAZANI),consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,2,2
GUANAY,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,22,22
GUAYARAMERIN,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,14,14
GUTIERREZ,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,6,6
HUACARETA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,30,30
HUACHACALLA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,2,2
HUANUNI,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,185,185
HUARACAJE,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,3,3
HUAYLLAMARCA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,6,6
IRUPANA (VILLA DE LANZA),consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,2,2
IXIAMAS,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,1,1
JESUS DE MACHACA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,6,6
LA ASUNTA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,3,3
LA GUARDIA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,11,11
LA PAZ,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,1203,1203
LAGUNILLAS,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,5,5
LLALLAGUA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,12,12
LURIBAY,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,8,8
MACHACAMARCA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,6,6
MACHARETI,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,15,15
MAGDALENA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,1,1
MAIRANA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,3,3
MINEROS,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,6,6
MOJOCOYA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,1,1
MONTEAGUDO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,4,4
MONTERO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,13,13
MOROCHATA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,5,5
OKINAWA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,8,8
OMEREQUE,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,10,10
ORURO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,373,373
PADCAYA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,1,1
PADILLA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,7,7
PAILON,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,17,17
PALOS BLANCOS,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,3,3
PAZÑA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,6,6
POCOATA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,1,1
POJO (CBBA),consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,6,6
POOPO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,3,3
PORCO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,1,1
PORONGO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,6,6
PORTACHUELO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,102,102
PORVENIR,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,1,1
POTOSI,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,286,286
PRESTO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,1,1
PUCARA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,8,8
PUCARANI,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-02-01,1,1
