municipality,group,variable,month,Pulpotomías,TOTAL
PAMPA AULLAGAS,consultas odontologicas,pulpotomias,2007-01-01,8,8
PASORAPA,consultas odontologicas,pulpotomias,2007-01-01,3,3
PATACAMAYA,consultas odontologicas,pulpotomias,2007-01-01,44,44
PAZÑA,consultas odontologicas,pulpotomias,2007-01-01,55,55
PELECHUCO,consultas odontologicas,pulpotomias,2007-01-01,25,25
POCOATA,consultas odontologicas,pulpotomias,2007-01-01,34,34
POJO (CBBA),consultas odontologicas,pulpotomias,2007-01-01,17,17
POOPO,consultas odontologicas,pulpotomias,2007-01-01,43,43
PORCO,consultas odontologicas,pulpotomias,2007-01-01,14,14
POROMA,consultas odontologicas,pulpotomias,2007-01-01,44,44
PORONGO,consultas odontologicas,pulpotomias,2007-01-01,112,112
PORTACHUELO,consultas odontologicas,pulpotomias,2007-01-01,109,109
PORVENIR,consultas odontologicas,pulpotomias,2007-01-01,15,15
POSTRER VALLE,consultas odontologicas,pulpotomias,2007-01-01,10,10
POTOSI,consultas odontologicas,pulpotomias,2007-01-01,771,771
PRESTO,consultas odontologicas,pulpotomias,2007-01-01,36,36
PUCARA,consultas odontologicas,pulpotomias,2007-01-01,25,25
PUCARANI,consultas odontologicas,pulpotomias,2007-01-01,138,138
PUERTO ACOSTA,consultas odontologicas,pulpotomias,2007-01-01,255,255
PUERTO CARABUCO,consultas odontologicas,pulpotomias,2007-01-01,122,122
PUERTO GONZALO MORENO,consultas odontologicas,pulpotomias,2007-01-01,10,10
PUERTO QUIJARRO,consultas odontologicas,pulpotomias,2007-01-01,34,34
PUERTO RICO,consultas odontologicas,pulpotomias,2007-01-01,37,37
PUERTO SUAREZ,consultas odontologicas,pulpotomias,2007-01-01,96,96
PUERTO VILLARROEL,consultas odontologicas,pulpotomias,2007-01-01,76,76
PUNA,consultas odontologicas,pulpotomias,2007-01-01,86,86
PUNATA,consultas odontologicas,pulpotomias,2007-01-01,93,93
QUIABAYA,consultas odontologicas,pulpotomias,2007-01-01,17,17
QUILLACOLLO,consultas odontologicas,pulpotomias,2007-01-01,233,233
QUIME,consultas odontologicas,pulpotomias,2007-01-01,124,124
QUIRUSILLAS,consultas odontologicas,pulpotomias,2007-01-01,1,1
REYES,consultas odontologicas,pulpotomias,2007-01-01,87,87
RIBERALTA,consultas odontologicas,pulpotomias,2007-01-01,319,319
ROBORE,consultas odontologicas,pulpotomias,2007-01-01,59,59
RURRENABAQUE,consultas odontologicas,pulpotomias,2007-01-01,36,36
SABAYA,consultas odontologicas,pulpotomias,2007-01-01,8,8
SACABA,consultas odontologicas,pulpotomias,2007-01-01,163,163
SACABAMBA,consultas odontologicas,pulpotomias,2007-01-01,11,11
SACACA,consultas odontologicas,pulpotomias,2007-01-01,26,26
SAIPINA,consultas odontologicas,pulpotomias,2007-01-01,25,25
SALINAS DE GARCI MENDOZA,consultas odontologicas,pulpotomias,2007-01-01,39,39
SAMAIPATA,consultas odontologicas,pulpotomias,2007-01-01,53,53
SAN AGUSTIN,consultas odontologicas,pulpotomias,2007-01-01,6,6
SAN ANDRES,consultas odontologicas,pulpotomias,2007-01-01,37,37
SAN ANDRES DE MACHACA,consultas odontologicas,pulpotomias,2007-01-01,21,21
SAN ANTONIO DE LOMERIO,consultas odontologicas,pulpotomias,2007-01-01,38,38
SAN BENITO,consultas odontologicas,pulpotomias,2007-01-01,41,41
SAN BORJA,consultas odontologicas,pulpotomias,2007-01-01,125,125
SAN BUENA VENTURA,consultas odontologicas,pulpotomias,2007-01-01,46,46
SAN CARLOS,consultas odontologicas,pulpotomias,2007-01-01,45,45
SAN IGNACIO,consultas odontologicas,pulpotomias,2007-01-01,95,95
SAN IGNACIO DE VELASCO,consultas odontologicas,pulpotomias,2007-01-01,288,288
SAN JAVIER(BNI),consultas odontologicas,pulpotomias,2007-01-01,25,25
SAN JAVIER(STC),consultas odontologicas,pulpotomias,2007-01-01,74,74
SAN JOAQUIN,consultas odontologicas,pulpotomias,2007-01-01,42,42
SAN JOSE DE CHIQUITOS,consultas odontologicas,pulpotomias,2007-01-01,83,83
SAN JUAN DE YAPACANI,consultas odontologicas,pulpotomias,2007-01-01,23,23
SAN JULIAN,consultas odontologicas,pulpotomias,2007-01-01,21,21
SAN LORENZO(PND),consultas odontologicas,pulpotomias,2007-01-01,9,9
SAN LORENZO(TJA),consultas odontologicas,pulpotomias,2007-01-01,102,102
SAN LUCAS,consultas odontologicas,pulpotomias,2007-01-01,55,55
SAN MATIAS,consultas odontologicas,pulpotomias,2007-01-01,54,54
SAN MIGUEL DE VELASCO,consultas odontologicas,pulpotomias,2007-01-01,58,58
SAN PEDRO,consultas odontologicas,pulpotomias,2007-01-01,42,42
SAN PEDRO DE BUENA VISTA,consultas odontologicas,pulpotomias,2007-01-01,43,43
SAN PEDRO DE TIQUINA,consultas odontologicas,pulpotomias,2007-01-01,24,24
SAN RAFAEL,consultas odontologicas,pulpotomias,2007-01-01,26,26
SAN RAMON,consultas odontologicas,pulpotomias,2007-01-01,20,20
SAN RAMON,consultas odontologicas,pulpotomias,2007-01-01,12,12
SANTA ANA,consultas odontologicas,pulpotomias,2007-01-01,136,136
SANTA CRUZ DE LA SIERRA,consultas odontologicas,pulpotomias,2007-01-01,2358,2358
SANTA ROSA,consultas odontologicas,pulpotomias,2007-01-01,51,51
SANTA ROSA DEL SARA,consultas odontologicas,pulpotomias,2007-01-01,129,129
SANTIAGO DE CALLAPA,consultas odontologicas,pulpotomias,2007-01-01,32,32
SANTIAGO DE HUARI,consultas odontologicas,pulpotomias,2007-01-01,64,64
SANTIAGO DE MACHACA,consultas odontologicas,pulpotomias,2007-01-01,30,30
SANTUARIO DE QUILLACAS,consultas odontologicas,pulpotomias,2007-01-01,26,26
SAPAHAQUI,consultas odontologicas,pulpotomias,2007-01-01,32,32
SENA,consultas odontologicas,pulpotomias,2007-01-01,46,46
SICA SICA (VILLA AROMA),consultas odontologicas,pulpotomias,2007-01-01,60,60
SICAYA,consultas odontologicas,pulpotomias,2007-01-01,9,9
SIPE SIPE,consultas odontologicas,pulpotomias,2007-01-01,93,93
SOPACHUY,consultas odontologicas,pulpotomias,2007-01-01,71,71
SORACACHI,consultas odontologicas,pulpotomias,2007-01-01,20,20
SORATA,consultas odontologicas,pulpotomias,2007-01-01,29,29
SUCRE,consultas odontologicas,pulpotomias,2007-01-01,1125,1125
TACACOMA,consultas odontologicas,pulpotomias,2007-01-01,100,100
TAPACARI,consultas odontologicas,pulpotomias,2007-01-01,17,17
TARABUCO,consultas odontologicas,pulpotomias,2007-01-01,37,37
TARACO,consultas odontologicas,pulpotomias,2007-01-01,21,21
TARATA,consultas odontologicas,pulpotomias,2007-01-01,4,4
TARIJA,consultas odontologicas,pulpotomias,2007-01-01,635,635
TARVITA,consultas odontologicas,pulpotomias,2007-01-01,70,70
TEOPONTE,consultas odontologicas,pulpotomias,2007-01-01,9,9
TIAWANACU,consultas odontologicas,pulpotomias,2007-01-01,95,95
TIPUANI,consultas odontologicas,pulpotomias,2007-01-01,59,59
TIQUIPAYA,consultas odontologicas,pulpotomias,2007-01-01,118,118
TIRAQUE (CBBA),consultas odontologicas,pulpotomias,2007-01-01,124,124
TOCO,consultas odontologicas,pulpotomias,2007-01-01,6,6
TOLATA,consultas odontologicas,pulpotomias,2007-01-01,16,16
TOLEDO,consultas odontologicas,pulpotomias,2007-01-01,47,47
TOMAVE,consultas odontologicas,pulpotomias,2007-01-01,36,36
TOMINA,consultas odontologicas,pulpotomias,2007-01-01,73,73
TORO TORO,consultas odontologicas,pulpotomias,2007-01-01,17,17
TOTORA(CBBA),consultas odontologicas,pulpotomias,2007-01-01,16,16
TOTORA(ORR),consultas odontologicas,pulpotomias,2007-01-01,9,9
TRIGAL,consultas odontologicas,pulpotomias,2007-01-01,15,15
TRINIDAD,consultas odontologicas,pulpotomias,2007-01-01,703,703
TUPIZA,consultas odontologicas,pulpotomias,2007-01-01,175,175
TURCO,consultas odontologicas,pulpotomias,2007-01-01,56,56
UMALA,consultas odontologicas,pulpotomias,2007-01-01,5,5
UNCIA,consultas odontologicas,pulpotomias,2007-01-01,75,75
URIONDO (A. CONCEPCION),consultas odontologicas,pulpotomias,2007-01-01,104,104
URUBICHA,consultas odontologicas,pulpotomias,2007-01-01,7,7
UYUNI,consultas odontologicas,pulpotomias,2007-01-01,203,203
VACAS,consultas odontologicas,pulpotomias,2007-01-01,29,29
VALLEGRANDE,consultas odontologicas,pulpotomias,2007-01-01,113,113
VIACHA,consultas odontologicas,pulpotomias,2007-01-01,492,492
VILA VILA,consultas odontologicas,pulpotomias,2007-01-01,8,8
VILLA MONTES,consultas odontologicas,pulpotomias,2007-01-01,389,389
VILLA NUEVA (LOMA ALTA),consultas odontologicas,pulpotomias,2007-01-01,1,1
VILLA RIVERO,consultas odontologicas,pulpotomias,2007-01-01,18,18
VILLA SERRANO,consultas odontologicas,pulpotomias,2007-01-01,12,12
VILLA TUNARI,consultas odontologicas,pulpotomias,2007-01-01,93,93
VILLA VACA GUZMAN (MUYUPAMPA),consultas odontologicas,pulpotomias,2007-01-01,29,29
VILLAZON,consultas odontologicas,pulpotomias,2007-01-01,183,183
VINTO,consultas odontologicas,pulpotomias,2007-01-01,18,18
VITICHI,consultas odontologicas,pulpotomias,2007-01-01,9,9
WALDO BALLIVIAN,consultas odontologicas,pulpotomias,2007-01-01,32,32
WARNES,consultas odontologicas,pulpotomias,2007-01-01,75,75
YACO,consultas odontologicas,pulpotomias,2007-01-01,4,4
YACUIBA,consultas odontologicas,pulpotomias,2007-01-01,272,272
YAMPARAEZ,consultas odontologicas,pulpotomias,2007-01-01,2,2
YANACACHI,consultas odontologicas,pulpotomias,2007-01-01,29,29
YAPACANI,consultas odontologicas,pulpotomias,2007-01-01,77,77
YOCALLA,consultas odontologicas,pulpotomias,2007-01-01,11,11
YOTALA,consultas odontologicas,pulpotomias,2007-01-01,32,32
YUNCHARA,consultas odontologicas,pulpotomias,2007-01-01,31,31
ZUDAÑEZ,consultas odontologicas,pulpotomias,2007-01-01,47,47
ACACIO,consultas odontologicas,pulpotomias,2007-02-01,15,15
ACHACACHI,consultas odontologicas,pulpotomias,2007-02-01,179,179
ACHOCALLA,consultas odontologicas,pulpotomias,2007-02-01,19,19
AIQUILE,consultas odontologicas,pulpotomias,2007-02-01,19,19
ALALAY,consultas odontologicas,pulpotomias,2007-02-01,5,5
ALCALA,consultas odontologicas,pulpotomias,2007-02-01,50,50
ANCORAIMES,consultas odontologicas,pulpotomias,2007-02-01,54,54
ANDAMARCA,consultas odontologicas,pulpotomias,2007-02-01,12,12
ANTEQUERA,consultas odontologicas,pulpotomias,2007-02-01,9,9
ANZALDO,consultas odontologicas,pulpotomias,2007-02-01,8,8
APOLO,consultas odontologicas,pulpotomias,2007-02-01,59,59
ARAMPAMPA,consultas odontologicas,pulpotomias,2007-02-01,5,5
ARANI,consultas odontologicas,pulpotomias,2007-02-01,33,33
ARBIETO,consultas odontologicas,pulpotomias,2007-02-01,1,1
ARQUE,consultas odontologicas,pulpotomias,2007-02-01,33,33
ASCENCION DE GUARAYOS,consultas odontologicas,pulpotomias,2007-02-01,58,58
ATOCHA,consultas odontologicas,pulpotomias,2007-02-01,171,171
AUCAPATA,consultas odontologicas,pulpotomias,2007-02-01,11,11
AYATA,consultas odontologicas,pulpotomias,2007-02-01,62,62
AYO AYO,consultas odontologicas,pulpotomias,2007-02-01,32,32
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,pulpotomias,2007-02-01,128,128
AZURDUY,consultas odontologicas,pulpotomias,2007-02-01,130,130
BATALLAS,consultas odontologicas,pulpotomias,2007-02-01,81,81
BAURES,consultas odontologicas,pulpotomias,2007-02-01,21,21
BELEN DE ANDAMARCA,consultas odontologicas,pulpotomias,2007-02-01,1,1
BERMEJO,consultas odontologicas,pulpotomias,2007-02-01,124,124
BETANZOS,consultas odontologicas,pulpotomias,2007-02-01,8,8
BOLPEBRA,consultas odontologicas,pulpotomias,2007-02-01,26,26
BOYUIBE,consultas odontologicas,pulpotomias,2007-02-01,19,19
BUENA VISTA,consultas odontologicas,pulpotomias,2007-02-01,82,82
CABEZAS,consultas odontologicas,pulpotomias,2007-02-01,25,25
CAIROMA,consultas odontologicas,pulpotomias,2007-02-01,40,40
"CAIZA ""D""",consultas odontologicas,pulpotomias,2007-02-01,23,23
CAJUATA,consultas odontologicas,pulpotomias,2007-02-01,17,17
CALAMARCA,consultas odontologicas,pulpotomias,2007-02-01,41,41
CAMARGO,consultas odontologicas,pulpotomias,2007-02-01,58,58
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,pulpotomias,2007-02-01,16,16
CAMIRI,consultas odontologicas,pulpotomias,2007-02-01,131,131
CAPINOTA,consultas odontologicas,pulpotomias,2007-02-01,24,24
CAQUIAVIRI,consultas odontologicas,pulpotomias,2007-02-01,21,21
CARACOLLO,consultas odontologicas,pulpotomias,2007-02-01,121,121
CARANAVI,consultas odontologicas,pulpotomias,2007-02-01,70,70
CARAPARI,consultas odontologicas,pulpotomias,2007-02-01,60,60
CARIPUYO,consultas odontologicas,pulpotomias,2007-02-01,22,22
CHALLAPATA,consultas odontologicas,pulpotomias,2007-02-01,72,72
CHAQUI,consultas odontologicas,pulpotomias,2007-02-01,8,8
CHARAGUA,consultas odontologicas,pulpotomias,2007-02-01,156,156
CHARAÑA,consultas odontologicas,pulpotomias,2007-02-01,15,15
CHAYANTA,consultas odontologicas,pulpotomias,2007-02-01,70,70
CHIMORE,consultas odontologicas,pulpotomias,2007-02-01,24,24
CHULUMANI (V. DE LA LIBERTAD),consultas odontologicas,pulpotomias,2007-02-01,49,49
CHUMA,consultas odontologicas,pulpotomias,2007-02-01,117,117
CLIZA,consultas odontologicas,pulpotomias,2007-02-01,22,22
COBIJA,consultas odontologicas,pulpotomias,2007-02-01,188,188
COCHABAMBA,consultas odontologicas,pulpotomias,2007-02-01,984,984
COLCAPIRHUA,consultas odontologicas,pulpotomias,2007-02-01,46,46
"COLCHA ""K""",consultas odontologicas,pulpotomias,2007-02-01,8,8
COLLANA,consultas odontologicas,pulpotomias,2007-02-01,24,24
COLOMI,consultas odontologicas,pulpotomias,2007-02-01,24,24
COLPA BELGICA,consultas odontologicas,pulpotomias,2007-02-01,11,11
COLQUENCHA,consultas odontologicas,pulpotomias,2007-02-01,38,38
COLQUIRI,consultas odontologicas,pulpotomias,2007-02-01,91,91
COMARAPA,consultas odontologicas,pulpotomias,2007-02-01,32,32
CONCEPCION,consultas odontologicas,pulpotomias,2007-02-01,14,14
COPACABANA,consultas odontologicas,pulpotomias,2007-02-01,94,94
CORIPATA,consultas odontologicas,pulpotomias,2007-02-01,52,52
CORO CORO,consultas odontologicas,pulpotomias,2007-02-01,54,54
COROICO,consultas odontologicas,pulpotomias,2007-02-01,138,138
CORQUE,consultas odontologicas,pulpotomias,2007-02-01,21,21
COTAGAITA,consultas odontologicas,pulpotomias,2007-02-01,75,75
COTOCA,consultas odontologicas,pulpotomias,2007-02-01,30,30
CUATRO CAÑADAS,consultas odontologicas,pulpotomias,2007-02-01,21,21
CUCHUMUELA (V. G. VILLARROEL),consultas odontologicas,pulpotomias,2007-02-01,7,7
CUEVO,consultas odontologicas,pulpotomias,2007-02-01,32,32
CULPINA,consultas odontologicas,pulpotomias,2007-02-01,40,40
CURAHUARA DE CARANGAS,consultas odontologicas,pulpotomias,2007-02-01,44,44
CURVA,consultas odontologicas,pulpotomias,2007-02-01,23,23
DESAGUADERO,consultas odontologicas,pulpotomias,2007-02-01,87,87
EL ALTO,consultas odontologicas,pulpotomias,2007-02-01,3465,3465
EL PUENTE(STC),consultas odontologicas,pulpotomias,2007-02-01,45,45
EL PUENTE(TJA),consultas odontologicas,pulpotomias,2007-02-01,96,96
EL TORNO,consultas odontologicas,pulpotomias,2007-02-01,54,54
EL VILLAR,consultas odontologicas,pulpotomias,2007-02-01,40,40
ENTRE RIOS,consultas odontologicas,pulpotomias,2007-02-01,108,108
ENTRE RIOS,consultas odontologicas,pulpotomias,2007-02-01,29,29
EXALTACION,consultas odontologicas,pulpotomias,2007-02-01,77,77
FERNANDEZ ALONSO,consultas odontologicas,pulpotomias,2007-02-01,43,43
GENERAL SAAVEDRA,consultas odontologicas,pulpotomias,2007-02-01,11,11
GRAL. J.J. PEREZ (CHARAZANI),consultas odontologicas,pulpotomias,2007-02-01,47,47
GUANAY,consultas odontologicas,pulpotomias,2007-02-01,38,38
GUAQUI,consultas odontologicas,pulpotomias,2007-02-01,63,63
GUAYARAMERIN,consultas odontologicas,pulpotomias,2007-02-01,153,153
GUTIERREZ,consultas odontologicas,pulpotomias,2007-02-01,35,35
HUACARETA,consultas odontologicas,pulpotomias,2007-02-01,51,51
HUACHACALLA,consultas odontologicas,pulpotomias,2007-02-01,8,8
HUANUNI,consultas odontologicas,pulpotomias,2007-02-01,103,103
HUARACAJE,consultas odontologicas,pulpotomias,2007-02-01,13,13
HUAYLLAMARCA,consultas odontologicas,pulpotomias,2007-02-01,12,12
ICHOCA,consultas odontologicas,pulpotomias,2007-02-01,57,57
ICLA,consultas odontologicas,pulpotomias,2007-02-01,65,65
INCAHUASI,consultas odontologicas,pulpotomias,2007-02-01,71,71
INQUISIVI,consultas odontologicas,pulpotomias,2007-02-01,60,60
IRUPANA (VILLA DE LANZA),consultas odontologicas,pulpotomias,2007-02-01,61,61
IXIAMAS,consultas odontologicas,pulpotomias,2007-02-01,36,36
JESUS DE MACHACA,consultas odontologicas,pulpotomias,2007-02-01,51,51
LA ASUNTA,consultas odontologicas,pulpotomias,2007-02-01,67,67
LA GUARDIA,consultas odontologicas,pulpotomias,2007-02-01,38,38
LA PAZ,consultas odontologicas,pulpotomias,2007-02-01,2755,2755
LAGUNILLAS,consultas odontologicas,pulpotomias,2007-02-01,19,19
LAJA,consultas odontologicas,pulpotomias,2007-02-01,89,89
LLALLAGUA,consultas odontologicas,pulpotomias,2007-02-01,78,78
