municipality,group,variable,month,Periodoncias,TOTAL
PALCA,consultas odontologicas,periodoncias,2007-01-01,8,8
PASORAPA,consultas odontologicas,periodoncias,2007-01-01,2,2
PATACAMAYA,consultas odontologicas,periodoncias,2007-01-01,10,10
PAZÑA,consultas odontologicas,periodoncias,2007-01-01,21,21
POCOATA,consultas odontologicas,periodoncias,2007-01-01,25,25
POJO (CBBA),consultas odontologicas,periodoncias,2007-01-01,9,9
POOPO,consultas odontologicas,periodoncias,2007-01-01,2,2
PORCO,consultas odontologicas,periodoncias,2007-01-01,1,1
PORONGO,consultas odontologicas,periodoncias,2007-01-01,6,6
PORTACHUELO,consultas odontologicas,periodoncias,2007-01-01,18,18
PORVENIR,consultas odontologicas,periodoncias,2007-01-01,1,1
POTOSI,consultas odontologicas,periodoncias,2007-01-01,56,56
PUCARA,consultas odontologicas,periodoncias,2007-01-01,3,3
PUCARANI,consultas odontologicas,periodoncias,2007-01-01,14,14
PUERTO ACOSTA,consultas odontologicas,periodoncias,2007-01-01,29,29
PUERTO CARABUCO,consultas odontologicas,periodoncias,2007-01-01,3,3
PUERTO QUIJARRO,consultas odontologicas,periodoncias,2007-01-01,4,4
PUERTO SUAREZ,consultas odontologicas,periodoncias,2007-01-01,34,34
PUERTO VILLARROEL,consultas odontologicas,periodoncias,2007-01-01,3,3
PUNATA,consultas odontologicas,periodoncias,2007-01-01,198,198
QUILLACOLLO,consultas odontologicas,periodoncias,2007-01-01,71,71
QUIME,consultas odontologicas,periodoncias,2007-01-01,3,3
REYES,consultas odontologicas,periodoncias,2007-01-01,5,5
RIBERALTA,consultas odontologicas,periodoncias,2007-01-01,19,19
ROBORE,consultas odontologicas,periodoncias,2007-01-01,48,48
RURRENABAQUE,consultas odontologicas,periodoncias,2007-01-01,150,150
SABAYA,consultas odontologicas,periodoncias,2007-01-01,5,5
SACABA,consultas odontologicas,periodoncias,2007-01-01,69,69
SACABAMBA,consultas odontologicas,periodoncias,2007-01-01,1,1
SAIPINA,consultas odontologicas,periodoncias,2007-01-01,2,2
SAMAIPATA,consultas odontologicas,periodoncias,2007-01-01,5,5
SAN AGUSTIN,consultas odontologicas,periodoncias,2007-01-01,1,1
SAN ANDRES DE MACHACA,consultas odontologicas,periodoncias,2007-01-01,6,6
SAN BENITO,consultas odontologicas,periodoncias,2007-01-01,15,15
SAN BORJA,consultas odontologicas,periodoncias,2007-01-01,50,50
SAN CARLOS,consultas odontologicas,periodoncias,2007-01-01,12,12
SAN IGNACIO,consultas odontologicas,periodoncias,2007-01-01,126,126
SAN IGNACIO DE VELASCO,consultas odontologicas,periodoncias,2007-01-01,12,12
SAN JAVIER(BNI),consultas odontologicas,periodoncias,2007-01-01,1,1
SAN JAVIER(STC),consultas odontologicas,periodoncias,2007-01-01,16,16
SAN JOSE DE CHIQUITOS,consultas odontologicas,periodoncias,2007-01-01,21,21
SAN JUAN DE YAPACANI,consultas odontologicas,periodoncias,2007-01-01,3,3
SAN JULIAN,consultas odontologicas,periodoncias,2007-01-01,51,51
SAN LORENZO(PND),consultas odontologicas,periodoncias,2007-01-01,5,5
SAN LORENZO(TJA),consultas odontologicas,periodoncias,2007-01-01,39,39
SAN MATIAS,consultas odontologicas,periodoncias,2007-01-01,1,1
SAN MIGUEL DE VELASCO,consultas odontologicas,periodoncias,2007-01-01,7,7
SAN PEDRO DE BUENA VISTA,consultas odontologicas,periodoncias,2007-01-01,2,2
SAN RAFAEL,consultas odontologicas,periodoncias,2007-01-01,22,22
SAN RAMON,consultas odontologicas,periodoncias,2007-01-01,7,7
SANTA ANA,consultas odontologicas,periodoncias,2007-01-01,1,1
SANTA CRUZ DE LA SIERRA,consultas odontologicas,periodoncias,2007-01-01,1144,1144
SANTA ROSA,consultas odontologicas,periodoncias,2007-01-01,2,2
SANTA ROSA DEL SARA,consultas odontologicas,periodoncias,2007-01-01,36,36
SANTIAGO DE HUARI,consultas odontologicas,periodoncias,2007-01-01,5,5
SANTIAGO DE MACHACA,consultas odontologicas,periodoncias,2007-01-01,2,2
SANTUARIO DE QUILLACAS,consultas odontologicas,periodoncias,2007-01-01,1,1
SAPAHAQUI,consultas odontologicas,periodoncias,2007-01-01,2,2
SENA,consultas odontologicas,periodoncias,2007-01-01,3,3
SICA SICA (VILLA AROMA),consultas odontologicas,periodoncias,2007-01-01,32,32
SICAYA,consultas odontologicas,periodoncias,2007-01-01,1,1
SIPE SIPE,consultas odontologicas,periodoncias,2007-01-01,19,19
SUCRE,consultas odontologicas,periodoncias,2007-01-01,339,339
TACACOMA,consultas odontologicas,periodoncias,2007-01-01,2,2
TAPACARI,consultas odontologicas,periodoncias,2007-01-01,5,5
TARABUCO,consultas odontologicas,periodoncias,2007-01-01,3,3
TARATA,consultas odontologicas,periodoncias,2007-01-01,4,4
TARIJA,consultas odontologicas,periodoncias,2007-01-01,172,172
TIPUANI,consultas odontologicas,periodoncias,2007-01-01,8,8
TIQUIPAYA,consultas odontologicas,periodoncias,2007-01-01,63,63
TIRAQUE (CBBA),consultas odontologicas,periodoncias,2007-01-01,194,194
TOCO,consultas odontologicas,periodoncias,2007-01-01,2,2
TOLATA,consultas odontologicas,periodoncias,2007-01-01,15,15
TOMAVE,consultas odontologicas,periodoncias,2007-01-01,5,5
TOMINA,consultas odontologicas,periodoncias,2007-01-01,29,29
TRIGAL,consultas odontologicas,periodoncias,2007-01-01,11,11
TRINIDAD,consultas odontologicas,periodoncias,2007-01-01,40,40
TUPIZA,consultas odontologicas,periodoncias,2007-01-01,80,80
TURCO,consultas odontologicas,periodoncias,2007-01-01,1,1
UNCIA,consultas odontologicas,periodoncias,2007-01-01,12,12
URIONDO (A. CONCEPCION),consultas odontologicas,periodoncias,2007-01-01,2,2
UYUNI,consultas odontologicas,periodoncias,2007-01-01,14,14
VACAS,consultas odontologicas,periodoncias,2007-01-01,5,5
VALLEGRANDE,consultas odontologicas,periodoncias,2007-01-01,4,4
VIACHA,consultas odontologicas,periodoncias,2007-01-01,11,11
VILLA MONTES,consultas odontologicas,periodoncias,2007-01-01,31,31
VILLA RIVERO,consultas odontologicas,periodoncias,2007-01-01,3,3
VILLA SERRANO,consultas odontologicas,periodoncias,2007-01-01,11,11
VILLA TUNARI,consultas odontologicas,periodoncias,2007-01-01,87,87
VILLAZON,consultas odontologicas,periodoncias,2007-01-01,74,74
VINTO,consultas odontologicas,periodoncias,2007-01-01,25,25
VITICHI,consultas odontologicas,periodoncias,2007-01-01,2,2
WARNES,consultas odontologicas,periodoncias,2007-01-01,24,24
YACO,consultas odontologicas,periodoncias,2007-01-01,1,1
YACUIBA,consultas odontologicas,periodoncias,2007-01-01,33,33
YAPACANI,consultas odontologicas,periodoncias,2007-01-01,2,2
YOCALLA,consultas odontologicas,periodoncias,2007-01-01,5,5
YUNCHARA,consultas odontologicas,periodoncias,2007-01-01,17,17
ACACIO,consultas odontologicas,periodoncias,2007-02-01,4,4
ACHACACHI,consultas odontologicas,periodoncias,2007-02-01,8,8
AIQUILE,consultas odontologicas,periodoncias,2007-02-01,66,66
ALALAY,consultas odontologicas,periodoncias,2007-02-01,21,21
ALCALA,consultas odontologicas,periodoncias,2007-02-01,137,137
ANCORAIMES,consultas odontologicas,periodoncias,2007-02-01,18,18
ANDAMARCA,consultas odontologicas,periodoncias,2007-02-01,1,1
ANZALDO,consultas odontologicas,periodoncias,2007-02-01,5,5
ARAMPAMPA,consultas odontologicas,periodoncias,2007-02-01,1,1
ARANI,consultas odontologicas,periodoncias,2007-02-01,9,9
ARBIETO,consultas odontologicas,periodoncias,2007-02-01,3,3
ARQUE,consultas odontologicas,periodoncias,2007-02-01,6,6
ATOCHA,consultas odontologicas,periodoncias,2007-02-01,25,25
AUCAPATA,consultas odontologicas,periodoncias,2007-02-01,2,2
AYO AYO,consultas odontologicas,periodoncias,2007-02-01,1,1
BATALLAS,consultas odontologicas,periodoncias,2007-02-01,1,1
BAURES,consultas odontologicas,periodoncias,2007-02-01,4,4
BERMEJO,consultas odontologicas,periodoncias,2007-02-01,18,18
BOYUIBE,consultas odontologicas,periodoncias,2007-02-01,25,25
BUENA VISTA,consultas odontologicas,periodoncias,2007-02-01,4,4
CABEZAS,consultas odontologicas,periodoncias,2007-02-01,3,3
CAIROMA,consultas odontologicas,periodoncias,2007-02-01,1,1
"CAIZA ""D""",consultas odontologicas,periodoncias,2007-02-01,2,2
CAJUATA,consultas odontologicas,periodoncias,2007-02-01,2,2
CALAMARCA,consultas odontologicas,periodoncias,2007-02-01,1,1
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,periodoncias,2007-02-01,4,4
CAMIRI,consultas odontologicas,periodoncias,2007-02-01,225,225
CAPINOTA,consultas odontologicas,periodoncias,2007-02-01,17,17
CAQUIAVIRI,consultas odontologicas,periodoncias,2007-02-01,4,4
CARACOLLO,consultas odontologicas,periodoncias,2007-02-01,7,7
CARANAVI,consultas odontologicas,periodoncias,2007-02-01,3,3
CARAPARI,consultas odontologicas,periodoncias,2007-02-01,79,79
CARIPUYO,consultas odontologicas,periodoncias,2007-02-01,3,3
CHALLAPATA,consultas odontologicas,periodoncias,2007-02-01,7,7
CHARAGUA,consultas odontologicas,periodoncias,2007-02-01,1,1
CHUMA,consultas odontologicas,periodoncias,2007-02-01,1,1
CLIZA,consultas odontologicas,periodoncias,2007-02-01,11,11
COBIJA,consultas odontologicas,periodoncias,2007-02-01,141,141
COCHABAMBA,consultas odontologicas,periodoncias,2007-02-01,667,667
COLCAPIRHUA,consultas odontologicas,periodoncias,2007-02-01,13,13
COLOMI,consultas odontologicas,periodoncias,2007-02-01,5,5
COLPA BELGICA,consultas odontologicas,periodoncias,2007-02-01,28,28
COMARAPA,consultas odontologicas,periodoncias,2007-02-01,25,25
CONCEPCION,consultas odontologicas,periodoncias,2007-02-01,18,18
CORIPATA,consultas odontologicas,periodoncias,2007-02-01,4,4
COROICO,consultas odontologicas,periodoncias,2007-02-01,11,11
CORQUE,consultas odontologicas,periodoncias,2007-02-01,6,6
COTAGAITA,consultas odontologicas,periodoncias,2007-02-01,37,37
COTOCA,consultas odontologicas,periodoncias,2007-02-01,9,9
CUCHUMUELA (V. G. VILLARROEL),consultas odontologicas,periodoncias,2007-02-01,1,1
EL ALTO,consultas odontologicas,periodoncias,2007-02-01,374,374
EL PUENTE(STC),consultas odontologicas,periodoncias,2007-02-01,1,1
EL PUENTE(TJA),consultas odontologicas,periodoncias,2007-02-01,2,2
EL TORNO,consultas odontologicas,periodoncias,2007-02-01,2,2
EL VILLAR,consultas odontologicas,periodoncias,2007-02-01,126,126
ENTRE RIOS,consultas odontologicas,periodoncias,2007-02-01,2,2
ENTRE RIOS,consultas odontologicas,periodoncias,2007-02-01,22,22
EXALTACION,consultas odontologicas,periodoncias,2007-02-01,10,10
FERNANDEZ ALONSO,consultas odontologicas,periodoncias,2007-02-01,14,14
GENERAL SAAVEDRA,consultas odontologicas,periodoncias,2007-02-01,1,1
GUANAY,consultas odontologicas,periodoncias,2007-02-01,4,4
GUAQUI,consultas odontologicas,periodoncias,2007-02-01,1,1
GUAYARAMERIN,consultas odontologicas,periodoncias,2007-02-01,24,24
GUTIERREZ,consultas odontologicas,periodoncias,2007-02-01,13,13
HUANUNI,consultas odontologicas,periodoncias,2007-02-01,12,12
HUARACAJE,consultas odontologicas,periodoncias,2007-02-01,21,21
HUAYLLAMARCA,consultas odontologicas,periodoncias,2007-02-01,3,3
ICHOCA,consultas odontologicas,periodoncias,2007-02-01,10,10
IRUPANA (VILLA DE LANZA),consultas odontologicas,periodoncias,2007-02-01,5,5
IXIAMAS,consultas odontologicas,periodoncias,2007-02-01,6,6
JESUS DE MACHACA,consultas odontologicas,periodoncias,2007-02-01,4,4
LA ASUNTA,consultas odontologicas,periodoncias,2007-02-01,12,12
LA GUARDIA,consultas odontologicas,periodoncias,2007-02-01,27,27
LA PAZ,consultas odontologicas,periodoncias,2007-02-01,1153,1153
LAGUNILLAS,consultas odontologicas,periodoncias,2007-02-01,3,3
LLALLAGUA,consultas odontologicas,periodoncias,2007-02-01,14,14
LORETO,consultas odontologicas,periodoncias,2007-02-01,54,54
LURIBAY,consultas odontologicas,periodoncias,2007-02-01,49,49
MACHACAMARCA,consultas odontologicas,periodoncias,2007-02-01,5,5
MACHARETI,consultas odontologicas,periodoncias,2007-02-01,3,3
MAGDALENA,consultas odontologicas,periodoncias,2007-02-01,5,5
MAIRANA,consultas odontologicas,periodoncias,2007-02-01,25,25
MAPIRI,consultas odontologicas,periodoncias,2007-02-01,42,42
MECAPACA,consultas odontologicas,periodoncias,2007-02-01,2,2
MINEROS,consultas odontologicas,periodoncias,2007-02-01,10,10
MIZQUE,consultas odontologicas,periodoncias,2007-02-01,23,23
MOCOMOCO,consultas odontologicas,periodoncias,2007-02-01,5,5
MOJOCOYA,consultas odontologicas,periodoncias,2007-02-01,1,1
MONTERO,consultas odontologicas,periodoncias,2007-02-01,259,259
MOROCHATA,consultas odontologicas,periodoncias,2007-02-01,2,2
OKINAWA,consultas odontologicas,periodoncias,2007-02-01,12,12
OMEREQUE,consultas odontologicas,periodoncias,2007-02-01,62,62
ORURO,consultas odontologicas,periodoncias,2007-02-01,239,239
PADCAYA,consultas odontologicas,periodoncias,2007-02-01,101,101
PADILLA,consultas odontologicas,periodoncias,2007-02-01,6,6
PAILON,consultas odontologicas,periodoncias,2007-02-01,5,5
PALCA,consultas odontologicas,periodoncias,2007-02-01,1,1
PALOS BLANCOS,consultas odontologicas,periodoncias,2007-02-01,1,1
PAMPA AULLAGAS,consultas odontologicas,periodoncias,2007-02-01,3,3
PAMPA GRANDE,consultas odontologicas,periodoncias,2007-02-01,4,4
PAPEL PAMPA,consultas odontologicas,periodoncias,2007-02-01,8,8
PASORAPA,consultas odontologicas,periodoncias,2007-02-01,133,133
PATACAMAYA,consultas odontologicas,periodoncias,2007-02-01,8,8
PAZÑA,consultas odontologicas,periodoncias,2007-02-01,5,5
POCOATA,consultas odontologicas,periodoncias,2007-02-01,5,5
POJO (CBBA),consultas odontologicas,periodoncias,2007-02-01,12,12
POOPO,consultas odontologicas,periodoncias,2007-02-01,2,2
PORONGO,consultas odontologicas,periodoncias,2007-02-01,8,8
PORTACHUELO,consultas odontologicas,periodoncias,2007-02-01,19,19
PORVENIR,consultas odontologicas,periodoncias,2007-02-01,1,1
POTOSI,consultas odontologicas,periodoncias,2007-02-01,71,71
PUCARA,consultas odontologicas,periodoncias,2007-02-01,5,5
PUCARANI,consultas odontologicas,periodoncias,2007-02-01,13,13
PUERTO ACOSTA,consultas odontologicas,periodoncias,2007-02-01,22,22
PUERTO CARABUCO,consultas odontologicas,periodoncias,2007-02-01,3,3
PUERTO QUIJARRO,consultas odontologicas,periodoncias,2007-02-01,1,1
PUERTO RICO,consultas odontologicas,periodoncias,2007-02-01,1,1
PUERTO SUAREZ,consultas odontologicas,periodoncias,2007-02-01,26,26
PUERTO VILLARROEL,consultas odontologicas,periodoncias,2007-02-01,4,4
PUNATA,consultas odontologicas,periodoncias,2007-02-01,148,148
QUILLACOLLO,consultas odontologicas,periodoncias,2007-02-01,71,71
QUIME,consultas odontologicas,periodoncias,2007-02-01,46,46
RAVELO,consultas odontologicas,periodoncias,2007-02-01,5,5
REYES,consultas odontologicas,periodoncias,2007-02-01,5,5
RIBERALTA,consultas odontologicas,periodoncias,2007-02-01,17,17
ROBORE,consultas odontologicas,periodoncias,2007-02-01,40,40
RURRENABAQUE,consultas odontologicas,periodoncias,2007-02-01,12,12
SABAYA,consultas odontologicas,periodoncias,2007-02-01,9,9
SACABA,consultas odontologicas,periodoncias,2007-02-01,64,64
SAMAIPATA,consultas odontologicas,periodoncias,2007-02-01,16,16
SAN AGUSTIN,consultas odontologicas,periodoncias,2007-02-01,2,2
SAN BENITO,consultas odontologicas,periodoncias,2007-02-01,8,8
SAN BORJA,consultas odontologicas,periodoncias,2007-02-01,18,18
SAN CARLOS,consultas odontologicas,periodoncias,2007-02-01,27,27
SAN IGNACIO,consultas odontologicas,periodoncias,2007-02-01,113,113
SAN IGNACIO DE VELASCO,consultas odontologicas,periodoncias,2007-02-01,13,13
SAN JAVIER(STC),consultas odontologicas,periodoncias,2007-02-01,10,10
SAN JOSE DE CHIQUITOS,consultas odontologicas,periodoncias,2007-02-01,36,36
SAN JUAN DE YAPACANI,consultas odontologicas,periodoncias,2007-02-01,8,8
SAN JULIAN,consultas odontologicas,periodoncias,2007-02-01,1,1
SAN LORENZO(TJA),consultas odontologicas,periodoncias,2007-02-01,88,88
SAN MIGUEL DE VELASCO,consultas odontologicas,periodoncias,2007-02-01,19,19
SAN PEDRO DE BUENA VISTA,consultas odontologicas,periodoncias,2007-02-01,2,2
SAN PEDRO DE CURAHUARA,consultas odontologicas,periodoncias,2007-02-01,3,3
SAN RAFAEL,consultas odontologicas,periodoncias,2007-02-01,13,13
SAN RAMON,consultas odontologicas,periodoncias,2007-02-01,6,6
SANTA ANA,consultas odontologicas,periodoncias,2007-02-01,54,54
SANTA CRUZ DE LA SIERRA,consultas odontologicas,periodoncias,2007-02-01,769,769
SANTA ROSA,consultas odontologicas,periodoncias,2007-02-01,3,3
SANTA ROSA DEL SARA,consultas odontologicas,periodoncias,2007-02-01,18,18
SANTIAGO DE HUARI,consultas odontologicas,periodoncias,2007-02-01,8,8
SANTIVAÑES,consultas odontologicas,periodoncias,2007-02-01,3,3
SANTUARIO DE QUILLACAS,consultas odontologicas,periodoncias,2007-02-01,1,1
SAPAHAQUI,consultas odontologicas,periodoncias,2007-02-01,12,12
SENA,consultas odontologicas,periodoncias,2007-02-01,2,2
SICA SICA (VILLA AROMA),consultas odontologicas,periodoncias,2007-02-01,30,30
SICAYA,consultas odontologicas,periodoncias,2007-02-01,11,11
SIPE SIPE,consultas odontologicas,periodoncias,2007-02-01,31,31
SORACACHI,consultas odontologicas,periodoncias,2007-02-01,2,2
SUCRE,consultas odontologicas,periodoncias,2007-02-01,327,327
TACOPAYA,consultas odontologicas,periodoncias,2007-02-01,214,214
TAPACARI,consultas odontologicas,periodoncias,2007-02-01,5,5
TARABUCO,consultas odontologicas,periodoncias,2007-02-01,1,1
TARATA,consultas odontologicas,periodoncias,2007-02-01,17,17
TARIJA,consultas odontologicas,periodoncias,2007-02-01,98,98
TARVITA,consultas odontologicas,periodoncias,2007-02-01,3,3
TIPUANI,consultas odontologicas,periodoncias,2007-02-01,3,3
TIQUIPAYA,consultas odontologicas,periodoncias,2007-02-01,41,41
TIRAQUE (CBBA),consultas odontologicas,periodoncias,2007-02-01,109,109
TOLATA,consultas odontologicas,periodoncias,2007-02-01,6,6
TOMINA,consultas odontologicas,periodoncias,2007-02-01,16,16
TORO TORO,consultas odontologicas,periodoncias,2007-02-01,1,1
TOTORA(CBBA),consultas odontologicas,periodoncias,2007-02-01,1,1
TRIGAL,consultas odontologicas,periodoncias,2007-02-01,6,6
TRINIDAD,consultas odontologicas,periodoncias,2007-02-01,42,42
TUPIZA,consultas odontologicas,periodoncias,2007-02-01,10,10
TURCO,consultas odontologicas,periodoncias,2007-02-01,2,2
UNCIA,consultas odontologicas,periodoncias,2007-02-01,13,13
URIONDO (A. CONCEPCION),consultas odontologicas,periodoncias,2007-02-01,5,5
URUBICHA,consultas odontologicas,periodoncias,2007-02-01,1,1
UYUNI,consultas odontologicas,periodoncias,2007-02-01,25,25
VACAS,consultas odontologicas,periodoncias,2007-02-01,2,2
VALLEGRANDE,consultas odontologicas,periodoncias,2007-02-01,6,6
VIACHA,consultas odontologicas,periodoncias,2007-02-01,6,6
VILLA MONTES,consultas odontologicas,periodoncias,2007-02-01,36,36
VILLA RIVERO,consultas odontologicas,periodoncias,2007-02-01,291,291
VILLA SERRANO,consultas odontologicas,periodoncias,2007-02-01,2,2
VILLA TUNARI,consultas odontologicas,periodoncias,2007-02-01,136,136
VILLA VACA GUZMAN (MUYUPAMPA),consultas odontologicas,periodoncias,2007-02-01,69,69
VILLAZON,consultas odontologicas,periodoncias,2007-02-01,38,38
VINTO,consultas odontologicas,periodoncias,2007-02-01,5,5
WARNES,consultas odontologicas,periodoncias,2007-02-01,12,12
YACUIBA,consultas odontologicas,periodoncias,2007-02-01,30,30
YAMPARAEZ,consultas odontologicas,periodoncias,2007-02-01,2,2
YAPACANI,consultas odontologicas,periodoncias,2007-02-01,3,3
YOCALLA,consultas odontologicas,periodoncias,2007-02-01,10,10
YUNCHARA,consultas odontologicas,periodoncias,2007-02-01,5,5
ACACIO,consultas odontologicas,periodoncias,2007-03-01,2,2
ACHACACHI,consultas odontologicas,periodoncias,2007-03-01,6,6
AIQUILE,consultas odontologicas,periodoncias,2007-03-01,758,758
ALCALA,consultas odontologicas,periodoncias,2007-03-01,132,132
ANCORAIMES,consultas odontologicas,periodoncias,2007-03-01,54,54
ANDAMARCA,consultas odontologicas,periodoncias,2007-03-01,1,1
ANZALDO,consultas odontologicas,periodoncias,2007-03-01,5,5
ARAMPAMPA,consultas odontologicas,periodoncias,2007-03-01,4,4
ARANI,consultas odontologicas,periodoncias,2007-03-01,20,20
ARQUE,consultas odontologicas,periodoncias,2007-03-01,27,27
ASCENCION DE GUARAYOS,consultas odontologicas,periodoncias,2007-03-01,1,1
ATOCHA,consultas odontologicas,periodoncias,2007-03-01,35,35
AZURDUY,consultas odontologicas,periodoncias,2007-03-01,12,12
BAURES,consultas odontologicas,periodoncias,2007-03-01,2,2
BERMEJO,consultas odontologicas,periodoncias,2007-03-01,49,49
BETANZOS,consultas odontologicas,periodoncias,2007-03-01,1,1
BOLIVAR,consultas odontologicas,periodoncias,2007-03-01,160,160
BUENA VISTA,consultas odontologicas,periodoncias,2007-03-01,4,4
CABEZAS,consultas odontologicas,periodoncias,2007-03-01,46,46
