municipality,group,variable,month,Primeras consultas,TOTAL
CORO CORO,consultas odontologicas,primeras consultas,2007-01-01,66,66
COROICO,consultas odontologicas,primeras consultas,2007-01-01,54,54
CORQUE,consultas odontologicas,primeras consultas,2007-01-01,102,102
COTAGAITA,consultas odontologicas,primeras consultas,2007-01-01,174,174
COTOCA,consultas odontologicas,primeras consultas,2007-01-01,96,96
CUCHUMUELA (V. G. VILLARROEL),consultas odontologicas,primeras consultas,2007-01-01,7,7
CUEVO,consultas odontologicas,primeras consultas,2007-01-01,87,87
CULPINA,consultas odontologicas,primeras consultas,2007-01-01,94,94
CURAHUARA DE CARANGAS,consultas odontologicas,primeras consultas,2007-01-01,23,23
CURVA,consultas odontologicas,primeras consultas,2007-01-01,33,33
DESAGUADERO,consultas odontologicas,primeras consultas,2007-01-01,15,15
EL ALTO,consultas odontologicas,primeras consultas,2007-01-01,8338,8338
EL PUENTE(STC),consultas odontologicas,primeras consultas,2007-01-01,3,3
EL PUENTE(TJA),consultas odontologicas,primeras consultas,2007-01-01,172,172
EL TORNO,consultas odontologicas,primeras consultas,2007-01-01,249,249
EL VILLAR,consultas odontologicas,primeras consultas,2007-01-01,22,22
ENTRE RIOS,consultas odontologicas,primeras consultas,2007-01-01,147,147
ENTRE RIOS,consultas odontologicas,primeras consultas,2007-01-01,347,347
GRAL. J.J. PEREZ (CHARAZANI),consultas odontologicas,primeras consultas,2007-01-01,127,127
GUANAY,consultas odontologicas,primeras consultas,2007-01-01,127,127
GUAQUI,consultas odontologicas,primeras consultas,2007-01-01,159,159
GUAYARAMERIN,consultas odontologicas,primeras consultas,2007-01-01,338,338
GUTIERREZ,consultas odontologicas,primeras consultas,2007-01-01,109,109
HUACARETA,consultas odontologicas,primeras consultas,2007-01-01,29,29
HUACHACALLA,consultas odontologicas,primeras consultas,2007-01-01,58,58
HUANUNI,consultas odontologicas,primeras consultas,2007-01-01,191,191
HUAYLLAMARCA,consultas odontologicas,primeras consultas,2007-01-01,43,43
ICHOCA,consultas odontologicas,primeras consultas,2007-01-01,100,100
ICLA,consultas odontologicas,primeras consultas,2007-01-01,158,158
INCAHUASI,consultas odontologicas,primeras consultas,2007-01-01,133,133
INQUISIVI,consultas odontologicas,primeras consultas,2007-01-01,78,78
IRUPANA (VILLA DE LANZA),consultas odontologicas,primeras consultas,2007-01-01,155,155
IXIAMAS,consultas odontologicas,primeras consultas,2007-01-01,55,55
JESUS DE MACHACA,consultas odontologicas,primeras consultas,2007-01-01,135,135
LA ASUNTA,consultas odontologicas,primeras consultas,2007-01-01,88,88
LA GUARDIA,consultas odontologicas,primeras consultas,2007-01-01,116,116
LA PAZ,consultas odontologicas,primeras consultas,2007-01-01,6417,6417
LAGUNILLAS,consultas odontologicas,primeras consultas,2007-01-01,175,175
LAJA,consultas odontologicas,primeras consultas,2007-01-01,146,146
LLALLAGUA,consultas odontologicas,primeras consultas,2007-01-01,457,457
LLICA,consultas odontologicas,primeras consultas,2007-01-01,50,50
LURIBAY,consultas odontologicas,primeras consultas,2007-01-01,89,89
MACHACAMARCA,consultas odontologicas,primeras consultas,2007-01-01,3,3
MACHARETI,consultas odontologicas,primeras consultas,2007-01-01,58,58
MAIRANA,consultas odontologicas,primeras consultas,2007-01-01,54,54
MALLA,consultas odontologicas,primeras consultas,2007-01-01,26,26
MAPIRI,consultas odontologicas,primeras consultas,2007-01-01,140,140
MECAPACA,consultas odontologicas,primeras consultas,2007-01-01,6,6
MINEROS,consultas odontologicas,primeras consultas,2007-01-01,63,63
MIZQUE,consultas odontologicas,primeras consultas,2007-01-01,32,32
MOCOMOCO,consultas odontologicas,primeras consultas,2007-01-01,46,46
MOJOCOYA,consultas odontologicas,primeras consultas,2007-01-01,75,75
MONTEAGUDO,consultas odontologicas,primeras consultas,2007-01-01,5,5
MONTERO,consultas odontologicas,primeras consultas,2007-01-01,291,291
MORO MORO,consultas odontologicas,primeras consultas,2007-01-01,47,47
MOROCHATA,consultas odontologicas,primeras consultas,2007-01-01,56,56
OCURI,consultas odontologicas,primeras consultas,2007-01-01,55,55
OKINAWA,consultas odontologicas,primeras consultas,2007-01-01,11,11
OMEREQUE,consultas odontologicas,primeras consultas,2007-01-01,5,5
ORURO,consultas odontologicas,primeras consultas,2007-01-01,2024,2024
PADCAYA,consultas odontologicas,primeras consultas,2007-01-01,353,353
PADILLA,consultas odontologicas,primeras consultas,2007-01-01,80,80
PAILON,consultas odontologicas,primeras consultas,2007-01-01,83,83
PALCA,consultas odontologicas,primeras consultas,2007-01-01,71,71
PALOS BLANCOS,consultas odontologicas,primeras consultas,2007-01-01,198,198
PAMPA AULLAGAS,consultas odontologicas,primeras consultas,2007-01-01,83,83
PAPEL PAMPA,consultas odontologicas,primeras consultas,2007-01-01,4,4
PASORAPA,consultas odontologicas,primeras consultas,2007-01-01,47,47
PATACAMAYA,consultas odontologicas,primeras consultas,2007-01-01,69,69
PAZÑA,consultas odontologicas,primeras consultas,2007-01-01,62,62
PELECHUCO,consultas odontologicas,primeras consultas,2007-01-01,100,100
POJO (CBBA),consultas odontologicas,primeras consultas,2007-01-01,62,62
POOPO,consultas odontologicas,primeras consultas,2007-01-01,19,19
POROMA,consultas odontologicas,primeras consultas,2007-01-01,37,37
PORONGO,consultas odontologicas,primeras consultas,2007-01-01,28,28
PORTACHUELO,consultas odontologicas,primeras consultas,2007-01-01,271,271
POSTRER VALLE,consultas odontologicas,primeras consultas,2007-01-01,58,58
POTOSI,consultas odontologicas,primeras consultas,2007-01-01,730,730
PRESTO,consultas odontologicas,primeras consultas,2007-01-01,49,49
PUCARANI,consultas odontologicas,primeras consultas,2007-01-01,186,186
PUERTO ACOSTA,consultas odontologicas,primeras consultas,2007-01-01,252,252
PUERTO CARABUCO,consultas odontologicas,primeras consultas,2007-01-01,229,229
PUERTO GONZALO MORENO,consultas odontologicas,primeras consultas,2007-01-01,101,101
PUERTO QUIJARRO,consultas odontologicas,primeras consultas,2007-01-01,177,177
PUERTO RICO,consultas odontologicas,primeras consultas,2007-01-01,67,67
PUERTO VILLARROEL,consultas odontologicas,primeras consultas,2007-01-01,114,114
PUNA,consultas odontologicas,primeras consultas,2007-01-01,153,153
PUNATA,consultas odontologicas,primeras consultas,2007-01-01,136,136
QUIABAYA,consultas odontologicas,primeras consultas,2007-01-01,24,24
QUILLACOLLO,consultas odontologicas,primeras consultas,2007-01-01,1412,1412
QUIME,consultas odontologicas,primeras consultas,2007-01-01,146,146
QUIRUSILLAS,consultas odontologicas,primeras consultas,2007-01-01,18,18
RIBERALTA,consultas odontologicas,primeras consultas,2007-01-01,55,55
SABAYA,consultas odontologicas,primeras consultas,2007-01-01,32,32
SACABA,consultas odontologicas,primeras consultas,2007-01-01,539,539
SACABAMBA,consultas odontologicas,primeras consultas,2007-01-01,13,13
SACACA,consultas odontologicas,primeras consultas,2007-01-01,43,43
SAIPINA,consultas odontologicas,primeras consultas,2007-01-01,237,237
SALINAS DE GARCI MENDOZA,consultas odontologicas,primeras consultas,2007-01-01,244,244
SAMAIPATA,consultas odontologicas,primeras consultas,2007-01-01,82,82
SAN ANDRES,consultas odontologicas,primeras consultas,2007-01-01,102,102
SAN ANDRES DE MACHACA,consultas odontologicas,primeras consultas,2007-01-01,56,56
SAN ANTONIO DE LOMERIO,consultas odontologicas,primeras consultas,2007-01-01,65,65
SAN BENITO,consultas odontologicas,primeras consultas,2007-01-01,12,12
SAN BORJA,consultas odontologicas,primeras consultas,2007-01-01,148,148
SAN BUENA VENTURA,consultas odontologicas,primeras consultas,2007-01-01,50,50
SAN CARLOS,consultas odontologicas,primeras consultas,2007-01-01,275,275
SAN IGNACIO DE VELASCO,consultas odontologicas,primeras consultas,2007-01-01,420,420
SAN JAVIER(STC),consultas odontologicas,primeras consultas,2007-01-01,407,407
SAN JOSE DE CHIQUITOS,consultas odontologicas,primeras consultas,2007-01-01,103,103
SAN JUAN DE YAPACANI,consultas odontologicas,primeras consultas,2007-01-01,148,148
SAN LORENZO(TJA),consultas odontologicas,primeras consultas,2007-01-01,228,228
SAN LUCAS,consultas odontologicas,primeras consultas,2007-01-01,57,57
SAN MIGUEL DE VELASCO,consultas odontologicas,primeras consultas,2007-01-01,85,85
SAN PEDRO DE BUENA VISTA,consultas odontologicas,primeras consultas,2007-01-01,152,152
SAN PEDRO DE TIQUINA,consultas odontologicas,primeras consultas,2007-01-01,95,95
SAN RAFAEL,consultas odontologicas,primeras consultas,2007-01-01,164,164
SAN RAMON,consultas odontologicas,primeras consultas,2007-01-01,63,63
SANTA ANA,consultas odontologicas,primeras consultas,2007-01-01,192,192
SANTA CRUZ DE LA SIERRA,consultas odontologicas,primeras consultas,2007-01-01,7699,7699
SANTA ROSA DEL SARA,consultas odontologicas,primeras consultas,2007-01-01,446,446
SANTIAGO DE CALLAPA,consultas odontologicas,primeras consultas,2007-01-01,104,104
SANTIAGO DE MACHACA,consultas odontologicas,primeras consultas,2007-01-01,31,31
SANTUARIO DE QUILLACAS,consultas odontologicas,primeras consultas,2007-01-01,146,146
SICA SICA (VILLA AROMA),consultas odontologicas,primeras consultas,2007-01-01,121,121
SICAYA,consultas odontologicas,primeras consultas,2007-01-01,79,79
SIPE SIPE,consultas odontologicas,primeras consultas,2007-01-01,266,266
SOPACHUY,consultas odontologicas,primeras consultas,2007-01-01,249,249
SORACACHI,consultas odontologicas,primeras consultas,2007-01-01,2,2
SORATA,consultas odontologicas,primeras consultas,2007-01-01,92,92
SUCRE,consultas odontologicas,primeras consultas,2007-01-01,3346,3346
TAPACARI,consultas odontologicas,primeras consultas,2007-01-01,19,19
TARABUCO,consultas odontologicas,primeras consultas,2007-01-01,825,825
TARATA,consultas odontologicas,primeras consultas,2007-01-01,30,30
TARIJA,consultas odontologicas,primeras consultas,2007-01-01,1374,1374
TEOPONTE,consultas odontologicas,primeras consultas,2007-01-01,42,42
TIAWANACU,consultas odontologicas,primeras consultas,2007-01-01,179,179
TIPUANI,consultas odontologicas,primeras consultas,2007-01-01,88,88
TIQUIPAYA,consultas odontologicas,primeras consultas,2007-01-01,222,222
TIRAQUE (CBBA),consultas odontologicas,primeras consultas,2007-01-01,108,108
TOCO,consultas odontologicas,primeras consultas,2007-01-01,40,40
TOLATA,consultas odontologicas,primeras consultas,2007-01-01,88,88
TOLEDO,consultas odontologicas,primeras consultas,2007-01-01,31,31
TOMAVE,consultas odontologicas,primeras consultas,2007-01-01,89,89
TOMINA,consultas odontologicas,primeras consultas,2007-01-01,15,15
TORO TORO,consultas odontologicas,primeras consultas,2007-01-01,57,57
TOTORA(CBBA),consultas odontologicas,primeras consultas,2007-01-01,108,108
TOTORA(ORR),consultas odontologicas,primeras consultas,2007-01-01,143,143
TRINIDAD,consultas odontologicas,primeras consultas,2007-01-01,554,554
TUPIZA,consultas odontologicas,primeras consultas,2007-01-01,215,215
TURCO,consultas odontologicas,primeras consultas,2007-01-01,231,231
UMALA,consultas odontologicas,primeras consultas,2007-01-01,81,81
UNCIA,consultas odontologicas,primeras consultas,2007-01-01,77,77
URIONDO (A. CONCEPCION),consultas odontologicas,primeras consultas,2007-01-01,145,145
URUBICHA,consultas odontologicas,primeras consultas,2007-01-01,1,1
UYUNI,consultas odontologicas,primeras consultas,2007-01-01,222,222
VACAS,consultas odontologicas,primeras consultas,2007-01-01,95,95
VIACHA,consultas odontologicas,primeras consultas,2007-01-01,40,40
VILLA MONTES,consultas odontologicas,primeras consultas,2007-01-01,565,565
VILLA SERRANO,consultas odontologicas,primeras consultas,2007-01-01,55,55
VILLA TUNARI,consultas odontologicas,primeras consultas,2007-01-01,219,219
VILLA VACA GUZMAN (MUYUPAMPA),consultas odontologicas,primeras consultas,2007-01-01,31,31
VILLAZON,consultas odontologicas,primeras consultas,2007-01-01,296,296
VINTO,consultas odontologicas,primeras consultas,2007-01-01,74,74
WALDO BALLIVIAN,consultas odontologicas,primeras consultas,2007-01-01,24,24
YACO,consultas odontologicas,primeras consultas,2007-01-01,73,73
YACUIBA,consultas odontologicas,primeras consultas,2007-01-01,560,560
YAMPARAEZ,consultas odontologicas,primeras consultas,2007-01-01,46,46
YANACACHI,consultas odontologicas,primeras consultas,2007-01-01,89,89
YOCALLA,consultas odontologicas,primeras consultas,2007-01-01,41,41
YOTALA,consultas odontologicas,primeras consultas,2007-01-01,195,195
YUNCHARA,consultas odontologicas,primeras consultas,2007-01-01,134,134
ZUDAÑEZ,consultas odontologicas,primeras consultas,2007-01-01,54,54
ACACIO,consultas odontologicas,primeras consultas,2007-02-01,278,278
ACHACACHI,consultas odontologicas,primeras consultas,2007-02-01,286,286
AIQUILE,consultas odontologicas,primeras consultas,2007-02-01,114,114
ANCORAIMES,consultas odontologicas,primeras consultas,2007-02-01,79,79
ANDAMARCA,consultas odontologicas,primeras consultas,2007-02-01,100,100
ANTEQUERA,consultas odontologicas,primeras consultas,2007-02-01,21,21
ANZALDO,consultas odontologicas,primeras consultas,2007-02-01,55,55
APOLO,consultas odontologicas,primeras consultas,2007-02-01,111,111
ARAMPAMPA,consultas odontologicas,primeras consultas,2007-02-01,12,12
ARANI,consultas odontologicas,primeras consultas,2007-02-01,1712,1712
ARBIETO,consultas odontologicas,primeras consultas,2007-02-01,56,56
ARQUE,consultas odontologicas,primeras consultas,2007-02-01,70,70
ASCENCION DE GUARAYOS,consultas odontologicas,primeras consultas,2007-02-01,75,75
ATOCHA,consultas odontologicas,primeras consultas,2007-02-01,669,669
AUCAPATA,consultas odontologicas,primeras consultas,2007-02-01,14,14
AYATA,consultas odontologicas,primeras consultas,2007-02-01,66,66
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,primeras consultas,2007-02-01,435,435
AZURDUY,consultas odontologicas,primeras consultas,2007-02-01,990,990
BATALLAS,consultas odontologicas,primeras consultas,2007-02-01,98,98
BELEN DE ANDAMARCA,consultas odontologicas,primeras consultas,2007-02-01,15,15
BERMEJO,consultas odontologicas,primeras consultas,2007-02-01,232,232
BETANZOS,consultas odontologicas,primeras consultas,2007-02-01,80,80
BOYUIBE,consultas odontologicas,primeras consultas,2007-02-01,524,524
CABEZAS,consultas odontologicas,primeras consultas,2007-02-01,146,146
CAIROMA,consultas odontologicas,primeras consultas,2007-02-01,60,60
"CAIZA ""D""",consultas odontologicas,primeras consultas,2007-02-01,244,244
CAJUATA,consultas odontologicas,primeras consultas,2007-02-01,26,26
CALACOTO,consultas odontologicas,primeras consultas,2007-02-01,27,27
CALAMARCA,consultas odontologicas,primeras consultas,2007-02-01,62,62
CAMARGO,consultas odontologicas,primeras consultas,2007-02-01,167,167
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,primeras consultas,2007-02-01,32,32
CAMIRI,consultas odontologicas,primeras consultas,2007-02-01,792,792
CAPINOTA,consultas odontologicas,primeras consultas,2007-02-01,21,21
CAQUIAVIRI,consultas odontologicas,primeras consultas,2007-02-01,54,54
CARACOLLO,consultas odontologicas,primeras consultas,2007-02-01,135,135
CARANAVI,consultas odontologicas,primeras consultas,2007-02-01,246,246
CARAPARI,consultas odontologicas,primeras consultas,2007-02-01,367,367
CARIPUYO,consultas odontologicas,primeras consultas,2007-02-01,109,109
CHALLAPATA,consultas odontologicas,primeras consultas,2007-02-01,121,121
CHAQUI,consultas odontologicas,primeras consultas,2007-02-01,30,30
CHARAGUA,consultas odontologicas,primeras consultas,2007-02-01,200,200
CHARAÑA,consultas odontologicas,primeras consultas,2007-02-01,17,17
CHAYANTA,consultas odontologicas,primeras consultas,2007-02-01,263,263
CHIMORE,consultas odontologicas,primeras consultas,2007-02-01,72,72
CHULUMANI (V. DE LA LIBERTAD),consultas odontologicas,primeras consultas,2007-02-01,214,214
CHUMA,consultas odontologicas,primeras consultas,2007-02-01,248,248
CLIZA,consultas odontologicas,primeras consultas,2007-02-01,64,64
COBIJA,consultas odontologicas,primeras consultas,2007-02-01,265,265
COCHABAMBA,consultas odontologicas,primeras consultas,2007-02-01,2729,2729
COIPASA,consultas odontologicas,primeras consultas,2007-02-01,2,2
COLCAPIRHUA,consultas odontologicas,primeras consultas,2007-02-01,71,71
COLOMI,consultas odontologicas,primeras consultas,2007-02-01,78,78
COLPA BELGICA,consultas odontologicas,primeras consultas,2007-02-01,197,197
COLQUENCHA,consultas odontologicas,primeras consultas,2007-02-01,77,77
COLQUIRI,consultas odontologicas,primeras consultas,2007-02-01,20,20
COMARAPA,consultas odontologicas,primeras consultas,2007-02-01,80,80
CONCEPCION,consultas odontologicas,primeras consultas,2007-02-01,2,2
COPACABANA,consultas odontologicas,primeras consultas,2007-02-01,137,137
CORIPATA,consultas odontologicas,primeras consultas,2007-02-01,64,64
CORO CORO,consultas odontologicas,primeras consultas,2007-02-01,57,57
COROICO,consultas odontologicas,primeras consultas,2007-02-01,20,20
CORQUE,consultas odontologicas,primeras consultas,2007-02-01,16,16
COTAGAITA,consultas odontologicas,primeras consultas,2007-02-01,196,196
COTOCA,consultas odontologicas,primeras consultas,2007-02-01,95,95
CUCHUMUELA (V. G. VILLARROEL),consultas odontologicas,primeras consultas,2007-02-01,62,62
CUEVO,consultas odontologicas,primeras consultas,2007-02-01,151,151
CULPINA,consultas odontologicas,primeras consultas,2007-02-01,77,77
CURAHUARA DE CARANGAS,consultas odontologicas,primeras consultas,2007-02-01,21,21
CURVA,consultas odontologicas,primeras consultas,2007-02-01,160,160
DESAGUADERO,consultas odontologicas,primeras consultas,2007-02-01,17,17
EL ALTO,consultas odontologicas,primeras consultas,2007-02-01,5596,5596
EL PUENTE(STC),consultas odontologicas,primeras consultas,2007-02-01,9,9
EL PUENTE(TJA),consultas odontologicas,primeras consultas,2007-02-01,58,58
EL TORNO,consultas odontologicas,primeras consultas,2007-02-01,174,174
ENTRE RIOS,consultas odontologicas,primeras consultas,2007-02-01,38,38
ENTRE RIOS,consultas odontologicas,primeras consultas,2007-02-01,591,591
ESMERALDA,consultas odontologicas,primeras consultas,2007-02-01,2,2
EXALTACION,consultas odontologicas,primeras consultas,2007-02-01,151,151
FILADELFIA,consultas odontologicas,primeras consultas,2007-02-01,4,4
GRAL. J.J. PEREZ (CHARAZANI),consultas odontologicas,primeras consultas,2007-02-01,81,81
GUANAY,consultas odontologicas,primeras consultas,2007-02-01,72,72
GUAQUI,consultas odontologicas,primeras consultas,2007-02-01,135,135
GUAYARAMERIN,consultas odontologicas,primeras consultas,2007-02-01,19,19
GUTIERREZ,consultas odontologicas,primeras consultas,2007-02-01,65,65
HUACARETA,consultas odontologicas,primeras consultas,2007-02-01,29,29
HUACHACALLA,consultas odontologicas,primeras consultas,2007-02-01,35,35
HUANUNI,consultas odontologicas,primeras consultas,2007-02-01,341,341
HUAYLLAMARCA,consultas odontologicas,primeras consultas,2007-02-01,41,41
ICHOCA,consultas odontologicas,primeras consultas,2007-02-01,221,221
ICLA,consultas odontologicas,primeras consultas,2007-02-01,679,679
INCAHUASI,consultas odontologicas,primeras consultas,2007-02-01,667,667
INQUISIVI,consultas odontologicas,primeras consultas,2007-02-01,97,97
IRUPANA (VILLA DE LANZA),consultas odontologicas,primeras consultas,2007-02-01,106,106
IXIAMAS,consultas odontologicas,primeras consultas,2007-02-01,38,38
JESUS DE MACHACA,consultas odontologicas,primeras consultas,2007-02-01,116,116
LA ASUNTA,consultas odontologicas,primeras consultas,2007-02-01,103,103
LA GUARDIA,consultas odontologicas,primeras consultas,2007-02-01,167,167
LA PAZ,consultas odontologicas,primeras consultas,2007-02-01,6222,6222
LAGUNILLAS,consultas odontologicas,primeras consultas,2007-02-01,98,98
LAJA,consultas odontologicas,primeras consultas,2007-02-01,137,137
LLALLAGUA,consultas odontologicas,primeras consultas,2007-02-01,365,365
LLICA,consultas odontologicas,primeras consultas,2007-02-01,92,92
LORETO,consultas odontologicas,primeras consultas,2007-02-01,7,7
LURIBAY,consultas odontologicas,primeras consultas,2007-02-01,193,193
MACHACAMARCA,consultas odontologicas,primeras consultas,2007-02-01,57,57
MACHARETI,consultas odontologicas,primeras consultas,2007-02-01,61,61
MAIRANA,consultas odontologicas,primeras consultas,2007-02-01,43,43
MALLA,consultas odontologicas,primeras consultas,2007-02-01,23,23
MAPIRI,consultas odontologicas,primeras consultas,2007-02-01,299,299
MECAPACA,consultas odontologicas,primeras consultas,2007-02-01,3,3
MINEROS,consultas odontologicas,primeras consultas,2007-02-01,41,41
MIZQUE,consultas odontologicas,primeras consultas,2007-02-01,66,66
MOCOMOCO,consultas odontologicas,primeras consultas,2007-02-01,317,317
MOJOCOYA,consultas odontologicas,primeras consultas,2007-02-01,68,68
MONTEAGUDO,consultas odontologicas,primeras consultas,2007-02-01,36,36
MONTERO,consultas odontologicas,primeras consultas,2007-02-01,282,282
MORO MORO,consultas odontologicas,primeras consultas,2007-02-01,46,46
MOROCHATA,consultas odontologicas,primeras consultas,2007-02-01,28,28
OKINAWA,consultas odontologicas,primeras consultas,2007-02-01,11,11
OMEREQUE,consultas odontologicas,primeras consultas,2007-02-01,6,6
ORURO,consultas odontologicas,primeras consultas,2007-02-01,2130,2130
PADCAYA,consultas odontologicas,primeras consultas,2007-02-01,726,726
PADILLA,consultas odontologicas,primeras consultas,2007-02-01,52,52
PAILON,consultas odontologicas,primeras consultas,2007-02-01,70,70
PALCA,consultas odontologicas,primeras consultas,2007-02-01,46,46
PALOS BLANCOS,consultas odontologicas,primeras consultas,2007-02-01,241,241
PAMPA AULLAGAS,consultas odontologicas,primeras consultas,2007-02-01,25,25
PAMPA GRANDE,consultas odontologicas,primeras consultas,2007-02-01,270,270
PAPEL PAMPA,consultas odontologicas,primeras consultas,2007-02-01,11,11
PASORAPA,consultas odontologicas,primeras consultas,2007-02-01,225,225
PATACAMAYA,consultas odontologicas,primeras consultas,2007-02-01,71,71
PAZÑA,consultas odontologicas,primeras consultas,2007-02-01,24,24
PELECHUCO,consultas odontologicas,primeras consultas,2007-02-01,205,205
POJO (CBBA),consultas odontologicas,primeras consultas,2007-02-01,40,40
POOPO,consultas odontologicas,primeras consultas,2007-02-01,2,2
POROMA,consultas odontologicas,primeras consultas,2007-02-01,29,29
PORONGO,consultas odontologicas,primeras consultas,2007-02-01,55,55
PORTACHUELO,consultas odontologicas,primeras consultas,2007-02-01,283,283
POSTRER VALLE,consultas odontologicas,primeras consultas,2007-02-01,58,58
POTOSI,consultas odontologicas,primeras consultas,2007-02-01,1178,1178
PRESTO,consultas odontologicas,primeras consultas,2007-02-01,20,20
PUCARANI,consultas odontologicas,primeras consultas,2007-02-01,159,159
PUERTO ACOSTA,consultas odontologicas,primeras consultas,2007-02-01,247,247
PUERTO CARABUCO,consultas odontologicas,primeras consultas,2007-02-01,92,92
PUERTO GONZALO MORENO,consultas odontologicas,primeras consultas,2007-02-01,19,19
PUERTO PEREZ,consultas odontologicas,primeras consultas,2007-02-01,92,92
PUERTO QUIJARRO,consultas odontologicas,primeras consultas,2007-02-01,255,255
PUERTO RICO,consultas odontologicas,primeras consultas,2007-02-01,53,53
PUERTO SILES,consultas odontologicas,primeras consultas,2007-02-01,74,74
PUERTO SUAREZ,consultas odontologicas,primeras consultas,2007-02-01,16,16
PUERTO VILLARROEL,consultas odontologicas,primeras consultas,2007-02-01,118,118
PUNA,consultas odontologicas,primeras consultas,2007-02-01,50,50
PUNATA,consultas odontologicas,primeras consultas,2007-02-01,103,103
QUIABAYA,consultas odontologicas,primeras consultas,2007-02-01,39,39
QUILLACOLLO,consultas odontologicas,primeras consultas,2007-02-01,574,574
QUIME,consultas odontologicas,primeras consultas,2007-02-01,269,269
QUIRUSILLAS,consultas odontologicas,primeras consultas,2007-02-01,24,24
RAVELO,consultas odontologicas,primeras consultas,2007-02-01,47,47
RIBERALTA,consultas odontologicas,primeras consultas,2007-02-01,43,43
