municipality,group,variable,month,Cirugia maxilo Faciales,TOTAL
CHULUMANI (V. DE LA LIBERTAD),consultas odontologicas,cirugia maxilo faciales,2007-05-01,1,1
COCHABAMBA,consultas odontologicas,cirugia maxilo faciales,2007-05-01,54,54
COLQUIRI,consultas odontologicas,cirugia maxilo faciales,2007-05-01,1,1
COTAGAITA,consultas odontologicas,cirugia maxilo faciales,2007-05-01,5,5
EL ALTO,consultas odontologicas,cirugia maxilo faciales,2007-05-01,9,9
JESUS DE MACHACA,consultas odontologicas,cirugia maxilo faciales,2007-05-01,2,2
LA PAZ,consultas odontologicas,cirugia maxilo faciales,2007-05-01,53,53
LLALLAGUA,consultas odontologicas,cirugia maxilo faciales,2007-05-01,3,3
ORURO,consultas odontologicas,cirugia maxilo faciales,2007-05-01,21,21
POTOSI,consultas odontologicas,cirugia maxilo faciales,2007-05-01,8,8
SAN BUENA VENTURA,consultas odontologicas,cirugia maxilo faciales,2007-05-01,1,1
SANTA CRUZ DE LA SIERRA,consultas odontologicas,cirugia maxilo faciales,2007-05-01,266,266
SORATA,consultas odontologicas,cirugia maxilo faciales,2007-05-01,1,1
SUCRE,consultas odontologicas,cirugia maxilo faciales,2007-05-01,28,28
TARACO,consultas odontologicas,cirugia maxilo faciales,2007-05-01,8,8
TIAWANACU,consultas odontologicas,cirugia maxilo faciales,2007-05-01,4,4
TOTORA(CBBA),consultas odontologicas,cirugia maxilo faciales,2007-05-01,2,2
UNCIA,consultas odontologicas,cirugia maxilo faciales,2007-05-01,11,11
VILLA TUNARI,consultas odontologicas,cirugia maxilo faciales,2007-05-01,1,1
APOLO,consultas odontologicas,cirugia maxilo faciales,2007-06-01,8,8
ATOCHA,consultas odontologicas,cirugia maxilo faciales,2007-06-01,1,1
COBIJA,consultas odontologicas,cirugia maxilo faciales,2007-06-01,1,1
COCHABAMBA,consultas odontologicas,cirugia maxilo faciales,2007-06-01,28,28
COLQUECHACA,consultas odontologicas,cirugia maxilo faciales,2007-06-01,2,2
COTAGAITA,consultas odontologicas,cirugia maxilo faciales,2007-06-01,3,3
EL ALTO,consultas odontologicas,cirugia maxilo faciales,2007-06-01,23,23
GUAYARAMERIN,consultas odontologicas,cirugia maxilo faciales,2007-06-01,3,3
JESUS DE MACHACA,consultas odontologicas,cirugia maxilo faciales,2007-06-01,1,1
LA PAZ,consultas odontologicas,cirugia maxilo faciales,2007-06-01,49,49
LLALLAGUA,consultas odontologicas,cirugia maxilo faciales,2007-06-01,1,1
ORURO,consultas odontologicas,cirugia maxilo faciales,2007-06-01,17,17
POTOSI,consultas odontologicas,cirugia maxilo faciales,2007-06-01,5,5
RIBERALTA,consultas odontologicas,cirugia maxilo faciales,2007-06-01,44,44
SAN IGNACIO,consultas odontologicas,cirugia maxilo faciales,2007-06-01,2,2
SAN JULIAN,consultas odontologicas,cirugia maxilo faciales,2007-06-01,1,1
SANTA CRUZ DE LA SIERRA,consultas odontologicas,cirugia maxilo faciales,2007-06-01,224,224
SORATA,consultas odontologicas,cirugia maxilo faciales,2007-06-01,1,1
SUCRE,consultas odontologicas,cirugia maxilo faciales,2007-06-01,12,12
TARACO,consultas odontologicas,cirugia maxilo faciales,2007-06-01,7,7
TIAWANACU,consultas odontologicas,cirugia maxilo faciales,2007-06-01,11,11
TUPIZA,consultas odontologicas,cirugia maxilo faciales,2007-06-01,2,2
UNCIA,consultas odontologicas,cirugia maxilo faciales,2007-06-01,11,11
UYUNI,consultas odontologicas,cirugia maxilo faciales,2007-06-01,1,1
VILLA TUNARI,consultas odontologicas,cirugia maxilo faciales,2007-06-01,3,3
ATOCHA,consultas odontologicas,cirugia maxilo faciales,2007-07-01,1,1
BETANZOS,consultas odontologicas,cirugia maxilo faciales,2007-07-01,40,40
CHULUMANI (V. DE LA LIBERTAD),consultas odontologicas,cirugia maxilo faciales,2007-07-01,1,1
COCHABAMBA,consultas odontologicas,cirugia maxilo faciales,2007-07-01,28,28
COLQUIRI,consultas odontologicas,cirugia maxilo faciales,2007-07-01,1,1
COTAGAITA,consultas odontologicas,cirugia maxilo faciales,2007-07-01,2,2
JESUS DE MACHACA,consultas odontologicas,cirugia maxilo faciales,2007-07-01,1,1
LA PAZ,consultas odontologicas,cirugia maxilo faciales,2007-07-01,18,18
LLALLAGUA,consultas odontologicas,cirugia maxilo faciales,2007-07-01,3,3
ORURO,consultas odontologicas,cirugia maxilo faciales,2007-07-01,25,25
PADCAYA,consultas odontologicas,cirugia maxilo faciales,2007-07-01,1,1
POTOSI,consultas odontologicas,cirugia maxilo faciales,2007-07-01,2,2
SAN IGNACIO,consultas odontologicas,cirugia maxilo faciales,2007-07-01,10,10
SAN JULIAN,consultas odontologicas,cirugia maxilo faciales,2007-07-01,2,2
SANTA CRUZ DE LA SIERRA,consultas odontologicas,cirugia maxilo faciales,2007-07-01,208,208
SORATA,consultas odontologicas,cirugia maxilo faciales,2007-07-01,2,2
SUCRE,consultas odontologicas,cirugia maxilo faciales,2007-07-01,19,19
TACACOMA,consultas odontologicas,cirugia maxilo faciales,2007-07-01,1,1
TIAWANACU,consultas odontologicas,cirugia maxilo faciales,2007-07-01,5,5
TUPIZA,consultas odontologicas,cirugia maxilo faciales,2007-07-01,1,1
UYUNI,consultas odontologicas,cirugia maxilo faciales,2007-07-01,1,1
VILLA TUNARI,consultas odontologicas,cirugia maxilo faciales,2007-07-01,1,1
APOLO,consultas odontologicas,cirugia maxilo faciales,2007-08-01,1,1
CHULUMANI (V. DE LA LIBERTAD),consultas odontologicas,cirugia maxilo faciales,2007-08-01,2,2
COCHABAMBA,consultas odontologicas,cirugia maxilo faciales,2007-08-01,22,22
EL ALTO,consultas odontologicas,cirugia maxilo faciales,2007-08-01,3,3
LA PAZ,consultas odontologicas,cirugia maxilo faciales,2007-08-01,56,56
ORURO,consultas odontologicas,cirugia maxilo faciales,2007-08-01,25,25
POTOSI,consultas odontologicas,cirugia maxilo faciales,2007-08-01,11,11
SAN JULIAN,consultas odontologicas,cirugia maxilo faciales,2007-08-01,2,2
SANTA CRUZ DE LA SIERRA,consultas odontologicas,cirugia maxilo faciales,2007-08-01,279,279
SORATA,consultas odontologicas,cirugia maxilo faciales,2007-08-01,1,1
SUCRE,consultas odontologicas,cirugia maxilo faciales,2007-08-01,214,214
TACACOMA,consultas odontologicas,cirugia maxilo faciales,2007-08-01,2,2
TARIJA,consultas odontologicas,cirugia maxilo faciales,2007-08-01,14,14
TIAWANACU,consultas odontologicas,cirugia maxilo faciales,2007-08-01,11,11
APOLO,consultas odontologicas,cirugia maxilo faciales,2007-09-01,2,2
CAQUIAVIRI,consultas odontologicas,cirugia maxilo faciales,2007-09-01,3,3
COCHABAMBA,consultas odontologicas,cirugia maxilo faciales,2007-09-01,31,31
EL ALTO,consultas odontologicas,cirugia maxilo faciales,2007-09-01,2,2
IXIAMAS,consultas odontologicas,cirugia maxilo faciales,2007-09-01,12,12
LA ASUNTA,consultas odontologicas,cirugia maxilo faciales,2007-09-01,2,2
LA PAZ,consultas odontologicas,cirugia maxilo faciales,2007-09-01,48,48
LLALLAGUA,consultas odontologicas,cirugia maxilo faciales,2007-09-01,5,5
ORURO,consultas odontologicas,cirugia maxilo faciales,2007-09-01,2,2
POTOSI,consultas odontologicas,cirugia maxilo faciales,2007-09-01,1,1
PUCARANI,consultas odontologicas,cirugia maxilo faciales,2007-09-01,1,1
SACABA,consultas odontologicas,cirugia maxilo faciales,2007-09-01,1,1
SAN JULIAN,consultas odontologicas,cirugia maxilo faciales,2007-09-01,3,3
SAN PEDRO DE TIQUINA,consultas odontologicas,cirugia maxilo faciales,2007-09-01,2,2
SANTA CRUZ DE LA SIERRA,consultas odontologicas,cirugia maxilo faciales,2007-09-01,30,30
SUCRE,consultas odontologicas,cirugia maxilo faciales,2007-09-01,15,15
TARIJA,consultas odontologicas,cirugia maxilo faciales,2007-09-01,2,2
TIAWANACU,consultas odontologicas,cirugia maxilo faciales,2007-09-01,10,10
TOTORA(CBBA),consultas odontologicas,cirugia maxilo faciales,2007-09-01,5,5
TRINIDAD,consultas odontologicas,cirugia maxilo faciales,2007-09-01,1,1
UYUNI,consultas odontologicas,cirugia maxilo faciales,2007-09-01,3,3
VILLA TUNARI,consultas odontologicas,cirugia maxilo faciales,2007-09-01,1,1
ACACIO,consultas odontologicas,cirugia maxilo faciales,2007-10-01,1,1
BETANZOS,consultas odontologicas,cirugia maxilo faciales,2007-10-01,3,3
CALAMARCA,consultas odontologicas,cirugia maxilo faciales,2007-10-01,3,3
CAQUIAVIRI,consultas odontologicas,cirugia maxilo faciales,2007-10-01,1,1
CHALLAPATA,consultas odontologicas,cirugia maxilo faciales,2007-10-01,1,1
CHULUMANI (V. DE LA LIBERTAD),consultas odontologicas,cirugia maxilo faciales,2007-10-01,2,2
CHUMA,consultas odontologicas,cirugia maxilo faciales,2007-10-01,4,4
COCHABAMBA,consultas odontologicas,cirugia maxilo faciales,2007-10-01,31,31
COLCAPIRHUA,consultas odontologicas,cirugia maxilo faciales,2007-10-01,1,1
CORIPATA,consultas odontologicas,cirugia maxilo faciales,2007-10-01,2,2
EL ALTO,consultas odontologicas,cirugia maxilo faciales,2007-10-01,6,6
IXIAMAS,consultas odontologicas,cirugia maxilo faciales,2007-10-01,11,11
LA PAZ,consultas odontologicas,cirugia maxilo faciales,2007-10-01,8,8
LLALLAGUA,consultas odontologicas,cirugia maxilo faciales,2007-10-01,5,5
ORURO,consultas odontologicas,cirugia maxilo faciales,2007-10-01,15,15
PATACAMAYA,consultas odontologicas,cirugia maxilo faciales,2007-10-01,1,1
POTOSI,consultas odontologicas,cirugia maxilo faciales,2007-10-01,5,5
REYES,consultas odontologicas,cirugia maxilo faciales,2007-10-01,1,1
SAN BORJA,consultas odontologicas,cirugia maxilo faciales,2007-10-01,15,15
SAN PEDRO DE TIQUINA,consultas odontologicas,cirugia maxilo faciales,2007-10-01,1,1
SANTA CRUZ DE LA SIERRA,consultas odontologicas,cirugia maxilo faciales,2007-10-01,48,48
SUCRE,consultas odontologicas,cirugia maxilo faciales,2007-10-01,18,18
TARIJA,consultas odontologicas,cirugia maxilo faciales,2007-10-01,3,3
TIAWANACU,consultas odontologicas,cirugia maxilo faciales,2007-10-01,5,5
TIPUANI,consultas odontologicas,cirugia maxilo faciales,2007-10-01,1,1
TUPIZA,consultas odontologicas,cirugia maxilo faciales,2007-10-01,1,1
UYUNI,consultas odontologicas,cirugia maxilo faciales,2007-10-01,1,1
VILLA TUNARI,consultas odontologicas,cirugia maxilo faciales,2007-10-01,1,1
CAPINOTA,consultas odontologicas,cirugia maxilo faciales,2007-11-01,4,4
CAQUIAVIRI,consultas odontologicas,cirugia maxilo faciales,2007-11-01,3,3
COCHABAMBA,consultas odontologicas,cirugia maxilo faciales,2007-11-01,23,23
CORIPATA,consultas odontologicas,cirugia maxilo faciales,2007-11-01,2,2
EL ALTO,consultas odontologicas,cirugia maxilo faciales,2007-11-01,6,6
HUARACAJE,consultas odontologicas,cirugia maxilo faciales,2007-11-01,6,6
IXIAMAS,consultas odontologicas,cirugia maxilo faciales,2007-11-01,8,8
LA PAZ,consultas odontologicas,cirugia maxilo faciales,2007-11-01,17,17
LLALLAGUA,consultas odontologicas,cirugia maxilo faciales,2007-11-01,3,3
MAGDALENA,consultas odontologicas,cirugia maxilo faciales,2007-11-01,3,3
ORURO,consultas odontologicas,cirugia maxilo faciales,2007-11-01,14,14
PATACAMAYA,consultas odontologicas,cirugia maxilo faciales,2007-11-01,1,1
POTOSI,consultas odontologicas,cirugia maxilo faciales,2007-11-01,8,8
PUCARANI,consultas odontologicas,cirugia maxilo faciales,2007-11-01,7,7
QUIME,consultas odontologicas,cirugia maxilo faciales,2007-11-01,1,1
RIBERALTA,consultas odontologicas,cirugia maxilo faciales,2007-11-01,2,2
SACABA,consultas odontologicas,cirugia maxilo faciales,2007-11-01,27,27
SACACA,consultas odontologicas,cirugia maxilo faciales,2007-11-01,2,2
SAN PEDRO DE TIQUINA,consultas odontologicas,cirugia maxilo faciales,2007-11-01,1,1
SANTA CRUZ DE LA SIERRA,consultas odontologicas,cirugia maxilo faciales,2007-11-01,31,31
SUCRE,consultas odontologicas,cirugia maxilo faciales,2007-11-01,13,13
TAHUA,consultas odontologicas,cirugia maxilo faciales,2007-11-01,21,21
TARIJA,consultas odontologicas,cirugia maxilo faciales,2007-11-01,7,7
TIAWANACU,consultas odontologicas,cirugia maxilo faciales,2007-11-01,4,4
UYUNI,consultas odontologicas,cirugia maxilo faciales,2007-11-01,1,1
YACUIBA,consultas odontologicas,cirugia maxilo faciales,2007-11-01,1,1
YUNCHARA,consultas odontologicas,cirugia maxilo faciales,2007-11-01,7,7
AIQUILE,consultas odontologicas,cirugia maxilo faciales,2007-12-01,2,2
CAPINOTA,consultas odontologicas,cirugia maxilo faciales,2007-12-01,2,2
CAQUIAVIRI,consultas odontologicas,cirugia maxilo faciales,2007-12-01,1,1
CHULUMANI (V. DE LA LIBERTAD),consultas odontologicas,cirugia maxilo faciales,2007-12-01,1,1
CHUMA,consultas odontologicas,cirugia maxilo faciales,2007-12-01,2,2
COCHABAMBA,consultas odontologicas,cirugia maxilo faciales,2007-12-01,19,19
CORIPATA,consultas odontologicas,cirugia maxilo faciales,2007-12-01,8,8
EL ALTO,consultas odontologicas,cirugia maxilo faciales,2007-12-01,10,10
HUANUNI,consultas odontologicas,cirugia maxilo faciales,2007-12-01,2,2
IXIAMAS,consultas odontologicas,cirugia maxilo faciales,2007-12-01,2,2
LA PAZ,consultas odontologicas,cirugia maxilo faciales,2007-12-01,11,11
ORURO,consultas odontologicas,cirugia maxilo faciales,2007-12-01,8,8
POTOSI,consultas odontologicas,cirugia maxilo faciales,2007-12-01,1,1
SAN BUENA VENTURA,consultas odontologicas,cirugia maxilo faciales,2007-12-01,2,2
SANTA CRUZ DE LA SIERRA,consultas odontologicas,cirugia maxilo faciales,2007-12-01,18,18
SUCRE,consultas odontologicas,cirugia maxilo faciales,2007-12-01,7,7
TIAWANACU,consultas odontologicas,cirugia maxilo faciales,2007-12-01,4,4
UYUNI,consultas odontologicas,cirugia maxilo faciales,2007-12-01,2,2
YACUIBA,consultas odontologicas,cirugia maxilo faciales,2007-12-01,5,5
