municipality,group,variable,month,Acciones preventivas,TOTAL
HUACARETA,consultas odontologicas,acciones preventivas,2007-01-01,238,238
HUACHACALLA,consultas odontologicas,acciones preventivas,2007-01-01,4,4
HUANUNI,consultas odontologicas,acciones preventivas,2007-01-01,195,195
HUARACAJE,consultas odontologicas,acciones preventivas,2007-01-01,39,39
HUAYLLAMARCA,consultas odontologicas,acciones preventivas,2007-01-01,7,7
ICHOCA,consultas odontologicas,acciones preventivas,2007-01-01,46,46
ICLA,consultas odontologicas,acciones preventivas,2007-01-01,197,197
INCAHUASI,consultas odontologicas,acciones preventivas,2007-01-01,80,80
INQUISIVI,consultas odontologicas,acciones preventivas,2007-01-01,12,12
IRUPANA (VILLA DE LANZA),consultas odontologicas,acciones preventivas,2007-01-01,63,63
IXIAMAS,consultas odontologicas,acciones preventivas,2007-01-01,43,43
JESUS DE MACHACA,consultas odontologicas,acciones preventivas,2007-01-01,34,34
LA ASUNTA,consultas odontologicas,acciones preventivas,2007-01-01,34,34
LA GUARDIA,consultas odontologicas,acciones preventivas,2007-01-01,35,35
LA PAZ,consultas odontologicas,acciones preventivas,2007-01-01,2824,2824
LAGUNILLAS,consultas odontologicas,acciones preventivas,2007-01-01,88,88
LAJA,consultas odontologicas,acciones preventivas,2007-01-01,5,5
LLALLAGUA,consultas odontologicas,acciones preventivas,2007-01-01,238,238
LLICA,consultas odontologicas,acciones preventivas,2007-01-01,4,4
MACHACAMARCA,consultas odontologicas,acciones preventivas,2007-01-01,33,33
MACHARETI,consultas odontologicas,acciones preventivas,2007-01-01,138,138
MAGDALENA,consultas odontologicas,acciones preventivas,2007-01-01,8,8
MAIRANA,consultas odontologicas,acciones preventivas,2007-01-01,35,35
MAPIRI,consultas odontologicas,acciones preventivas,2007-01-01,101,101
MECAPACA,consultas odontologicas,acciones preventivas,2007-01-01,7,7
MIZQUE,consultas odontologicas,acciones preventivas,2007-01-01,4,4
MOJOCOYA,consultas odontologicas,acciones preventivas,2007-01-01,22,22
MONTEAGUDO,consultas odontologicas,acciones preventivas,2007-01-01,80,80
MONTERO,consultas odontologicas,acciones preventivas,2007-01-01,494,494
MORO MORO,consultas odontologicas,acciones preventivas,2007-01-01,4,4
MOROCHATA,consultas odontologicas,acciones preventivas,2007-01-01,67,67
NUEVO MANOA (NUEVA ESPERANZA),consultas odontologicas,acciones preventivas,2007-01-01,70,70
OCURI,consultas odontologicas,acciones preventivas,2007-01-01,13,13
OKINAWA,consultas odontologicas,acciones preventivas,2007-01-01,9,9
OMEREQUE,consultas odontologicas,acciones preventivas,2007-01-01,3,3
ORURO,consultas odontologicas,acciones preventivas,2007-01-01,2176,2176
PADCAYA,consultas odontologicas,acciones preventivas,2007-01-01,49,49
PADILLA,consultas odontologicas,acciones preventivas,2007-01-01,29,29
PAILON,consultas odontologicas,acciones preventivas,2007-01-01,102,102
PALCA,consultas odontologicas,acciones preventivas,2007-01-01,34,34
PALOS BLANCOS,consultas odontologicas,acciones preventivas,2007-01-01,120,120
PAMPA AULLAGAS,consultas odontologicas,acciones preventivas,2007-01-01,4,4
PAPEL PAMPA,consultas odontologicas,acciones preventivas,2007-01-01,5,5
PASORAPA,consultas odontologicas,acciones preventivas,2007-01-01,2,2
PATACAMAYA,consultas odontologicas,acciones preventivas,2007-01-01,49,49
PAZÑA,consultas odontologicas,acciones preventivas,2007-01-01,1,1
PELECHUCO,consultas odontologicas,acciones preventivas,2007-01-01,59,59
POCOATA,consultas odontologicas,acciones preventivas,2007-01-01,49,49
POJO (CBBA),consultas odontologicas,acciones preventivas,2007-01-01,21,21
POOPO,consultas odontologicas,acciones preventivas,2007-01-01,31,31
PORCO,consultas odontologicas,acciones preventivas,2007-01-01,16,16
POROMA,consultas odontologicas,acciones preventivas,2007-01-01,43,43
PORONGO,consultas odontologicas,acciones preventivas,2007-01-01,189,189
PORTACHUELO,consultas odontologicas,acciones preventivas,2007-01-01,274,274
PORVENIR,consultas odontologicas,acciones preventivas,2007-01-01,3,3
POTOSI,consultas odontologicas,acciones preventivas,2007-01-01,660,660
PRESTO,consultas odontologicas,acciones preventivas,2007-01-01,206,206
PUCARA,consultas odontologicas,acciones preventivas,2007-01-01,81,81
PUCARANI,consultas odontologicas,acciones preventivas,2007-01-01,4,4
PUERTO ACOSTA,consultas odontologicas,acciones preventivas,2007-01-01,14,14
PUERTO CARABUCO,consultas odontologicas,acciones preventivas,2007-01-01,12,12
PUERTO GONZALO MORENO,consultas odontologicas,acciones preventivas,2007-01-01,70,70
PUERTO QUIJARRO,consultas odontologicas,acciones preventivas,2007-01-01,42,42
PUERTO SUAREZ,consultas odontologicas,acciones preventivas,2007-01-01,29,29
PUERTO VILLARROEL,consultas odontologicas,acciones preventivas,2007-01-01,48,48
PUNA,consultas odontologicas,acciones preventivas,2007-01-01,111,111
PUNATA,consultas odontologicas,acciones preventivas,2007-01-01,719,719
QUIABAYA,consultas odontologicas,acciones preventivas,2007-01-01,8,8
QUILLACOLLO,consultas odontologicas,acciones preventivas,2007-01-01,393,393
QUIME,consultas odontologicas,acciones preventivas,2007-01-01,264,264
QUIRUSILLAS,consultas odontologicas,acciones preventivas,2007-01-01,10,10
REYES,consultas odontologicas,acciones preventivas,2007-01-01,5,5
RIBERALTA,consultas odontologicas,acciones preventivas,2007-01-01,84,84
ROBORE,consultas odontologicas,acciones preventivas,2007-01-01,386,386
RURRENABAQUE,consultas odontologicas,acciones preventivas,2007-01-01,150,150
SABAYA,consultas odontologicas,acciones preventivas,2007-01-01,6,6
SACABA,consultas odontologicas,acciones preventivas,2007-01-01,398,398
SACABAMBA,consultas odontologicas,acciones preventivas,2007-01-01,24,24
SAIPINA,consultas odontologicas,acciones preventivas,2007-01-01,40,40
SALINAS DE GARCI MENDOZA,consultas odontologicas,acciones preventivas,2007-01-01,71,71
SAMAIPATA,consultas odontologicas,acciones preventivas,2007-01-01,25,25
SAN AGUSTIN,consultas odontologicas,acciones preventivas,2007-01-01,1,1
SAN ANDRES,consultas odontologicas,acciones preventivas,2007-01-01,162,162
SAN ANDRES DE MACHACA,consultas odontologicas,acciones preventivas,2007-01-01,39,39
SAN BENITO,consultas odontologicas,acciones preventivas,2007-01-01,7,7
SAN BORJA,consultas odontologicas,acciones preventivas,2007-01-01,50,50
SAN BUENA VENTURA,consultas odontologicas,acciones preventivas,2007-01-01,5,5
SAN CARLOS,consultas odontologicas,acciones preventivas,2007-01-01,28,28
SAN IGNACIO,consultas odontologicas,acciones preventivas,2007-01-01,190,190
SAN IGNACIO DE VELASCO,consultas odontologicas,acciones preventivas,2007-01-01,758,758
SAN JAVIER(BNI),consultas odontologicas,acciones preventivas,2007-01-01,36,36
SAN JAVIER(STC),consultas odontologicas,acciones preventivas,2007-01-01,262,262
SAN JOAQUIN,consultas odontologicas,acciones preventivas,2007-01-01,137,137
SAN JOSE DE CHIQUITOS,consultas odontologicas,acciones preventivas,2007-01-01,5,5
SAN JUAN DE YAPACANI,consultas odontologicas,acciones preventivas,2007-01-01,13,13
SAN JULIAN,consultas odontologicas,acciones preventivas,2007-01-01,25,25
SAN LORENZO(PND),consultas odontologicas,acciones preventivas,2007-01-01,55,55
SAN LORENZO(TJA),consultas odontologicas,acciones preventivas,2007-01-01,208,208
SAN LUCAS,consultas odontologicas,acciones preventivas,2007-01-01,86,86
SAN MATIAS,consultas odontologicas,acciones preventivas,2007-01-01,11,11
SAN MIGUEL DE VELASCO,consultas odontologicas,acciones preventivas,2007-01-01,33,33
SAN PEDRO DE BUENA VISTA,consultas odontologicas,acciones preventivas,2007-01-01,15,15
SAN PEDRO DE TIQUINA,consultas odontologicas,acciones preventivas,2007-01-01,104,104
SAN RAFAEL,consultas odontologicas,acciones preventivas,2007-01-01,133,133
SAN RAMON,consultas odontologicas,acciones preventivas,2007-01-01,4,4
SAN RAMON,consultas odontologicas,acciones preventivas,2007-01-01,105,105
SANTA ANA,consultas odontologicas,acciones preventivas,2007-01-01,96,96
SANTA CRUZ DE LA SIERRA,consultas odontologicas,acciones preventivas,2007-01-01,3764,3764
SANTA ROSA,consultas odontologicas,acciones preventivas,2007-01-01,30,30
SANTA ROSA DEL SARA,consultas odontologicas,acciones preventivas,2007-01-01,200,200
SANTIAGO DE CALLAPA,consultas odontologicas,acciones preventivas,2007-01-01,44,44
SANTIAGO DE HUARI,consultas odontologicas,acciones preventivas,2007-01-01,18,18
SANTIAGO DE MACHACA,consultas odontologicas,acciones preventivas,2007-01-01,1,1
SANTUARIO DE QUILLACAS,consultas odontologicas,acciones preventivas,2007-01-01,31,31
SAPAHAQUI,consultas odontologicas,acciones preventivas,2007-01-01,142,142
SENA,consultas odontologicas,acciones preventivas,2007-01-01,69,69
SICA SICA (VILLA AROMA),consultas odontologicas,acciones preventivas,2007-01-01,54,54
SICAYA,consultas odontologicas,acciones preventivas,2007-01-01,78,78
SIPE SIPE,consultas odontologicas,acciones preventivas,2007-01-01,413,413
SOPACHUY,consultas odontologicas,acciones preventivas,2007-01-01,56,56
SORACACHI,consultas odontologicas,acciones preventivas,2007-01-01,38,38
SORATA,consultas odontologicas,acciones preventivas,2007-01-01,75,75
SUCRE,consultas odontologicas,acciones preventivas,2007-01-01,2297,2297
TACACOMA,consultas odontologicas,acciones preventivas,2007-01-01,19,19
TAPACARI,consultas odontologicas,acciones preventivas,2007-01-01,9,9
TARABUCO,consultas odontologicas,acciones preventivas,2007-01-01,1162,1162
TARATA,consultas odontologicas,acciones preventivas,2007-01-01,6,6
TARIJA,consultas odontologicas,acciones preventivas,2007-01-01,506,506
TARVITA,consultas odontologicas,acciones preventivas,2007-01-01,128,128
TIPUANI,consultas odontologicas,acciones preventivas,2007-01-01,72,72
TIQUIPAYA,consultas odontologicas,acciones preventivas,2007-01-01,524,524
TIRAQUE (CBBA),consultas odontologicas,acciones preventivas,2007-01-01,317,317
TOCO,consultas odontologicas,acciones preventivas,2007-01-01,7,7
TOLATA,consultas odontologicas,acciones preventivas,2007-01-01,70,70
TOLEDO,consultas odontologicas,acciones preventivas,2007-01-01,11,11
TOMAVE,consultas odontologicas,acciones preventivas,2007-01-01,13,13
TOMINA,consultas odontologicas,acciones preventivas,2007-01-01,383,383
TOTORA(CBBA),consultas odontologicas,acciones preventivas,2007-01-01,86,86
TOTORA(ORR),consultas odontologicas,acciones preventivas,2007-01-01,48,48
TRIGAL,consultas odontologicas,acciones preventivas,2007-01-01,3,3
TRINIDAD,consultas odontologicas,acciones preventivas,2007-01-01,2104,2104
TUPIZA,consultas odontologicas,acciones preventivas,2007-01-01,194,194
TURCO,consultas odontologicas,acciones preventivas,2007-01-01,11,11
UMALA,consultas odontologicas,acciones preventivas,2007-01-01,41,41
URIONDO (A. CONCEPCION),consultas odontologicas,acciones preventivas,2007-01-01,116,116
UYUNI,consultas odontologicas,acciones preventivas,2007-01-01,5,5
VACAS,consultas odontologicas,acciones preventivas,2007-01-01,5,5
VALLEGRANDE,consultas odontologicas,acciones preventivas,2007-01-01,588,588
VIACHA,consultas odontologicas,acciones preventivas,2007-01-01,508,508
VILLA MONTES,consultas odontologicas,acciones preventivas,2007-01-01,64,64
VILLA NUEVA (LOMA ALTA),consultas odontologicas,acciones preventivas,2007-01-01,37,37
VILLA RIVERO,consultas odontologicas,acciones preventivas,2007-01-01,37,37
VILLA SERRANO,consultas odontologicas,acciones preventivas,2007-01-01,23,23
VILLA TUNARI,consultas odontologicas,acciones preventivas,2007-01-01,29,29
VILLA VACA GUZMAN (MUYUPAMPA),consultas odontologicas,acciones preventivas,2007-01-01,107,107
VILLAZON,consultas odontologicas,acciones preventivas,2007-01-01,129,129
VINTO,consultas odontologicas,acciones preventivas,2007-01-01,55,55
VITICHI,consultas odontologicas,acciones preventivas,2007-01-01,1,1
WALDO BALLIVIAN,consultas odontologicas,acciones preventivas,2007-01-01,1,1
WARNES,consultas odontologicas,acciones preventivas,2007-01-01,510,510
YACUIBA,consultas odontologicas,acciones preventivas,2007-01-01,558,558
YAMPARAEZ,consultas odontologicas,acciones preventivas,2007-01-01,45,45
YANACACHI,consultas odontologicas,acciones preventivas,2007-01-01,6,6
YAPACANI,consultas odontologicas,acciones preventivas,2007-01-01,15,15
YOTALA,consultas odontologicas,acciones preventivas,2007-01-01,162,162
YUNCHARA,consultas odontologicas,acciones preventivas,2007-01-01,29,29
ZUDAÑEZ,consultas odontologicas,acciones preventivas,2007-01-01,107,107
ACACIO,consultas odontologicas,acciones preventivas,2007-02-01,101,101
ACHACACHI,consultas odontologicas,acciones preventivas,2007-02-01,168,168
ACHOCALLA,consultas odontologicas,acciones preventivas,2007-02-01,354,354
AIQUILE,consultas odontologicas,acciones preventivas,2007-02-01,98,98
ALALAY,consultas odontologicas,acciones preventivas,2007-02-01,144,144
ALCALA,consultas odontologicas,acciones preventivas,2007-02-01,271,271
ANCORAIMES,consultas odontologicas,acciones preventivas,2007-02-01,86,86
ANDAMARCA,consultas odontologicas,acciones preventivas,2007-02-01,2,2
ANTEQUERA,consultas odontologicas,acciones preventivas,2007-02-01,1,1
ANZALDO,consultas odontologicas,acciones preventivas,2007-02-01,7,7
APOLO,consultas odontologicas,acciones preventivas,2007-02-01,27,27
ARANI,consultas odontologicas,acciones preventivas,2007-02-01,1985,1985
ARBIETO,consultas odontologicas,acciones preventivas,2007-02-01,89,89
ARQUE,consultas odontologicas,acciones preventivas,2007-02-01,1,1
ATOCHA,consultas odontologicas,acciones preventivas,2007-02-01,46,46
AYO AYO,consultas odontologicas,acciones preventivas,2007-02-01,14,14
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,acciones preventivas,2007-02-01,260,260
AZURDUY,consultas odontologicas,acciones preventivas,2007-02-01,1122,1122
BATALLAS,consultas odontologicas,acciones preventivas,2007-02-01,1,1
BERMEJO,consultas odontologicas,acciones preventivas,2007-02-01,112,112
BETANZOS,consultas odontologicas,acciones preventivas,2007-02-01,43,43
BOLPEBRA,consultas odontologicas,acciones preventivas,2007-02-01,47,47
BOYUIBE,consultas odontologicas,acciones preventivas,2007-02-01,416,416
BUENA VISTA,consultas odontologicas,acciones preventivas,2007-02-01,70,70
CABEZAS,consultas odontologicas,acciones preventivas,2007-02-01,73,73
CAIROMA,consultas odontologicas,acciones preventivas,2007-02-01,11,11
"CAIZA ""D""",consultas odontologicas,acciones preventivas,2007-02-01,58,58
CALAMARCA,consultas odontologicas,acciones preventivas,2007-02-01,27,27
CAMARGO,consultas odontologicas,acciones preventivas,2007-02-01,105,105
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,acciones preventivas,2007-02-01,21,21
CAMIRI,consultas odontologicas,acciones preventivas,2007-02-01,673,673
CAPINOTA,consultas odontologicas,acciones preventivas,2007-02-01,51,51
CAQUIAVIRI,consultas odontologicas,acciones preventivas,2007-02-01,19,19
CARACOLLO,consultas odontologicas,acciones preventivas,2007-02-01,44,44
CARANAVI,consultas odontologicas,acciones preventivas,2007-02-01,163,163
CARAPARI,consultas odontologicas,acciones preventivas,2007-02-01,71,71
CARIPUYO,consultas odontologicas,acciones preventivas,2007-02-01,40,40
CHALLAPATA,consultas odontologicas,acciones preventivas,2007-02-01,91,91
CHAQUI,consultas odontologicas,acciones preventivas,2007-02-01,5,5
CHARAGUA,consultas odontologicas,acciones preventivas,2007-02-01,29,29
CHAYANTA,consultas odontologicas,acciones preventivas,2007-02-01,188,188
CHIMORE,consultas odontologicas,acciones preventivas,2007-02-01,27,27
CHULUMANI (V. DE LA LIBERTAD),consultas odontologicas,acciones preventivas,2007-02-01,242,242
CHUMA,consultas odontologicas,acciones preventivas,2007-02-01,71,71
CLIZA,consultas odontologicas,acciones preventivas,2007-02-01,135,135
COBIJA,consultas odontologicas,acciones preventivas,2007-02-01,281,281
COCHABAMBA,consultas odontologicas,acciones preventivas,2007-02-01,6831,6831
COLCAPIRHUA,consultas odontologicas,acciones preventivas,2007-02-01,72,72
"COLCHA ""K""",consultas odontologicas,acciones preventivas,2007-02-01,7,7
COLLANA,consultas odontologicas,acciones preventivas,2007-02-01,8,8
COLOMI,consultas odontologicas,acciones preventivas,2007-02-01,122,122
COLPA BELGICA,consultas odontologicas,acciones preventivas,2007-02-01,180,180
COLQUENCHA,consultas odontologicas,acciones preventivas,2007-02-01,3,3
COLQUIRI,consultas odontologicas,acciones preventivas,2007-02-01,247,247
COMARAPA,consultas odontologicas,acciones preventivas,2007-02-01,57,57
CONCEPCION,consultas odontologicas,acciones preventivas,2007-02-01,72,72
COPACABANA,consultas odontologicas,acciones preventivas,2007-02-01,166,166
CORIPATA,consultas odontologicas,acciones preventivas,2007-02-01,74,74
CORO CORO,consultas odontologicas,acciones preventivas,2007-02-01,3,3
COROICO,consultas odontologicas,acciones preventivas,2007-02-01,33,33
CORQUE,consultas odontologicas,acciones preventivas,2007-02-01,14,14
COTAGAITA,consultas odontologicas,acciones preventivas,2007-02-01,247,247
COTOCA,consultas odontologicas,acciones preventivas,2007-02-01,124,124
CUCHUMUELA (V. G. VILLARROEL),consultas odontologicas,acciones preventivas,2007-02-01,5,5
CUEVO,consultas odontologicas,acciones preventivas,2007-02-01,20,20
CULPINA,consultas odontologicas,acciones preventivas,2007-02-01,19,19
CURAHUARA DE CARANGAS,consultas odontologicas,acciones preventivas,2007-02-01,10,10
CURVA,consultas odontologicas,acciones preventivas,2007-02-01,109,109
DESAGUADERO,consultas odontologicas,acciones preventivas,2007-02-01,1,1
EL ALTO,consultas odontologicas,acciones preventivas,2007-02-01,2761,2761
EL PUENTE(STC),consultas odontologicas,acciones preventivas,2007-02-01,3,3
EL PUENTE(TJA),consultas odontologicas,acciones preventivas,2007-02-01,16,16
EL TORNO,consultas odontologicas,acciones preventivas,2007-02-01,26,26
EL VILLAR,consultas odontologicas,acciones preventivas,2007-02-01,113,113
ENTRE RIOS,consultas odontologicas,acciones preventivas,2007-02-01,175,175
ENTRE RIOS,consultas odontologicas,acciones preventivas,2007-02-01,100,100
EXALTACION,consultas odontologicas,acciones preventivas,2007-02-01,18,18
FILADELFIA,consultas odontologicas,acciones preventivas,2007-02-01,3,3
GENERAL SAAVEDRA,consultas odontologicas,acciones preventivas,2007-02-01,95,95
GRAL. J.J. PEREZ (CHARAZANI),consultas odontologicas,acciones preventivas,2007-02-01,94,94
GUANAY,consultas odontologicas,acciones preventivas,2007-02-01,2,2
GUAQUI,consultas odontologicas,acciones preventivas,2007-02-01,13,13
GUAYARAMERIN,consultas odontologicas,acciones preventivas,2007-02-01,236,236
GUTIERREZ,consultas odontologicas,acciones preventivas,2007-02-01,14,14
HUACARETA,consultas odontologicas,acciones preventivas,2007-02-01,443,443
HUACHACALLA,consultas odontologicas,acciones preventivas,2007-02-01,1,1
HUANUNI,consultas odontologicas,acciones preventivas,2007-02-01,56,56
HUARACAJE,consultas odontologicas,acciones preventivas,2007-02-01,20,20
ICHOCA,consultas odontologicas,acciones preventivas,2007-02-01,146,146
ICLA,consultas odontologicas,acciones preventivas,2007-02-01,589,589
INCAHUASI,consultas odontologicas,acciones preventivas,2007-02-01,143,143
INQUISIVI,consultas odontologicas,acciones preventivas,2007-02-01,42,42
IRUPANA (VILLA DE LANZA),consultas odontologicas,acciones preventivas,2007-02-01,53,53
IXIAMAS,consultas odontologicas,acciones preventivas,2007-02-01,22,22
JESUS DE MACHACA,consultas odontologicas,acciones preventivas,2007-02-01,37,37
LA ASUNTA,consultas odontologicas,acciones preventivas,2007-02-01,38,38
LA GUARDIA,consultas odontologicas,acciones preventivas,2007-02-01,60,60
LA PAZ,consultas odontologicas,acciones preventivas,2007-02-01,2590,2590
LAGUNILLAS,consultas odontologicas,acciones preventivas,2007-02-01,9,9
LAJA,consultas odontologicas,acciones preventivas,2007-02-01,1,1
LLALLAGUA,consultas odontologicas,acciones preventivas,2007-02-01,1855,1855
LLICA,consultas odontologicas,acciones preventivas,2007-02-01,8,8
LORETO,consultas odontologicas,acciones preventivas,2007-02-01,40,40
LURIBAY,consultas odontologicas,acciones preventivas,2007-02-01,38,38
MACHACAMARCA,consultas odontologicas,acciones preventivas,2007-02-01,39,39
MACHARETI,consultas odontologicas,acciones preventivas,2007-02-01,53,53
MAGDALENA,consultas odontologicas,acciones preventivas,2007-02-01,17,17
MAIRANA,consultas odontologicas,acciones preventivas,2007-02-01,18,18
MAPIRI,consultas odontologicas,acciones preventivas,2007-02-01,201,201
MECAPACA,consultas odontologicas,acciones preventivas,2007-02-01,5,5
MINEROS,consultas odontologicas,acciones preventivas,2007-02-01,2,2
MIZQUE,consultas odontologicas,acciones preventivas,2007-02-01,134,134
MOCOMOCO,consultas odontologicas,acciones preventivas,2007-02-01,60,60
MOJOCOYA,consultas odontologicas,acciones preventivas,2007-02-01,97,97
MONTEAGUDO,consultas odontologicas,acciones preventivas,2007-02-01,508,508
MONTERO,consultas odontologicas,acciones preventivas,2007-02-01,57,57
MORO MORO,consultas odontologicas,acciones preventivas,2007-02-01,3,3
MOROCHATA,consultas odontologicas,acciones preventivas,2007-02-01,15,15
OKINAWA,consultas odontologicas,acciones preventivas,2007-02-01,24,24
OMEREQUE,consultas odontologicas,acciones preventivas,2007-02-01,79,79
ORURO,consultas odontologicas,acciones preventivas,2007-02-01,1546,1546
PADCAYA,consultas odontologicas,acciones preventivas,2007-02-01,465,465
PADILLA,consultas odontologicas,acciones preventivas,2007-02-01,17,17
PAILON,consultas odontologicas,acciones preventivas,2007-02-01,63,63
PALCA,consultas odontologicas,acciones preventivas,2007-02-01,238,238
PALOS BLANCOS,consultas odontologicas,acciones preventivas,2007-02-01,166,166
PAMPA AULLAGAS,consultas odontologicas,acciones preventivas,2007-02-01,5,5
PAMPA GRANDE,consultas odontologicas,acciones preventivas,2007-02-01,8,8
PAPEL PAMPA,consultas odontologicas,acciones preventivas,2007-02-01,6,6
