,group,variable,month,PENTAVALENTE 4TA. DOSIS DENTRO,PENTAVALENTE 4TA. DOSIS DENTRO,PENTAVALENTE 4TA. DOSIS FUERA,PENTAVALENTE 4TA. DOSIS FUERA,TOTALES
CHIMORE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,4,1,1,1,7
CHIPAYA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,1,0,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,1,2,0,4
COBIJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,5,4,0,3,12
COCAPATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,0,0,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,71,65,7,8,151
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,2,0,0,3
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,0,1,0,1
COLOMI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,0,2,0,2
COLPA BELGICA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,1,0,0,2
COLQUIRI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,2,1,1,0,4
COMARAPA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,4,4,0,2,10
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,3,2,0,2,7
COPACABANA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,1,0,0,1
CORIPATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,1,0,0,2
COROICO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,1,0,0,1
COTAGAITA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,2,1,0,0,3
COTOCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,9,8,1,0,18
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,0,1,0,1
CULPINA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,0,1,3,4
EL ALTO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,71,68,16,13,168
EL CHORO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,1,0,0,1
EL PUENTE(TJA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,1,0,0,1
EL TORNO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,7,13,0,0,20
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,0,0,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,4,4,2,0,10
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,0,1,0,1
GUANAY,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,0,2,0,2
GUAQUI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,2,1,0,0,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,5,4,11,7,27
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,3,0,0,0,3
HUANUNI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,0,0,0,1
INGAVI (HUMAITA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,0,0,0,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,0,2,0,2
IXIAMAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,2,0,1,0,3
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,4,2,0,0,6
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,11,12,0,0,23
LA PAZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,53,61,21,27,162
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,1,6,4,12
LORETO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,0,2,3,5
LURIBAY,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,0,0,1,1
MACHARETI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,0,0,1,1
MAGDALENA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,0,0,1,1
MAIRANA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,0,1,0,2
MAPIRI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,2,0,0,3
MECAPACA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,1,0,0,2
MINEROS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,2,0,0,0,2
MIZQUE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,2,2,0,0,4
MONTEAGUDO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,2,1,0,0,3
MONTERO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,13,9,9,5,36
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,0,0,2,2
ORURO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,21,18,7,4,50
PADCAYA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,0,0,0,1
PAILON,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,1,2,1,5
PALCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,1,0,0,2
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,3,1,0,0,4
PAMPA AULLAGAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,2,0,0,2
PAPEL PAMPA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,0,0,0,1
PASORAPA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,0,0,1,1
PATACAMAYA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,2,2,0,0,4
POCOATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,1,1,0,2
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,1,0,1,2
PORCO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,0,0,1,1
PORONGO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,2,0,0,2
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,5,0,0,0,5
POTOSI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,15,8,4,2,29
PUCARANI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,0,0,1,2
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,4,5,1,0,10
PUERTO SILES,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,0,0,4,4
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,2,0,0,3
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,2,2,1,0,5
PUNA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,0,0,1,1
PUNATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,2,1,0,0,3
QUIABAYA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,1,1,0,3
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,10,0,6,9,25
REYES,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,1,0,0,2
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,8,5,0,3,16
ROBORE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,1,0,0,1
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,3,2,0,0,5
SACABA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,10,9,10,3,32
SACABAMBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,0,2,0,2
SACACA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,0,0,1,1
SAIPINA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,0,1,0,1
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,1,1,0,2
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,3,0,0,4
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,1,0,0,1
SAN BENITO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,1,0,0,2
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,3,3,2,0,8
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,0,1,0,1
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,1,0,0,2
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,3,3,0,0,6
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,6,5,0,1,12
SAN JAVIER(STC),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,1,2,0,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,7,4,2,2,15
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,2,6,0,1,9
SAN LORENZO(PND),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,1,0,0,1
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,0,0,0,1
SAN LUCAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,3,0,0,4
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,6,0,0,7
SAN PABLO DE LIPEZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,0,0,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,1,2,0,3
SAN PEDRO DE MACHA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,2,0,0,3
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,1,0,0,1
SAN PEDRO(PND),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,0,1,0,1
SAN RAFAEL,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,2,0,0,3
SAN RAMON BENI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,0,1,2,3
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,2,5,0,0,7
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,211,204,8,9,432
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,2,0,0,2
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,1,0,0,1
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,1,0,0,1
SANTIAGO DE HUATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,0,0,0,1
SANTIVAÑES,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,0,0,0,1
SAPAHAQUI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,0,0,0,1
SENA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,2,1,1,1,5
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,2,0,0,0,2
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,1,0,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,1,3,1,6
SORATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,1,0,1,3
SUCRE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,20,23,0,0,43
TARABUCO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,1,0,0,1
TARATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,1,0,0,1
TARIJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,9,11,2,0,22
TARVITA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,1,0,0,1
TEOPONTE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,5,0,0,6
TIPUANI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,0,1,1,2
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,5,3,0,2,10
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,2,0,0,2
TOCO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,1,0,0,2
TOLATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,0,1,0,1
TOLEDO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,0,0,0,1
TOMINA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,1,0,0,2
TORO TORO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,0,2,0,2
TOTORA(CBBA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,3,0,0,3
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,10,8,0,0,18
TUPIZA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,2,4,0,0,6
TURCO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,1,1,0,2
UNCIA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,2,1,0,0,3
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,1,0,0,1
URUBICHA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,0,0,2,3
UYUNI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,3,4,0,0,7
VIACHA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,4,4,0,1,9
VILLA CHARCAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,1,1,1,3
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,2,6,5,1,14
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,0,1,0,1
VILLA RIVERO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,0,0,0,1
VILLA SERRANO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,2,0,0,2
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,11,5,3,0,19
VILLAZON,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,3,0,0,3
VINTO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,2,0,2,0,4
WALDO BALLIVIAN,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,1,0,0,2
WARNES,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,20,18,0,0,38
YACUIBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,5,9,1,3,18
YANACACHI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,2,0,0,0,2
YAPACANI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,2,1,3,2,8
YOCALLA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,1,0,0,1
YUNCHARA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,1,0,0,0,1
ZUDAÑEZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-01-01,0,1,1,0,2
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-02-01,1,1,0,0,2
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-02-01,3,2,0,0,5
AIQUILE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-02-01,0,0,0,5,5
ANDAMARCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-02-01,0,0,1,0,1
ANZALDO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-02-01,1,1,2,4,8
ARAMPAMPA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-02-01,0,0,1,1,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-02-01,8,6,1,1,16
ATOCHA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-02-01,2,1,0,0,3
AYATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-02-01,0,1,0,0,1
AYO AYO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-02-01,1,1,0,0,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-02-01,0,0,0,1,1
BATALLAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-02-01,0,0,0,1,1
BAURES,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-02-01,0,0,1,1,2
BERMEJO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-02-01,1,3,0,0,4
BOLIVAR,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-02-01,0,1,0,0,1
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-02-01,1,0,0,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-02-01,6,5,5,4,20
CAIROMA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-02-01,1,2,2,0,5
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-02-01,1,1,0,0,2
CAJUATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-02-01,1,2,0,0,3
CALAMARCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-02-01,2,0,0,0,2
CAMARGO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-02-01,0,1,1,0,2
CAMIRI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-02-01,4,3,3,0,10
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-02-01,2,1,1,2,6
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-02-01,0,0,4,4,8
CARANAVI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-02-01,3,1,1,0,5
CARAPARI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-02-01,0,2,1,0,3
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-02-01,0,0,2,0,2
CATACORA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-02-01,0,0,0,1,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-02-01,0,2,7,9,18
CHAQUI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-02-01,1,0,1,0,2
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-02-01,2,5,0,1,8
CHAYANTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2022-02-01,1,1,0,0,2
