,group,variable,month,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS FUERA,SRP 1RA. DOSIS FUERA,TOTALES
PADCAYA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,0,1,0,0,1
PAILON,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,0,0,3,1,4
PALCA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,1,0,0,2
PATACAMAYA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,0,1,0,0,1
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,1,0,0,2
POROMA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,0,1,0,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,2,0,0,3
PORVENIR,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,0,0,1,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,5,6,0,0,11
PUERTO RICO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,0,0,1,0,1
PUERTO SILES,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,0,0,0,1,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,0,0,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,0,1,0,0,1
PUNATA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,0,2,0,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,5,3,3,2,13
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,2,0,1,0,3
ROBORE,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,0,1,0,0,1
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,0,0,0,1
SACABA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,5,0,1,7
SACACA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,1,0,0,2
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,1,0,0,2
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,4,1,1,0,6
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,0,0,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,1,0,0,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,1,0,0,2
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,0,1,0,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,1,2,0,4
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,0,0,0,1,1
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,0,1,1,1,3
SAN LORENZO(PND),vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,0,1,0,1,2
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,0,0,0,1
SAN LUCAS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,0,0,1,0,1
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,0,2,0,0,2
SAN PEDRO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,0,1,0,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,0,3,3,7
SAN RAFAEL,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,0,0,2,0,2
SAN RAMON BENI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,0,0,1,0,1
SAN RAMON SCZ,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,0,0,0,1
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,77,77,3,1,158
SENA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,0,0,1,1,2
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,2,0,0,3
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,2,1,0,0,3
SORATA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,0,0,0,1
SUCRE,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,2,2,0,0,4
TARIJA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,1,0,0,2
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,2,1,0,0,3
TOMAVE,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,0,0,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,1,0,0,2
TUPIZA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,0,0,0,1
UNCIA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,1,0,0,2
VIACHA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,3,4,0,0,7
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,2,3,1,1,7
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,2,2,1,0,5
VILLAZON,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,0,1,0,0,1
VINTO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,0,1,3,5
WARNES,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,3,5,0,0,8
YACUIBA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,3,3,0,0,6
YAMPARAEZ,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,0,2,0,0,2
YANACACHI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,1,0,0,2
YAPACANI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,0,0,2,0,2
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,1,1,0,0,2
ARBIETO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,1,2,0,0,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,3,1,0,0,4
BAURES,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,1,0,2,2,5
BERMEJO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,1,0,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,0,4,2,6
CAIROMA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,1,0,0,1
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,1,1,0,0,2
CAJUATA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,1,0,0,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,2,1,0,0,3
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,1,0,1,0,2
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,0,1,1,2
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,2,2,0,0,4
CHIMORE,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,1,1,0,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,2,0,0,0,2
CLIZA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,1,0,0,0,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,1,3,1,3,8
COCAPATA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,0,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,27,34,5,3,69
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,1,0,0,0,1
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,0,0,1,1
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,1,2,2,5
COROICO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,2,0,0,0,2
COTOCA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,5,0,1,6
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,0,3,1,4
EL ALTO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,14,19,7,11,51
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,0,0,1,1
EL TORNO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,2,2,1,0,5
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,1,1,0,2
GUANAY,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,2,0,1,0,3
HUANUNI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,1,2,1,4
HUARINA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,1,0,0,1
IXIAMAS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,0,1,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,1,0,1,1,3
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,4,2,3,1,10
LA PAZ,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,21,24,9,5,59
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,1,0,0,1
MAIRANA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,1,0,0,1
MAPIRI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,1,0,0,0,1
MINEROS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,1,0,0,0,1
MIZQUE,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,1,0,0,1,2
MOJINETE,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,1,0,0,1
MONTEAGUDO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,2,0,0,2
MONTERO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,10,1,2,2,15
OCURI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,3,0,0,0,3
OKINAWA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,2,0,0,0,2
ORURO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,11,10,22,22,65
PAILON,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,1,2,18,23,44
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,0,1,0,1
PATACAMAYA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,1,0,0,1
POCOATA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,0,2,1,3
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,0,1,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,1,0,0,0,1
PORVENIR,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,1,0,0,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,9,9,0,0,18
PUCARANI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,1,0,1,2
PUERTO ACOSTA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,1,1,0,0,2
PUERTO CARABUCO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,1,0,0,0,1
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,0,0,1,1
PUERTO RICO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,1,0,0,0,1
PUERTO SILES,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,1,0,0,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,2,0,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,3,3,2,3,11
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,3,1,3,2,9
RAVELO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,2,0,0,2
REYES,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,1,1,2,1,5
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,2,3,0,0,5
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,1,0,0,0,1
SACABA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,4,4,0,1,9
SACABAMBA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,0,1,0,1
SACACA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,0,1,1,2
SAMAIPATA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,1,0,0,0,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,13,8,6,8,35
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,1,0,3,1,5
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,2,0,0,2
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,1,7,7,15
SAN JOAQUIN,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,1,0,0,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,1,2,4,3,10
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,0,1,0,1
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,0,0,1,1
SAN LUCAS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,1,0,0,0,1
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,1,0,0,0,1
SAN PEDRO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,0,0,2,2
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,1,1,1,3
SAN RAFAEL,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,0,0,1,1
SAN RAMON BENI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,1,0,0,1
SAN RAMON SCZ,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,2,0,0,0,2
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,1,1,1,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,72,54,27,15,168
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,0,0,1,1
SAPAHAQUI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,0,0,1,1
SENA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,1,0,2,0,3
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,0,1,1,2
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,4,1,0,0,5
SUCRE,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,10,7,2,2,21
TAPACARI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,1,1,0,0,2
TARIJA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,2,2,1,1,6
TEOPONTE,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,1,0,0,1
TINGUIPAYA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,1,0,0,1
TIPUANI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,0,0,1,1
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,1,3,0,0,4
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,6,2,0,1,9
TUPIZA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,3,2,1,0,6
UYUNI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,3,1,0,4
VACAS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,1,0,0,0,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,4,0,0,4
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,1,0,0,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,3,5,3,2,13
VILLAZON,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,3,2,0,0,5
VINTO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,1,0,1,0,2
WALDO BALLIVIAN,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,3,2,0,0,5
WARNES,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,5,7,0,0,12
YACUIBA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,1,1,0,0,2
YAMPARAEZ,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,1,1,0,0,2
YOCALLA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-02-01,0,1,0,0,1
ACACIO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-03-01,0,1,0,0,1
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-03-01,2,0,0,0,2
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-03-01,0,1,0,0,1
AIQUILE,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-03-01,0,1,0,0,1
ALTO BENI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-03-01,1,0,0,0,1
ANZALDO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-03-01,0,1,0,0,1
ARANI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-03-01,1,0,0,0,1
ARBIETO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-03-01,1,0,0,0,1
ARQUE,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-03-01,0,1,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-03-01,3,2,0,0,5
ATOCHA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-03-01,2,1,0,0,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-03-01,0,0,1,1,2
BERMEJO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-03-01,2,1,0,0,3
BOLIVAR,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-03-01,0,0,1,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-03-01,1,1,5,2,9
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-03-01,3,0,0,0,3
CALAMARCA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-03-01,1,0,1,0,2
CAMARGO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-03-01,1,0,0,0,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-03-01,1,1,0,0,2
CAQUIAVIRI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-03-01,0,1,0,0,1
CARANAVI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-03-01,1,4,1,2,8
CARAPARI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-03-01,0,1,0,1,2
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-03-01,0,2,0,0,2
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-03-01,0,0,1,2,3
