,group,variable,month,4. Nº DE MUJERES EMBARAZADAS CON PRUEBA PARA SIFILIS (1RA PRUEBA) CANTIDAD,4. Nº DE MUJERES EMBARAZADAS CON PRUEBA PARA SIFILIS (1RA PRUEBA) CANTIDAD,TOTALES
HUAYLLAMARCA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,1,1
INCAHUASI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,7,7
LA GUARDIA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,162,162
LAS CARRERAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,1,1
MACHACAMARCA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,4,4
MACHARETI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,10,10
MAIRANA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,20,20
MIZQUE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,76,76
MOJOCOYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,2,2
MONTEAGUDO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,37,37
MONTERO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,18,18
OCURI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,1,1
ORURO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,443,443
PADCAYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,3,3
PADILLA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,9,9
PAMPA AULLAGAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,2,2
POCOATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,9,9
POOPO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,5,5
PORCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,7,7
POROMA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,18,18
POTOSI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,448,448
PRESTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,3,3
PUERTO VILLARROEL,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,74,74
PUNA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,2,2
RAVELO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,8,8
REYES,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,8,8
RIBERALTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,3,3
SACABA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,25,25
SACACA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,5,5
SALINAS DE GARCI MENDOZA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,7,7
SAMAIPATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,21,21
SAN BORJA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,3,3
SAN CARLOS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,5,5
SAN IGNACIO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,11,11
SAN JULIAN,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,4,4
SAN LUCAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,8,8
SAN PEDRO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,13,13
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,14,14
SAN PEDRO DE MACHA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,6,6
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,432,432
SANTA ROSA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,16,16
SANTA ROSA DEL SARA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,22,22
SANTIAGO DE HUATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,5,5
SANTUARIO DE QUILLACAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,1,1
SOPACHUY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,6,6
SORACACHI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,9,9
SUCRE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,665,665
TARABUCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,10,10
TARIJA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,17,17
TARVITA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,18,18
TINGUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,5,5
TOLEDO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,7,7
TOMAVE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,1,1
TOMINA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,6,6
TOTORA(ORR),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,2,2
TRINIDAD,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,27,27
TUPIZA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,5,5
UNCIA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,19,19
UYUNI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,3,3
VILA VILA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,9,9
VILLA CHARCAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,12,12
VILLA SERRANO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,6,6
VILLA TUNARI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,7,7
VILLA VACA GUZMAN (MUYUPAMPA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,7,7
VILLAZON,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,25,25
YACUIBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,12,12
YAMPARAEZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,7,7
YOTALA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,14,14
ZUDAÑEZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,8,8
ACACIO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,2,2
ACHACACHI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,2,2
ACHOCALLA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,2,2
ALALAY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,1,1
ALCALA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,4,4
ANTEQUERA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,3,3
AYOPAYA (V. DE INDEPENDENCIA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,12,12
AZURDUY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,12,12
BETANZOS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,31,31
BOYUIBE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,3,3
BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,3,3
CABEZAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,3,3
"CAIZA ""D""",vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,16,16
CAMARGO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,14,14
CARACOLLO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,25,25
CARIPUYO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,3,3
CARMEN RIVERO TORREZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,10,10
CHAQUI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,5,5
CHAYANTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,11,11
CHIMORE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,4,4
CKOCHAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,12,12
COCAPATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,27,27
COCHABAMBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,17,17
COLCAPIRHUA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,46,46
COLOMI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,39,39
COLPA BELGICA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,1,1
COLQUECHACA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,2,2
COLQUENCHA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,5,5
CORQUE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,5,5
CUATRO CAÑADAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,35,35
CULPINA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,9,9
CURAHUARA DE CARANGAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,2,2
EL ALTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,443,443
EL PUENTE(TJA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,6,6
EL VILLAR,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,1,1
ENTRE RIOS CBBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,3,3
EUCALIPTUS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,5,5
FERNANDEZ ALONSO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,5,5
GENERAL SAAVEDRA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,17,17
GUAYARAMERIN,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,3,3
HUACARETA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,4,4
HUACAYA (VILLA DE HUACAYA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,4,4
HUAYLLAMARCA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,2,2
INCAHUASI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,11,11
LA GUARDIA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,165,165
LA PAZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,66,66
LAS CARRERAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,1,1
LLICA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,1,1
MACHACAMARCA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,1,1
MACHARETI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,6,6
MAGDALENA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,1,1
MAIRANA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,24,24
MIZQUE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,50,50
MOJOCOYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,6,6
MONTEAGUDO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,40,40
MONTERO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,5,5
OCURI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,5,5
ORURO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,493,493
PADCAYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,6,6
PADILLA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,5,5
PAMPA AULLAGAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,2,2
POCOATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,6,6
POOPO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,4,4
POROMA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,12,12
PORONGO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,6,6
POTOSI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,392,392
PRESTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,6,6
PUERTO CARABUCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,5,5
PUERTO VILLARROEL,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,69,69
PUNA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,3,3
RAVELO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,12,12
REYES,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,12,12
RIBERALTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,12,12
ROBORE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,4,4
SACABA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,32,32
SACACA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,8,8
SALINAS DE GARCI MENDOZA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,4,4
SAMAIPATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,25,25
SAN ANTONIO DE LOMERIO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,7,7
SAN BORJA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,11,11
SAN CARLOS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,1,1
SAN IGNACIO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,11,11
SAN IGNACIO DE VELASCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,220,220
SAN JULIAN,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,8,8
SAN LUCAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,3,3
SAN PEDRO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,1,1
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,17,17
SAN PEDRO DE MACHA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,8,8
SAN RAMON BENI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,10,10
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,685,685
SANTA ROSA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,6,6
SANTA ROSA DEL SARA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,9,9
SANTIAGO DE HUATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,1,1
SANTUARIO DE QUILLACAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,4,4
SOPACHUY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,2,2
SORACACHI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,6,6
SUCRE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,603,603
TAPACARI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,2,2
TARABUCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,10,10
TARIJA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,12,12
TARVITA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,12,12
TINGUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,6,6
TIRAQUE (CBBA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,1,1
TOLEDO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,4,4
TOMAVE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,6,6
TOMINA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,11,11
TORO TORO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,1,1
TOTORA(CBBA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,56,56
TRINIDAD,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,31,31
TUPIZA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,7,7
UNCIA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,5,5
URIONDO (A. CONCEPCION),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,1,1
UYUNI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,98,98
VIACHA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,82,82
VILA VILA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,8,8
VILLA CHARCAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,5,5
VILLA SERRANO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,6,6
VILLA TUNARI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,33,33
VILLA VACA GUZMAN (MUYUPAMPA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,5,5
VILLAZON,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,14,14
WALDO BALLIVIAN,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,2,2
WARNES,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,48,48
YACUIBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,6,6
YAMPARAEZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,1,1
YOTALA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,5,5
ZUDAÑEZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-02-01,0,6,6
ACHACACHI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-03-01,0,3,3
ALALAY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-03-01,0,3,3
ALCALA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-03-01,0,3,3
ANDAMARCA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-03-01,0,1,1
ANTEQUERA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-03-01,0,5,5
ARAMPAMPA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-03-01,0,5,5
ARQUE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-03-01,0,23,23
