,group,variable,month,6. Nº DE MUJERES CON PRUEBA PARA SIFILIS EN EL PARTO O PUERPERIO CANTIDAD,6. Nº DE MUJERES CON PRUEBA PARA SIFILIS EN EL PARTO O PUERPERIO CANTIDAD,TOTALES
SAN IGNACIO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-02-01,0,5,5
SAN JULIAN,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-02-01,0,74,74
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-02-01,0,7,7
ANDAMARCA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-03-01,0,3,3
ARQUE,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-03-01,0,1,1
ATOCHA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-03-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-03-01,0,5,5
CARACOLLO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-03-01,0,1,1
CARIPUYO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-03-01,0,1,1
CARMEN RIVERO TORREZ,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-03-01,0,5,5
CHALLAPATA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-03-01,0,21,21
CHIMORE,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-03-01,0,1,1
CHOQUE COTA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-03-01,0,2,2
CHUMA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-03-01,0,1,1
COCAPATA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-03-01,0,7,7
COCHABAMBA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-03-01,0,3,3
COLOMI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-03-01,0,1,1
COLQUECHACA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-03-01,0,2,2
CUATRO CAÑADAS,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-03-01,0,13,13
EL ALTO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-03-01,0,319,319
HUANUNI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-03-01,0,20,20
LA GUARDIA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-03-01,0,3,3
OCURI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-03-01,0,2,2
ORURO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-03-01,0,84,84
POCOATA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-03-01,0,3,3
POTOSI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-03-01,0,74,74
PRESTO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-03-01,0,1,1
RAVELO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-03-01,0,1,1
ROBORE,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-03-01,0,6,6
SACACA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-03-01,0,2,2
SAN IGNACIO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-03-01,0,10,10
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-03-01,0,56,56
SUCRE,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-03-01,0,1,1
TOLEDO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-03-01,0,1,1
TOTORA(CBBA),vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-03-01,0,2,2
UYUNI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-03-01,0,1,1
VILA VILA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-03-01,0,1,1
VINTO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-03-01,0,2,2
ACACIO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,1,1
BETANZOS,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,3,3
"CAIZA ""D""",vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,2,2
CARACOLLO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,2,2
CARIPUYO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,1,1
CARMEN RIVERO TORREZ,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,1,1
CHALLAPATA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,21,21
CHIMORE,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,1,1
CHOQUE COTA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,1,1
CHUMA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,2,2
CKOCHAS,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,1,1
COCAPATA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,14,14
COCHABAMBA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,1,1
"COLCHA ""K""",vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,1,1
COLOMI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,3,3
COLQUECHACA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,4,4
COROICO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,1,1
CUATRO CAÑADAS,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,8,8
EL ALTO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,455,455
ENTRE RIOS CBBA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,2,2
FERNANDEZ ALONSO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,2,2
HUANUNI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,24,24
LA PAZ,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,3,3
OCURI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,2,2
ORURO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,101,101
POCOATA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,6,6
PORCO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,1,1
POTOSI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,150,150
PRESTO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,4,4
PUERTO VILLARROEL,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,8,8
PUNATA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,42,42
ROBORE,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,7,7
SACACA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,1,1
SAN BORJA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,1,1
SAN IGNACIO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,10,10
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,2,2
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,18,18
TAPACARI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,1,1
TOTORA(CBBA),vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,2,2
TOTORA(ORR),vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,1,1
UYUNI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,1,1
VILA VILA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,1,1
VINTO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-04-01,0,2,2
APOLO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-05-01,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-05-01,0,2,2
CARACOLLO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-05-01,0,3,3
CARIPUYO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-05-01,0,1,1
CARMEN RIVERO TORREZ,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-05-01,0,4,4
CHALLAPATA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-05-01,0,11,11
CHAYANTA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-05-01,0,1,1
CHOQUE COTA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-05-01,0,1,1
COCAPATA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-05-01,0,17,17
COLOMI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-05-01,0,4,4
COLQUECHACA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-05-01,0,11,11
COROICO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-05-01,0,5,5
CUATRO CAÑADAS,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-05-01,0,15,15
CURAHUARA DE CARANGAS,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-05-01,0,1,1
EL ALTO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-05-01,0,103,103
ENTRE RIOS CBBA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-05-01,0,1,1
HUANUNI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-05-01,0,19,19
MAIRANA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-05-01,0,1,1
OCURI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-05-01,0,2,2
ORURO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-05-01,0,10,10
POCOATA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-05-01,0,2,2
POROMA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-05-01,0,3,3
PORONGO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-05-01,0,3,3
POTOSI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-05-01,0,28,28
PRESTO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-05-01,0,7,7
SACACA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-05-01,0,3,3
SALINAS DE GARCI MENDOZA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-05-01,0,1,1
SAN BORJA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-05-01,0,3,3
SAN IGNACIO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-05-01,0,5,5
SAN IGNACIO DE VELASCO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-05-01,0,151,151
SAN JUAN DE YAPACANI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-05-01,0,5,5
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-05-01,0,6,6
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-05-01,0,29,29
SUCRE,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-05-01,0,5,5
TOTORA(CBBA),vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-05-01,0,2,2
UNCIA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-05-01,0,5,5
VILA VILA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-05-01,0,1,1
ALCALA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-06-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-06-01,0,1,1
BELEN DE ANDAMARCA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-06-01,0,1,1
CARACOLLO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-06-01,0,2,2
CARMEN RIVERO TORREZ,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-06-01,0,4,4
CHALLAPATA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-06-01,0,7,7
CHOQUE COTA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-06-01,0,1,1
COCAPATA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-06-01,0,14,14
COLOMI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-06-01,0,3,3
COLQUECHACA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-06-01,0,8,8
CONCEPCION,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-06-01,0,27,27
COROICO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-06-01,0,9,9
COTOCA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-06-01,0,3,3
CUATRO CAÑADAS,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-06-01,0,11,11
CULPINA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-06-01,0,2,2
CURAHUARA DE CARANGAS,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-06-01,0,1,1
EL ALTO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-06-01,0,260,260
GRAL. J.J. PEREZ (CHARAZANI),vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-06-01,0,2,2
HUANUNI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-06-01,0,8,8
LA GUARDIA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-06-01,0,1,1
LA PAZ,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-06-01,0,1,1
ORURO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-06-01,0,15,15
POCOATA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-06-01,0,2,2
PORCO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-06-01,0,2,2
POROMA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-06-01,0,3,3
POTOSI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-06-01,0,115,115
PRESTO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-06-01,0,3,3
PUERTO VILLARROEL,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-06-01,0,2,2
ROBORE,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-06-01,0,3,3
SAN IGNACIO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-06-01,0,8,8
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-06-01,0,4,4
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-06-01,0,27,27
SUCRE,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-06-01,0,1,1
TOTORA(CBBA),vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-06-01,0,2,2
UNCIA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-06-01,0,7,7
VILA VILA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-06-01,0,1,1
ATOCHA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,1,1
CARACOLLO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,2,2
CARMEN RIVERO TORREZ,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,2,2
CHALLAPATA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,4,4
CHIMORE,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,3,3
CHOQUE COTA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,1,1
CHUMA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,1,1
COBIJA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,3,3
COCAPATA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,17,17
COLOMI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,4,4
COLQUECHACA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,12,12
COTOCA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,1,1
CUATRO CAÑADAS,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,22,22
CURAHUARA DE CARANGAS,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,2,2
EL ALTO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,397,397
ENTRE RIOS CBBA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,1,1
HUANUNI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,10,10
LA GUARDIA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,2,2
LA PAZ,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,1,1
LLICA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,2,2
MAIRANA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,1,1
MIZQUE,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,22,22
OCURI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,3,3
ORURO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,9,9
POCOATA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,1,1
PORONGO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,3,3
POTOSI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,107,107
PRESTO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,3,3
PUERTO VILLARROEL,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,7,7
RAVELO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,3,3
ROBORE,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,3,3
SACACA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,1,1
SAN IGNACIO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,13,13
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,1,1
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,17,17
SUCRE,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,1,1
TOTORA(CBBA),vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,1,1
UNCIA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-07-01,0,10,10
ACACIO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,2,2
ALCALA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,1,1
APOLO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,2,2
ARAMPAMPA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,1,1
ATOCHA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,4,4
CARIPUYO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,1,1
CARMEN RIVERO TORREZ,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,2,2
CHALLAPATA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,21,21
CHIMORE,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,2,2
COCAPATA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,6,6
COCHABAMBA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,1,1
COLOMI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,2,2
COLQUECHACA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,9,9
COROICO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,13,13
CUATRO CAÑADAS,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,14,14
CURAHUARA DE CARANGAS,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,1,1
