,group,variable,month,1. Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA VIH (1RA PRUEBA) CANTIDAD,1. Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA VIH (1RA PRUEBA) CANTIDAD,TOTALES
CARIPUYO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,4,4
CHALLAPATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,43,43
CHAQUI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,15,15
CHARAGUA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,91,91
CHARAÑA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,11,11
CHAYANTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,8,8
CHIMORE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,6,6
CHIPAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,1,1
CHUA COCANI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,7,7
CHULUMANI (V. DE LA LIBERTAD),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,24,24
CHUMA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,3,3
CHUQUIHUTA AYLLU JUCUMANI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,3,3
CKOCHAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,14,14
CLIZA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,67,67
COBIJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,77,77
COCAPATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,30,30
COCHABAMBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,1592,1592
COLCAPIRHUA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,142,142
"COLCHA ""K""",vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,1,1
COLLANA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,2,2
COLOMI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,34,34
COLPA BELGICA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,6,6
COLQUECHACA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,23,23
COLQUENCHA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,7,7
COLQUIRI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,15,15
COMARAPA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,34,34
CONCEPCION,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,58,58
COPACABANA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,7,7
CORO CORO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,6,6
COROICO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,55,55
COTAGAITA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,7,7
COTOCA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,296,296
CUATRO CAÑADAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,29,29
CUCHUMUELA (V. G. VILLARROEL),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,3,3
CUEVO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,5,5
CULPINA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,24,24
CURAHUARA DE CARANGAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,3,3
CURVA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,3,3
DESAGUADERO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,7,7
EL ALTO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,1356,1356
EL CHORO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,3,3
EL PUENTE(STC),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,29,29
EL PUENTE(TJA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,13,13
EL TORNO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,41,41
EL VILLAR,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,5,5
ENTRE RIOS TRJ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,16,16
ENTRE RIOS CBBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,121,121
EUCALIPTUS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,7,7
EUREKA (SANTOS MERCADO),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,1,1
FERNANDEZ ALONSO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,25,25
FILADELFIA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,1,1
GAIOC JATUN AYLLU YURA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,9,9
GENERAL SAAVEDRA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,29,29
GRAL. J.J. PEREZ (CHARAZANI),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,11,11
GUANAY,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,29,29
GUAQUI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,9,9
GUAYARAMERIN,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,159,159
HUACARAJE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,2,2
HUACARETA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,12,12
HUANUNI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,23,23
HUARINA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,3,3
HUATAJATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,2,2
HUAYLLAMARCA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,1,1
HUMANATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,2,2
ICLA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,12,12
INCAHUASI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,10,10
INGAVI (HUMAITA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,3,3
IXIAMAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,1,1
JESUS DE MACHACA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,3,3
LA GUARDIA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,264,264
LA PAZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,1325,1325
LAGUNILLAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,6,6
LAJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,33,33
LAS CARRERAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,1,1
LLALLAGUA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,163,163
LLICA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,4,4
MACHACAMARCA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,4,4
MACHARETI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,10,10
MAIRANA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,16,16
MAPIRI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,21,21
MECAPACA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,1,1
MINEROS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,62,62
MIZQUE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,100,100
MOJOCOYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,2,2
MONTEAGUDO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,35,35
MONTERO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,298,298
MOROCHATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,8,8
NACEBE (SANTA ROSA DEL ABUNA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,1,1
OCURI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,15,15
OKINAWA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,10,10
OMEREQUE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,11,11
ORURO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,820,820
PADCAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,10,10
PADILLA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,9,9
PAILON,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,64,64
PALOS BLANCOS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,17,17
PAMPA AULLAGAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,2,2
PAMPA GRANDE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,12,12
PAPEL PAMPA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,1,1
PASORAPA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,3,3
PATACAMAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,44,44
PAZÑA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,5,5
PELECHUCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,10,10
POCOATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,36,36
POCONA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,11,11
POJO (CBBA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,21,21
POOPO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,8,8
PORCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,7,7
POROMA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,18,18
PORONGO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,11,11
PORTACHUELO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,9,9
PORVENIR,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,6,6
POTOSI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,562,562
PRESTO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,4,4
PUCARANI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,32,32
PUERTO CARABUCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,10,10
PUERTO GONZALO MORENO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,4,4
PUERTO PEREZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,5,5
PUERTO QUIJARRO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,34,34
PUERTO RICO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,14,14
PUERTO SUAREZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,1,1
PUERTO VILLARROEL,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,226,226
PUNA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,10,10
PUNATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,138,138
QUILLACOLLO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,390,390
QUIME,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,6,6
QUIRUSILLAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,1,1
RAQAYPAMPA(ETA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,5,5
RAVELO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,10,10
REYES,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,9,9
RIBERALTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,614,614
ROBORE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,47,47
SACABA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,598,598
SACABAMBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,3,3
SACACA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,20,20
SAIPINA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,5,5
SALINAS DE GARCI MENDOZA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,7,7
SAMAIPATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,21,21
SAN AGUSTIN,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,1,1
SAN ANDRES,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,15,15
SAN ANTONIO DE LOMERIO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,5,5
SAN BENITO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,15,15
SAN BORJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,77,77
SAN BUENA VENTURA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,27,27
SAN CARLOS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,40,40
SAN IGNACIO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,15,15
SAN IGNACIO DE VELASCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,176,176
SAN JAVIER(BNI),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,1,1
SAN JAVIER(STC),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,40,40
SAN JULIAN,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,139,139
SAN LORENZO(PND),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,6,6
SAN LORENZO(TJA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,39,39
SAN LUCAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,49,49
SAN MATIAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,31,31
SAN MIGUEL DE VELASCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,11,11
SAN PABLO DE LIPEZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,1,1
SAN PEDRO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,37,37
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,24,24
SAN PEDRO DE MACHA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,24,24
SAN PEDRO DE QUEMES,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,1,1
SAN PEDRO DE TIQUINA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,6,6
SAN PEDRO(PND),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,3,3
SAN RAFAEL,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,6,6
SAN RAMON BENI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,15,15
SAN RAMON SCZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,1,1
SANTA ANA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,64,64
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,3401,3401
SANTA ROSA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,16,16
SANTA ROSA DEL SARA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,26,26
SANTIAGO DE HUARI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,3,3
SANTIAGO DE HUATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,6,6
SANTIAGO DE MACHACA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,4,4
SANTIVAÑES,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,5,5
SANTUARIO DE QUILLACAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,2,2
SAPAHAQUI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,2,2
SENA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,20,20
SHINAOTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,124,124
SICA SICA (VILLA AROMA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,10,10
SICAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,5,5
SIPE SIPE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,160,160
SOPACHUY,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,6,6
SORACACHI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,9,9
SORATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,15,15
SUCRE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,817,817
TACOBAMBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,6,6
TACOPAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,10,10
TAHUA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,1,1
TAPACARI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,11,11
TARABUCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,10,10
TARACO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,2,2
TARATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,16,16
TARIJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,278,278
TARVITA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,18,18
TEOPONTE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,11,11
TIAHUANACU,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,12,12
TINGUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,18,18
TIPUANI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,10,10
TIQUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,178,178
