,group,variable,month,7. Nº DE PERSONAS CON PRUEBA RÁPIDA DE VIH CANTIDAD,7. Nº DE PERSONAS CON PRUEBA RÁPIDA DE VIH CANTIDAD,TOTALES
CORO CORO,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,1,4,5
COROICO,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,31,36,67
COTAGAITA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,8,1,9
COTOCA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,74,101,175
CRUZ DE MACHACAMARCA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,21,20,41
CUATRO CAÑADAS,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,31,63,94
CULPINA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,6,28,34
CURAHUARA DE CARANGAS,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,1,0,1
CURVA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,0,1,1
DESAGUADERO,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,16,5,21
EL ALTO,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,853,1330,2183
EL PUENTE(STC),vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,34,90,124
EL TORNO,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,93,77,170
ENTRE RIOS TRJ,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,7,13,20
ENTRE RIOS CBBA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,103,239,342
ESCARA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,2,4,6
ESMERALDA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,0,3,3
EUCALIPTUS,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,0,3,3
FERNANDEZ ALONSO,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,13,17,30
GAIOC JATUN AYLLU YURA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,1,0,1
GENERAL SAAVEDRA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,3,3,6
GRAL. J.J. PEREZ (CHARAZANI),vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,0,2,2
GUANAY,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,7,3,10
GUAYARAMERIN,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,120,134,254
HUANUNI,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,144,184,328
HUAYLLAMARCA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,0,7,7
ICLA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,3,4,7
INCAHUASI,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,6,10,16
JESUS DE MACHACA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,4,7,11
LA GUARDIA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,51,90,141
LA PAZ,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,1289,2033,3322
LAJA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,5,19,24
LAS CARRERAS,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,1,2,3
LLALLAGUA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,4,9,13
MACHACAMARCA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,31,44,75
MACHARETI,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,2,0,2
MAIRANA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,8,13,21
MAPIRI,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,2,6,8
MINEROS,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,1,4,5
MIZQUE,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,50,55,105
MOCOMOCO,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,3,0,3
MOJOCOYA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,0,2,2
MONTEAGUDO,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,35,51,86
MONTERO,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,190,192,382
MOROCHATA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,1,0,1
OCURI,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,4,3,7
OKINAWA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,3,0,3
OMEREQUE,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,8,6,14
ORURO,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,515,1315,1830
PADILLA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,13,31,44
PAILON,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,31,90,121
PALOS BLANCOS,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,2,0,2
PAMPA GRANDE,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,3,5,8
PAPEL PAMPA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,5,7,12
PASORAPA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,2,0,2
PATACAMAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,35,51,86
PAZÑA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,12,3,15
POCOATA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,13,27,40
POCONA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,2,3,5
POJO (CBBA),vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,7,3,10
POOPO,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,16,19,35
PORONGO,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,4,7,11
PORTACHUELO,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,7,2,9
POTOSI,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,77,43,120
PRESTO,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,1,3,4
PUCARANI,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,7,1,8
PUERTO CARABUCO,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,0,1,1
PUERTO PEREZ,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,22,33,55
PUERTO QUIJARRO,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,11,23,34
PUERTO RICO,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,2,3,5
PUERTO VILLARROEL,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,249,360,609
PUNA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,2,4,6
PUNATA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,134,202,336
QUILLACOLLO,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,380,652,1032
QUIME,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,1,8,9
QUIRUSILLAS,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,1,0,1
RAVELO,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,1,3,4
REYES,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,11,34,45
RIBERALTA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,386,469,855
ROBORE,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,5,5,10
SABAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,12,27,39
SACABA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,305,462,767
SACABAMBA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,1,2,3
SACACA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,3,3,6
SAIPINA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,1,0,1
SALINAS DE GARCI MENDOZA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,1,0,1
SAMAIPATA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,6,11,17
SAN ANDRES,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,0,3,3
SAN ANTONIO DE LOMERIO,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,0,1,1
SAN BENITO,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,2,1,3
SAN BORJA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,9,33,42
SAN BUENA VENTURA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,44,7,51
SAN CARLOS,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,27,47,74
SAN IGNACIO,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,3,6,9
SAN IGNACIO DE VELASCO,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,47,72,119
SAN JAVIER(BNI),vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,1,0,1
SAN JAVIER(STC),vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,5,6,11
SAN JOAQUIN,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,5,25,30
SAN JULIAN,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,109,132,241
SAN LORENZO(PND),vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,0,2,2
SAN LORENZO(TJA),vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,7,6,13
SAN LUCAS,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,39,67,106
SAN MATIAS,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,6,20,26
SAN MIGUEL DE VELASCO,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,11,9,20
SAN PEDRO,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,14,29,43
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,2,4,6
SAN PEDRO DE MACHA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,2,3,5
SAN PEDRO DE TIQUINA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,11,17,28
SAN RAFAEL,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,2,1,3
SAN RAMON BENI,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,4,7,11
SANTA ANA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,33,34,67
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,1760,2760,4520
SANTA ROSA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,2,0,2
SANTA ROSA DEL SARA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,9,5,14
SANTIAGO DE HUARI,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,15,24,39
SANTIAGO DE MACHACA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,14,6,20
SANTUARIO DE QUILLACAS,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,3,4,7
SENA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,0,29,29
SHINAOTA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,71,141,212
SICAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,3,15,18
SIPE SIPE,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,29,43,72
SOPACHUY,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,2,18,20
SORATA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,29,25,54
SUCRE,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,461,768,1229
TACOPAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,0,7,7
TAHUA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,0,1,1
TAPACARI,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,6,11,17
TARABUCO,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,11,19,30
TARATA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,3,4,7
TARIJA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,195,303,498
TARVITA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,3,9,12
TEOPONTE,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,4,3,7
TIAHUANACU,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,4,22,26
TIPUANI,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,22,18,40
TIQUIPAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,64,101,165
TITO YUPANQUI (PARQUIPUJIO),vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,0,6,6
TOCO,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,4,0,4
TOLATA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,1,0,1
TOLEDO,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,1,3,4
TOMAVE,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,0,1,1
TOMINA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,4,2,6
TORO TORO,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,2,5,7
TOTORA(CBBA),vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,10,32,42
TRINIDAD,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,96,81,177
TUPIZA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,21,31,52
UNCIA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,11,33,44
URIONDO (A. CONCEPCION),vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,0,3,3
URUBICHA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,3,3,6
UYUNI,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,9,22,31
VALLEGRANDE,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,11,70,81
VIACHA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,70,240,310
VILA VILA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,0,1,1
VILLA CHARCAS,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,2,3,5
VILLA MONTES,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,100,83,183
VILLA TUNARI,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,267,403,670
VILLA VACA GUZMAN (MUYUPAMPA),vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,5,19,24
VILLAZON,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,47,118,165
VINTO,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,56,314,370
WALDO BALLIVIAN,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,3,6,9
WARNES,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,28,54,82
YACUIBA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,128,174,302
YAMPARAEZ,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,2,3,5
YAPACANI,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,88,150,238
YOTALA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,1,1,2
YUNCHARA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,1,1,2
ZUDAÑEZ,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,3,13,16
ACACIO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,1,3,4
ACHOCALLA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,0,1,1
AIQUILE,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,24,34,58
ALALAY,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,1,1,2
ALCALA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,0,1,1
ALTO BENI,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,20,10,30
ANCORAIMES,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,1,0,1
ANTEQUERA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,7,9,16
ANZALDO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,14,7,21
ARANI,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,1,4,5
ARBIETO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,5,7,12
ARQUE,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,0,3,3
ASCENCION DE GUARAYOS,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,48,129,177
ATOCHA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,9,9,18
AZURDUY,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,5,9,14
BATALLAS,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,3,2,5
BELEN DE URMIRI,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,0,1,1
BERMEJO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,31,30,61
BETANZOS,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,3,0,3
BOLIVAR,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,1,2,3
BOYUIBE,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,1,0,1
CABEZAS,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,6,13,19
CAJUATA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,2,2,4
CALAMARCA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,6,4,10
CAMARGO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,13,48,61
CAMATAQUI (C. VILLA ABECIA),vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,0,2,2
CAPINOTA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,0,3,3
CARACOLLO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,2,7,9
CARANAVI,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,78,55,133
CARANGAS,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,0,1,1
CARAPARI,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,4,5,9
CARIPUYO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,2,17,19
CARMEN RIVERO TORREZ,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,12,8,20
CHALLAPATA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,26,37,63
CHAQUI,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,1,0,1
CHARAGUA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,4,28,32
CHAYANTA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,1,0,1
CHIMORE,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,25,32,57
CHULUMANI (V. DE LA LIBERTAD),vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,18,17,35
CHUMA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,2,1,3
CHUQUIHUTA AYLLU JUCUMANI,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,0,2,2
CKOCHAS,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,0,1,1
COBIJA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,954,254,1208
COCHABAMBA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,1640,2442,4082
COLCAPIRHUA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,74,180,254
COLLANA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,4,9,13
COLOMI,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,4,22,26
COLPA BELGICA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,0,3,3
COLQUECHACA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,1,3,4
COLQUENCHA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,9,18,27
COLQUIRI,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,50,31,81
COMARAPA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,7,24,31
CONCEPCION,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,15,12,27
CORO CORO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,1,1,2
COROICO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,22,35,57
COTAGAITA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,15,10,25
COTOCA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,65,130,195
CUATRO CAÑADAS,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,21,55,76
CULPINA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,2,23,25
CURAHUARA DE CARANGAS,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,3,1,4
CURVA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,0,1,1
DESAGUADERO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,3,2,5
EL ALTO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,598,1472,2070
EL CHORO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,0,1,1
EL PUENTE(STC),vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,64,72,136
EL PUENTE(TJA),vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,0,2,2
EL TORNO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,56,43,99
ENTRE RIOS TRJ,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,10,11,21
ENTRE RIOS CBBA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,102,200,302
ESCARA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,3,3,6
ESCOMA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,0,4,4
EUCALIPTUS,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,0,2,2
FERNANDEZ ALONSO,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,5,19,24
GENERAL SAAVEDRA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,1,3,4
GRAL. J.J. PEREZ (CHARAZANI),vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,0,2,2
GUANAY,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,6,16,22
GUAYARAMERIN,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,454,188,642
HUACAYA (VILLA DE HUACAYA),vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,0,1,1
HUANUNI,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,104,136,240
HUARINA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,0,1,1
HUAYLLAMARCA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,3,12,15
ICLA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,0,11,11
INCAHUASI,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,9,12,21
IXIAMAS,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,10,8,18
JESUS DE MACHACA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,4,6,10
LA GUARDIA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,62,109,171
LA PAZ,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,1011,1809,2820
LAJA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,9,18,27
LAS CARRERAS,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,1,0,1
LLALLAGUA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,10,2,12
LLICA,vih - sifilis,no de personas con prueba rapida de vih,2024-02-01,4,15,19
