,group,variable,month,5. Nº DE MUJERES EMBARAZADAS CON PRUEBA PARA SIFILIS (2DA PRUEBA) CANTIDAD,5. Nº DE MUJERES EMBARAZADAS CON PRUEBA PARA SIFILIS (2DA PRUEBA) CANTIDAD,TOTALES
SAN LUCAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,1,1
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,3,3
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,101,101
SANTA ROSA DEL SARA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,16,16
SUCRE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,326,326
TARVITA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,9,9
TOLEDO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,1,1
TOMINA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,3,3
TOTORA(ORR),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,4,4
TUPIZA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,1,1
VILLA CHARCAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,6,6
VILLA SERRANO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,9,9
VILLA TUNARI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,14,14
VILLAZON,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,15,15
YOTALA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,1,1
ALCALA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,1,1
ANTEQUERA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,1,1
ATOCHA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,1,1
AZURDUY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,5,5
BETANZOS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,14,14
"CAIZA ""D""",vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,1,1
CAMARGO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,13,13
CARACOLLO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,16,16
CARIPUYO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,2,2
CHALLAPATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,64,64
CHIMORE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,2,2
COCAPATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,11,11
COCHABAMBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,37,37
COLCAPIRHUA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,1,1
COLOMI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,18,18
CUATRO CAÑADAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,10,10
EL ALTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,1,1
ENTRE RIOS CBBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,8,8
FERNANDEZ ALONSO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,4,4
HUACARETA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,6,6
HUANUNI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,52,52
INCAHUASI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,7,7
LA PAZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,14,14
LAS CARRERAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,1,1
MACHACAMARCA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,2,2
MACHARETI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,5,5
MAIRANA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,5,5
MOJOCOYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,2,2
MONTEAGUDO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,21,21
OCURI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,1,1
ORURO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,99,99
PADCAYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,3,3
PADILLA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,2,2
POCOATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,2,2
POTOSI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,145,145
PRESTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,2,2
PUERTO VILLARROEL,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,9,9
RAVELO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,6,6
SACABA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,16,16
SALINAS DE GARCI MENDOZA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,2,2
SAN IGNACIO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,11,11
SAN LUCAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,1,1
SAN PEDRO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,2,2
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,6,6
SAN PEDRO DE MACHA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,2,2
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,72,72
SANTA ROSA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,1,1
SANTA ROSA DEL SARA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,12,12
SOPACHUY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,3,3
SUCRE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,165,165
TAPACARI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,3,3
TARVITA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,9,9
TOMINA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,4,4
TOTORA(ORR),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,2,2
TUPIZA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,2,2
VILA VILA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,1,1
VILLA CHARCAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,14,14
VILLA SERRANO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,6,6
VILLA TUNARI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,4,4
VILLA VACA GUZMAN (MUYUPAMPA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,3,3
VILLAZON,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,4,4
YAMPARAEZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,2,2
YOTALA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-02-01,0,5,5
ALALAY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,1,1
ALCALA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,2,2
ANTEQUERA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,2,2
ARQUE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,4,4
AZURDUY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,12,12
BETANZOS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,14,14
CAMARGO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,13,13
CAMATAQUI (C. VILLA ABECIA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,1,1
CARACOLLO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,18,18
CARIPUYO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,1,1
CARMEN RIVERO TORREZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,4,4
CHALLAPATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,56,56
CHIMORE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,29,29
COCAPATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,5,5
COCHABAMBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,37,37
COLOMI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,19,19
COLQUECHACA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,3,3
CUATRO CAÑADAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,2,2
EL ALTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,43,43
EL PUENTE(TJA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,1,1
ENTRE RIOS CBBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,11,11
EUCALIPTUS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,1,1
HUACARETA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,8,8
HUANUNI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,49,49
INCAHUASI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,6,6
JESUS DE MACHACA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,1,1
LAS CARRERAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,2,2
MACHACAMARCA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,2,2
MACHARETI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,2,2
MOJOCOYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,4,4
MONTEAGUDO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,33,33
MONTERO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,10,10
OCURI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,1,1
ORURO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,184,184
PADCAYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,3,3
PADILLA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,7,7
POCOATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,2,2
PORCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,1,1
PORONGO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,1,1
POTOSI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,26,26
PRESTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,3,3
PUERTO VILLARROEL,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,45,45
RAVELO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,6,6
RIBERALTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,6,6
ROBORE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,17,17
SACABA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,7,7
SALINAS DE GARCI MENDOZA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,5,5
SAN CARLOS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,2,2
SAN IGNACIO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,15,15
SAN JULIAN,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,8,8
SAN LUCAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,6,6
SAN PEDRO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,2,2
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,85,85
SANTA ROSA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,3,3
SANTA ROSA DEL SARA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,11,11
SOPACHUY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,1,1
SUCRE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,255,255
TAPACARI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,5,5
TARABUCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,8,8
TARIJA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,8,8
TARVITA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,11,11
TOLEDO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,2,2
TOMINA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,1,1
TRINIDAD,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,3,3
URIONDO (A. CONCEPCION),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,2,2
VILA VILA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,1,1
VILLA CHARCAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,4,4
VILLA SERRANO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,6,6
VILLA TUNARI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,12,12
VILLAZON,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,16,16
VINTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,65,65
YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,1,1
YOTALA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-03-01,0,6,6
ALCALA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,2,2
ANTEQUERA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,1,1
ATOCHA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,1,1
AZURDUY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,14,14
BETANZOS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,13,13
"CAIZA ""D""",vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,2,2
CAMARGO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,16,16
CAMATAQUI (C. VILLA ABECIA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,1,1
CAPINOTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,34,34
CARACOLLO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,17,17
CARMEN RIVERO TORREZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,5,5
CHALLAPATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,30,30
CHAYANTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,1,1
CKOCHAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,1,1
COCAPATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,13,13
COCHABAMBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,21,21
COLOMI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,25,25
COLQUECHACA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,11,11
CONCEPCION,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,61,61
CORQUE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,1,1
CUATRO CAÑADAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,5,5
CURAHUARA DE CARANGAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,2,2
EL ALTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,37,37
EL TORNO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,3,3
EL VILLAR,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,4,4
ENTRE RIOS TRJ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,4,4
ENTRE RIOS CBBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,12,12
EUCALIPTUS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,2,2
FERNANDEZ ALONSO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,4,4
HUACARETA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,7,7
HUANUNI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,59,59
INCAHUASI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,10,10
JESUS DE MACHACA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,1,1
LA PAZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,34,34
LAS CARRERAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,2,2
MACHACAMARCA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,1,1
MACHARETI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,4,4
MIZQUE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,20,20
MOJOCOYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,4,4
MONTEAGUDO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,26,26
MONTERO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,13,13
OCURI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,1,1
ORURO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,164,164
PADCAYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,16,16
PADILLA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,4,4
POCOATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,3,3
PORCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,7,7
PORONGO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,4,4
POTOSI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,24,24
PRESTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,5,5
