,group,variable,month,3. Nº DE MUJERES CON PRUEBA RAPIDA VIH EN EL PARTO O PUERTPERIO CANTIDAD,3. Nº DE MUJERES CON PRUEBA RAPIDA VIH EN EL PARTO O PUERTPERIO CANTIDAD,TOTALES
COCHABAMBA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,17,17
COLOMI,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,4,4
COLQUECHACA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,1,1
CUATRO CAÑADAS,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,4,4
CURVA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,1,1
EL ALTO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,2,2
HUANUNI,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,11,11
LA GUARDIA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,2,2
MINEROS,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,1,1
MIZQUE,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,1,1
OCURI,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,5,5
ORURO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,11,11
PELECHUCO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,1,1
POCOATA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,4,4
PORVENIR,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,1,1
POTOSI,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,61,61
PUERTO RICO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,3,3
QUILLACOLLO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,1,1
SACACA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,2,2
SAN BORJA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,2,2
SAN IGNACIO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,5,5
SAN JULIAN,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,120,120
SAN LORENZO(PND),vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,5,5
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,2,2
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,51,51
SENA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,4,4
TARIJA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,39,39
TINGUIPAYA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,3,3
TOTORA(CBBA),vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,2,2
UNCIA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,1,1
UYUNI,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,3,3
VILLA MONTES,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,150,150
VILLA TUNARI,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,67,67
AIQUILE,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,8,8
ANDAMARCA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,4,4
ARAMPAMPA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,1,1
ARQUE,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,1,1
ATOCHA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,5,5
BOLPEBRA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,1,1
CARACOLLO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,1,1
CARIPUYO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,1,1
CARMEN RIVERO TORREZ,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,5,5
CHALLAPATA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,21,21
CHIMORE,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,1,1
CHOQUE COTA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,2,2
CHUMA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,1,1
COCAPATA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,7,7
COCHABAMBA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,47,47
COLOMI,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,1,1
COLQUECHACA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,2,2
COROICO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,7,7
CUATRO CAÑADAS,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,12,12
CURVA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,3,3
EL ALTO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,319,319
HUANUNI,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,20,20
LA GUARDIA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,2,2
LA PAZ,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,25,25
MONTEAGUDO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,1,1
OCURI,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,10,10
ORURO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,83,83
POCOATA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,3,3
POTOSI,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,81,81
PRESTO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,1,1
PUERTO RICO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,3,3
ROBORE,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,5,5
SACACA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,3,3
SAN BORJA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,4,4
SAN IGNACIO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,9,9
SAN JUAN DE YAPACANI,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,2,2
SAN JULIAN,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,1,1
SAN LORENZO(PND),vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,2,2
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,31,31
SENA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,8,8
SUCRE,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,2,2
TARIJA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,27,27
TIQUIPAYA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,1,1
TOLEDO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,1,1
TORO TORO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,1,1
TOTORA(CBBA),vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,2,2
UYUNI,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,1,1
VILA VILA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,1,1
VILLA MONTES,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,178,178
VINTO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-03-01,0,2,2
ACACIO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,1,1
AIQUILE,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,11,11
AYOPAYA (V. DE INDEPENDENCIA),vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,2,2
BETANZOS,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,3,3
CABEZAS,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,2,2
"CAIZA ""D""",vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,2,2
CARACOLLO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,10,10
CARIPUYO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,1,1
CARMEN RIVERO TORREZ,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,1,1
CHALLAPATA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,9,9
CHIMORE,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,1,1
CHOQUE COTA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,1,1
CHUMA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,2,2
CKOCHAS,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,1,1
COBIJA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,29,29
COCAPATA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,14,14
COCHABAMBA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,1,1
"COLCHA ""K""",vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,1,1
COLOMI,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,4,4
COLQUECHACA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,4,4
COROICO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,9,9
CUATRO CAÑADAS,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,14,14
EL ALTO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,509,509
EL PUENTE(STC),vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,3,3
ENTRE RIOS CBBA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,2,2
FERNANDEZ ALONSO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,2,2
HUANUNI,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,24,24
MONTERO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,16,16
OCURI,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,5,5
ORURO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,97,97
PADCAYA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,2,2
POCOATA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,6,6
PORCO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,1,1
POTOSI,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,150,150
PRESTO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,4,4
PUERTO VILLARROEL,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,8,8
PUNATA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,42,42
RAVELO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,1,1
RIBERALTA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,1,1
ROBORE,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,7,7
SACACA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,1,1
SAN BORJA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,6,6
SAN CARLOS,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,1,1
SAN IGNACIO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,10,10
SAN JUAN DE YAPACANI,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,3,3
SAN JULIAN,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,1,1
SAN LORENZO(PND),vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,2,2
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,2,2
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,26,26
TAPACARI,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,1,1
TARIJA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,26,26
TOTORA(CBBA),vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,2,2
TOTORA(ORR),vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,1,1
UNCIA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,5,5
UYUNI,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,72,72
VIACHA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,2,2
VILA VILA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,1,1
VILLA MONTES,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,12,12
VINTO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-04-01,0,2,2
ACACIO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,1,1
AIQUILE,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,3,3
APOLO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,2,2
CARACOLLO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,3,3
CARIPUYO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,1,1
CARMEN RIVERO TORREZ,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,2,2
CHALLAPATA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,25,25
CHAYANTA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,1,1
CHIMORE,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,1,1
CHOQUE COTA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,1,1
COCAPATA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,17,17
COCHABAMBA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,91,91
COLOMI,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,7,7
COLQUECHACA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,12,12
CONCEPCION,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,1,1
CUATRO CAÑADAS,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,32,32
CURAHUARA DE CARANGAS,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,1,1
EL ALTO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,125,125
EL PUENTE(STC),vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,2,2
EL TORNO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,32,32
ENTRE RIOS CBBA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,2,2
HUANUNI,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,19,19
LA PAZ,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,17,17
MONTERO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,6,6
OCURI,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,6,6
ORURO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,11,11
PADCAYA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,1,1
POCOATA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,2,2
POROMA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,3,3
POTOSI,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,156,156
PRESTO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,7,7
PUERTO RICO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,5,5
RIBERALTA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,21,21
SACACA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,3,3
SALINAS DE GARCI MENDOZA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,1,1
SAN BORJA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,7,7
SAN IGNACIO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,6,6
SAN JUAN DE YAPACANI,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,5,5
SAN LORENZO(PND),vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,1,1
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,6,6
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,28,28
SOPACHUY,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,1,1
SUCRE,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,8,8
TARIJA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,22,22
TOTORA(CBBA),vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,2,2
UNCIA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,5,5
VILA VILA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,1,1
VILLA MONTES,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,18,18
VINTO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,1,1
YAPACANI,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-05-01,0,2,2
AIQUILE,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-06-01,0,5,5
ALCALA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-06-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-06-01,0,2,2
BELEN DE ANDAMARCA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-06-01,0,1,1
CABEZAS,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-06-01,0,3,3
CARMEN RIVERO TORREZ,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-06-01,0,4,4
CHALLAPATA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-06-01,0,21,21
CHAYANTA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-06-01,0,3,3
CHIMORE,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-06-01,0,1,1
CHOQUE COTA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-06-01,0,1,1
COCAPATA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-06-01,0,14,14
COLOMI,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-06-01,0,7,7
COLQUECHACA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-06-01,0,9,9
CONCEPCION,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-06-01,0,38,38
CORO CORO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-06-01,0,1,1
COROICO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-06-01,0,9,9
COTOCA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-06-01,0,3,3
CUATRO CAÑADAS,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-06-01,0,18,18
