,group,variable,month,L 18.4 DPT 2DA DOSIS,L 18.4 DPT 2DA DOSIS,TOTALES,TOTALES,TOTALES
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,2,0,2,0,2
HUANUNI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,4,0,4,0,4
HUMANATA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,1,1,1,1,2
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,0,1,0,1,1
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,1,2,1,2,3
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,3,0,3,0,3
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,52,2,52,2,54
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,0,1,0,1,1
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,4,0,4,0,4
MINEROS,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,11,1,11,1,12
PAILON,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,0,6,0,6,6
PALCA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,3,0,3,0,3
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,1,0,1,0,1
POCONA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,0,1,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,2,0,2,0,2
PUCARANI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,1,0,1,0,1
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,7,7,7,7,14
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,0,2,0,2,2
PUNA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,0,2,0,2,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,9,2,9,2,11
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,46,0,46,0,46
ROBORE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,3,4,3,4,7
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,0,2,0,2,2
SACABA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,1,1,1,1,2
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,4,2,4,2,6
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,1,5,1,5,6
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,0,4,0,4,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,70,18,70,18,88
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,1,0,1,0,1
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,0,1,0,1,1
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,3,0,3,0,3
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,1,0,1,0,1
SORACACHI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,9,0,9,0,9
TACACOMA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,1,0,1,0,1
TAPACARI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,1,8,1,8,9
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,0,2,0,2,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,1,1,1,1,2
VIACHA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,2,10,2,10,12
VILA VILA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,0,6,0,6,6
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,3,3,3,3,6
VINTO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,2,0,2,0,2
YOTALA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,4,0,4,0,4
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,0,2,0,2,2
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,4,0,4,0,4
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,0,1,0,1,1
ALALAY,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,0,1,0,1,1
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,2,0,2,0,2
ANZALDO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,0,3,0,3,3
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,1,3,1,3,4
ARQUE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,4,5,4,5,9
ATOCHA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,2,6,2,6,8
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,0,1,0,1,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,0,1,0,1,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,0,36,0,36,36
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,4,0,4,0,4
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,1,0,1,0,1
CARAPARI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,5,0,5,0,5
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,1,0,1,0,1
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,8,6,8,6,14
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,2,1,2,1,3
COCAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,0,2,0,2,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,24,4,24,4,28
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,24,2,24,2,26
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,1,1,1,1,2
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,0,10,0,10,10
COROICO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,0,1,0,1,1
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,43,1,43,1,44
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,0,2,0,2,2
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,4,4,4,4,8
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,0,3,0,3,3
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,0,7,0,7,7
HUANUNI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,1,0,1,0,1
HUMANATA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,1,0,1,0,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,0,2,0,2,2
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,2,3,2,3,5
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,25,4,25,4,29
MIZQUE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,3,2,3,2,5
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,2,0,2,0,2
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,7,1,7,1,8
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,9,0,9,0,9
PAILON,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,0,2,0,2,2
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,0,1,0,1,1
POCONA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,2,3,2,3,5
POOPO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,3,0,3,0,3
PORCO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,0,1,0,1,1
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,2,0,2,0,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,3,1,3,1,4
PUCARANI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,8,0,8,0,8
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,1,0,1,0,1
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,14,0,14,0,14
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,2,1,2,1,3
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,8,0,8,0,8
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,26,0,26,0,26
ROBORE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,6,2,6,2,8
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,4,3,4,3,7
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,3,0,3,0,3
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,0,1,0,1,1
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,0,2,0,2,2
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,0,1,0,1,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,71,13,71,13,84
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,1,4,1,4,5
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,1,0,1,0,1
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,19,15,19,15,34
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,1,0,1,0,1
TAPACARI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,3,2,3,2,5
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,2,1,2,1,3
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,5,0,5,0,5
TUPIZA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,8,0,8,0,8
TURCO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,1,0,1,0,1
UYUNI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,6,0,6,0,6
VIACHA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,1,12,1,12,13
VILA VILA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,1,3,1,3,4
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,3,3,3,3,6
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,3,0,3,0,3
YACUIBA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,6,0,6,0,6
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-03-01,0,1,0,1,1
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,0,1,0,1,1
AIQUILE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,2,0,2,0,2
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,1,0,1,0,1
ARQUE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,3,0,3,0,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,0,1,0,1,1
BETANZOS,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,0,1,0,1,1
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,0,2,0,2,2
CABEZAS,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,0,16,0,16,16
CAMIRI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,0,1,0,1,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,1,0,1,0,1
CARAPARI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,0,1,0,1,1
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,10,0,10,0,10
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,0,3,0,3,3
