,group,variable,month,L 18.2 ANTI AMARÍLICA,L 18.2 ANTI AMARÍLICA,TOTALES,TOTALES,TOTALES
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,4,4,4,4,8
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,1400,14,1400,14,1414
EL CHORO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,12,0,12,0,12
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,23,1,23,1,24
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,9,9,9,9,18
EL TORNO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,94,25,94,25,119
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,4,0,4,0,4
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,1,6,1,6,7
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,38,0,38,0,38
ESCOMA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,2,2,2,2,4
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,5,1,5,1,6
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,1,5,1,5,6
EXALTACION,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,2,2,2,2,4
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,9,23,9,23,32
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,0,8,0,8,8
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,20,28,20,28,48
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,4,4,4,4,8
GUANAY,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,11,17,11,17,28
GUAQUI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,1,8,1,8,9
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,24,16,24,16,40
HUACARETA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,8,5,8,5,13
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,1,7,1,7,8
HUANUNI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,35,4,35,4,39
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,11,0,11,0,11
HUARINA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,0,4,0,4,4
HUMANATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,2,0,2,0,2
ICHOCA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,0,3,0,3,3
ICLA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,4,8,4,8,12
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,9,4,9,4,13
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,5,9,5,9,14
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,10,5,10,5,15
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,7,21,7,21,28
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,4,1,4,1,5
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,57,12,57,12,69
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,156,7,156,7,163
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,1209,20,1209,20,1229
LA RIVERA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,0,1,0,1,1
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,1,14,1,14,15
LAJA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,11,7,11,7,18
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,2,0,2,0,2
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,39,42,39,42,81
LLICA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,5,0,5,0,5
LORETO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,0,25,0,25,25
LURIBAY,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,2,0,2,0,2
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,11,2,11,2,13
MACHARETI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,4,17,4,17,21
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,10,19,10,19,29
MAIRANA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,27,0,27,0,27
MALLA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,0,10,0,10,10
MAPIRI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,22,0,22,0,22
MECAPACA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,0,3,0,3,3
MINEROS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,26,20,26,20,46
MIZQUE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,30,3,30,3,33
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,15,10,15,10,25
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,2,12,2,12,14
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,31,8,31,8,39
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,147,13,147,13,160
MORO MORO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,4,2,4,2,6
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,1,8,1,8,9
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,1,6,1,6,7
OCURI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,8,15,8,15,23
OKINAWA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,17,3,17,3,20
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,0,13,0,13,13
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,495,4,495,4,499
PADCAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,12,4,12,4,16
PADILLA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,21,1,21,1,22
PAILON,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,34,0,34,0,34
PALCA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,19,14,19,14,33
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,37,33,37,33,70
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,2,3,2,3,5
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,16,2,16,2,18
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,0,3,0,3,3
PASORAPA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,8,0,8,0,8
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,39,10,39,10,49
PAZÑA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,3,7,3,7,10
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,1,15,1,15,16
POCOATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,1,15,1,15,16
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,7,15,7,15,22
POOPO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,7,0,7,0,7
PORCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,14,10,14,10,24
POROMA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,13,14,13,14,27
PORONGO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,5,10,5,10,15
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,35,6,35,6,41
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,6,2,6,2,8
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,353,5,353,5,358
PRESTO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,2,7,2,7,9
PUCARA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,3,3,3,3,6
PUCARANI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,8,24,8,24,32
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,3,8,3,8,11
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,2,10,2,10,12
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,0,13,0,13,13
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,1,3,1,3,4
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,12,17,12,17,29
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,10,14,10,14,24
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,3,0,3,0,3
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,6,18,6,18,24
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,55,22,55,22,77
PUNA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,8,15,8,15,23
PUNATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,59,7,59,7,66
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,0,9,0,9,9
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,198,6,198,6,204
QUIME,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,3,19,3,19,22
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,3,3,3,3,6
RAVELO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,14,17,14,17,31
REYES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,26,26,26,26,52
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,170,67,170,67,237
ROBORE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,22,9,22,9,31
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,25,0,25,0,25
SABAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,5,5,5,5,10
SACABA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,205,21,205,21,226
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,3,14,3,14,17
SACACA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,4,20,4,20,24
SAIPINA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,0,10,0,10,10
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,4,10,4,10,14
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,5,14,5,14,19
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,9,3,9,3,12
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,2,2,2,2,4
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,2,13,2,13,15
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,8,21,8,21,29
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,65,5,65,5,70
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,10,5,10,5,15
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,46,6,46,6,52
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,55,26,55,26,81
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,59,10,59,10,69
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,8,0,8,0,8
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,8,0,8,0,8
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,2,5,2,5,7
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,26,0,26,0,26
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,11,12,11,12,23
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,47,63,47,63,110
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,4,12,4,12,16
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,13,1,13,1,14
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,13,40,13,40,53
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,10,0,10,0,10
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,4,1,4,1,5
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,0,1,0,1,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,15,11,15,11,26
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,22,23,22,23,45
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,1,3,1,3,4
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,5,3,5,3,8
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,3,7,3,7,10
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,5,12,5,12,17
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,17,0,17,0,17
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,39,0,39,0,39
