,group,variable,month,L 18.7 ANTIPOLIOMIELÍTICA 1RA DOSIS,L 18.7 ANTIPOLIOMIELÍTICA 1RA DOSIS,TOTALES,TOTALES,TOTALES
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,0,1,0,1,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,297,5,297,5,302
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,0,2,0,2,2
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,0,1,0,1,1
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,3,0,3,0,3
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,43,0,43,0,43
TACACOMA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,0,1,0,1,1
TAPACARI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,2,11,2,11,13
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,2,0,2,0,2
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,15,0,15,0,15
TOCO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,6,1,6,1,7
VIACHA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,8,12,8,12,20
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,2,2,2,2,4
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,5,0,5,0,5
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,6,1,6,1,7
VILLAZON,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,0,2,0,2,2
VINTO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,4,0,4,0,4
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,2,0,2,0,2
YACUIBA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,4,0,4,0,4
YANACACHI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,8,0,8,0,8
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,4,1,4,1,5
AIQUILE,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,3,3,3,3,6
ALALAY,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,0,2,0,2,2
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,26,20,26,20,46
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,4,2,4,2,6
APOLO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,0,35,0,35,35
ARBIETO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,8,7,8,7,15
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,0,25,0,25,25
AYATA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,5,77,5,77,82
AYO AYO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,2,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,3,4,3,4,7
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,1,1,1,1,2
BERMEJO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,8,1,8,1,9
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,1,0,1,0,1
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,1,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,0,3,0,3,3
CAIROMA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,5,3,5,3,8
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,1,0,1,0,1
CALACOTO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,10,0,10,0,10
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,1,0,1,0,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,5,0,5,0,5
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,2,1,2,1,3
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,6,12,6,12,18
CARANAVI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,139,57,139,57,196
CARAPARI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,0,2,0,2,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,44,0,44,0,44
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,1,3,1,3,4
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,1,1,1,1,2
CLIZA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,0,2,0,2,2
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,3,0,3,0,3
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,87,12,87,12,99
COLLANA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,10,0,10,0,10
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,0,1,0,1,1
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,4,0,4,0,4
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,0,25,0,25,25
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,35,29,35,29,64
COMANCHE,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,4,0,4,0,4
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,27,0,27,0,27
COROICO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,2,0,2,0,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,1,1,1,1,2
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,5,2,5,2,7
CUEVO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,167,90,167,90,257
EL CHORO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,0,20,0,20,20
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,13,7,13,7,20
ESCOMA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,14,0,14,0,14
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,2,0,2,0,2
EXALTACION,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,1,0,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,2,0,2,0,2
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,5,10,5,10,15
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,29,45,29,45,74
GUAQUI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,0,1,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,1,2,1,2,3
HUANUNI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,1,0,1,0,1
ICHOCA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,0,11,0,11,11
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,5,3,5,3,8
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,22,0,22,0,22
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,120,25,120,25,145
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,0,2,0,2,2
LAJA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,43,1,43,1,44
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,0,1,0,1,1
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,12,0,12,0,12
MECAPACA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,1,0,1,0,1
MINEROS,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,52,1,52,1,53
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,0,2,0,2,2
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,22,1,22,1,23
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,1,14,1,14,15
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,5,0,5,0,5
PAILON,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,1,3,1,3,4
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,6,0,6,0,6
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,9,0,9,0,9
POCONA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,5,4,5,4,9
POOPO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,5,0,5,0,5
PRESTO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,0,1,0,1,1
PUCARANI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,0,16,0,16,16
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,0,2,0,2,2
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,4,0,4,0,4
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,3,3,3,3,6
PUNA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,0,3,0,3,3
PUNATA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,3,0,3,0,3
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,20,0,20,0,20
QUIME,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,2,16,2,16,18
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,27,1,27,1,28
ROBORE,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,3,0,3,0,3
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,3,0,3,0,3
SABAYA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,75,40,75,40,115
SACACA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,1,6,1,6,7
SAIPINA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,4,1,4,1,5
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,0,4,0,4,4
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,1,1,1,1,2
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,2,6,2,6,8
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,1,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,13,46,13,46,59
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,11,0,11,0,11
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,3,0,3,0,3
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,9,0,9,0,9
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,16,2,16,2,18
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,10,3,10,3,13
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,0,2,0,2,2
