,group,variable,month,L 18.6 DPT 4TA DOSIS,L 18.6 DPT 4TA DOSIS,TOTALES,TOTALES,TOTALES
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,13,0,13,0,13
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,41,0,41,0,41
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,6,1,6,1,7
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,9,0,9,0,9
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,0,1,0,1,1
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,1,4,1,4,5
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,12,3,12,3,15
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,12,15,12,15,27
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,19,7,19,7,26
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,23,0,23,0,23
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,404,2,404,2,406
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,0,1,0,1,1
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,1,0,1,0,1
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,0,1,0,1,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,5,0,5,0,5
SORACACHI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,0,5,0,5,5
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,60,0,60,0,60
TAPACARI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,2,1,2,1,3
TARABUCO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,0,14,0,14,14
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,176,3,176,3,179
TARVITA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,6,4,6,4,10
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,2,2,2,2,4
TOMINA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,1,1,1,1,2
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,25,1,25,1,26
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,4,3,4,3,7
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,22,2,22,2,24
TUPIZA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,15,0,15,0,15
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,11,0,11,0,11
URUBICHA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,15,20,15,20,35
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,11,1,11,1,12
VIACHA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,2,1,2,1,3
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,27,13,27,13,40
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,49,0,49,0,49
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,6,0,6,0,6
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,21,2,21,2,23
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,0,3,0,3,3
VILLAZON,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,22,0,22,0,22
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,35,0,35,0,35
YACUIBA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,56,9,56,9,65
YOTALA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,1,0,1,0,1
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,0,2,0,2,2
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,0,1,0,1,1
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,1,0,1,0,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,0,1,0,1,1
AIQUILE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,10,15,10,15,25
ALCALA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,2,1,2,1,3
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,0,5,0,5,5
APOLO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,0,14,0,14,14
ARANI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,1,0,1,0,1
ARBIETO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,0,4,0,4,4
AZURDUY,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,1,7,1,7,8
BERMEJO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,20,0,20,0,20
BETANZOS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,7,1,7,1,8
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,0,1,0,1,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,20,2,20,2,22
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,0,6,0,6,6
CALACOTO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,0,3,0,3,3
CAMARGO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,3,8,3,8,11
CAMIRI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,1,0,1,0,1
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,13,9,13,9,22
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,0,2,0,2,2
CARAPARI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,19,0,19,0,19
CATACORA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,0,3,0,3,3
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,0,2,0,2,2
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,8,7,8,7,15
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,6,1,6,1,7
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,1,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,5,3,5,3,8
COCAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,10,1,10,1,11
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,192,13,192,13,205
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,25,6,25,6,31
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,5,3,5,3,8
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,0,3,0,3,3
COMANCHE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,17,0,17,0,17
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,0,2,0,2,2
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,1,16,1,16,17
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,26,5,26,5,31
CUEVO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,7,7,7,7,14
CULPINA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,3,0,3,0,3
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,2,0,2,0,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,345,35,345,35,380
EL TORNO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,41,9,41,9,50
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,8,7,8,7,15
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,4,2,4,2,6
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,7,0,7,0,7
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,0,2,0,2,2
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,14,5,14,5,19
HUACARETA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,2,11,2,11,13
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,7,0,7,0,7
HUARINA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,0,3,0,3,3
ICLA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,2,1,2,1,3
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,7,7,7,7,14
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,2,3,2,3,5
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,2,0,2,0,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,105,14,105,14,119
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,10,12,10,12,22
MACHARETI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,1,0,1,0,1
MAIRANA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,18,0,18,0,18
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,37,6,37,6,43
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,77,0,77,0,77
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,2,0,2,0,2
OKINAWA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,9,0,9,0,9
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,146,0,146,0,146
PADCAYA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,4,0,4,0,4
PADILLA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,14,0,14,0,14
PAILON,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,4,23,4,23,27
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,17,1,17,1,18
PAZÑA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,4,0,4,0,4
POCONA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,1,2,1,2,3
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,1,1,1,1,2
PORCO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,0,10,0,10,10
PORONGO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,0,9,0,9,9
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,3,0,3,0,3
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,44,0,44,0,44
PRESTO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,10,10,10,10,20
PUCARANI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,0,2,0,2,2
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,19,2,19,2,21
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,39,17,39,17,56
PUNA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,10,7,10,7,17
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,22,0,22,0,22
RAVELO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,0,14,0,14,14
REYES,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,6,0,6,0,6
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,22,0,22,0,22
ROBORE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,24,0,24,0,24
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,19,34,19,34,53
SACABA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,69,53,69,53,122
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,2,0,2,0,2
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,49,6,49,6,55
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,23,0,23,0,23
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,45,13,45,13,58
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,3,3,3,3,6
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,9,5,9,5,14
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,4,1,4,1,5
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,1,11,1,11,12
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,12,5,12,5,17
