,group,variable,month,L 18.9 ANTIPOLIOMIELÍTICA 3RA DOSIS,L 18.9 ANTIPOLIOMIELÍTICA 3RA DOSIS,TOTALES,TOTALES,TOTALES
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,1,1,1,1,2
ICLA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,2,1,2,1,3
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,4,2,4,2,6
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,59,0,59,0,59
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,0,1,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,3,0,3,0,3
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,6,2,6,2,8
PAILON,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,0,10,0,10,10
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,3,0,3,0,3
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,4,0,4,0,4
PUCARANI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,1,0,1,0,1
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,3,0,3,0,3
PUNATA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,2,1,2,1,3
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,5,0,5,0,5
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,10,2,10,2,12
ROBORE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,0,3,0,3,3
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,1,1,1,1,2
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,10,0,10,0,10
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,1,0,1,0,1
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,0,1,0,1,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,22,8,22,8,30
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,2,0,2,0,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,1,0,1,0,1
SORATA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,0,4,0,4,4
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,4,0,4,0,4
TACACOMA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,3,1,3,1,4
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,8,1,8,1,9
VIACHA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,1,0,1,0,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,0,2,0,2,2
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,4,1,4,1,5
VILLAZON,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,2,0,2,0,2
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,1,0,1,0,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,3,0,3,0,3
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,1,1,1,1,2
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,0,2,0,2,2
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,1,0,1,0,1
BAURES,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,0,1,0,1,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,0,7,0,7,7
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,10,0,10,0,10
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,3,1,3,1,4
CARAPARI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,0,10,0,10,10
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,1,2,1,2,3
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,3,2,3,2,5
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,1,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,1,0,1,0,1
COCAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,17,2,17,2,19
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,1,0,1,0,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,3,0,3,0,3
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,0,4,0,4,4
COPACABANA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,1,0,1,0,1
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,53,2,53,2,55
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,2,0,2,0,2
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,0,1,0,1,1
GUAQUI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,0,8,0,8,8
HUANUNI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,1,1,1,1,2
ICLA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,2,2,2,2,4
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,0,3,0,3,3
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,2,0,2,0,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,29,2,29,2,31
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,1,0,1,0,1
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,0,2,0,2,2
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,5,0,5,0,5
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,5,0,5,0,5
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,13,2,13,2,15
PAILON,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,20,21,20,21,41
PALCA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,0,1,0,1,1
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,1,0,1,0,1
PORCO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,1,1,1,1,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,2,0,2,0,2
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,3,2,3,2,5
PUNATA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,0,1,0,1,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,4,2,4,2,6
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,41,0,41,0,41
ROBORE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,2,1,2,1,3
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,3,7,3,7,10
SACABA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,2,1,2,1,3
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,1,1,1,1,2
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,12,7,12,7,19
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,1,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,2,5,2,5,7
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,1,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,4,0,4,0,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,25,16,25,16,41
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,1,0,1,0,1
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,1,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,4,2,4,2,6
TAPACARI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,1,0,1,0,1
TARATA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,0,3,0,3,3
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,2,0,2,0,2
TOLEDO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,8,0,8,0,8
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,5,2,5,2,7
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,2,0,2,0,2
YACUIBA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-03-01,3,0,3,0,3
AIQUILE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,0,1,0,1,1
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,0,1,0,1,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,1,0,1,0,1
BETANZOS,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,1,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,0,1,0,1,1
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,1,2,1,2,3
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,0,6,0,6,6
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,2,0,2,0,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,5,0,5,0,5
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,1,2,1,2,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,29,5,29,5,34
EL TORNO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,2,0,2,0,2
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,4,0,4,0,4
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,0,1,0,1,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,1,2,1,2,3
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,2,4,2,4,6
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,6,1,6,1,7
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,3,0,3,0,3
