,group,variable,month,L 18.3 DPT 1RA DOSIS,L 18.3 DPT 1RA DOSIS,TOTALES,TOTALES,TOTALES
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,5,0,5,0,5
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,6,1,6,1,7
VILLAZON,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,0,2,0,2,2
VINTO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,2,0,2,0,2
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,2,0,2,0,2
YACUIBA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,1,0,1,0,1
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,4,1,4,1,5
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,0,1,0,1,1
AIQUILE,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,3,0,3,0,3
ALALAY,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,0,2,0,2,2
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,4,2,4,2,6
ATOCHA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,3,0,3,0,3
AYO AYO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,2,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,4,14,4,14,18
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,1,1,1,1,2
BERMEJO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,8,1,8,1,9
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,1,0,1,0,1
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,1,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,0,3,0,3,3
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,1,0,1,0,1
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,1,0,1,0,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,5,11,5,11,16
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,2,1,2,1,3
CARAPARI,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,0,1,0,1,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,44,0,44,0,44
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,9,1,9,1,10
CLIZA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,0,2,0,2,2
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,5,0,5,0,5
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,106,2,106,2,108
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,6,0,6,0,6
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,4,0,4,0,4
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,4,25,4,25,29
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,9,14,9,14,23
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,27,0,27,0,27
COROICO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,2,9,2,9,11
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,1,1,1,1,2
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,5,2,5,2,7
CUEVO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,153,87,153,87,240
EL CHORO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,0,20,0,20,20
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,13,7,13,7,20
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,5,0,5,0,5
ESCOMA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,2,0,2,0,2
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,2,0,2,0,2
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,9,0,9,0,9
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,6,10,6,10,16
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,6,0,6,0,6
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,1,2,1,2,3
HUANUNI,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,1,0,1,0,1
ICHOCA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,0,3,0,3,3
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,4,0,4,0,4
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,85,12,85,12,97
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,0,2,0,2,2
LAJA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,0,1,0,1,1
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,0,1,0,1,1
LURIBAY,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,3,0,3,0,3
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,12,0,12,0,12
MECAPACA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,1,0,1,0,1
MINEROS,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,36,1,36,1,37
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,0,2,0,2,2
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,22,1,22,1,23
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,1,14,1,14,15
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,5,0,5,0,5
PAILON,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,1,3,1,3,4
PALCA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,8,0,8,0,8
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,1,0,1,0,1
POCONA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,2,4,2,4,6
POOPO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,5,0,5,0,5
PRESTO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,0,1,0,1,1
PUCARANI,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,0,9,0,9,9
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,1,0,1,0,1
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,4,0,4,0,4
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,3,3,3,3,6
PUNA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,2,16,2,16,18
PUNATA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,5,0,5,0,5
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,20,0,20,0,20
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,27,0,27,0,27
ROBORE,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,2,0,2,0,2
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,3,0,3,0,3
SABAYA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,20,39,20,39,59
SAIPINA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,4,1,4,1,5
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,0,4,0,4,4
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,1,1,1,1,2
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,2,6,2,6,8
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,1,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,13,46,13,46,59
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,11,0,11,0,11
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,3,0,3,0,3
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,1,0,1,0,1
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,11,0,11,0,11
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,8,3,8,3,11
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,0,1,0,1,1
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,1,0,1,0,1
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,297,48,297,48,345
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,3,0,3,0,3
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,5,0,5,0,5
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,2,0,2,0,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,12,4,12,4,16
TACACOMA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,0,1,0,1,1
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,1,0,1,0,1
TAPACARI,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,4,5,4,5,9
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,29,4,29,4,33
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,8,3,8,3,11
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,5,0,5,0,5
TURCO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,1,0,1,0,1
VIACHA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,1,0,1,0,1
VILA VILA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,0,7,0,7,7
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,4,1,4,1,5
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,2,1,2,1,3
VINTO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,5,0,5,0,5
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,5,0,5,0,5
YACUIBA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,24,2,24,2,26
YOTALA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,4,1,4,1,5
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,0,1,0,1,1
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-02-01,0,10,0,10,10
ACACIO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-03-01,0,11,0,11,11
AIQUILE,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-03-01,1,2,1,2,3
ALALAY,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-03-01,0,2,0,2,2
ANZALDO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-03-01,0,1,0,1,1
APOLO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-03-01,4,12,4,12,16
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-03-01,6,11,6,11,17
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-03-01,2,5,2,5,7
BAURES,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-03-01,0,1,0,1,1
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-03-01,0,1,0,1,1
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-03-01,0,1,0,1,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-03-01,17,12,17,12,29
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-03-01,1,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-03-01,5,8,5,8,13
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-03-01,0,6,0,6,6
CALACOTO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-03-01,5,8,5,8,13
