,group,variable,month,INTERRUPCIONES LEGALES DEL EMBARAZO POR RIESGO DE SALUD DE LA MADRE A. < 15,INTERRUPCIONES LEGALES DEL EMBARAZO POR RIESGO DE SALUD DE LA MADRE B. 15 A 49,INTERRUPCIONES LEGALES DEL EMBARAZO POR RIESGO DE SALUD DE LA MADRE C. 20 - 34,INTERRUPCIONES LEGALES DEL EMBARAZO POR RIESGO DE SALUD DE LA MADRE D. 35 - 49,INTERRUPCIONES LEGALES DEL EMBARAZO POR RIESGO DE SALUD DE LA MADRE E. 50 Y MAS,TOTALES
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-08-01,0,6,20,0,0,26
UYUNI,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-08-01,0,0,2,0,0,2
EL ALTO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-09-01,0,0,5,1,0,6
ORURO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-09-01,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-09-01,0,0,4,0,0,4
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-09-01,0,2,17,1,0,20
EL ALTO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-10-01,0,0,5,3,0,8
ORURO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-10-01,0,0,1,2,0,3
POTOSI,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-10-01,0,4,13,3,0,20
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-10-01,0,3,20,2,0,25
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-10-01,0,5,15,3,0,23
COCHABAMBA,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-11-01,0,1,0,0,0,1
EL ALTO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-11-01,0,0,1,9,0,10
LA PAZ,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-11-01,0,0,6,0,0,6
ORURO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-11-01,0,5,12,11,0,28
POTOSI,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-11-01,0,3,11,1,0,15
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-11-01,0,2,22,4,0,28
EL ALTO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-12-01,0,0,1,3,0,4
LA PAZ,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-12-01,0,0,12,0,0,12
ORURO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-12-01,0,0,5,3,0,8
POTOSI,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-12-01,0,0,12,1,0,13
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-12-01,0,0,24,5,0,29
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-12-01,0,3,11,3,0,17
