municipality,group,variable,month,Pacientes contrareferidos al establecimiento,TOTAL
URUBICHA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,4,4
VALLEGRANDE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,2,2
VILLA CHARCAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,2,2
VILLAZON,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,2,2
ZUDAÑEZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,3,3
AIQUILE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,1,1
ALCALA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,2,2
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,8,8
BERMEJO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,7,7
BUENA VISTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,1,1
CAMIRI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,33,33
CHARAGUA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,1,1
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,1,1
CLIZA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,2,2
COBIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,23,23
COCHABAMBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,9,9
COLQUECHACA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,1,1
COTAGAITA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,1,1
COTOCA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,7,7
CUATRO CAÑADAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,1,1
CULPINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,5,5
EL ALTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,38,38
EL VILLAR,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,1,1
FERNANDEZ ALONSO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,1,1
GUAYARAMERIN,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,1,1
GUTIERREZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,7,7
HUANUNI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,20,20
ICLA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,1,1
LA GUARDIA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,1,1
LA PAZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,372,372
MACHACAMARCA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,2,2
MACHARETI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,2,2
MAIRANA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,11,11
MOJOCOYA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,1,1
MONTEAGUDO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,4,4
MONTERO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,8,8
ORURO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,42,42
POJO (CBBA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,1,1
POROMA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,2,2
PRESTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,6,6
PUERTO RICO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,1,1
RAVELO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,4,4
RIBERALTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,1,1
ROBORE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,2,2
SACABA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,1,1
SAN BENITO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,1,1
SAN CARLOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,2,2
SAN JAVIER(BNI),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,1,1
SAN JULIAN,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,1,1
SAN LUCAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,6,6
SAN MIGUEL DE VELASCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,3,3
SAN PEDRO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,1,1
SAN RAFAEL,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,5,5
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,288,288
SOPACHUY,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,3,3
SUCRE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,87,87
TARIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,18,18
TARVITA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,13,13
TOMINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,2,2
TRINIDAD,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,3,3
TUPIZA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,16,16
VIACHA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,1,1
VILLA CHARCAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,1,1
VILLAZON,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,3,3
YAMPARAEZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,1,1
YOTALA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,3,3
ZUDAÑEZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-02-01,2,2
AIQUILE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,2,2
ALCALA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,1,1
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,16,16
ATOCHA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,1,1
BERMEJO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,10,10
CAMATAQUI (C. VILLA ABECIA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,1,1
CAMIRI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,39,39
CHARAGUA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,1,1
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,1,1
CLIZA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,2,2
COBIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,22,22
COCHABAMBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,7,7
COMARAPA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,1,1
COTOCA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,21,21
CULPINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,1,1
EL ALTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,37,37
EL PUENTE(STC),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,1,1
EL TORNO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,2,2
ENTRE RIOS CBBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,1,1
GUAYARAMERIN,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,2,2
GUTIERREZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,4,4
HUACARETA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,1,1
HUACAYA (VILLA DE HUACAYA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,1,1
HUANUNI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,37,37
ICLA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,2,2
IXIAMAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,1,1
JESUS DE MACHACA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,1,1
LA PAZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,865,865
LAGUNILLAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,1,1
MACHACAMARCA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,3,3
MAIRANA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,12,12
MONTEAGUDO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,3,3
MONTERO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,17,17
MOROCHATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,1,1
OCURI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,1,1
ORURO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,47,47
PADILLA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,1,1
PAILON,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,1,1
POCOATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,1,1
POROMA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,8,8
POTOSI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,1,1
PRESTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,1,1
PUERTO SUAREZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,9,9
QUIRUSILLAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,1,1
RIBERALTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,1,1
ROBORE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,7,7
RURRENABAQUE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,3,3
SAN BORJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,1,1
SAN CARLOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,6,6
SAN IGNACIO DE VELASCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,1,1
SAN JUAN DE YAPACANI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,2,2
SAN JULIAN,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,1,1
SAN LUCAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,2,2
SAN MIGUEL DE VELASCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,3,3
SAN PEDRO DE BUENA VISTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,1,1
SAN RAFAEL,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,2,2
SAN RAMON SCZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,2,2
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,379,379
SOPACHUY,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,3,3
SUCRE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,122,122
TARIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,18,18
TARVITA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,12,12
TIQUIPAYA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,1,1
TIRAQUE (CBBA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,1,1
TOMINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,6,6
TRINIDAD,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,44,44
TUPIZA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,3,3
URUBICHA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,1,1
VALLEGRANDE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,3,3
VILLA CHARCAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,2,2
VILLAZON,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,4,4
ZUDAÑEZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-03-01,1,1
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,13,13
ATOCHA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,3,3
BERMEJO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,13,13
BUENA VISTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,3,3
CABEZAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,2,2
CAMATAQUI (C. VILLA ABECIA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,1,1
CAMIRI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,25,25
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,1,1
COBIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,24,24
COCHABAMBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,3,3
COLQUECHACA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,1,1
COMARAPA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,3,3
CONCEPCION,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,1,1
COTAGAITA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,2,2
COTOCA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,1,1
CULPINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,2,2
CURVA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,2,2
EL ALTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,53,53
EL TORNO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,1,1
EL VILLAR,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,2,2
ENTRE RIOS TRJ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,1,1
ENTRE RIOS CBBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,1,1
GUAYARAMERIN,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,2,2
GUTIERREZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,1,1
HUACARETA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,1,1
HUACHACALLA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,1,1
HUANUNI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,34,34
ICLA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,3,3
LA GUARDIA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,1,1
LA PAZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,416,416
LAGUNILLAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,1,1
MACHACAMARCA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,5,5
MACHARETI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,2,2
MAGDALENA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,1,1
MAIRANA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,2,2
MONTEAGUDO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,2,2
MONTERO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,13,13
OCURI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,1,1
ORURO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,64,64
PAMPA GRANDE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,2,2
POCOATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,1,1
PRESTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,2,2
PUERTO SUAREZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,1,1
PUNATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,1,1
QUILLACOLLO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,1,1
RAVELO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,1,1
SAN BENITO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,1,1
SAN CARLOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,3,3
SAN JAVIER(BNI),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,4,4
SAN JOSE DE CHIQUITOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,1,1
SAN JUAN DE YAPACANI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,1,1
SAN LUCAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,1,1
SAN MIGUEL DE VELASCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,2,2
SAN PEDRO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,5,5
SAN RAFAEL,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,1,1
SAN RAMON SCZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,2,2
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,280,280
SENA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,2,2
SOPACHUY,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,4,4
SUCRE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,279,279
TARABUCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,2,2
TARIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,14,14
TARVITA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,12,12
TEOPONTE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,1,1
TOMINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,3,3
TRINIDAD,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,41,41
TUPIZA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,8,8
VALLEGRANDE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,8,8
VILLA CHARCAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,1,1
VILLA SERRANO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,6,6
VILLA TUNARI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,1,1
VILLAZON,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,5,5
WARNES,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,4,4
YACUIBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,1,1
YAPACANI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,2,2
ZUDAÑEZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-04-01,3,3
ALCALA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-05-01,2,2
ANZALDO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-05-01,1,1
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-05-01,14,14
ATOCHA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-05-01,1,1
BERMEJO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-05-01,26,26
BETANZOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-05-01,1,1
BUENA VISTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-05-01,4,4
CABEZAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-05-01,4,4
CAMARGO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-05-01,1,1
CAMIRI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-05-01,47,47
CHARAGUA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-05-01,2,2
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-05-01,1,1
COBIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-05-01,21,21
COCHABAMBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-05-01,13,13
COLQUECHACA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-05-01,3,3
COMARAPA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-05-01,3,3
COMBAYA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-05-01,1,1
CONCEPCION,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-05-01,1,1
COTOCA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-05-01,12,12
CULPINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-05-01,1,1
