municipality,group,variable,month,Pacientes referidos del establecimiento a la medicina tradicional,TOTAL
SAN LUCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-03-01,1,1
SUCRE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-03-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-03-01,2,2
YACUIBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-03-01,5,5
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-04-01,2,2
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-04-01,1,1
HUACAYA (VILLA DE HUACAYA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-04-01,1,1
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-04-01,1,1
ORURO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-04-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-04-01,22,22
SAN JUAN DE YAPACANI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-04-01,9,9
SAN LUCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-04-01,1,1
SUCRE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-04-01,1,1
TRINIDAD,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-04-01,2,2
VIACHA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-04-01,1,1
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-04-01,6,6
YACUIBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-04-01,6,6
BUENA VISTA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-05-01,1,1
CKOCHAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-05-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-05-01,1,1
COTAGAITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-05-01,1,1
CULPINA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-05-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-05-01,8,8
EL CHORO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-05-01,1,1
HUACAYA (VILLA DE HUACAYA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-05-01,1,1
IXIAMAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-05-01,1,1
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-05-01,3,3
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-05-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-05-01,37,37
QUILLACOLLO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-05-01,1,1
SAN ANTONIO DE LOMERIO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-05-01,1,1
TARVITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-05-01,1,1
TRINIDAD,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-05-01,10,10
VILLA MONTES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-05-01,22,22
YACUIBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-05-01,2,2
AZURDUY,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-06-01,2,2
BERMEJO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-06-01,1,1
CHAQUI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-06-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-06-01,2,2
COTAGAITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-06-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-06-01,66,66
HUACAYA (VILLA DE HUACAYA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-06-01,2,2
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-06-01,1,1
ORURO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-06-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-06-01,38,38
SAN IGNACIO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-06-01,2,2
SAN LUCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-06-01,2,2
TARVITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-06-01,1,1
TINGUIPAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-06-01,1,1
TRINIDAD,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-06-01,15,15
TUPIZA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-06-01,2,2
VILLA MONTES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-06-01,25,25
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-06-01,1,1
YACUIBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-06-01,4,4
CAMIRI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-07-01,2,2
CKOCHAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-07-01,2,2
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-07-01,1,1
COTAGAITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-07-01,3,3
CULPINA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-07-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-07-01,155,155
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-07-01,1,1
HUACAYA (VILLA DE HUACAYA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-07-01,1,1
IRUPANA (VILLA DE LANZA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-07-01,2,2
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-07-01,2,2
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-07-01,31,31
SACACA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-07-01,1,1
SAN LUCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-07-01,2,2
TARVITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-07-01,1,1
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-07-01,3,3
VILLA MONTES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-07-01,21,21
YACUIBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-07-01,4,4
CKOCHAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-08-01,3,3
COTAGAITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-08-01,1,1
EL TORNO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-08-01,1,1
ICLA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-08-01,1,1
LORETO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-08-01,1,1
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-08-01,1,1
MONTERO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-08-01,1,1
PAILON,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-08-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-08-01,29,29
SUCRE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-08-01,1,1
URIONDO (A. CONCEPCION),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-08-01,3,3
VILLA MONTES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-08-01,26,26
YACUIBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-08-01,2,2
YOTALA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-08-01,1,1
BUENA VISTA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-09-01,1,1
CARAPARI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-09-01,1,1
CHAQUI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-09-01,1,1
CKOCHAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-09-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-09-01,1,1
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-09-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-09-01,19,19
SAN IGNACIO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-09-01,2,2
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-09-01,1,1
TRINIDAD,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-09-01,15,15
URIONDO (A. CONCEPCION),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-09-01,1,1
VILLA MONTES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-09-01,29,29
YACUIBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-09-01,15,15
ALCALA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-10-01,1,1
BERMEJO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-10-01,1,1
CKOCHAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-10-01,1,1
COTAGAITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-10-01,3,3
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-10-01,3,3
EL VILLAR,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-10-01,1,1
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-10-01,1,1
ORURO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-10-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-10-01,23,23
PUNATA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-10-01,1,1
SUCRE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-10-01,108,108
TARVITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-10-01,1,1
TOMAVE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-10-01,1,1
TUPIZA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-10-01,1,1
VILLA MONTES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-10-01,25,25
YACUIBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-10-01,1,1
BUENA VISTA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-11-01,1,1
CARAPARI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-11-01,1,1
CKOCHAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-11-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-11-01,1,1
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-11-01,2,2
ENTRE RIOS TRJ,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-11-01,3,3
HUACAYA (VILLA DE HUACAYA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-11-01,1,1
ICLA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-11-01,1,1
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-11-01,1,1
ORURO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-11-01,2,2
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-11-01,2,2
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-11-01,52,52
SAN JULIAN,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-11-01,1,1
TRINIDAD,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-11-01,1,1
URIONDO (A. CONCEPCION),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-11-01,3,3
VILLA MONTES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-11-01,27,27
VILLAZON,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-11-01,1,1
YACUIBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-11-01,1,1
BERMEJO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-12-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-12-01,1,1
ORURO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-12-01,1,1
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-12-01,4,4
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-12-01,32,32
SAN LUCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-12-01,1,1
TRINIDAD,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-12-01,20,20
UNCIA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-12-01,1,1
VILLA MONTES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-12-01,23,23
