,group,variable,month,INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,2,0,0,0,2,0,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,2,8,4,3,6,11,17
CHAQUI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,1,1,0,0,1,1,2
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,4,10,28,25,32,35,67
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,1,0,0,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,9,4,0,0,9,4,13
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,0,2,0,0,0,2,2
COBIJA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,7,4,0,0,7,4,11
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,104,83,1,3,105,86,191
COPACABANA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,3,3,0,2,3,5,8
COROICO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,4,10,1,3,5,13,18
CORQUE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,3,2,0,0,3,2,5
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,1,0,0,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,7,11,0,0,7,11,18
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,7,2,0,1,7,3,10
EL ALTO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,117,93,14,19,131,112,243
EL CHORO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,1,0,0,0,1,0,1
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,8,12,0,1,8,13,21
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,1,0,0,0,1,0,1
ESCOMA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,0,0,1,3,1,3,4
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,1,0,0,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,12,19,2,0,14,19,33
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,2,0,0,0,2,0,2
HUMANATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,0,0,2,0,2,0,2
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,2,2,0,0,2,2,4
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,2,2,3,0,5,2,7
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,11,6,5,1,16,7,23
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,12,9,3,0,15,9,24
LA PAZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,210,236,1,7,211,243,454
LAJA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,4,3,0,0,4,3,7
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,0,3,0,0,0,3,3
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,2,0,0,0,2,0,2
MAPIRI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,3,4,0,0,3,4,7
MINEROS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,15,20,0,0,15,20,35
MONTERO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,50,42,1,5,51,47,98
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,1,0,1,0,2,0,2
OKINAWA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,5,9,1,1,6,10,16
ORURO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,152,140,2,1,154,141,295
PADILLA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,4,3,0,0,4,3,7
PAILON,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,3,4,7,2,10,6,16
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,7,5,2,4,9,9,18
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,1,1,0,1,1,2,3
PAZÑA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,1,0,0,1,1,1,2
POOPO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,1,6,0,0,1,6,7
POTOSI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,4,5,0,0,4,5,9
PUCARANI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,0,0,0,1,0,1,1
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,1,1,0,0,1,1,2
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,1,1,0,0,1,1,2
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,10,11,0,0,10,11,21
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,5,0,2,2,7,2,9
PUNA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,0,0,1,1,1,1,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,9,9,6,9,15,18,33
REYES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,4,1,0,0,4,1,5
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,6,9,1,2,7,11,18
ROBORE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,1,1,0,0,1,1,2
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,3,2,0,0,3,2,5
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,4,2,4,2,8,4,12
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,12,17,0,0,12,17,29
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,1,0,1,1,2,1,3
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,20,28,0,0,20,28,48
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,3,1,1,0,4,1,5
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,8,4,0,0,8,4,12
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,2,3,0,0,2,3,5
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,2,1,0,0,2,1,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,20,10,7,5,27,15,42
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,2,1,1,1,3,2,5
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,0,0,0,1,0,1,1
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,3,1,0,0,3,1,4
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,1,0,0,0,1,0,1
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,0,0,1,0,1,0,1
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,1,1,6,4,7,5,12
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,230,214,0,0,230,214,444
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,4,2,0,4,4,6,10
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,1,1,1,2,2,3,5
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,2,2,0,0,2,2,4
SENA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,3,8,0,0,3,8,11
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,1,0,0,0,1,0,1
SORATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,1,6,3,1,4,7,11
SUCRE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,7,4,0,0,7,4,11
TARIJA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,15,13,0,0,15,13,28
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,0,0,1,1,1,1,2
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,1,3,3,0,4,3,7
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,0,0,0,1,0,1,1
TOLEDO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,1,1,0,0,1,1,2
TOMAVE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,0,1,0,0,0,1,1
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,0,1,3,1,3,2,5
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,53,42,0,0,53,42,95
TUPIZA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,1,1,3,4,4,5,9
TURCO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,1,0,2,3,3,3,6
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,6,4,1,2,7,6,13
UYUNI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,22,30,6,5,28,35,63
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,1,0,0,0,1,0,1
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,0,1,1,2,1,3,4
VILLAZON,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,10,5,0,0,10,5,15
WALDO BALLIVIAN,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,0,1,0,0,0,1,1
WARNES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,52,53,2,2,54,55,109
YACUIBA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,10,8,3,4,13,12,25
YANACACHI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,1,3,0,0,1,3,4
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,12,12,13,7,25,19,44
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,2,3,0,0,2,3,5
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,0,1,0,0,0,1,1
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,1,0,0,1,1,1,2
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,1,1,0,1,1,2,3
ATOCHA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,1,1,0,0,1,1,2
BATALLAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,20,16,3,2,23,18,41
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,1,0,1,0,2,0,2
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,1,0,0,0,1,0,1
BETANZOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,11,7,2,0,13,7,20
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,2,1,1,1,3,2,5
CALACOTO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,1,2,0,0,1,2,3
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,8,6,4,4,12,10,22
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,2,1,0,0,2,1,3
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,3,3,5,5,8,8,16
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,3,3,0,0,3,3,6
CHAQUI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,0,2,0,0,0,2,2
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,39,31,17,13,56,44,100
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,0,0,5,1,5,1,6
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,4,10,0,6,4,16,20
CHUMA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,0,1,0,0,0,1,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,6,2,0,0,6,2,8
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,44,31,1,2,45,33,78
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,1,3,0,1,1,4,5
COMANCHE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,0,1,0,0,0,1,1
COPACABANA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,3,3,1,0,4,3,7
COROICO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,4,2,2,0,6,2,8
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,2,2,0,0,2,2,4
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,1,0,0,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,21,31,69,93,90,124,214
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,7,6,1,0,8,6,14
ESCOMA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,1,1,3,3,4,4,8
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,2,1,1,1,3,2,5
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,3,2,1,0,4,2,6
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,1,0,0,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,0,0,1,0,1,0,1
HUACARETA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,1,2,0,0,1,2,3
HUANUNI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,3,2,2,1,5,3,8
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,1,3,2,0,3,3,6
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,11,7,0,1,11,8,19
LA PAZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,92,93,2,2,94,95,189
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,4,4,0,0,4,4,8
MONTERO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,39,34,2,1,41,35,76
NAZACARA DE PACAJES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,2,3,0,0,2,3,5
ORURO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,52,48,4,1,56,49,105
PAILON,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,1,11,40,42,41,53,94
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,7,12,4,3,11,15,26
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,0,1,0,0,0,1,1
POOPO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,2,1,0,0,2,1,3
POROMA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,3,4,1,2,4,6,10
PORONGO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,0,1,0,0,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,0,2,0,0,0,2,2
PRESTO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,1,0,1,2,2,2,4
PUCARANI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,1,0,0,1,1,1,2
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,0,0,2,1,2,1,3
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,1,0,1,0,2,0,2
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,3,2,1,4,4,6,10
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,3,4,0,0,3,4,7
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,5,9,1,1,6,10,16
PUNA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,0,0,1,2,1,2,3
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,2,1,0,0,2,1,3
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,10,6,8,7,18,13,31
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,5,3,4,1,9,4,13
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,1,2,0,0,1,2,3
SABAYA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,0,0,8,4,8,4,12
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,1,0,2,3,3,3,6
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,0,2,0,0,0,2,2
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,0,2,0,0,0,2,2
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,0,0,3,3,3,3,6
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,3,2,0,0,3,2,5
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,5,7,3,2,8,9,17
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,5,2,0,0,5,2,7
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,3,0,3,2,6,2,8
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,0,0,1,0,1,0,1
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,6,8,0,0,6,8,14
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,63,61,0,0,63,61,124
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,0,0,2,1,2,1,3
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,1,0,0,0,1,0,1
SENA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,5,5,2,0,7,5,12
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,9,6,0,0,9,6,15
SORACACHI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,3,6,1,0,4,6,10
SORATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,0,0,0,2,0,2,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,17,15,0,0,17,15,32
TIAHUANACU,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,1,1,0,0,1,1,2
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,0,0,3,4,3,4,7
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,0,1,1,2,1,3,4
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,0,2,2,2,2,4,6
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,30,34,5,8,35,42,77
TUPIZA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,5,4,2,0,7,4,11
UMALA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,0,2,0,0,0,2,2
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,1,2,2,0,3,2,5
UYUNI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,13,21,0,1,13,22,35
VILLAZON,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,9,3,0,0,9,3,12
VITICHI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,1,3,4,2,5,5,10
WARNES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,15,16,11,6,26,22,48
YANACACHI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-02-01,1,3,0,0,1,3,4
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-03-01,1,0,0,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-03-01,2,3,2,0,4,3,7
ORURO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-03-01,2,0,0,0,2,0,2
POROMA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-03-01,2,0,2,0,4,0,4
