,group,variable,month,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS FUERA,SRP 2DA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
AYATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,3,3,0,1,3,4,7
AYO AYO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,0,0,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,0,5,3,2,3,7,10
BATALLAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,10,10,2,0,12,10,22
BAURES,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,2,0,0,1,2,3
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,0,0,0,1,0,1,1
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,0,2,2,4,2,6,8
BERMEJO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,20,18,7,3,27,21,48
BETANZOS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,4,3,1,1,5,4,9
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,5,5,3,0,8,5,13
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,3,1,0,0,3,1,4
CABEZAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,6,7,0,0,6,7,13
CAIROMA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,3,0,0,0,3,0,3
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,0,0,1,0,1,0,1
CAJUATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,2,2,0,1,2,3,5
CALACOTO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,0,0,0,1,0,1
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,7,4,3,1,10,5,15
CAMARGO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,6,6,0,0,6,6,12
CAMIRI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,9,15,1,0,10,15,25
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,3,4,0,0,3,4,7
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,5,3,0,0,5,3,8
CARANAVI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,11,10,0,0,11,10,21
CARAPARI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,11,11,2,3,13,14,27
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,1,0,0,1,1,2
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,3,0,0,1,3,4
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,0,2,1,0,1,2,3
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,3,7,1,0,4,7,11
CHAQUI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,4,5,1,0,5,5,10
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,3,2,2,0,5,2,7
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,0,1,1,2,1,3
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,0,1,0,0,0,1,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,7,11,0,0,7,11,18
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,0,1,0,1,0,2,2
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,6,3,0,0,6,3,9
CHUMA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,4,0,0,1,4,5
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,1,0,0,1,1,2
CLIZA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,13,12,2,1,15,13,28
COBIJA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,34,29,4,2,38,31,69
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,293,256,1,2,294,258,552
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,2,1,0,0,2,1,3
COLLANA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,3,1,0,0,3,1,4
COLOMI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,4,8,0,0,4,8,12
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,6,5,0,0,6,5,11
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,3,6,5,3,8,9,17
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,7,7,0,0,7,7,14
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,3,1,2,2,5,3,8
COMARAPA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,6,1,0,0,6,1,7
COMBAYA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,0,0,0,1,0,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,5,14,5,3,10,17,27
COPACABANA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,2,3,1,1,3,4,7
CORIPATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,6,5,0,0,6,5,11
CORO CORO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,0,3,2,4,2,6
COROICO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,0,2,0,0,0,2,2
CORQUE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,0,0,0,1,0,1,1
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,3,4,0,1,3,5,8
COTOCA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,56,45,3,3,59,48,107
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,2,5,2,0,4,5,9
CUEVO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,0,2,2,2,2,4,6
CULPINA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,0,2,0,0,0,2,2
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,2,3,0,0,2,3,5
CURVA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,0,1,0,2,0,2
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,1,1,0,2,1,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,295,311,42,33,337,344,681
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,2,9,0,0,2,9,11
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,12,9,0,0,12,9,21
EL TORNO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,45,49,3,1,48,50,98
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,10,10,0,3,10,13,23
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,3,3,0,0,3,3,6
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,0,0,0,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,5,7,3,4,8,11,19
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,2,5,3,6,5,11
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,12,8,0,0,12,8,20
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,0,0,2,0,2,0,2
GUANAY,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,2,0,1,1,3,1,4
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,14,16,3,1,17,17,34
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,3,0,0,1,3,4
HUACARETA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,0,2,0,0,0,2,2
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,2,0,0,1,2,3
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,2,0,0,0,2,0,2
HUANUNI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,4,5,0,1,4,6,10
HUARINA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,2,0,0,1,2,3
ICLA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,0,0,4,1,4,1,5
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,0,1,1,0,1,1,2
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,0,0,0,1,0,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,6,5,0,2,6,7,13
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,2,3,0,0,2,3,5
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,5,5,0,0,5,5,10
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,2,4,1,0,3,4,7
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,10,18,4,3,14,21,35
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,52,47,23,36,75,83,158
LA PAZ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,328,304,0,0,328,304,632
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,0,0,0,1,0,1,1
LAJA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,9,9,2,1,11,10,21
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,2,0,0,0,2,0,2
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,4,1,4,2,8,10
MACHARETI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,1,0,0,1,1,2
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,2,5,2,1,4,6,10
MAIRANA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,3,7,0,0,3,7,10
MAPIRI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,13,9,0,2,13,11,24
MECAPACA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,5,4,0,0,5,4,9
MINEROS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,19,16,1,1,20,17,37
MIZQUE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,2,3,2,4,4,8
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,4,2,5,6,9,8,17
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,2,3,0,0,2,3,5
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,23,5,3,2,26,7,33
MONTERO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,71,85,5,4,76,89,165
MORO MORO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,0,0,2,0,2,0,2
OCURI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,0,0,0,1,0,1,1
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,2,3,0,4,2,6
ORURO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,165,134,3,4,168,138,306
PADCAYA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,4,4,0,0,4,4,8
PADILLA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,2,5,0,0,2,5,7
PAILON,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,1,0,0,1,1,2
PALCA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,2,5,1,6,3,9
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,2,6,3,4,5,10,15
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,3,0,0,1,3,1,4
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,7,9,1,0,8,9,17
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,1,1,0,2,1,3
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,0,0,1,0,1,0,1
PAZÑA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,4,1,0,0,4,1,5
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,3,2,1,0,4,2,6
POCOATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,0,0,3,7,3,7,10
POCONA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,2,2,2,0,4,2,6
PORCO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,8,3,0,0,8,3,11
POROMA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,0,0,1,1,1,2
PORONGO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,5,11,5,6,10,17,27
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,11,12,0,0,11,12,23
PORVENIR,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,4,3,1,4,5,9
POTOSI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,137,133,22,24,159,157,316
PRESTO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,0,4,0,3,0,7,7
PUCARA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,0,1,0,0,0,1,1
PUCARANI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,10,13,5,2,15,15,30
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,0,1,0,0,0,1,1
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,2,3,1,2,3,5,8
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,1,0,0,1,1,2
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,2,0,0,0,2,0,2
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,6,4,0,0,6,4,10
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,5,7,5,5,10,12,22
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,38,29,1,0,39,29,68
PUNA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,0,4,2,3,2,7,9
PUNATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,19,14,2,2,21,16,37
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,2,3,0,1,2,4,6
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,13,15,4,9,17,24,41
QUIME,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,9,14,5,2,14,16,30
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,3,0,0,1,3,4
RAQAYPAMPA(ETA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,0,0,0,1,0,1
RAVELO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,2,4,3,0,5,4,9
REYES,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,6,4,0,0,6,4,10
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,10,6,0,0,10,6,16
ROBORE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,16,15,0,0,16,15,31
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,20,22,0,0,20,22,42
SABAYA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,0,0,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,48,49,19,19,67,68,135
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,0,3,0,0,0,3,3
SACACA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,1,3,2,4,3,7
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,2,4,0,1,2,5,7
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,10,10,2,1,12,11,23
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,0,0,0,1,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,3,1,1,1,4,2,6
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,0,0,1,1,1,2
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,23,18,1,1,24,19,43
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,8,9,1,1,9,10,19
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,4,2,0,0,4,2,6
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,6,9,1,2,7,11,18
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,23,23,3,3,26,26,52
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,14,10,0,0,14,10,24
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,10,6,11,10,21,16,37
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,3,2,2,0,5,2,7
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,23,24,2,6,25,30,55
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,7,16,1,1,8,17,25
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,13,5,1,3,14,8,22
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,5,3,0,1,5,4,9
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,8,3,1,2,9,5,14
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,1,0,0,1,1,2
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,5,5,0,0,5,5,10
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,4,6,2,2,6,8,14
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,1,2,1,3,2,5
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,0,0,0,2,0,2,2
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,0,0,0,1,0,1,1
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,6,9,5,2,11,11,22
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,0,0,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,7,11,0,0,7,11,18
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,530,521,8,6,538,527,1065
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,0,0,0,1,0,1
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,3,9,0,0,3,9,12
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,0,2,0,0,0,2,2
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,0,0,0,1,0,1
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,0,4,1,5,1,6
SENA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,1,0,0,1,1,2
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,18,23,3,5,21,28,49
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,4,6,4,4,8,10,18
SICAYA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,2,0,0,0,2,0,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,6,2,0,0,6,2,8
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,3,3,0,1,3,4,7
SORACACHI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,0,1,0,0,0,1,1
SORATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,4,5,0,1,4,6,10
SUCRE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,145,103,2,1,147,104,251
TACACOMA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,3,3,0,0,3,3,6
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,1,0,3,1,4,5
TAHUA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,0,0,1,0,1,0,1
TAPACARI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,2,1,3,1,5,2,7
TARABUCO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,2,1,2,2,4,6
TARATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,8,7,4,4,12,11,23
TARIJA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,117,117,10,12,127,129,256
TARVITA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,0,0,6,1,6,1,7
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,3,4,0,0,3,4,7
