,group,variable,month,PENTAVALENTE 4TA. DOSIS DENTRO,PENTAVALENTE 4TA. DOSIS DENTRO,PENTAVALENTE 4TA. DOSIS FUERA,PENTAVALENTE 4TA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,24,13,1,0,25,13,38
ATOCHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,9,4,1,0,10,4,14
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,3,2,0,2,3,4,7
AYATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,3,2,0,1,3,3,6
AYO AYO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,10,1,0,1,10,2,12
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,11,8,3,0,14,8,22
AZURDUY,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,5,3,2,0,7,3,10
BATALLAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,15,12,2,1,17,13,30
BAURES,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,7,4,0,0,7,4,11
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,5,0,1,5,6,5,11
BERMEJO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,28,26,8,4,36,30,66
BETANZOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,10,13,4,3,14,16,30
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,1,2,2,1,3,3,6
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,5,5,3,0,8,5,13
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,8,5,0,0,8,5,13
CABEZAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,12,11,6,5,18,16,34
CAIROMA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,3,1,0,1,3,2,5
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,9,6,0,0,9,6,15
CAJUATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,8,5,0,1,8,6,14
CALACOTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,1,0,0,0,1,0,1
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,3,8,4,2,7,10,17
CAMARGO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,7,6,1,1,8,7,15
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,1,1,1,0,2,1,3
CAMIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,28,32,2,2,30,34,64
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,18,10,0,1,18,11,29
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,4,5,0,1,4,6,10
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,7,7,3,2,10,9,19
CARANAVI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,27,40,1,3,28,43,71
CARAPARI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,11,15,3,2,14,17,31
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,4,4,2,1,6,5,11
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,4,5,1,2,5,7,12
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,0,2,1,0,1,2,3
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,11,8,1,1,12,9,21
CHAQUI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,4,6,1,0,5,6,11
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,5,7,2,1,7,8,15
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,1,2,0,0,1,2,3
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,5,7,1,1,6,8,14
CHIMORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,12,23,1,0,13,23,36
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,0,1,0,1,0,2,2
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,7,6,0,0,7,6,13
CHUMA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,1,4,0,1,1,5,6
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,4,3,4,3,8,6,14
CLIZA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,15,21,1,4,16,25,41
COBIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,36,27,4,2,40,29,69
COCAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,3,2,1,3,4,5,9
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,487,456,5,6,492,462,954
COIPASA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,0,0,1,0,1,0,1
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,25,40,0,1,25,41,66
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,3,5,0,1,3,6,9
COLLANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,1,1,0,0,1,1,2
COLOMI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,16,11,1,2,17,13,30
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,10,6,1,0,11,6,17
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,20,18,13,6,33,24,57
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,7,7,0,0,7,7,14
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,9,4,5,2,14,6,20
COMANCHE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,1,1,0,0,1,1,2
COMARAPA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,15,13,0,0,15,13,28
COMBAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,1,0,1,1,2,1,3
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,8,15,3,2,11,17,28
COPACABANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,4,5,1,2,5,7,12
CORIPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,11,5,0,0,11,5,16
CORO CORO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,2,4,1,1,3,5,8
COROICO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,7,6,2,1,9,7,16
CORQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,1,3,0,1,1,4,5
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,7,11,1,3,8,14,22
COTOCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,57,49,1,5,58,54,112
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,14,16,4,0,18,16,34
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,0,3,0,1,0,4,4
CUEVO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,0,0,1,0,1,0,1
CULPINA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,11,10,1,0,12,10,22
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,3,1,1,0,4,1,5
CURVA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,1,0,3,0,4,0,4
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,1,3,0,0,1,3,4
EL ALTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,458,473,79,74,537,547,1084
EL CHORO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,1,0,0,0,1,0,1
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,3,7,0,1,3,8,11
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,10,7,0,0,10,7,17
EL TORNO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,42,40,5,2,47,42,89
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,0,1,0,0,0,1,1
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,12,9,0,8,12,17,29
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,28,32,8,3,36,35,71
ESCARA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,1,0,0,0,1,0,1
ESCOMA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,1,1,3,0,4,1,5
ESMERALDA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,0,1,0,0,0,1,1
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,2,3,0,0,2,3,5
EXALTACION,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,0,2,0,0,0,2,2
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,3,10,5,2,8,12,20
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,5,4,4,4,9,8,17
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,6,12,1,0,7,12,19
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,6,0,1,0,7,0,7
GUANAY,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,5,9,10,11,15,20,35
GUAQUI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,3,8,2,0,5,8,13
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,22,28,1,1,23,29,52
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,2,5,1,2,3,7,10
HUACARETA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,6,2,0,5,6,7,13
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,1,1,0,1,1,2,3
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,1,0,0,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,7,7,0,2,7,9,16
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,2,0,0,0,2,0,2
HUARINA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,1,1,0,0,1,1,2
HUMANATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,1,1,0,2,1,3,4
ICHOCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,0,1,1,1,1,2,3
ICLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,1,1,2,1,3,2,5
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,7,7,1,4,8,11,19
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,2,1,0,0,2,1,3
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,7,6,2,2,9,8,17
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,7,3,2,2,9,5,14
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,6,4,2,3,8,7,15
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,4,10,1,0,5,10,15
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,25,30,3,2,28,32,60
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,93,97,1,2,94,99,193
LA PAZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,459,446,1,0,460,446,906
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,3,4,2,2,5,6,11
LAJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,12,14,2,1,14,15,29
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,0,1,0,0,0,1,1
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,4,0,0,0,4,0,4
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,11,13,12,11,23,24,47
LLICA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,0,1,0,0,0,1,1
LORETO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,1,2,0,0,1,2,3
LURIBAY,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,1,0,2,0,3,0,3
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,3,3,0,0,3,3,6
MACHARETI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,1,2,2,0,3,2,5
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,3,7,5,2,8,9,17
MAIRANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,3,12,0,0,3,12,15
MALLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,0,0,2,3,2,3,5
MAPIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,10,9,0,1,10,10,20
MECAPACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,4,4,2,0,6,4,10
MINEROS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,27,26,0,0,27,26,53
MIZQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,17,9,8,6,25,15,40
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,5,6,4,5,9,11,20
MOJINETE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,1,0,0,0,1,0,1
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,3,3,2,1,5,4,9
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,19,16,0,0,19,16,35
MONTERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,112,112,7,7,119,119,238
MORO MORO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,2,0,3,0,5,0,5
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,1,0,2,1,3,1,4
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,2,0,0,0,2,0,2
NAZACARA DE PACAJES,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,0,2,0,0,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,1,0,0,1,1,1,2
OCURI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,4,2,4,3,8,5,13
OKINAWA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,6,13,1,0,7,13,20
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,3,3,7,5,10,8,18
ORURO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,223,164,6,10,229,174,403
PADCAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,9,7,0,0,9,7,16
PADILLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,5,7,0,0,5,7,12
PAILON,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,14,11,4,5,18,16,34
PALCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,6,11,6,0,12,11,23
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,21,18,3,1,24,19,43
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,6,11,1,0,7,11,18
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,1,4,2,0,3,4,7
PASORAPA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,0,1,0,0,0,1,1
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,15,7,4,6,19,13,32
PAZÑA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,2,4,0,0,2,4,6
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,7,4,1,0,8,4,12
POCOATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,6,2,2,2,8,4,12
POCONA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,4,3,5,4,9,7,16
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,4,3,0,0,4,3,7
POOPO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,2,2,0,0,2,2,4
PORCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,8,7,0,0,8,7,15
POROMA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,2,4,4,3,6,7,13
PORONGO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,4,7,4,5,8,12,20
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,18,18,1,1,19,19,38
PORVENIR,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,2,6,1,4,3,10,13
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,4,0,0,0,4,0,4
POTOSI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,171,140,23,24,194,164,358
PRESTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,2,3,1,3,3,6,9
PUCARA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,0,2,0,0,0,2,2
PUCARANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,10,10,7,4,17,14,31
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,0,2,0,0,0,2,2
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,9,8,1,2,10,10,20
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,4,4,3,3,7,7,14
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,1,1,1,1,2,2,4
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,7,8,0,0,7,8,15
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,7,3,1,2,8,5,13
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,8,8,5,4,13,12,25
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,46,46,2,1,48,47,95
PUNA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,2,4,7,3,9,7,16
PUNATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,26,14,5,4,31,18,49
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,2,1,0,2,2,3,5
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,65,47,41,47,106,94,200
QUIME,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,4,9,0,0,4,9,13
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,1,3,0,0,1,3,4
RAQAYPAMPA(ETA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,4,4,3,0,7,4,11
RAVELO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,2,3,4,0,6,3,9
REYES,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,7,4,2,2,9,6,15
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,54,46,1,2,55,48,103
ROBORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,9,9,0,0,9,9,18
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,22,25,1,1,23,26,49
SABAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,0,1,0,0,0,1,1
SACABA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,106,83,41,26,147,109,256
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,2,4,0,0,2,4,6
SACACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,2,1,1,2,3,3,6
SAIPINA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,1,2,0,0,1,2,3
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,2,8,3,2,5,10,15
