,group,variable,month,PENTAVALENTE 3RA DOSIS DENTRO,PENTAVALENTE 3RA DOSIS DENTRO,PENTAVALENTE 3RA DOSIS FUERA,PENTAVALENTE 3RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,0,1,0,0,0,1,1
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,0,0,1,1,1,1,2
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,1,0,0,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,1,3,0,1,1,4,5
COCAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,0,0,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,23,18,1,2,24,20,44
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,2,0,0,0,2,0,2
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,1,1,0,0,1,1,2
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,1,0,1,1,2,1,3
CORIPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,3,0,1,0,4,0,4
COROICO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,1,1,0,0,1,1,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,6,6,0,0,6,6,12
EL ALTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,14,24,6,5,20,29,49
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,0,0,0,2,0,2,2
EL TORNO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,1,0,0,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,0,4,0,0,0,4,4
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,1,0,0,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,4,1,1,0,5,1,6
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,2,0,1,0,3,0,3
HUANUNI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,1,1,0,0,1,1,2
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,1,0,0,0,1,0,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,0,1,0,0,0,1,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,3,2,1,1,4,3,7
LA PAZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,11,20,0,0,11,20,31
MAIRANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,1,0,0,0,1,0,1
MAPIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,2,0,0,0,2,0,2
MINEROS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,1,2,0,0,1,2,3
MIZQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,2,0,0,1,2,1,3
MONTERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,1,3,0,2,1,5,6
OKINAWA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,1,0,0,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,4,9,0,0,4,9,13
PAILON,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,3,2,1,0,4,2,6
PORONGO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,0,0,0,1,0,1,1
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,0,0,0,1,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,4,8,5,2,9,10,19
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,0,1,0,0,0,1,1
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,0,0,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,3,0,1,0,4,0,4
PUNATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,0,0,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,6,1,6,4,12,5,17
REYES,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,1,1,0,0,1,1,2
ROBORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,1,0,0,0,1,0,1
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,2,0,0,0,2,0,2
SACABA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,5,6,1,2,6,8,14
SACACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,1,0,0,0,1,0,1
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,0,1,0,0,0,1,1
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,0,0,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,2,6,0,1,2,7,9
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,1,0,0,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,1,2,0,0,1,2,3
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,3,3,0,2,3,5,8
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,0,0,1,1,1,1,2
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,1,0,0,0,1,0,1
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,0,1,0,0,0,1,1
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,0,1,0,0,0,1,1
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,0,0,0,1,0,1,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,0,3,0,1,0,4,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,49,55,0,1,49,56,105
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,1,0,0,0,1,0,1
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,1,0,0,0,1,0,1
SENA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,0,0,2,0,2,0,2
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,2,6,0,0,2,6,8
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,7,3,0,0,7,3,10
SORATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,1,1,1,1,2,2,4
SUCRE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,3,5,1,0,4,5,9
TARACO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,0,1,0,0,0,1,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,2,4,1,0,3,4,7
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,3,1,0,1,3,2,5
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,0,2,1,0,1,2,3
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,4,9,0,0,4,9,13
TUPIZA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,3,6,0,0,3,6,9
UYUNI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,1,0,0,0,1,0,1
VACAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,0,0,0,1,0,1,1
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,0,1,0,0,0,1,1
VIACHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,1,0,1,0,2,0,2
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,0,0,0,1,0,1,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,5,4,1,0,6,4,10
VILLAZON,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,1,1,0,0,1,1,2
VINTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,1,0,1,1,2,1,3
WARNES,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,11,9,0,0,11,9,20
YACUIBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,3,2,1,0,4,2,6
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,0,1,0,1,0,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,1,0,0,0,1,0,1
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,1,0,0,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,2,1,0,0,2,1,3
ATOCHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,4,1,0,0,4,1,5
BATALLAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,0,1,0,1,0,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,2,0,0,0,2,2
CABEZAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,0,0,1,0,1,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,1,0,0,0,1,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,2,1,1,0,3,1,4
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,1,0,0,0,1,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,1,1,0,0,1,1,2
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,1,0,0,0,1,0,1
CLIZA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,0,1,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,2,1,0,0,2,1,3
COCAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,0,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,14,10,0,0,14,10,24
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,2,0,1,0,3,3
COLOMI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,0,0,1,0,1,1
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,4,5,0,0,4,5,9
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,1,0,0,0,1,0,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,3,0,1,0,4,0,4
COPACABANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,0,1,0,1,0,1
CORIPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,1,4,0,0,1,4,5
CORO CORO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,0,1,0,1,0,1
COROICO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,0,2,0,2,0,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,3,4,0,1,3,5,8
EL ALTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,24,22,10,9,34,31,65
EL TORNO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,0,0,1,0,1,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,2,1,1,0,3,1,4
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,0,0,1,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,1,1,1,0,2,1,3
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,0,1,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,1,2,0,2,1,3
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,1,0,0,0,1,0,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,1,0,0,0,1,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,2,2,1,1,3,3,6
LA PAZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,11,10,0,0,11,10,21
LLICA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,0,0,1,0,1,1
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,1,0,1,0,2,0,2
MACHARETI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,1,0,0,0,1,0,1
MAIRANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,1,1,0,0,1,1,2
MINEROS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,1,0,0,1,1,1,2
MONTERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,1,4,1,4,2,6
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,0,0,1,0,1,1
OKINAWA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,6,2,0,0,6,2,8
ORURO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,6,7,0,0,6,7,13
PAILON,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,1,2,4,3,5,5,10
PALCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,2,1,0,0,2,1,3
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,1,0,1,0,2,0,2
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,1,0,1,0,2,2
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,2,1,0,0,2,1,3
PORCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,1,0,0,0,1,1
PORONGO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,1,0,0,0,1,1
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,3,0,0,0,3,0,3
POTOSI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,7,6,1,2,8,8,16
PUCARANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,1,1,0,0,1,1,2
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,2,4,1,0,3,4,7
PUNATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,1,0,1,0,2,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,4,0,1,6,5,6,11
QUIME,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,1,0,0,0,1,1
REYES,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,1,0,0,0,1,0,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,8,3,1,2,9,5,14
ROBORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,1,0,0,1,1,1,2
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,4,3,0,0,4,3,7
SACABA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,5,1,1,1,6,2,8
SACACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,0,1,0,1,0,1
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,1,0,0,0,1,0,1
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,1,0,0,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,3,0,1,1,4,1,5
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,2,5,1,0,3,5,8
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,2,0,0,1,2,1,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,0,5,4,5,4,9
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,1,0,0,0,1,1
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,0,0,1,0,1,1
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,1,0,0,0,1,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,2,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,67,63,4,11,71,74,145
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,1,0,0,0,1,1
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,1,0,0,0,1,1
SENA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,3,0,1,0,4,0,4
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,2,0,0,0,2,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,6,7,0,0,6,7,13
SORATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,1,0,0,0,1,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,2,3,0,0,2,3,5
TACACHI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,0,0,1,0,1,1
TAPACARI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,1,0,0,0,1,1
TARACO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,1,0,0,0,1,1
TARATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,1,0,0,0,1,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,1,3,1,0,2,3,5
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,3,0,0,0,3,0,3
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,3,1,0,1,3,4
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,1,0,0,0,1,0,1
TOCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,1,0,0,0,1,1
TOMAVE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,0,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,6,5,0,0,6,5,11
TUPIZA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,1,2,0,0,1,2,3
UYUNI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,0,1,0,0,0,1,1
VIACHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,2,1,0,0,2,1,3
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,1,1,0,0,1,1,2
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,3,1,2,1,5,2,7
VINTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,1,2,2,2,3,4,7
WARNES,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,5,2,2,0,7,2,9
YACUIBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,3,2,1,1,4,3,7
YAPACANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-02-01,1,0,1,0,2,0,2
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-03-01,0,1,1,0,1,1,2
AIQUILE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-03-01,0,1,1,2,1,3,4
ARANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-03-01,0,0,1,0,1,0,1
ARQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-03-01,2,0,0,1,2,1,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-03-01,6,0,0,0,6,0,6
ATOCHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-03-01,3,3,0,0,3,3,6
BATALLAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-03-01,1,0,0,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-03-01,0,0,0,1,0,1,1
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-03-01,1,0,0,0,1,0,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-03-01,0,1,0,0,0,1,1
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-03-01,0,0,0,1,0,1,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-03-01,0,0,1,0,1,0,1
CARAPARI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-03-01,1,0,0,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-03-01,0,0,3,1,3,1,4
