,group,variable,month,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS FUERA,SRP 1RA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
ATOCHA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,8,11,2,2,10,13,23
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,2,2,0,1,2,3,5
AYATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,2,0,0,1,2,1,3
AYO AYO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,3,3,0,0,3,3,6
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,4,5,7,13,11,18,29
AZURDUY,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,1,1,4,8,5,9,14
BATALLAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,8,9,1,5,9,14,23
BAURES,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,6,8,0,0,6,8,14
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,0,0,0,1,0,1,1
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,0,0,2,2,2,2,4
BERMEJO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,29,17,2,3,31,20,51
BETANZOS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,15,19,6,5,21,24,45
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,1,2,4,2,5,4,9
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,0,0,2,2,2,2,4
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,2,1,3,1,5,2,7
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,13,9,2,2,15,11,26
CABEZAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,24,20,19,11,43,31,74
CAIROMA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,9,3,0,1,9,4,13
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,5,3,6,7,11,10,21
CAJUATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,10,7,1,0,11,7,18
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,15,6,2,1,17,7,24
CAMARGO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,4,5,2,2,6,7,13
CAMIRI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,27,23,2,1,29,24,53
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,16,24,0,1,16,25,41
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,3,3,0,1,3,4,7
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,14,10,4,5,18,15,33
CARANAVI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,33,31,2,2,35,33,68
CARAPARI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,4,2,11,8,15,10,25
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,3,5,1,0,4,5,9
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,1,1,9,14,10,15,25
CATACORA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,1,0,0,0,1,0,1
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,2,0,0,0,2,0,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,25,19,6,5,31,24,55
CHAQUI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,3,4,0,1,3,5,8
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,14,5,6,3,20,8,28
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,1,0,0,0,1,0,1
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,5,4,3,2,8,6,14
CHIMORE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,21,15,2,3,23,18,41
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,0,0,2,1,2,1,3
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,3,0,0,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,11,6,0,0,11,6,17
CHUMA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,2,2,1,5,3,7,10
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,6,4,2,1,8,5,13
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,11,3,4,1,15,4,19
CLIZA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,14,9,2,4,16,13,29
COBIJA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,46,45,1,3,47,48,95
COCAPATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,2,3,11,4,13,7,20
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,675,657,12,10,687,667,1354
COIPASA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,0,1,0,0,0,1,1
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,47,43,1,0,48,43,91
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,11,11,1,0,12,11,23
COLLANA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,1,2,0,0,1,2,3
COLOMI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,6,8,9,9,15,17,32
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,5,4,0,1,5,5,10
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,9,11,12,11,21,22,43
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,2,7,4,6,6,13,19
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,4,8,12,9,16,17,33
COMANCHE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,2,0,0,0,2,0,2
COMARAPA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,10,16,1,2,11,18,29
COMBAYA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,0,2,0,0,0,2,2
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,15,11,6,1,21,12,33
COPACABANA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,8,6,6,5,14,11,25
CORIPATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,16,17,1,1,17,18,35
CORO CORO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,4,3,2,2,6,5,11
COROICO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,10,12,1,2,11,14,25
CORQUE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,7,4,1,1,8,5,13
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,12,6,6,3,18,9,27
COTOCA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,35,43,4,4,39,47,86
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,25,16,4,5,29,21,50
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,3,0,1,0,4,0,4
CUEVO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,2,6,3,2,5,8,13
CULPINA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,5,8,4,3,9,11,20
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,3,2,1,1,4,3,7
CURVA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,2,0,0,1,2,1,3
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,5,1,0,2,5,3,8
EL ALTO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,677,713,125,121,802,834,1636
EL CHORO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,0,2,1,1,1,3,4
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,2,5,3,0,5,5,10
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,2,2,2,4,4,6,10
EL TORNO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,49,56,3,12,52,68,120
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,0,1,0,0,0,1,1
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,17,13,4,6,21,19,40
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,51,55,0,1,51,56,107
ESCOMA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,3,0,0,0,3,0,3
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,3,0,3,2,6,2,8
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,0,0,3,3,3,3,6
EXALTACION,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,1,1,0,0,1,1,2
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,3,2,8,7,11,9,20
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,0,0,6,10,6,10,16
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,17,16,1,2,18,18,36
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,1,2,1,2,2,4,6
GUANAY,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,7,9,10,7,17,16,33
GUAQUI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,4,0,5,1,9,1,10
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,21,23,3,2,24,25,49
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,7,2,6,5,13,7,20
HUACARETA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,3,2,4,2,7,4,11
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,2,0,0,0,2,0,2
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,2,2,0,0,2,2,4
HUANUNI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,13,7,3,0,16,7,23
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,10,7,0,0,10,7,17
HUARINA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,1,4,0,0,1,4,5
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,0,2,1,0,1,2,3
HUMANATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,0,0,3,0,3,0,3
ICHOCA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,2,3,0,1,2,4,6
ICLA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,2,1,1,0,3,1,4
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,1,5,5,2,6,7,13
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,0,1,0,0,0,1,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,3,6,1,0,4,6,10
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,9,14,3,4,12,18,30
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,10,5,1,4,11,9,20
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,2,6,2,0,4,6,10
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,29,37,7,4,36,41,77
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,132,106,4,1,136,107,243
LA PAZ,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,626,642,11,8,637,650,1287
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,4,0,1,2,5,2,7
LAJA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,16,12,2,3,18,15,33
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,0,0,6,1,6,1,7
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,1,1,0,0,1,1,2
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,20,14,16,16,36,30,66
LORETO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,1,0,1,4,2,4,6
LURIBAY,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,2,4,2,1,4,5,9
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,2,3,0,0,2,3,5
MACHARETI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,6,3,0,3,6,6,12
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,3,3,8,7,11,10,21
MAIRANA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,13,20,0,0,13,20,33
MALLA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,1,0,4,3,5,3,8
MAPIRI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,10,14,0,0,10,14,24
MECAPACA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,14,9,2,1,16,10,26
MINEROS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,17,24,10,13,27,37,64
MIZQUE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,29,12,12,11,41,23,64
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,2,3,8,8,10,11,21
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,3,8,1,0,4,8,12
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,26,14,1,3,27,17,44
MONTERO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,119,109,6,7,125,116,241
MORO MORO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,1,2,1,1,2,3,5
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,0,1,3,2,3,3,6
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,0,3,2,1,2,4,6
OCURI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,4,5,2,2,6,7,13
OKINAWA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,10,7,3,0,13,7,20
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,0,0,5,11,5,11,16
ORURO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,275,286,9,8,284,294,578
PADCAYA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,8,12,2,4,10,16,26
PADILLA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,3,6,1,0,4,6,10
PAILON,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,21,20,6,11,27,31,58
PALCA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,13,18,9,3,22,21,43
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,20,14,3,3,23,17,40
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,1,4,0,1,1,5,6
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,2,8,0,0,2,8,10
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,5,2,1,2,6,4,10
PASORAPA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,0,2,1,1,1,3,4
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,14,20,8,2,22,22,44
PAZÑA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,2,6,3,1,5,7,12
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,0,8,4,5,4,13,17
POCOATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,5,2,7,10,12,12,24
POCONA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,3,1,12,9,15,10,25
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,6,12,2,2,8,14,22
POOPO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,6,2,0,0,6,2,8
PORCO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,10,6,3,10,13,16,29
POROMA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,4,3,2,0,6,3,9
PORONGO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,4,8,10,1,14,9,23
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,25,18,0,3,25,21,46
PORVENIR,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,4,4,4,10,8,14,22
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,1,1,0,0,1,1,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,199,202,33,35,232,237,469
PRESTO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,4,3,0,1,4,4,8
PUCARA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,0,1,1,0,1,1,2
PUCARANI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,6,13,10,11,16,24,40
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,0,1,3,2,3,3,6
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,3,8,8,10,11,18,29
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,2,0,2,0,4,0,4
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,1,0,2,2,3,2,5
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,7,8,3,4,10,12,22
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,4,2,0,0,4,2,6
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,11,7,22,11,33,18,51
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,46,43,3,6,49,49,98
PUNA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,1,3,8,6,9,9,18
PUNATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,18,24,12,7,30,31,61
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,0,1,0,0,0,1,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,93,98,58,55,151,153,304
QUIME,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,1,0,6,10,7,10,17
RAQAYPAMPA(ETA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,8,6,12,7,20,13,33
RAVELO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,8,10,5,4,13,14,27
REYES,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,6,5,2,2,8,7,15
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,97,97,31,30,128,127,255
ROBORE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,18,16,0,0,18,16,34
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,3,11,9,11,12,22,34
SABAYA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,3,1,1,0,4,1,5
SACABA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,127,99,36,28,163,127,290
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,4,1,0,0,4,1,5
SACACA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,7,5,3,1,10,6,16
SAIPINA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,3,0,6,2,9,2,11
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,4,7,6,2,10,9,19
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,5,7,0,4,5,11,16
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,5,6,1,1,6,7,13
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,2,1,2,1,4,2,6
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,0,0,0,1,0,1,1
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,1,6,4,2,5,8,13
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,2,1,6,4,8,5,13
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,45,49,7,6,52,55,107
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,2,2,1,0,3,2,5
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,16,26,6,2,22,28,50
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,15,17,3,3,18,20,38
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,57,74,9,10,66,84,150
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,1,0,10,10,11,10,21
