municipality,group,variable,month,Tratamientos iniciados por sospecha,TOTAL
MIZQUE,malaria,tratamientos iniciados por sospecha,2008-02-01,1,1
MOJOCOYA,malaria,tratamientos iniciados por sospecha,2008-02-01,1,1
MONTEAGUDO,malaria,tratamientos iniciados por sospecha,2008-02-01,2,2
PADCAYA,malaria,tratamientos iniciados por sospecha,2008-02-01,1,1
PADILLA,malaria,tratamientos iniciados por sospecha,2008-02-01,3,3
PALOS BLANCOS,malaria,tratamientos iniciados por sospecha,2008-02-01,1,1
PASORAPA,malaria,tratamientos iniciados por sospecha,2008-02-01,1,1
POCONA,malaria,tratamientos iniciados por sospecha,2008-02-01,1,1
POJO (CBBA),malaria,tratamientos iniciados por sospecha,2008-02-01,1,1
PORONGO,malaria,tratamientos iniciados por sospecha,2008-02-01,3,3
PUERTO RICO,malaria,tratamientos iniciados por sospecha,2008-02-01,9,9
PUERTO VILLARROEL,malaria,tratamientos iniciados por sospecha,2008-02-01,1,1
SAN LUCAS,malaria,tratamientos iniciados por sospecha,2008-02-01,8,8
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados por sospecha,2008-02-01,15,15
TEOPONTE,malaria,tratamientos iniciados por sospecha,2008-02-01,37,37
TIRAQUE (CBBA),malaria,tratamientos iniciados por sospecha,2008-02-01,6,6
TORO TORO,malaria,tratamientos iniciados por sospecha,2008-02-01,32,32
VALLEGRANDE,malaria,tratamientos iniciados por sospecha,2008-02-01,5,5
VILA VILA,malaria,tratamientos iniciados por sospecha,2008-02-01,2,2
VILLA MONTES,malaria,tratamientos iniciados por sospecha,2008-02-01,10,10
VILLA SERRANO,malaria,tratamientos iniciados por sospecha,2008-02-01,2,2
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2008-02-01,115,115
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados por sospecha,2008-02-01,1,1
YACUIBA,malaria,tratamientos iniciados por sospecha,2008-02-01,29,29
APOLO,malaria,tratamientos iniciados por sospecha,2008-03-01,3,3
AZURDUY,malaria,tratamientos iniciados por sospecha,2008-03-01,7,7
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2008-03-01,5,5
CABEZAS,malaria,tratamientos iniciados por sospecha,2008-03-01,7,7
CARANAVI,malaria,tratamientos iniciados por sospecha,2008-03-01,5,5
EL TORNO,malaria,tratamientos iniciados por sospecha,2008-03-01,4,4
EL VILLAR,malaria,tratamientos iniciados por sospecha,2008-03-01,2,2
GUANAY,malaria,tratamientos iniciados por sospecha,2008-03-01,20,20
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2008-03-01,1,1
GUTIERREZ,malaria,tratamientos iniciados por sospecha,2008-03-01,1,1
HUACARETA,malaria,tratamientos iniciados por sospecha,2008-03-01,7,7
INCAHUASI,malaria,tratamientos iniciados por sospecha,2008-03-01,1,1
LA ASUNTA,malaria,tratamientos iniciados por sospecha,2008-03-01,2,2
MIZQUE,malaria,tratamientos iniciados por sospecha,2008-03-01,1,1
MOJOCOYA,malaria,tratamientos iniciados por sospecha,2008-03-01,1,1
MONTEAGUDO,malaria,tratamientos iniciados por sospecha,2008-03-01,1,1
PADCAYA,malaria,tratamientos iniciados por sospecha,2008-03-01,2,2
PADILLA,malaria,tratamientos iniciados por sospecha,2008-03-01,5,5
PALOS BLANCOS,malaria,tratamientos iniciados por sospecha,2008-03-01,1,1
PORONGO,malaria,tratamientos iniciados por sospecha,2008-03-01,15,15
REYES,malaria,tratamientos iniciados por sospecha,2008-03-01,1,1
RURRENABAQUE,malaria,tratamientos iniciados por sospecha,2008-03-01,1,1
SAIPINA,malaria,tratamientos iniciados por sospecha,2008-03-01,3,3
SAMAIPATA,malaria,tratamientos iniciados por sospecha,2008-03-01,1,1
SAN BORJA,malaria,tratamientos iniciados por sospecha,2008-03-01,1,1
SAN LORENZO(TJA),malaria,tratamientos iniciados por sospecha,2008-03-01,1,1
SAN LUCAS,malaria,tratamientos iniciados por sospecha,2008-03-01,3,3
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados por sospecha,2008-03-01,17,17
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados por sospecha,2008-03-01,0,0
TARVITA,malaria,tratamientos iniciados por sospecha,2008-03-01,3,3
TEOPONTE,malaria,tratamientos iniciados por sospecha,2008-03-01,37,37
TIRAQUE (CBBA),malaria,tratamientos iniciados por sospecha,2008-03-01,1,1
TORO TORO,malaria,tratamientos iniciados por sospecha,2008-03-01,9,9
VILLA SERRANO,malaria,tratamientos iniciados por sospecha,2008-03-01,2,2
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2008-03-01,78,78
YACUIBA,malaria,tratamientos iniciados por sospecha,2008-03-01,53,53
ANZALDO,malaria,tratamientos iniciados por sospecha,2008-04-01,1,1
APOLO,malaria,tratamientos iniciados por sospecha,2008-04-01,2,2
AYATA,malaria,tratamientos iniciados por sospecha,2008-04-01,3,3
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2008-04-01,2,2
CABEZAS,malaria,tratamientos iniciados por sospecha,2008-04-01,1,1
CARANAVI,malaria,tratamientos iniciados por sospecha,2008-04-01,2,2
CULPINA,malaria,tratamientos iniciados por sospecha,2008-04-01,4,4
EL TORNO,malaria,tratamientos iniciados por sospecha,2008-04-01,4,4
EL VILLAR,malaria,tratamientos iniciados por sospecha,2008-04-01,5,5
GUANAY,malaria,tratamientos iniciados por sospecha,2008-04-01,4,4
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2008-04-01,3,3
HUACARETA,malaria,tratamientos iniciados por sospecha,2008-04-01,8,8
LA ASUNTA,malaria,tratamientos iniciados por sospecha,2008-04-01,9,9
LA PAZ,malaria,tratamientos iniciados por sospecha,2008-04-01,1,1
MAPIRI,malaria,tratamientos iniciados por sospecha,2008-04-01,1,1
MOJOCOYA,malaria,tratamientos iniciados por sospecha,2008-04-01,1,1
MONTEAGUDO,malaria,tratamientos iniciados por sospecha,2008-04-01,3,3
PADCAYA,malaria,tratamientos iniciados por sospecha,2008-04-01,4,4
PADILLA,malaria,tratamientos iniciados por sospecha,2008-04-01,7,7
PALOS BLANCOS,malaria,tratamientos iniciados por sospecha,2008-04-01,5,5
PASORAPA,malaria,tratamientos iniciados por sospecha,2008-04-01,1,1
POROMA,malaria,tratamientos iniciados por sospecha,2008-04-01,3,3
PORONGO,malaria,tratamientos iniciados por sospecha,2008-04-01,3,3
PUERTO RICO,malaria,tratamientos iniciados por sospecha,2008-04-01,6,6
RURRENABAQUE,malaria,tratamientos iniciados por sospecha,2008-04-01,1,1
SAMAIPATA,malaria,tratamientos iniciados por sospecha,2008-04-01,1,1
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2008-04-01,5,5
SAN JULIAN,malaria,tratamientos iniciados por sospecha,2008-04-01,3,3
SAN LORENZO(TJA),malaria,tratamientos iniciados por sospecha,2008-04-01,2,2
SAN LUCAS,malaria,tratamientos iniciados por sospecha,2008-04-01,3,3
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados por sospecha,2008-04-01,13,13
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados por sospecha,2008-04-01,0,0
SUCRE,malaria,tratamientos iniciados por sospecha,2008-04-01,1,1
TEOPONTE,malaria,tratamientos iniciados por sospecha,2008-04-01,29,29
TIRAQUE (CBBA),malaria,tratamientos iniciados por sospecha,2008-04-01,11,11
TORO TORO,malaria,tratamientos iniciados por sospecha,2008-04-01,17,17
TOTORA(CBBA),malaria,tratamientos iniciados por sospecha,2008-04-01,1,1
VALLEGRANDE,malaria,tratamientos iniciados por sospecha,2008-04-01,5,5
VILLA SERRANO,malaria,tratamientos iniciados por sospecha,2008-04-01,6,6
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2008-04-01,31,31
YACUIBA,malaria,tratamientos iniciados por sospecha,2008-04-01,14,14
AIQUILE,malaria,tratamientos iniciados por sospecha,2008-05-01,1,1
AZURDUY,malaria,tratamientos iniciados por sospecha,2008-05-01,2,2
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2008-05-01,2,2
CABEZAS,malaria,tratamientos iniciados por sospecha,2008-05-01,2,2
CARAPARI,malaria,tratamientos iniciados por sospecha,2008-05-01,1,1
CULPINA,malaria,tratamientos iniciados por sospecha,2008-05-01,1,1
EL TORNO,malaria,tratamientos iniciados por sospecha,2008-05-01,4,4
EL VILLAR,malaria,tratamientos iniciados por sospecha,2008-05-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),malaria,tratamientos iniciados por sospecha,2008-05-01,1,1
GUANAY,malaria,tratamientos iniciados por sospecha,2008-05-01,7,7
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2008-05-01,9,9
HUACARETA,malaria,tratamientos iniciados por sospecha,2008-05-01,1,1
INCAHUASI,malaria,tratamientos iniciados por sospecha,2008-05-01,1,1
LA ASUNTA,malaria,tratamientos iniciados por sospecha,2008-05-01,3,3
MAPIRI,malaria,tratamientos iniciados por sospecha,2008-05-01,3,3
MIZQUE,malaria,tratamientos iniciados por sospecha,2008-05-01,2,2
MONTEAGUDO,malaria,tratamientos iniciados por sospecha,2008-05-01,2,2
PADCAYA,malaria,tratamientos iniciados por sospecha,2008-05-01,3,3
PADILLA,malaria,tratamientos iniciados por sospecha,2008-05-01,3,3
PALOS BLANCOS,malaria,tratamientos iniciados por sospecha,2008-05-01,1,1
PORONGO,malaria,tratamientos iniciados por sospecha,2008-05-01,10,10
RIBERALTA,malaria,tratamientos iniciados por sospecha,2008-05-01,81,81
RURRENABAQUE,malaria,tratamientos iniciados por sospecha,2008-05-01,1,1
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2008-05-01,22,22
SAN JULIAN,malaria,tratamientos iniciados por sospecha,2008-05-01,8,8
SAN LORENZO(TJA),malaria,tratamientos iniciados por sospecha,2008-05-01,3,3
SAN LUCAS,malaria,tratamientos iniciados por sospecha,2008-05-01,4,4
SAN MATIAS,malaria,tratamientos iniciados por sospecha,2008-05-01,7,7
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados por sospecha,2008-05-01,6,6
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados por sospecha,2008-05-01,0,0
TEOPONTE,malaria,tratamientos iniciados por sospecha,2008-05-01,7,7
TOMINA,malaria,tratamientos iniciados por sospecha,2008-05-01,1,1
TORO TORO,malaria,tratamientos iniciados por sospecha,2008-05-01,16,16
VALLEGRANDE,malaria,tratamientos iniciados por sospecha,2008-05-01,1,1
VILLA SERRANO,malaria,tratamientos iniciados por sospecha,2008-05-01,1,1
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2008-05-01,10,10
YACUIBA,malaria,tratamientos iniciados por sospecha,2008-05-01,1,1
YAPACANI,malaria,tratamientos iniciados por sospecha,2008-05-01,1,1
ACACIO,malaria,tratamientos iniciados por sospecha,2008-06-01,1,1
AZURDUY,malaria,tratamientos iniciados por sospecha,2008-06-01,4,4
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2008-06-01,8,8
CONCEPCION,malaria,tratamientos iniciados por sospecha,2008-06-01,2,2
CULPINA,malaria,tratamientos iniciados por sospecha,2008-06-01,2,2
EL TORNO,malaria,tratamientos iniciados por sospecha,2008-06-01,6,6
GUANAY,malaria,tratamientos iniciados por sospecha,2008-06-01,4,4
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2008-06-01,7,7
ICLA,malaria,tratamientos iniciados por sospecha,2008-06-01,1,1
IXIAMAS,malaria,tratamientos iniciados por sospecha,2008-06-01,1,1
LA ASUNTA,malaria,tratamientos iniciados por sospecha,2008-06-01,4,4
MINEROS,malaria,tratamientos iniciados por sospecha,2008-06-01,6,6
MIZQUE,malaria,tratamientos iniciados por sospecha,2008-06-01,1,1
MONTEAGUDO,malaria,tratamientos iniciados por sospecha,2008-06-01,5,5
PADILLA,malaria,tratamientos iniciados por sospecha,2008-06-01,2,2
PALOS BLANCOS,malaria,tratamientos iniciados por sospecha,2008-06-01,5,5
PAMPA GRANDE,malaria,tratamientos iniciados por sospecha,2008-06-01,6,6
PORONGO,malaria,tratamientos iniciados por sospecha,2008-06-01,18,18
RURRENABAQUE,malaria,tratamientos iniciados por sospecha,2008-06-01,1,1
SAN LUCAS,malaria,tratamientos iniciados por sospecha,2008-06-01,3,3
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados por sospecha,2008-06-01,11,11
SAN RAFAEL,malaria,tratamientos iniciados por sospecha,2008-06-01,1,1
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados por sospecha,2008-06-01,0,0
TARVITA,malaria,tratamientos iniciados por sospecha,2008-06-01,3,3
TEOPONTE,malaria,tratamientos iniciados por sospecha,2008-06-01,6,6
TORO TORO,malaria,tratamientos iniciados por sospecha,2008-06-01,35,35
VALLEGRANDE,malaria,tratamientos iniciados por sospecha,2008-06-01,5,5
VILA VILA,malaria,tratamientos iniciados por sospecha,2008-06-01,3,3
VILLA SERRANO,malaria,tratamientos iniciados por sospecha,2008-06-01,1,1
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2008-06-01,24,24
YACUIBA,malaria,tratamientos iniciados por sospecha,2008-06-01,4,4
ZUDAÑEZ,malaria,tratamientos iniciados por sospecha,2008-06-01,1,1
ACACIO,malaria,tratamientos iniciados por sospecha,2008-07-01,2,2
AIQUILE,malaria,tratamientos iniciados por sospecha,2008-07-01,3,3
APOLO,malaria,tratamientos iniciados por sospecha,2008-07-01,5,5
AYATA,malaria,tratamientos iniciados por sospecha,2008-07-01,1,1
AZURDUY,malaria,tratamientos iniciados por sospecha,2008-07-01,5,5
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2008-07-01,3,3
CABEZAS,malaria,tratamientos iniciados por sospecha,2008-07-01,3,3
CARANAVI,malaria,tratamientos iniciados por sospecha,2008-07-01,6,6
CONCEPCION,malaria,tratamientos iniciados por sospecha,2008-07-01,1,1
CUEVO,malaria,tratamientos iniciados por sospecha,2008-07-01,13,13
CULPINA,malaria,tratamientos iniciados por sospecha,2008-07-01,1,1
EL TORNO,malaria,tratamientos iniciados por sospecha,2008-07-01,16,16
EL VILLAR,malaria,tratamientos iniciados por sospecha,2008-07-01,1,1
GUANAY,malaria,tratamientos iniciados por sospecha,2008-07-01,5,5
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2008-07-01,2,2
HUACARETA,malaria,tratamientos iniciados por sospecha,2008-07-01,4,4
LA ASUNTA,malaria,tratamientos iniciados por sospecha,2008-07-01,5,5
LAGUNILLAS,malaria,tratamientos iniciados por sospecha,2008-07-01,1,1
MIZQUE,malaria,tratamientos iniciados por sospecha,2008-07-01,1,1
MONTEAGUDO,malaria,tratamientos iniciados por sospecha,2008-07-01,22,22
OMEREQUE,malaria,tratamientos iniciados por sospecha,2008-07-01,2,2
PADCAYA,malaria,tratamientos iniciados por sospecha,2008-07-01,2,2
PALOS BLANCOS,malaria,tratamientos iniciados por sospecha,2008-07-01,1,1
PASORAPA,malaria,tratamientos iniciados por sospecha,2008-07-01,2,2
POJO (CBBA),malaria,tratamientos iniciados por sospecha,2008-07-01,2,2
PORONGO,malaria,tratamientos iniciados por sospecha,2008-07-01,10,10
RAVELO,malaria,tratamientos iniciados por sospecha,2008-07-01,8,8
RIBERALTA,malaria,tratamientos iniciados por sospecha,2008-07-01,1,1
SAIPINA,malaria,tratamientos iniciados por sospecha,2008-07-01,1,1
SAN BORJA,malaria,tratamientos iniciados por sospecha,2008-07-01,1,1
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2008-07-01,2,2
SAN LUCAS,malaria,tratamientos iniciados por sospecha,2008-07-01,1,1
SAN MATIAS,malaria,tratamientos iniciados por sospecha,2008-07-01,1,1
SAN MIGUEL DE VELASCO,malaria,tratamientos iniciados por sospecha,2008-07-01,1,1
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados por sospecha,2008-07-01,2,2
SANTA ANA,malaria,tratamientos iniciados por sospecha,2008-07-01,2,2
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados por sospecha,2008-07-01,0,0
SUCRE,malaria,tratamientos iniciados por sospecha,2008-07-01,2,2
TEOPONTE,malaria,tratamientos iniciados por sospecha,2008-07-01,2,2
TIRAQUE (CBBA),malaria,tratamientos iniciados por sospecha,2008-07-01,8,8
TORO TORO,malaria,tratamientos iniciados por sospecha,2008-07-01,7,7
TOTORA(CBBA),malaria,tratamientos iniciados por sospecha,2008-07-01,2,2
VILLA SERRANO,malaria,tratamientos iniciados por sospecha,2008-07-01,1,1
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2008-07-01,49,49
YACUIBA,malaria,tratamientos iniciados por sospecha,2008-07-01,1,1
AIQUILE,malaria,tratamientos iniciados por sospecha,2008-08-01,2,2
AYATA,malaria,tratamientos iniciados por sospecha,2008-08-01,2,2
AZURDUY,malaria,tratamientos iniciados por sospecha,2008-08-01,3,3
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2008-08-01,20,20
CABEZAS,malaria,tratamientos iniciados por sospecha,2008-08-01,13,13
COLOMI,malaria,tratamientos iniciados por sospecha,2008-08-01,3,3
CULPINA,malaria,tratamientos iniciados por sospecha,2008-08-01,3,3
EL TORNO,malaria,tratamientos iniciados por sospecha,2008-08-01,15,15
GUANAY,malaria,tratamientos iniciados por sospecha,2008-08-01,1,1
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2008-08-01,1,1
HUACARETA,malaria,tratamientos iniciados por sospecha,2008-08-01,4,4
IXIAMAS,malaria,tratamientos iniciados por sospecha,2008-08-01,1,1
LA ASUNTA,malaria,tratamientos iniciados por sospecha,2008-08-01,2,2
LAGUNILLAS,malaria,tratamientos iniciados por sospecha,2008-08-01,1,1
MOJOCOYA,malaria,tratamientos iniciados por sospecha,2008-08-01,1,1
MONTEAGUDO,malaria,tratamientos iniciados por sospecha,2008-08-01,1,1
POJO (CBBA),malaria,tratamientos iniciados por sospecha,2008-08-01,15,15
PORONGO,malaria,tratamientos iniciados por sospecha,2008-08-01,10,10
PUNA,malaria,tratamientos iniciados por sospecha,2008-08-01,1,1
RIBERALTA,malaria,tratamientos iniciados por sospecha,2008-08-01,2,2
RURRENABAQUE,malaria,tratamientos iniciados por sospecha,2008-08-01,1,1
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2008-08-01,16,16
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados por sospecha,2008-08-01,5,5
SANTA ANA,malaria,tratamientos iniciados por sospecha,2008-08-01,1,1
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados por sospecha,2008-08-01,0,0
TARVITA,malaria,tratamientos iniciados por sospecha,2008-08-01,3,3
TEOPONTE,malaria,tratamientos iniciados por sospecha,2008-08-01,50,50
TIRAQUE (CBBA),malaria,tratamientos iniciados por sospecha,2008-08-01,12,12
TORO TORO,malaria,tratamientos iniciados por sospecha,2008-08-01,2,2
TOTORA(CBBA),malaria,tratamientos iniciados por sospecha,2008-08-01,3,3
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2008-08-01,41,41
YACUIBA,malaria,tratamientos iniciados por sospecha,2008-08-01,5,5
AIQUILE,malaria,tratamientos iniciados por sospecha,2008-09-01,1,1
APOLO,malaria,tratamientos iniciados por sospecha,2008-09-01,5,5
AYATA,malaria,tratamientos iniciados por sospecha,2008-09-01,18,18
AZURDUY,malaria,tratamientos iniciados por sospecha,2008-09-01,13,13
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2008-09-01,36,36
CABEZAS,malaria,tratamientos iniciados por sospecha,2008-09-01,4,4
CARAPARI,malaria,tratamientos iniciados por sospecha,2008-09-01,1,1
CULPINA,malaria,tratamientos iniciados por sospecha,2008-09-01,12,12
EL TORNO,malaria,tratamientos iniciados por sospecha,2008-09-01,17,17
GUANAY,malaria,tratamientos iniciados por sospecha,2008-09-01,12,12
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2008-09-01,1,1
HUACARETA,malaria,tratamientos iniciados por sospecha,2008-09-01,5,5
INCAHUASI,malaria,tratamientos iniciados por sospecha,2008-09-01,1,1
IXIAMAS,malaria,tratamientos iniciados por sospecha,2008-09-01,1,1
LA PAZ,malaria,tratamientos iniciados por sospecha,2008-09-01,19,19
MAPIRI,malaria,tratamientos iniciados por sospecha,2008-09-01,2,2
MOJOCOYA,malaria,tratamientos iniciados por sospecha,2008-09-01,1,1
MONTEAGUDO,malaria,tratamientos iniciados por sospecha,2008-09-01,1,1
PADILLA,malaria,tratamientos iniciados por sospecha,2008-09-01,5,5
PALOS BLANCOS,malaria,tratamientos iniciados por sospecha,2008-09-01,3,3
PAMPA GRANDE,malaria,tratamientos iniciados por sospecha,2008-09-01,2,2
PORONGO,malaria,tratamientos iniciados por sospecha,2008-09-01,9,9
SAN BUENA VENTURA,malaria,tratamientos iniciados por sospecha,2008-09-01,1,1
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2008-09-01,22,22
SAN JOAQUIN,malaria,tratamientos iniciados por sospecha,2008-09-01,1,1
SAN LUCAS,malaria,tratamientos iniciados por sospecha,2008-09-01,2,2
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados por sospecha,2008-09-01,0,0
SANTA ROSA,malaria,tratamientos iniciados por sospecha,2008-09-01,1,1
TARVITA,malaria,tratamientos iniciados por sospecha,2008-09-01,2,2
TEOPONTE,malaria,tratamientos iniciados por sospecha,2008-09-01,4,4
TIRAQUE (CBBA),malaria,tratamientos iniciados por sospecha,2008-09-01,10,10
TORO TORO,malaria,tratamientos iniciados por sospecha,2008-09-01,5,5
VALLEGRANDE,malaria,tratamientos iniciados por sospecha,2008-09-01,2,2
VILA VILA,malaria,tratamientos iniciados por sospecha,2008-09-01,2,2
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2008-09-01,64,64
YACUIBA,malaria,tratamientos iniciados por sospecha,2008-09-01,6,6
ZUDAÑEZ,malaria,tratamientos iniciados por sospecha,2008-09-01,2,2
AIQUILE,malaria,tratamientos iniciados por sospecha,2008-10-01,1,1
APOLO,malaria,tratamientos iniciados por sospecha,2008-10-01,9,9
AZURDUY,malaria,tratamientos iniciados por sospecha,2008-10-01,19,19
BERMEJO,malaria,tratamientos iniciados por sospecha,2008-10-01,1,1
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2008-10-01,32,32
CABEZAS,malaria,tratamientos iniciados por sospecha,2008-10-01,1,1
COLOMI,malaria,tratamientos iniciados por sospecha,2008-10-01,1,1
CULPINA,malaria,tratamientos iniciados por sospecha,2008-10-01,1,1
EL TORNO,malaria,tratamientos iniciados por sospecha,2008-10-01,12,12
GRAL. J.J. PEREZ (CHARAZANI),malaria,tratamientos iniciados por sospecha,2008-10-01,1,1
GUANAY,malaria,tratamientos iniciados por sospecha,2008-10-01,6,6
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2008-10-01,3,3
