,group,variable,month,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TOTALES,TOTALES
FERNANDEZ ALONSO,chagas,tratamientos rn a menores de 1 ano de edad,2024-03-01,1,0,0,0,1,0
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2024-03-01,1,0,0,0,1,0
MIZQUE,chagas,tratamientos rn a menores de 1 ano de edad,2024-03-01,0,0,1,0,1,0
PRESTO,chagas,tratamientos rn a menores de 1 ano de edad,2024-03-01,0,1,0,0,0,1
QUILLACOLLO,chagas,tratamientos rn a menores de 1 ano de edad,2024-03-01,0,2,0,0,0,2
YOTALA,chagas,tratamientos rn a menores de 1 ano de edad,2024-03-01,0,0,0,1,0,1
FERNANDEZ ALONSO,chagas,tratamientos rn a menores de 1 ano de edad,2024-04-01,0,0,1,0,1,0
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2024-04-01,0,0,1,0,1,0
VILLA CHARCAS,chagas,tratamientos rn a menores de 1 ano de edad,2024-04-01,1,0,0,0,1,0
WARNES,chagas,tratamientos rn a menores de 1 ano de edad,2024-04-01,0,0,1,0,1,0
PRESTO,chagas,tratamientos rn a menores de 1 ano de edad,2024-05-01,0,0,0,1,0,1
QUILLACOLLO,chagas,tratamientos rn a menores de 1 ano de edad,2024-05-01,0,1,0,0,0,1
VILLA CHARCAS,chagas,tratamientos rn a menores de 1 ano de edad,2024-05-01,0,0,1,0,1,0
YOTALA,chagas,tratamientos rn a menores de 1 ano de edad,2024-05-01,1,0,0,0,1,0
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2024-06-01,1,0,0,0,1,0
SACABA,chagas,tratamientos rn a menores de 1 ano de edad,2024-06-01,1,0,0,0,1,0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2024-06-01,0,0,0,1,0,1
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2024-06-01,0,1,0,0,0,1
CHALLAPATA,chagas,tratamientos rn a menores de 1 ano de edad,2024-07-01,0,1,0,0,0,1
LA PAZ,chagas,tratamientos rn a menores de 1 ano de edad,2024-07-01,0,0,1,0,1,0
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2024-07-01,1,1,1,0,2,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2024-07-01,0,1,0,0,0,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2024-07-01,1,0,1,0,2,0
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2024-07-01,1,0,0,0,1,0
INQUISIVI,chagas,tratamientos rn a menores de 1 ano de edad,2024-08-01,20,0,0,0,20,0
LA ASUNTA,chagas,tratamientos rn a menores de 1 ano de edad,2024-08-01,0,1,0,0,0,1
LA PAZ,chagas,tratamientos rn a menores de 1 ano de edad,2024-08-01,1,0,0,0,1,0
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2024-08-01,0,1,0,1,0,2
POSTRER VALLE,chagas,tratamientos rn a menores de 1 ano de edad,2024-08-01,0,0,1,1,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2024-08-01,0,1,0,0,0,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2024-08-01,1,0,0,0,1,0
TARABUCO,chagas,tratamientos rn a menores de 1 ano de edad,2024-08-01,1,0,0,0,1,0
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2024-08-01,0,0,1,1,1,1
YOTALA,chagas,tratamientos rn a menores de 1 ano de edad,2024-08-01,1,1,0,0,1,1
CARAPARI,chagas,tratamientos rn a menores de 1 ano de edad,2024-09-01,2,0,0,0,2,0
CKOCHAS,chagas,tratamientos rn a menores de 1 ano de edad,2024-09-01,0,0,3,6,3,6
LA ASUNTA,chagas,tratamientos rn a menores de 1 ano de edad,2024-09-01,1,0,0,0,1,0
PRESTO,chagas,tratamientos rn a menores de 1 ano de edad,2024-09-01,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2024-09-01,1,0,1,0,2,0
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2024-09-01,0,0,1,0,1,0
TARABUCO,chagas,tratamientos rn a menores de 1 ano de edad,2024-09-01,0,0,1,0,1,0
TOTORA(CBBA),chagas,tratamientos rn a menores de 1 ano de edad,2024-09-01,1,0,0,0,1,0
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2024-09-01,2,1,0,0,2,1
YOTALA,chagas,tratamientos rn a menores de 1 ano de edad,2024-09-01,2,0,1,1,3,1
CARAPARI,chagas,tratamientos rn a menores de 1 ano de edad,2024-10-01,0,0,2,0,2,0
INCAHUASI,chagas,tratamientos rn a menores de 1 ano de edad,2024-10-01,0,1,0,1,0,2
LA ASUNTA,chagas,tratamientos rn a menores de 1 ano de edad,2024-10-01,0,0,1,0,1,0
MONTERO,chagas,tratamientos rn a menores de 1 ano de edad,2024-10-01,1,0,0,0,1,0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2024-10-01,0,0,2,1,2,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2024-10-01,1,0,2,0,3,0
TOTORA(CBBA),chagas,tratamientos rn a menores de 1 ano de edad,2024-10-01,0,1,0,0,0,1
VILLA CHARCAS,chagas,tratamientos rn a menores de 1 ano de edad,2024-10-01,1,1,0,0,1,1
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2024-10-01,0,0,0,1,0,1
YOTALA,chagas,tratamientos rn a menores de 1 ano de edad,2024-10-01,0,0,2,0,2,0
LA ASUNTA,chagas,tratamientos rn a menores de 1 ano de edad,2024-11-01,0,3,0,0,0,3
MOJOCOYA,chagas,tratamientos rn a menores de 1 ano de edad,2024-11-01,0,1,0,0,0,1
MONTERO,chagas,tratamientos rn a menores de 1 ano de edad,2024-11-01,0,0,0,1,0,1
QUILLACOLLO,chagas,tratamientos rn a menores de 1 ano de edad,2024-11-01,1,0,0,0,1,0
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2024-11-01,0,0,0,1,0,1
VILLA CHARCAS,chagas,tratamientos rn a menores de 1 ano de edad,2024-11-01,0,0,1,1,1,1
YOTALA,chagas,tratamientos rn a menores de 1 ano de edad,2024-11-01,0,1,0,0,0,1
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos rn a menores de 1 ano de edad,2024-12-01,0,1,0,0,0,1
MOJOCOYA,chagas,tratamientos rn a menores de 1 ano de edad,2024-12-01,0,0,1,0,1,0
MONTERO,chagas,tratamientos rn a menores de 1 ano de edad,2024-12-01,0,1,0,0,0,1
SAN PEDRO,chagas,tratamientos rn a menores de 1 ano de edad,2024-12-01,0,1,0,0,0,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2024-12-01,1,1,1,1,2,2
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2024-12-01,4,0,0,0,4,0
YOTALA,chagas,tratamientos rn a menores de 1 ano de edad,2024-12-01,0,0,0,1,0,1
