,group,variable,month,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INICIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INICIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES
SAN JULIAN,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-02-01,1,0,0,0,1,0
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-02-01,0,1,0,0,0,1
ANZALDO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-03-01,0,1,0,0,0,1
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-03-01,0,1,0,1,0,2
PORONGO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-03-01,0,0,1,0,1,0
SAN JULIAN,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-03-01,0,2,0,0,0,2
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-03-01,0,1,0,1,0,2
SIPE SIPE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-03-01,1,0,2,0,3,0
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-03-01,1,0,0,1,1,1
TORO TORO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-03-01,1,0,0,0,1,0
CHIMORE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-04-01,0,1,0,2,0,3
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-04-01,2,0,0,0,2,0
EL TORNO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-04-01,1,0,0,1,1,1
QUILLACOLLO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-04-01,0,5,0,2,0,7
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-04-01,0,0,0,1,0,1
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-04-01,0,0,0,1,0,1
TARIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-04-01,1,0,0,0,1,0
TOTORA(CBBA),chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-04-01,1,1,0,0,1,1
VITICHI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-04-01,0,2,0,0,0,2
ANZALDO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-05-01,0,0,0,1,0,1
BETANZOS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-05-01,1,0,0,0,1,0
ENTRE RIOS CBBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-05-01,0,2,0,0,0,2
MONTERO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-05-01,1,0,0,0,1,0
POTOSI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-05-01,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-05-01,0,1,0,0,0,1
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-05-01,0,0,1,0,1,0
ARBIETO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-06-01,1,0,0,0,1,0
CHIMORE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-06-01,0,0,0,1,0,1
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-06-01,0,0,1,0,1,0
RIBERALTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-06-01,18,7,0,0,18,7
SAN PEDRO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-06-01,1,0,0,0,1,0
TORO TORO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-06-01,0,0,1,0,1,0
VILLA CHARCAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-06-01,0,1,0,0,0,1
ZUDAÑEZ,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-06-01,0,1,0,0,0,1
ARBIETO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-07-01,2,0,1,0,3,0
CAMARGO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-07-01,0,1,0,0,0,1
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-07-01,0,0,0,1,0,1
COTOCA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-07-01,1,0,1,0,2,0
ENTRE RIOS CBBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-07-01,1,0,0,0,1,0
MIZQUE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-07-01,0,1,0,0,0,1
MONTERO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-07-01,0,0,1,0,1,0
POROMA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-07-01,0,1,0,0,0,1
PORONGO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-07-01,1,1,0,0,1,1
SAN JULIAN,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-07-01,0,0,1,0,1,0
SAN PEDRO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-07-01,0,0,1,0,1,0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-07-01,6,10,4,5,10,15
VILLA CHARCAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-07-01,0,1,0,0,0,1
VITICHI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-07-01,0,0,0,2,0,2
ANZALDO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-08-01,0,1,0,0,0,1
ARBIETO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-08-01,0,0,1,0,1,0
CORIPATA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-08-01,1,1,0,0,1,1
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-08-01,3,3,0,0,3,3
INCAHUASI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-08-01,0,0,1,0,1,0
MONTEAGUDO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-08-01,0,1,0,0,0,1
PORONGO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-08-01,1,0,0,0,1,0
RIBERALTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-08-01,1,0,0,0,1,0
SAN LUCAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-08-01,0,2,0,0,0,2
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-08-01,0,1,0,0,0,1
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-08-01,1,0,0,0,1,0
TARATA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-08-01,1,2,1,0,2,2
VILLA CHARCAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-08-01,2,2,0,0,2,2
YAMPARAEZ,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-08-01,2,1,0,0,2,1
ZUDAÑEZ,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-08-01,0,0,0,1,0,1
ARBIETO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-09-01,0,0,2,0,2,0
BETANZOS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-09-01,1,0,0,0,1,0
CAMARGO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-09-01,0,0,0,1,0,1
CKOCHAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-09-01,0,0,1,2,1,2
COTOCA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-09-01,1,2,1,0,2,2
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-09-01,0,0,1,0,1,0
MIZQUE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-09-01,1,0,0,0,1,0
PORONGO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-09-01,0,0,1,1,1,1
PRESTO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-09-01,0,1,0,0,0,1
SAN JULIAN,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-09-01,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-09-01,0,2,0,0,0,2
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-09-01,1,1,0,0,1,1
TARIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-09-01,0,1,0,1,0,2
VILLA CHARCAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-09-01,0,0,0,1,0,1
YOTALA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-09-01,1,0,0,0,1,0
ANZALDO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-10-01,0,0,0,1,0,1
BETANZOS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-10-01,0,1,0,0,0,1
CHIMORE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-10-01,0,0,1,0,1,0
CLIZA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-10-01,0,0,1,0,1,0
CORIPATA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-10-01,0,0,1,1,1,1
COTAGAITA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-10-01,0,2,0,0,0,2
EL VILLAR,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-10-01,1,0,0,0,1,0
ENTRE RIOS CBBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-10-01,0,0,0,1,0,1
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-10-01,0,1,2,3,2,4
LA GUARDIA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-10-01,1,2,0,0,1,2
MIZQUE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-10-01,0,0,0,1,0,1
MONTEAGUDO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-10-01,0,0,0,1,0,1
SAN LUCAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-10-01,2,5,0,0,2,5
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-10-01,2,1,0,0,2,1
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-10-01,1,1,1,0,2,1
TOTORA(CBBA),chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-10-01,0,0,1,0,1,0
VILLA CHARCAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-10-01,0,0,2,2,2,2
YAMPARAEZ,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-10-01,0,0,2,1,2,1
YOTALA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-10-01,1,2,0,0,1,2
ARBIETO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-11-01,0,0,1,0,1,0
BETANZOS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-11-01,0,1,0,0,0,1
"CAIZA ""D""",chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-11-01,0,1,0,0,0,1
CKOCHAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-11-01,0,0,1,0,1,0
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-11-01,2,2,7,7,9,9
CULPINA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-11-01,7,7,0,0,7,7
EL VILLAR,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-11-01,0,1,0,0,0,1
MIZQUE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-11-01,0,0,1,0,1,0
MONTERO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-11-01,0,1,0,0,0,1
PORONGO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-11-01,0,0,1,0,1,0
PRESTO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-11-01,1,2,0,1,1,3
RIBERALTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-11-01,4,3,4,3,8,6
SAN LORENZO(TJA),chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-11-01,0,1,0,0,0,1
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-11-01,0,0,0,1,0,1
TARIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-11-01,0,0,0,1,0,1
VILLA CHARCAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-11-01,0,4,0,0,0,4
VILLA VACA GUZMAN (MUYUPAMPA),chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-11-01,5,1,0,0,5,1
YAMPARAEZ,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-11-01,1,0,0,0,1,0
YOTALA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-11-01,0,1,1,0,1,1
BETANZOS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-12-01,2,1,0,0,2,1
COROICO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-12-01,0,1,0,0,0,1
CULPINA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-12-01,3,4,2,0,5,4
EL VILLAR,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-12-01,0,0,1,0,1,0
INCAHUASI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-12-01,0,1,0,0,0,1
RAVELO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-12-01,1,0,0,0,1,0
SAN LUCAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-12-01,0,0,1,1,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-12-01,0,1,0,0,0,1
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-12-01,0,0,1,0,1,0
VILLA CHARCAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-12-01,0,0,0,3,0,3
VILLA VACA GUZMAN (MUYUPAMPA),chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-12-01,0,0,2,0,2,0
YACUIBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-12-01,1,0,0,0,1,0
YOTALA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-12-01,0,0,1,2,1,2
