,group,variable,month,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES
YAMPARAEZ,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-04-01,1,0,0,0,1,0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-05-01,0,1,0,0,0,1
FERNANDEZ ALONSO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-06-01,0,0,0,1,0,1
SAN PEDRO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-06-01,1,0,0,0,1,0
YAMPARAEZ,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-06-01,0,0,1,0,1,0
CARAPARI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-07-01,0,1,0,0,0,1
CHIMORE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-07-01,0,1,0,0,0,1
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-07-01,0,1,0,0,0,1
SAN PEDRO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-07-01,0,0,1,0,1,0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-07-01,0,0,0,1,0,1
VILLA CHARCAS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-07-01,0,1,0,0,0,1
VILLA TUNARI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-07-01,0,1,0,0,0,1
CORIPATA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-08-01,0,1,0,0,0,1
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-08-01,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-08-01,0,0,0,1,0,1
TARIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-08-01,0,0,1,0,1,0
CARAPARI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-09-01,0,0,0,1,0,1
CHIMORE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-09-01,0,0,0,1,0,1
CKOCHAS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-09-01,0,0,2,0,2,0
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-09-01,0,0,0,2,0,2
POJO (CBBA),chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-09-01,0,1,0,0,0,1
VILLA CHARCAS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-09-01,0,0,0,1,0,1
VILLA TUNARI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-09-01,0,0,0,1,0,1
YACUIBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-09-01,0,1,0,0,0,1
YOTALA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-09-01,1,0,0,0,1,0
CORIPATA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-10-01,0,0,0,1,0,1
POJO (CBBA),chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-11-01,0,0,0,1,0,1
RIBERALTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-11-01,0,1,0,1,0,2
YOTALA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-11-01,0,0,1,0,1,0
BETANZOS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-12-01,1,0,0,0,1,0
LA GUARDIA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-12-01,0,1,0,0,0,1
TACOBAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-12-01,1,0,0,0,1,0
