municipality,group,variable,month,Neumonías en menores de 5 años,TOTAL
FERNANDEZ ALONSO,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,7,7
GUAYARAMERIN,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,5,5
GUTIERREZ,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,1,1
HUACARETA,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,1,1
HUANUNI,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,2,2
LA GUARDIA,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,5,5
LA PAZ,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,22,22
LLALLAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,3,3
LURIBAY,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,1,1
MAIRANA,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,1,1
MIZQUE,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,2,2
MONTERO,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,24,24
ORURO,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,9,9
PAILON,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,3,3
PATACAMAYA,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,1,1
POROMA,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,1,1
POTOSI,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,40,40
PUERTO RICO,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,1,1
PUERTO SUAREZ,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,1,1
PUERTO VILLARROEL,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,10,10
PUNATA,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,4,4
QUILLACOLLO,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,8,8
REYES,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,15,15
RIBERALTA,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,19,19
RURRENABAQUE,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,2,2
SACABA,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,4,4
SAN BORJA,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,2,2
SAN BUENA VENTURA,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,1,1
SAN CARLOS,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,12,12
SAN IGNACIO DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,6,6
SAN JAVIER(STC),diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,6,6
SAN JOAQUIN,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,3,3
SAN JOSE DE CHIQUITOS,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,1,1
SAN JULIAN,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,1,1
SAN LUCAS,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,1,1
SAN MIGUEL DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,2,2
SAN PEDRO DE BUENA VISTA,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,1,1
SAN RAMON,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,1,1
SANTA ANA,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,1,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,116,116
SANTA ROSA,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,1,1
SUCRE,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,20,20
TARIJA,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,7,7
TIQUIPAYA,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,2,2
TIRAQUE (CBBA),diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,19,19
TRINIDAD,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,5,5
TUPIZA,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,4,4
UNCIA,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,3,3
VALLEGRANDE,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,1,1
VILLA MONTES,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,8,8
VILLA TUNARI,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,8,8
VILLAZON,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,1,1
VINTO,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,1,1
WARNES,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,3,3
YACUIBA,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,7,7
YAPACANI,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,14,14
AIQUILE,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,3,3
APOLO,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,1,1
ASCENCION DE GUARAYOS,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,4,4
ATOCHA,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,8,8
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,1,1
BERMEJO,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,2,2
BUENA VISTA,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,7,7
CAMIRI,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,15,15
CARANAVI,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,3,3
CLIZA,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,2,2
COBIJA,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,7,7
COCHABAMBA,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,54,54
COMARAPA,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,3,3
COROICO,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,2,2
COTAGAITA,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,1,1
EL ALTO,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,15,15
FERNANDEZ ALONSO,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,1,1
GUAYARAMERIN,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,31,31
IXIAMAS,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,1,1
LA GUARDIA,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,7,7
LA PAZ,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,17,17
LLALLAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,9,9
MIZQUE,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,1,1
MONTEAGUDO,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,2,2
MONTERO,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,18,18
ORURO,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,8,8
PALOS BLANCOS,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,1,1
PATACAMAYA,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,2,2
PORTACHUELO,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,1,1
POTOSI,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,52,52
PRESTO,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,9,9
PUERTO VILLARROEL,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,2,2
PUNATA,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,3,3
QUILLACOLLO,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,6,6
RIBERALTA,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,26,26
ROBORE,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,3,3
RURRENABAQUE,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,3,3
SACABA,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,3,3
SAN CARLOS,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,10,10
SAN IGNACIO DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,9,9
SAN JOAQUIN,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,1,1
SAN JOSE DE CHIQUITOS,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,5,5
SAN JULIAN,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,17,17
SAN MATIAS,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,1,1
SAN RAMON,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,1,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,90,90
SOPACHUY,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,1,1
SUCRE,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,43,43
TARIJA,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,7,7
TARVITA,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,1,1
TIQUIPAYA,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,3,3
TIRAQUE (CBBA),diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,23,23
TRINIDAD,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,13,13
TUPIZA,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,4,4
URUBICHA,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,2,2
VALLEGRANDE,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,1,1
VILLA MONTES,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,6,6
VILLA TUNARI,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,13,13
VILLAZON,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,11,11
VINTO,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,1,1
VITICHI,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,1,1
WARNES,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,4,4
YACUIBA,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,14,14
YAMPARAEZ,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,1,1
YAPACANI,diagnostico de egreso,neumonias en menores de 5 anos,2008-02-01,4,4
AIQUILE,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,7,7
ASCENCION DE GUARAYOS,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,8,8
ATOCHA,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,2,2
AZURDUY,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,1,1
BUENA VISTA,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,2,2
CAMIRI,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,9,9
CARANAVI,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,7,7
CARMEN RIVERO TORREZ,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,23,23
CHALLAPATA,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,2,2
CHARAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,4,4
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,1,1
CLIZA,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,4,4
COBIJA,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,3,3
COCHABAMBA,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,80,80
COLCAPIRHUA,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,1,1
COMARAPA,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,3,3
CONCEPCION,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,2,2
COTOCA,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,5,5
CUATRO CAÑADAS,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,1,1
EL ALTO,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,33,33
EL TORNO,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,3,3
ENTRE RIOS,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,1,1
FERNANDEZ ALONSO,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,23,23
GUAYARAMERIN,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,10,10
GUTIERREZ,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,2,2
HUANUNI,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,1,1
LA ASUNTA,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,1,1
LA GUARDIA,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,6,6
LA PAZ,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,35,35
LLALLAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,7,7
MAGDALENA,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,3,3
MAIRANA,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,1,1
MIZQUE,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,3,3
MONTEAGUDO,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,1,1
MONTERO,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,58,58
OCURI,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,3,3
OMEREQUE,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,1,1
ORURO,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,23,23
PAILON,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,3,3
PALOS BLANCOS,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,1,1
PORTACHUELO,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,4,4
POTOSI,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,23,23
PUERTO RICO,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,3,3
PUERTO SUAREZ,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,1,1
PUERTO VILLARROEL,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,8,8
PUNATA,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,8,8
QUILLACOLLO,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,12,12
REYES,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,5,5
RIBERALTA,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,57,57
ROBORE,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,9,9
RURRENABAQUE,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,5,5
SACABA,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,42,42
SAMAIPATA,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,1,1
SAN BUENA VENTURA,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,2,2
SAN CARLOS,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,13,13
SAN IGNACIO DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,28,28
SAN JOAQUIN,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,1,1
SAN JOSE DE CHIQUITOS,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,1,1
SAN JULIAN,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,27,27
SAN LUCAS,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,1,1
SAN MATIAS,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,4,4
SAN MIGUEL DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,1,1
SAN RAMON,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,1,1
SAN RAMON,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,1,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,147,147
SUCRE,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,70,70
TARIJA,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,12,12
TIQUIPAYA,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,30,30
TIRAQUE (CBBA),diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,24,24
TOTORA(CBBA),diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,2,2
TRINIDAD,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,19,19
TUPIZA,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,7,7
UNCIA,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,3,3
VALLEGRANDE,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,2,2
VILLA MONTES,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,3,3
VILLA TUNARI,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,23,23
VILLAZON,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,5,5
VINTO,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,1,1
WARNES,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,8,8
YACUIBA,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,14,14
YAPACANI,diagnostico de egreso,neumonias en menores de 5 anos,2008-03-01,9,9
AIQUILE,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,8,8
ASCENCION DE GUARAYOS,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,24,24
ATOCHA,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,3,3
BERMEJO,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,2,2
BETANZOS,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,1,1
BUENA VISTA,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,1,1
CABEZAS,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,2,2
CAMARGO,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,1,1
CAMIRI,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,16,16
CARACOLLO,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,1,1
CARANAVI,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,5,5
CARMEN RIVERO TORREZ,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,16,16
CHALLAPATA,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,1,1
CHARAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,10,10
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,2,2
CLIZA,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,10,10
COBIJA,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,30,30
COCHABAMBA,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,138,138
COLCAPIRHUA,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,3,3
COMARAPA,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,10,10
CONCEPCION,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,1,1
COROICO,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,1,1
COTAGAITA,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,1,1
COTOCA,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,5,5
CUATRO CAÑADAS,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,1,1
EL ALTO,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,84,84
EL TORNO,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,2,2
FERNANDEZ ALONSO,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,2,2
GUAYARAMERIN,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,28,28
HUANUNI,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,1,1
HUARACAJE,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,1,1
LA GUARDIA,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,3,3
LA PAZ,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,116,116
LLALLAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,18,18
MAGDALENA,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,3,3
MAIRANA,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,2,2
MIZQUE,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,3,3
MONTEAGUDO,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,4,4
MONTERO,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,47,47
OMEREQUE,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,2,2
ORURO,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,40,40
PADILLA,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,2,2
PAILON,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,3,3
PALOS BLANCOS,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,1,1
PASORAPA,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,1,1
PATACAMAYA,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,4,4
PORTACHUELO,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,7,7
POTOSI,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,60,60
PUERTO SUAREZ,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,7,7
PUERTO VILLARROEL,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,12,12
QUILLACOLLO,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,16,16
RIBERALTA,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,59,59
ROBORE,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,4,4
RURRENABAQUE,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,9,9
SACABA,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,13,13
SACACA,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,2,2
SAN ANTONIO DE LOMERIO,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,1,1
SAN BORJA,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,2,2
SAN BUENA VENTURA,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,1,1
SAN CARLOS,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,14,14
SAN IGNACIO DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,62,62
SAN JULIAN,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,35,35
SAN MATIAS,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,3,3
SAN MIGUEL DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,16,16
SAN RAFAEL,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,1,1
SANTA ANA,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,2,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,209,209
SANTA ROSA DEL SARA,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,1,1
SORATA,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,2,2
SUCRE,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,69,69
TARABUCO,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,3,3
TARIJA,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,17,17
TIQUIPAYA,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,38,38
TIRAQUE (CBBA),diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,19,19
TORO TORO,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,1,1
TRINIDAD,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,22,22
TUPIZA,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,31,31
UNCIA,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,7,7
VALLEGRANDE,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,5,5
VIACHA,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,2,2
VILLA MONTES,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,10,10
VILLA TUNARI,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,9,9
VILLAZON,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,5,5
VINTO,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,3,3
WARNES,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,3,3
YACUIBA,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,31,31
YAPACANI,diagnostico de egreso,neumonias en menores de 5 anos,2008-04-01,16,16
AIQUILE,diagnostico de egreso,neumonias en menores de 5 anos,2008-05-01,3,3
ASCENCION DE GUARAYOS,diagnostico de egreso,neumonias en menores de 5 anos,2008-05-01,17,17
